FG,SB,MM,TUR,XIP,THU,LPL,MPL,SPL,HAK0,HAK1,HAK2,HAK3,HAK4,MUL0,MUL1,MUL2,MUL3,TRA,PAG,DFS,DFH,DSM,DSP,DSR,MSC,MSG,MSP,RSH,RSS,SSH,SSS,ENG,SAR,EPI,CEBH,CEBS,CEPH,CEPS,DNS,DNH,DRS,DRH,ARF,PWL,SUP,Mb_O,Mb_FF,Mb_DF,Mb_C,Mb_PAR,Mb_SCA,Mb_H,Mb_GRA,Mb_SF,Mb_PF,BO,EUP,ZG,ZL,ZM,ZS,PB,BB,PS,DF,PL,MB,SG,MA,DC,SPOM,BD,1.GNS+TR_D,1.LLD longline,1.LTL trolling,1.LH hand-pole,1.MIS,1.PS+SB+SV,2.FPO traps,2.GNS+TR_D,2.LLD longline,2.MIS,2.OTB_D,2.OTB_DWS,2.OTB_MDD,2.OTM,2.PTM,2.PS+SB+SV,3.OTM,3.OTB_MDDW
SB,-0.000413299,-2.30189e-05,1.17053e-05,-0.000266497,0.000132632,3.5639e-05,3.07017e-05,9.89781e-05,5.19966e-05,4.02621e-05,-3.49372e-05,-6.57978e-05,-7.69733e-05,1.2566e-06,2.2855e-05,7.63666e-05,-1.16719e-05,-9.24826e-05,1.80139e-05,3.33923e-05,-2.3764e-06,1.62062e-05,-6.811e-06,-0.000113066,4.04064e-05,1.11041e-05,3.17174e-05,2.06844e-05,1.62124e-05,-4.25968e-05,4.20112e-05,-0.000947538,-0.000709115,-9.42276e-05,5.18729e-05,2.10995e-05,-4.41218e-05,-6.01519e-05,1.26519e-05,0.000208617,-7.3283e-06,1.00716e-05,-3.402e-07,3.10422e-05,8.26075e-05,-3.0424e-06,7.1e-07,6.408e-06,-3.39811e-05,2.65792e-05,-6.64318e-05,1.53109e-05,6.8671e-06,1.82879e-05,2.16363e-05,-6.36981e-05,6.74768e-05,3.47599e-05,6.56349e-05,0.000133664,-1.09908e-05,2.0978e-06,-5.40759e-05,-7.6008e-06,-8.70676e-05,-8.59317e-05,-3.4282e-05,-5.2918e-06,-3.94501e-05,-3.30488e-05,-4.6782e-06,1.60953e-05,-9.15e-07,-0.000144323,-1.4041e-06,-1.60429e-05,3.20002e-05,3.04002e-05,1.00716e-05,-1.35293e-05,-9.14166e-05,3.21383e-05,8.1771e-06,1.77005e-05,7.5229e-06,-1.40694e-05,-0.000836466,-0.00057372,-1.25531e-05,1.50097e-05
MM,0.024862,-0.0910851,-0.00596594,-0.0396057,-0.00367697,-0.00679825,0.00535404,0.0163755,-0.0374228,-0.00397399,-0.0077841,0.00119673,-0.00377801,0.000191058,0.0187413,-0.0286698,-0.012197,-0.0145573,-0.134333,0.0374062,0.005698,0.00619289,-0.0697843,0.045618,0.0309626,0.00185323,-0.0162161,0.000827304,0.00215656,-0.0557671,0.0633344,0.0635779,0.0230527,0.00308874,0.0332009,-0.0134983,-0.106817,-0.242145,0.00276368,-0.0150103,0.011099,-0.019811,-0.0169371,0.00433329,-0.00962299,-0.00707677,0.00237908,0.00130881,0.0063727,-0.00439186,0.0124552,-0.00550077,0.00076011,0.000244789,-0.00300443,-0.00295754,-0.0103026,-0.00230899,-0.00973864,-0.0122824,0.00239351,-0.0008398,0.00597941,3.03722e-05,0.0103526,0.00811843,0.00448947,0.00024588,0.00487777,0.00531692,0.0010006,-0.00218772,0.014109,-0.0215422,-0.0422651,-0.073521,0.00215783,-0.00395405,-0.019811,0.00787798,-0.0228089,0.001818,-0.00649998,-0.00388047,-0.00609126,0.0161546,0.0447716,0.0323438,0.0176262,-0.00882773
TUR,8.72401e-05,-0.000332034,-0.155605,-0.000126217,8.30173e-05,5.19906e-05,-1.04648e-05,-1.61361e-05,-0.000278941,0.000939428,0.000975809,2.08145e-05,-4.97768e-05,0.000514526,0.00123943,0.00067918,0.000718056,7.46412e-05,0.00105139,9.75304e-05,5.1529e-05,0.000287123,0.000306054,0.000101157,8.49103e-05,-2.97897e-05,1.75873e-05,-0.00182985,0.000447541,-0.000602831,-2.78592e-05,9.96692e-05,0.000426423,2.47581e-05,-0.000161409,7.73141e-05,-0.00266487,0.00011201,-4.80144e-05,0.000172421,8.56082e-05,-0.0181075,0.000380435,0.000465339,-3.34712e-05,0.00149456,0.000169342,0.00120386,0.000464766,0.00329025,0.00293764,0.0275172,-0.384975,0.00302251,0.0254455,0.000271959,-7.61219e-05,5.638e-07,-2.82368e-05,-1.22494e-05,1.33058e-05,-7.1043e-06,-5.26598e-05,7.6854e-06,4.86621e-05,2.74636e-05,-0.000295497,-0.000645983,-0.000277796,-0.000250005,6.9089e-06,-2.96524e-05,-0.00123744,0.000108666,0.000204429,-0.000328495,5.9618e-06,4.4974e-05,-0.0181075,-0.000359702,-8.47959e-05,7.7083e-06,-3.13935e-05,0.000422755,9.27106e-05,7.55933e-05,0.00023957,0.000146888,4.74595e-05,0.000270566
XIP,-0.00192428,-0.000909609,0.000227692,-0.2962,-0.235047,-0.046137,0.0307455,-0.0155842,-0.00333315,0.00490561,0.0107519,0.0124279,0.0127381,-0.00186105,-0.00122462,0.000626569,-0.000114486,0.0207987,-0.0454487,0.00204657,-0.00318253,-0.00156887,0.0308035,-0.00267277,-0.00969101,0.041151,0.028556,-0.0109886,0.00285093,-0.000143067,-0.00049853,-0.0122854,0.0129147,0.00541801,0.000850398,0.00344895,-0.00640167,-0.00874289,-0.000280823,0.00258173,-0.0016683,0.0034842,0.00515964,-0.00334889,-0.00060417,0.00160844,-0.00123906,-0.000209654,-0.000139361,-0.000170646,0.00250325,-0.0011647,-3.76059e-05,-0.00394578,-0.00108494,0.000758986,0.00171878,-0.0175585,-0.00220573,0.00167219,-0.000369873,0.000134531,0.00049274,0.000189884,-0.00159395,-0.000821214,0.000334841,-0.000107325,1.812e-07,-0.00064833,-0.000166558,-9.35642e-05,0.00236487,0.325013,0.0290847,0.0217398,0.0105244,-0.0375584,0.0034842,0.0013662,0.282346,0.00837445,-0.000555632,0.000164298,-5.71523e-05,0.0205433,0.00396438,-0.00852919,0.0219329,-0.00207679
THU,0.00122552,-0.00903766,0.000155592,-0.109799,-0.135492,-0.0312724,-0.029325,0.0297423,-0.0106739,0.000791932,0.00229894,0.00827846,0.00914012,0.00585395,0.0189761,-0.00703354,-0.0034588,0.00837208,0.00453856,0.0115099,0.00477411,-0.000186357,-0.0899113,-0.00738795,-0.000584232,0.0271667,-0.000139287,-0.00540973,-3.3319e-06,-0.00437326,0.00661917,0.000603703,0.00336608,0.00392365,0.00352236,0.00333854,0.00690492,-0.02883,5.95542e-05,0.000362967,-0.00149219,0.00157641,8.13815e-05,-0.00150513,-0.00148833,4.62764e-05,-9.60565e-05,7.528e-06,0.000612158,-0.000469888,-0.00184195,0.00152853,-1.23259e-05,-0.0015406,0.00127808,0.000279119,-0.000885727,-0.0119508,-0.00139024,-0.00173944,0.000349566,-0.000175552,0.000955335,-6.6408e-05,0.00112686,0.00111132,0.000662314,-3.9454e-06,0.00053249,0.000515962,0.000132528,-0.000337347,-0.00218563,-0.0535406,-0.0682572,-0.0659361,-0.0298372,-0.023945,0.00157641,-1.98888e-05,0.153311,-0.0298917,-0.000526662,-0.000722975,-0.000626603,0.00796181,0.00104148,0.0101395,0.00798478,-0.000796642
LPL,-0.00496449,-0.00521378,0.000720333,-0.03293,-0.0843442,-0.440552,-0.346784,0.131813,0.0363136,0.00959135,-0.0638414,-0.151158,-0.195233,0.0188777,0.0146577,0.0250993,0.0190636,-0.236921,-0.00255069,-0.0368581,0.0230938,0.0224746,-0.0357718,-0.000289496,0.106306,-0.495404,-0.267624,-0.00352519,-0.0142532,0.0080704,-0.00819635,0.0741848,-0.177219,-0.067018,-0.00529297,-0.0330137,0.0119692,0.0513698,0.00668479,-0.00190413,0.0169645,-0.0010466,-0.0520197,0.0473068,0.0111631,-0.0154881,0.0101136,0.00292682,0.000254754,0.00226296,-0.0165843,0.00612423,-0.00020579,0.04349,0.00789092,-0.0140957,-0.012395,0.21278,0.0300659,-0.00748321,0.00271043,-0.00105716,-0.00849249,-0.0020902,0.00985714,0.00240847,-0.00548764,0.000256994,-0.00275924,0.00315301,0.00131492,0.00179872,-0.0210816,-0.0231361,-0.123588,-0.0282865,-0.108433,0.45186,-0.0010466,-0.017417,0.0752254,-0.0830914,0.00315062,0.00588618,-0.00285665,-0.101037,-0.0376717,0.0240401,-0.0975328,0.00789104
MPL,-0.000565153,-0.00718094,-0.00190215,0.0123447,-0.00151429,-0.00723535,-0.116034,-0.44986,0.00348306,2.63561e-05,-0.0130091,-0.0205618,-0.0288249,0.00857131,0.0110332,0.000588388,0.000180448,-0.0361469,0.00298899,-0.00155522,0.00480222,-0.0248791,-0.0395011,0.0112397,0.0133918,0.00846568,0.0206839,-0.00353394,-0.00109211,-0.00823468,-0.00189129,-0.00072366,-0.0067666,0.00233687,-0.00325526,-0.0175211,-0.0414973,-0.0029942,0.000121706,-0.00341552,0.00896658,-0.0033993,-0.00627098,0.00837183,0.000106363,-0.00350732,-0.00273895,0.00045375,0.000549739,-0.000638692,0.00444885,-0.0026443,0.000285252,0.00548685,-0.001811,0.00332583,-0.00846102,-0.00293045,0.000569449,0.0136514,-0.00155617,0.000440196,-0.000230623,0.000941187,0.000200456,-0.00639647,-4.17216e-05,0.000246139,0.000238396,0.000987275,-0.000594579,3.80076e-05,0.0355083,0.00248328,0.229181,-0.0273809,0.649568,-0.0109908,-0.0033993,0.00283174,0.00287297,0.624647,-0.0039776,0.00214766,-0.00262006,-0.012745,-0.00334025,0.0256117,-0.0124658,-0.00161592
SPL,-0.00354642,-0.00916861,0.00147109,-0.00324252,-0.0024149,-0.0153844,0.187361,-0.141981,-0.00612355,0.000154508,-0.00893136,-0.00451069,-0.00464114,-0.0143512,-0.0151083,-0.00442635,-0.00537269,-0.00399259,-0.00106801,0.00696207,-0.00153347,-0.00397593,0.0745091,-0.00632456,-0.0483675,0.0110928,-0.0342351,-0.00169665,0.00469163,0.0128122,0.000631126,-0.0118485,0.00601628,-0.000731414,0.0057887,-0.00193608,-0.00734087,-0.0106121,0.00195972,0.00467289,0.00180241,0.00313222,0.0256267,0.00135486,0.00783823,0.00777719,-0.00730575,-0.00136166,-0.00670919,0.00251037,0.00635527,-0.00464621,0.000840813,0.00379215,-0.00331893,-0.00319262,0.00706999,-0.0071125,0.000425247,-0.0211447,0.00393758,-0.00148079,-0.00400105,-0.00350515,0.00317611,0.00875707,-0.00278883,-0.000313774,-0.00381354,-0.00574614,0.00150477,0.00207861,0.0102492,-0.00150834,0.102918,0.0560392,0.134036,0.0437972,0.00313222,0.00144172,0.00212513,0.128367,9.64401e-05,0.010858,0.0019028,0.00300519,-0.0038928,0.0486938,0.00317312,0.00182477
HAK0,-0.00010805,-4.34485e-05,4.77961e-05,1.3447e-05,-2.79947e-05,-1.71213e-05,-0.000692161,0.000414325,-0.0029214,-0.00379124,0.000334742,-6.24858e-05,0.00205834,-5.23915e-05,-2.91972e-05,-3.50632e-05,-4.1626e-06,-0.000131248,9.85012e-05,0.000204376,-0.000415436,-0.00055153,-0.000152149,-0.00025691,-1.85526e-05,0.000137324,-0.000289978,0.000118867,-0.000107597,0.000194631,-0.000401622,-0.000182077,0.000174163,-1.82899e-05,8.93423e-05,-2.637e-06,-0.000268675,4.0457e-06,8.4606e-05,0.000205454,-0.000320418,7.68355e-05,-0.000220073,-0.000173278,7.5089e-05,7.62217e-05,7.37015e-05,1.78913e-05,-2.4975e-06,5.32016e-05,3.0612e-05,-3.63804e-05,3.48216e-05,8.90852e-05,0.000119709,0.000135136,-0.00554471,8.90273e-05,5.12907e-05,2.46272e-05,0.000504367,-0.000276974,3.5772e-06,-0.000255021,0.00324093,0.000206334,-6.00073e-05,-2.85722e-05,-5.1218e-05,-2.29493e-05,0.000204428,6.54328e-05,-0.000213148,-0.000106227,-0.000313083,-0.000182701,-0.000514616,-2.6451e-05,7.68355e-05,-0.000341841,-8.9011e-06,-0.00049574,-0.000121854,-0.000174388,-0.000130202,8.80755e-05,-2.34398e-05,-0.000103972,9.05557e-05,-0.000143563
HAK1,-0.00026523,-0.000374917,4.75797e-05,3.35778e-05,-0.000245071,3.12062e-05,-0.00122803,0.0023292,-0.00419027,-0.00963128,-0.00216742,-0.00157918,0.00149635,-0.000480279,-0.00144234,-0.000212201,-0.000717421,9.35653e-05,-0.000513413,5.31948e-05,-0.0044031,-0.000796965,-0.00183278,-0.00111044,-0.00135907,0.000819496,-0.00135722,0.00352762,-0.000652476,0.00166338,-0.000714414,0.000695346,0.000543492,-0.00202602,0.000665815,0.000128453,-0.000748,-0.000497604,-0.00124919,0.00030509,-0.000608616,-0.000353006,0.000264269,-0.000685636,0.00038945,0.000346201,-8.2253e-06,7.93924e-05,-9.91417e-05,0.000301866,0.00058367,-0.000406617,2.57616e-05,0.000244656,-0.000200343,0.000330448,-0.0106823,0.000784488,0.000492627,0.00221463,0.000974456,-0.000572349,-8.28437e-05,-0.000532987,0.00546922,-0.000742148,-0.000255407,-0.000128341,-0.000195445,-0.000142756,0.000408513,0.000218933,-0.00054809,-0.000142724,-0.00162179,-0.00155734,-0.000896835,-0.000179207,-0.000353006,-8.82393e-05,-3.61981e-05,-0.000861622,3.96299e-05,-0.000324639,0.000319437,5.8209e-05,0.000622098,0.000271039,5.35869e-05,0.000257688
HAK2,0.0115015,-0.000651695,0.000247426,0.011286,-0.00359363,-0.0180822,0.00214183,-0.00295637,-0.160281,-0.0391909,-0.0353882,-0.0458478,-0.0516075,-0.00295972,-0.00489875,-0.00113416,-0.00176117,-0.0697191,0.000687419,0.00105394,0.00294907,-0.0131533,0.000268846,-0.00111771,-0.00528223,0.0166784,0.00563609,0.00823608,0.00531732,0.00465501,-0.00411356,0.027857,0.0180379,-0.000927404,-0.00315699,-0.0003764,-0.0016915,0.0112745,-0.00887911,0.000129325,0.000487904,-0.000199665,-0.0144057,0.00143688,-0.000211215,0.000741717,-0.000149746,-0.000170485,0.000117991,-0.000146325,0.00148641,-0.000782965,0.000636485,0.0149171,0.000531789,0.00439832,0.000107304,-0.00629039,0.00314648,-0.00321401,0.000572563,-0.000251573,0.000341503,-0.000268696,0.00105563,0.00163704,-0.000459099,9.2215e-06,0.000101611,0.000445481,0.000273645,5.50876e-05,-0.00550585,0.00173105,0.000738058,-0.000177572,-0.00317736,-0.01475,-0.000199665,-0.0093223,0.000987905,-0.0037429,-0.00383748,-0.00512098,-0.00520004,-0.0217485,0.0233724,0.0126461,-0.0205268,-0.00342036
HAK3,0.016384,0.000707838,-0.00275379,0.0133605,-0.00352169,-0.0267173,0.00568177,-0.00382608,0.00972693,0.0111431,-0.0320391,-0.0974579,-0.126578,0.00640038,0.010299,0.00144126,-0.0151909,-0.105882,-0.0229117,-0.00650672,0.00121956,-0.00101173,-0.00201786,-0.00499746,-0.000597362,0.0241712,0.0140394,-0.0239392,-0.0421365,0.00634811,-0.00512849,0.0417645,0.0216398,-0.000698252,-0.00391982,0.00207441,0.00385537,0.0169001,-0.00686471,0.00286383,-0.000100428,-0.00265589,-0.0172429,-0.0325088,-0.00201894,0.00323929,-0.00126967,-0.000770097,0.000582422,-0.000700692,-7.40394e-05,0.00116422,-0.00630382,0.0187205,-0.0117726,0.00327661,-0.000597511,-0.00940982,0.00321754,-0.00555313,0.00109501,-0.000488127,0.00136235,-0.00035191,0.00228097,0.00307926,0.000416567,8.22526e-05,0.000815735,0.0005612,0.000505078,-0.000425252,0.0107953,0.0243873,4.93333e-05,-0.00084178,-0.00283962,-0.0218064,-0.00265589,0.0674938,-9.46886e-05,-0.00374561,0.037324,-0.0248639,0.0505354,-0.0382945,0.0326356,0.0180205,-0.0364919,0.040783
HAK4,0.00109489,9.27424e-05,-0.000165411,0.000807997,-0.000193857,-0.0017093,0.000374129,-0.000215679,-0.015339,-0.00166505,-0.00198652,-0.00747126,-0.00988573,0.00147106,0.0016171,0.00104778,-0.000688323,-0.00678069,-0.00208763,-0.0018227,0.000220118,-7.47279e-05,-0.000165494,-0.000154554,-3.94804e-05,0.00148077,0.000873615,-0.00315681,-0.00226836,5.8314e-06,-0.000390823,0.00261964,0.00164426,0.00012605,-0.000324846,0.000226277,0.000340999,0.0012349,0.000281096,0.000198716,-2.25094e-05,0.000952054,-0.00180232,-0.00264916,-0.000226258,0.000271435,-0.000206533,-8.35481e-05,2.26539e-05,-7.59088e-05,-4.80147e-05,0.000150424,-0.000669158,0.00100217,-0.00112832,0.000178433,4.3997e-05,-0.000631975,-3.2112e-05,-0.000364587,7.44706e-05,-3.22035e-05,0.0001384,-2.10206e-05,0.000100451,0.000206753,9.34138e-05,2.30146e-05,9.24459e-05,2.22258e-05,3.20608e-05,-4.99412e-05,0.00119566,0.00212354,-9.4427e-06,-5.99441e-05,-0.000173841,-0.00137713,0.000952054,0.00630806,-3.21821e-05,-0.000232101,0.00369732,-0.00215128,0.0049408,-0.00335691,0.00217364,0.00118129,-0.0032609,0.00400244
MUL0,-0.00013641,-7.23377e-05,0.000198765,-0.000105339,6.57939e-05,7.3855e-06,-0.000286699,-0.000458467,-0.00155979,-0.00169098,-0.00191207,-0.000461478,0.00037104,-0.00271595,-0.00215479,-0.00186097,-0.00127583,9.49431e-05,-0.000253186,0.00228183,-0.000288481,-0.000346242,0.00127776,-0.000857776,-6.22604e-05,-6.19066e-05,-0.000163613,0.00160512,0.000186038,0.00251807,4.37669e-05,-0.000134181,-0.00040362,-9.27335e-05,-0.000797403,-0.000305791,-0.000213297,-6.5225e-05,-6.55277e-05,6.46511e-05,8.1613e-05,-0.000189944,7.3142e-06,3.0564e-05,-0.000368596,5.27556e-05,0.000418635,0.000593939,-0.0023255,0.0014948,0.000340687,-8.66012e-05,0.000544159,0.00103984,-0.000393903,-0.00412943,0.000154602,5.6248e-06,1.13311e-05,-0.000258453,-5.79042e-05,3.7146e-05,0.000111927,9.17818e-05,4.0298e-06,0.000190219,0.000203092,-0.000491702,-8.06702e-05,0.000250434,-1.99056e-05,-0.000100471,-0.000475675,-0.000170905,0.000718374,0.000876514,-0.000209351,-4.75943e-05,-0.000189944,-0.000275469,-4.21426e-05,-0.000201127,-0.000325492,3.20137e-05,-0.000171964,0.00149699,-0.000253048,-0.000127362,0.00152431,-0.000206291
MUL1,-0.000383284,-0.00034188,-0.000820286,-0.000355137,0.000343578,8.1571e-06,-0.00189033,-0.00272682,0.00117412,-0.0124083,-0.0114399,-0.00451458,0.00186857,-0.00982563,-0.0170671,-0.00430573,-0.0042715,0.00102462,-0.00359374,0.00138822,-0.00142587,-0.00130729,0.0134777,-0.00560133,-0.000204622,-0.000211012,-0.00110669,0.0201258,4.32853e-05,0.0139799,0.000356928,-0.000220798,-0.00191021,0.000224306,-0.00261516,-0.00055224,-0.00183938,-0.000584831,-3.9185e-06,-0.00171565,0.000305964,-0.0045634,0.000101691,-0.00050198,-0.00118574,-0.00156106,-0.00598971,0.000994161,-0.00489502,-0.00716991,-0.00875946,0.00711643,0.00200388,0.0029394,0.00574374,-0.00081396,0.000776416,-6.6357e-06,-0.000549969,0.000197028,-4.76273e-05,5.26638e-05,0.000797523,0.000230452,-0.000526663,0.000129116,0.000733847,-0.00053207,0.000332041,0.00167514,2.2476e-05,-0.000280505,-0.0021532,-0.00145596,0.00807925,0.00946419,-0.001391,-0.000260303,-0.0045634,-0.00170378,-0.000144138,-0.00133791,-0.00161313,-0.000250981,-0.00107779,0.00120937,-0.000969494,-7.60456e-05,0.00119442,-0.000998037
MUL2,-0.000136744,0.000600366,0.000491163,0.000309816,0.000238804,2.31281e-05,-0.00157501,0.00129094,-0.0167379,0.00850875,0.00355229,-0.00294988,-0.00845554,-0.00394421,0.0103913,-0.0746427,-0.0213846,-0.00273906,-0.0107577,0.020043,-0.000936515,5.94516e-05,0.000418293,-0.0020778,0.00132312,0.000293095,0.00100743,-0.0258155,-0.0303315,-0.000456155,0.000676833,-0.00240085,0.00393934,0.00011706,-0.000825138,5.94006e-05,0.00214012,0.000987429,-0.00011867,-0.113901,0.000751478,0.00889557,-0.0065575,-0.00876002,0.0034038,0.00127422,-0.00246499,-0.00566293,-0.00942802,0.00177504,0.0304946,-0.0136315,-0.00241726,0.00230481,-0.0181244,0.00656537,-2.20684e-05,0.000148592,0.000385069,1.10337e-05,0.000168653,4.12485e-05,-0.00165433,-0.000307194,3.596e-07,-0.000256361,-9.171e-07,0.00437489,0.00239208,0.00208865,0.000140346,0.00116721,0.000145846,-0.000545216,-0.000283002,0.000654094,-0.00115468,1.96883e-05,0.00889557,0.000429421,3.10457e-05,-0.00110999,0.0056492,-0.00721901,-0.000897226,0.0120357,0.000423143,-0.000657889,0.0123729,0.0396346
MUL3,-0.000156433,4.27768e-05,-0.00107035,0.000473214,-3.01925e-05,0.00050701,-0.000778107,0.000641886,-0.00671117,0.00510807,0.00282286,-0.0128996,-0.0188861,-0.00076858,0.00580752,-0.0103655,-0.0172766,0.00135036,-0.014155,0.00825804,-1.39378e-05,-0.000990564,0.000275773,0.000166569,0.000381538,2.55335e-05,4.3955e-05,-0.0153563,-0.0311136,-0.00125453,-5.10254e-05,-0.000395591,0.000561602,-0.00130106,-0.00109917,-0.000250225,-2.34946e-05,-0.000341142,-0.00403744,-0.000160503,0.000595722,0.00443511,-0.0110098,-0.0191181,0.00033211,0.000421223,-0.00463626,-0.000368518,-0.00386862,-0.000362134,-0.00241688,0.00232701,-0.00284488,0.00111163,-0.00531955,0.00130996,0.000233037,0.000399142,0.00180241,0.00014295,-0.000104262,6.60741e-05,-0.000109367,0.000109301,-0.00018337,-3.96737e-05,0.000105057,0.000228006,-2.98769e-05,0.000155374,-1.0232e-06,0.000136619,0.017256,-0.00119034,-3.34607e-05,0.00013883,-0.000440104,0.000360542,0.00443511,5.66119e-05,0.000101081,-0.000404168,0.0634713,-0.0149017,0.0174264,0.00576295,3.37192e-05,-3.90099e-05,0.00585375,0.0375013
TRA,-0.121341,-0.00889863,0.00119418,-0.126958,0.036124,0.195731,-0.0464401,0.0357791,-0.0630848,-0.0227234,0.270432,0.479904,0.624711,-0.00891532,-0.00179522,-0.0141822,-0.0147223,-0.239618,0.0056678,0.0264371,-0.0206386,0.0095384,0.000411645,0.0252477,0.0101534,-0.168601,-0.0949124,0.0272716,0.0249377,-0.0251991,0.0406047,-0.292295,-0.174439,-0.0173869,0.0124502,-0.00484505,-0.0358746,-0.136064,-0.0137522,0.00424728,0.00493043,-0.016186,-0.000633879,-0.146388,0.0237018,0.000234569,0.00426561,0.00231899,-0.00711895,0.00361305,0.000364422,-0.00729648,0.00195375,-0.139408,-0.00292933,-0.0127906,0.00865785,0.0721375,0.00784891,0.0404665,-0.00991106,0.00445091,-0.015679,0.00344271,-0.0190644,-0.0232403,-0.00886791,-0.00210241,-0.0108982,-0.0124381,-0.0041018,0.00451353,0.0202793,-0.0249561,-0.0118261,-0.00711464,0.0172541,0.158328,-0.016186,0.0473237,-0.0140547,0.024026,-0.00232504,-0.0814052,0.00902049,0.261232,-0.238806,-0.130003,0.247966,-0.0232991
PAG,1.8825e-05,0.00417511,0.000731655,-0.0214459,-0.00180096,-0.000233515,0.00114959,-0.000141777,-0.000757423,0.00373926,0.00477847,-0.00732139,-0.0113768,0.00190776,0.00429926,-0.00326452,-0.00699498,0.000759463,-0.0226055,-0.000540088,-0.00142753,0.00480566,-2.42217e-05,0.000356128,0.00157122,0.00035623,0.00160005,-0.0103013,-0.0237079,0.000562822,-0.00213523,-0.000169699,0.00126308,-0.000129864,-0.0115131,-0.0159096,0.000344125,-6.46528e-05,-0.00101431,0.000536801,0.00885551,0.00458728,-0.00813676,-0.0108843,0.000960667,0.000347924,0.00102614,-0.0018353,-0.00496064,0.00366853,-0.0196493,0.0112141,-0.000279809,0.00281698,0.00561358,-2.52065e-05,-0.0012871,-3.60356e-05,0.000362841,-5.01601e-05,8.14737e-05,-5.59171e-05,-0.000472982,-0.00019068,0.000774138,-0.000111883,5.75523e-05,0.00142648,0.000239567,-0.00028272,7.8305e-06,0.000287558,-0.000203816,0.0789067,0.000333357,0.00325603,0.000785814,-0.000241953,0.00458728,0.0081174,0.00231532,0.000747137,0.0054097,-0.00918043,0.00694936,-0.000481874,0.000311621,0.000162386,-0.00055229,0.030894
DFS,-0.00373967,0.000545524,0.000757667,-0.0097884,0.00487856,0.00488842,0.00078978,-0.00253242,-0.636276,-0.196459,-0.29489,0.0087973,0.0581251,-0.394021,-0.0962633,-0.562619,-0.3642,0.00446368,-0.00198656,-0.16513,-0.037234,0.00547724,0.00734141,0.00725218,0.00367319,-0.00470531,-0.00137956,0.0167429,0.030754,-0.0195819,0.0117248,-0.000678625,-0.00442542,0.00115783,-0.0322694,-0.0598592,0.00940436,9.07987e-05,-0.00726999,0.0782743,0.0303085,0.00541329,0.00600254,0.0102261,0.000384009,-0.00543042,0.00435767,0.00415126,0.00860094,0.000888794,-0.0130057,0.00372701,9.35247e-05,-0.00867279,0.00900553,-0.00329781,-0.00900033,0.00173382,-0.00197885,0.00101042,0.00094016,-0.000563332,-0.000463358,-0.000845297,0.00490765,-0.000556451,-0.00100736,-0.00243305,-0.00251882,-0.00353798,0.000335332,-0.000148165,-0.0128247,0.030874,0.00544898,0.00735517,0.00186778,0.00219164,0.00541329,0.0297111,-0.00199333,0.00198239,-0.0266034,0.0128356,0.00102118,0.538905,-0.00238823,5.83092e-05,0.550225,-0.0315634
DFH,0.0441737,0.0190111,-0.00904468,-0.00447697,0.00924475,-0.00976559,-0.0378365,-0.0384197,-0.0599345,-0.0199763,-0.0271938,0.0416091,0.0408081,-0.0535892,-0.0900418,-0.0567287,-0.0121602,0.0232721,0.0162339,0.0138662,-0.260343,-0.0965245,0.29822,0.00724343,-0.00284801,0.012399,-0.0301128,-0.0110706,0.00126027,0.0899808,-0.0260568,-0.019061,-0.0506728,0.00514897,-0.122345,-0.032449,0.0316294,0.0123309,-0.00984171,-0.0823548,-0.0110268,-0.0398757,-0.00899366,-0.00769061,-0.0490236,-0.00136201,0.00180224,-0.0104263,0.0189485,-0.0420326,-0.0188828,0.0302077,0.000773092,-0.00426673,0.0218759,0.0549231,-0.117908,-0.00496067,0.00636688,0.0130263,0.0133292,-0.0091121,0.0312136,-0.00119349,0.0643148,0.00536463,0.0199931,0.00908198,0.0270803,0.0101568,0.00498306,-0.010404,-0.0124469,-0.00237042,0.186589,0.227421,-0.0304535,0.0233196,-0.0398757,-0.0548941,-0.00309519,-0.0296685,-0.00844398,-0.00805998,-0.00442945,0.0166593,-0.0328665,-0.00327915,0.0166319,-0.0194602
DSM,-0.000490927,0.0227206,-0.00664461,-0.0176773,0.0043974,-0.00362252,0.0815127,-0.0353972,-0.052489,-0.116816,0.0438768,-0.0679726,-0.0561681,-0.0482259,-0.0608991,-0.0416716,-0.00760456,-0.00753276,-0.0355525,0.00603641,-0.0248722,-0.168304,0.00894515,-0.0573706,-0.0116089,0.00857508,-0.017623,0.0341174,-0.0634604,0.124634,0.019646,0.00391037,-0.0427448,-0.00340941,-0.0371739,0.0629389,0.0666361,-0.00648117,0.000935994,-0.0525432,-0.0434518,-0.000349721,-0.0305315,-0.0444312,-0.0380817,0.00297725,3.88096e-05,0.000471541,0.0177259,-0.00891107,0.0131854,0.00498758,-0.0103196,-0.00599502,-0.0136815,-0.116057,-0.100658,6.07551e-05,0.00399624,0.023606,0.00921435,-0.00662651,0.0249993,-2.84073e-05,0.0505556,-0.00199949,0.0235721,-0.000621339,0.0170104,0.0126822,0.00358386,-0.00856427,0.21074,0.0923915,0.026484,0.0199585,0.059121,-0.00426923,-0.000349721,0.477995,-0.00394321,0.0567403,0.0806657,-0.0361505,0.0459258,0.00131778,-0.016785,-0.00414053,0.00221754,0.0512927
