FG,SB,MM,TUR,XIP,THU,LPL,MPL,SPL,HAK0,HAK1,HAK2,HAK3,HAK4,MUL0,MUL1,MUL2,MUL3,TRA,PAG,DFS,DFH,DSM,DSP,DSR,MSC,MSG,MSP,RSH,RSS,SSH,SSS,ENG,SAR,EPI,CEBH,CEBS,CEPH,CEPS,DNS,DNH,DRS,DRH,ARF,PWL,SUP,Mb_O,Mb_FF,Mb_DF,Mb_C,Mb_PAR,Mb_SCA,Mb_H,Mb_GRA,Mb_SF,Mb_PF,BO,EUP,ZG,ZL,ZM,ZS,PB,BB,PS,DF,PL,MB,SG,MA,DC,SPOM,BD,1.GNS+TR_D,1.LLD longline,1.LTL trolling,1.LH hand-pole,1.MIS,1.PS+SB+SV,2.FPO traps,2.GNS+TR_D,2.LLD longline,2.MIS,2.OTB_D,2.OTB_DWS,2.OTB_MDD,2.OTM,2.PTM,2.PS+SB+SV,3.OTM,3.OTB_MDDW
BD,0.0546192,0.0663253,0.172063,0.0200263,0.00493097,0.0417928,0.023542,-0.0215609,-0.069893,-0.0211699,0.029736,-0.00658425,-0.0397892,0.271446,0.235557,0.081989,0.0763634,0.0210428,0.0753129,0.0505099,0.0836995,0.123876,0.041024,0.113396,0.218272,0.0638353,0.141098,0.0617379,0.0880249,0.0523045,0.0572011,-0.0559619,0.108399,0.0562741,0.125104,0.0739949,0.0616411,0.0674985,0.141077,0.113176,0.0312667,0.0354988,-0.0276054,0.0498934,0.178276,0.177243,0.0353015,0.152478,0.170885,0.0893935,0.0898435,0.023194,0.145117,-0.0301018,0.0763744,0.188494,-0.0186938,0.119841,0.0404524,-0.0518189,0.00195981,0.0172325,0.474478,-0.0257457,0.0294628,-0.00307465,-0.154581,-0.15698,-0.162923,-0.149548,-0.0302875,0.0,0.0982485,0.0583485,0.0396662,0.0475384,0.0283422,0.0403156,0.0354988,0.0948718,0.0227579,0.0288526,0.0780838,0.0257257,0.0622773,0.0405525,0.0172871,0.00305971,0.0410007,0.0562513
1.GNS+TR_D,-0.000287221,0.000297566,0.000647905,0.000569068,-0.000320293,0.000447936,-0.0268807,0.0158646,6.82005e-05,-0.000470866,-0.000543937,-0.00970507,-0.0140974,0.00131106,0.0019481,0.000639556,-0.0185422,0.00225352,-0.00469558,0.000524318,0.00104318,-0.0025374,-0.00857923,-0.0260035,-0.000566603,-0.000471913,-0.000138691,0.00187097,0.00205272,-0.00361807,-0.00026047,-0.000365216,0.000626117,-0.000160926,-0.0124834,0.000824865,0.00280164,0.000363146,0.000246332,0.0020961,-0.000451559,0.00262348,0.00164508,0.00186245,0.000865428,0.000628465,0.000122057,-0.000106251,-0.000246875,0.000367377,0.000732112,-3.27523e-05,0.000226435,-0.000336839,0.000185488,0.00168992,0.00058792,0.000222444,-0.000199329,-0.000484934,1.7143e-06,1.92058e-05,-0.000615032,-0.000114954,-0.000174122,7.99101e-05,-0.000492969,-3.04089e-05,-0.000437448,-0.000609021,-1.66327e-05,0.000210516,-0.00906074,-0.00590145,-0.0147388,-0.00680845,-0.0196929,0.000680132,0.00262348,-0.00523651,0.000169511,-0.0189287,-0.00415975,0.00168377,-0.00270833,0.00109596,8.24608e-05,-0.00210691,0.00108846,-0.00182675
1.LLD longline,0.000235295,-0.000269874,0.000235729,-0.169362,0.0574122,0.0116583,-0.00734504,0.00472646,0.00169307,-0.00175666,-0.00307438,-0.011535,-0.0152999,0.00146865,0.00105983,0.000958181,0.00133795,-0.00415053,-0.0909718,-0.00110148,0.00179494,-0.000713352,-0.01214,-0.0177027,0.00209839,-0.0104398,-0.00706877,0.00441194,0.0023561,-0.00240658,0.000283231,0.00275336,-0.00347277,-0.00116614,0.00140359,0.000774014,0.0016962,0.00196533,0.0002699,-0.00048935,-0.000538354,0.00198772,-0.000101127,0.00245164,4.34494e-05,-0.00033909,9.57817e-05,0.000246515,0.000585829,-0.000159979,0.00151783,-0.000487561,-3.15916e-05,0.000479931,-0.000222254,-0.000187702,-0.000226628,0.0043726,0.000466372,-0.000393537,6.29638e-05,-1.9145e-05,-7.0837e-05,-1.97093e-05,0.000271282,0.000202805,-8.43666e-05,-0.000141512,-4.56762e-05,5.54312e-05,3.0775e-05,-1.25442e-05,-0.00269448,-0.0914502,-0.0110411,-0.009454,-0.0023469,0.00959084,0.00198772,-0.00365856,-0.0690918,-0.0018155,-0.000885004,0.00131313,-0.0014183,-0.00505784,-0.0012267,0.0011845,-0.00541358,-0.00318797
1.LTL trolling,8.6958e-06,-1.02453e-05,1.2809e-06,-2.1582e-06,-1.90385e-05,1.20967e-05,-0.000497028,0.000450575,-7.66266e-05,-2.73396e-05,-3.19981e-05,1.45315e-05,2.64109e-05,4.83841e-05,0.000160173,-6.32148e-05,-3.39357e-05,1.95317e-05,3.44874e-05,9.24591e-05,5.70496e-05,1.85726e-05,-0.000932685,-7.7259e-06,-3.59805e-05,-1.27755e-05,3.32615e-05,8.0648e-06,-2.9076e-06,1.56803e-05,-1.4091e-06,9.7032e-06,1.4005e-05,2.7927e-06,-9.6065e-06,1.2966e-06,3.36692e-05,1.8591e-06,-8.602e-07,2.5218e-06,-3.136e-06,-8.302e-07,1.9077e-05,-1.1898e-06,-3.1045e-06,6.6557e-06,-2.1725e-06,-1.9055e-06,-2.2786e-06,-3.6495e-06,-4.6899e-06,4.6617e-06,1.2111e-06,-1.4268e-06,4.2424e-06,-7.141e-07,-6.2253e-06,2.799e-06,1.246e-07,-1.20525e-05,2.9763e-06,-1.4348e-06,2.5659e-06,-1.4139e-06,7.8313e-06,6.5807e-06,1.6114e-06,4.025e-07,1.2239e-06,-1.3486e-06,1.1135e-06,-5.244e-07,-3.67247e-05,-1.43742e-05,-0.000760138,-0.000693125,-0.000363122,2.74641e-05,-8.302e-07,-5.462e-07,-3.801e-07,-0.000348885,-1.0243e-06,7.3341e-06,-3.4366e-06,6.60074e-05,1.15425e-05,-5.01245e-05,6.7223e-05,-9.099e-07
1.LH hand-pole,0.000180888,-0.000354875,-2.38609e-05,3.97925e-05,-0.00034446,0.000150275,0.000295439,0.00344514,-0.00137524,-0.000505358,-0.000721539,6.22237e-05,0.000200462,0.00096414,0.00303122,-0.00116017,-0.000618692,-6.4222e-06,0.000298022,0.00168346,0.00109544,0.00011278,-0.0174143,0.000560436,-0.000519979,-0.000150549,0.00082052,0.000108258,-5.64568e-05,0.000201118,-5.00062e-05,0.000193916,0.000281884,7.63031e-05,-0.000240608,-0.000154829,-0.000542973,1.49094e-05,-1.62937e-05,-9.6277e-06,3.27488e-05,-0.000153812,0.000286154,6.92011e-05,-6.77522e-05,8.28346e-05,-7.15463e-05,-3.03633e-05,-3.27768e-05,-9.11031e-05,6.11168e-05,-6.3531e-06,3.13595e-05,2.29275e-05,1.43745e-05,2.75842e-05,-0.000208211,2.24043e-05,4.3291e-06,-7.81904e-05,3.92074e-05,-2.21531e-05,5.2233e-05,-1.48869e-05,0.000148927,5.60147e-05,3.43833e-05,1.06227e-05,3.2109e-05,-9.2356e-06,1.46917e-05,-1.15466e-05,-0.000230205,-0.000174981,-0.0113972,-0.01306,0.000257259,0.000389737,-0.000153812,8.25102e-05,1.0594e-06,0.0002532,-7.1001e-05,0.000159513,-9.98358e-05,0.00108067,0.000230921,-0.000593821,0.00109814,-4.95909e-05
1.MIS,1.04007e-05,3.2077e-05,4.8625e-06,1.7309e-05,0.000150733,-0.000944309,-0.00223891,0.00121666,-7.3988e-05,-1.66725e-05,0.000152187,0.000327451,0.000430213,-6.0173e-05,-6.07807e-05,-4.52977e-05,-3.35493e-05,0.000525823,-5.1872e-06,6.87389e-05,-5.53611e-05,4.10248e-05,0.000188715,-3.55932e-05,-0.000226857,0.000829596,0.000396423,1.74452e-05,2.81574e-05,1.24865e-05,2.02487e-05,-0.000125976,0.000328223,0.000108401,1.96075e-05,0.000113361,0.000112559,-7.92267e-05,-1.19519e-05,1.42613e-05,-5.81337e-05,1.27262e-05,0.000110104,-0.000108699,-1.96477e-05,3.80491e-05,-8.6955e-06,-6.5189e-06,-2.206e-06,-1.8627e-06,1.43954e-05,-2.1e-06,-5.601e-07,-9.28339e-05,-7.8314e-06,1.36978e-05,4.86073e-05,-0.000358584,-5.38265e-05,-3.08966e-05,3.097e-07,4.147e-07,1.5428e-05,5.925e-07,-1.76912e-05,1.63755e-05,9.6246e-06,-1.2349e-06,4.0064e-06,-8.6234e-06,-3.647e-07,-3.2329e-06,-7.75673e-05,3.20385e-05,-0.000522225,0.000136848,-0.00189841,-0.000746179,1.27262e-05,2.10285e-05,-0.000139325,-0.00186221,7.3243e-06,-1.70767e-05,1.33542e-05,0.000215667,7.58781e-05,-0.000123823,0.00020871,-8.458e-06
1.PS+SB+SV,0.00207139,0.00225146,-0.000288215,0.0136928,0.0352586,-0.233664,0.138069,-0.0549436,-0.0151573,-0.00401007,0.026805,0.0633184,0.0817942,-0.00787939,-0.00612046,-0.010469,-0.0079478,0.0992645,0.00104958,0.0153906,-0.0098154,-0.0091824,0.0148691,2.5087e-06,-0.0443397,0.206928,0.11182,0.00150864,0.00594995,-0.003391,0.00344263,-0.0309327,0.0740964,0.0278017,0.00224136,0.013933,-0.0046874,-0.0214082,-0.00280053,0.000817512,-0.00715682,0.00046887,0.0216932,-0.019829,-0.00467531,0.00647035,-0.00418234,-0.00121805,-9.26321e-05,-0.000939055,0.00687962,-0.00252827,8.1624e-05,-0.0182238,-0.00327637,0.0058641,0.00524062,-0.0888069,-0.012583,0.00313692,-0.00113647,0.000446362,0.00355485,0.000880866,-0.00415846,-0.00101004,0.00229604,-0.000111075,0.00115965,-0.00130913,-0.000550765,-0.000753574,0.00850918,0.00964774,0.049614,0.0117436,0.0402984,-0.188906,0.00046887,0.00723701,-0.0314581,0.0299034,-0.00129318,-0.00251075,0.00120526,0.0422991,0.015797,-0.0103947,0.0408323,-0.00328896
2.FPO traps,7.18e-08,3.56e-08,-3.4583e-06,1.984e-07,4.6e-08,5.03e-08,2.225e-07,-3.86e-08,-4.991e-07,2.1058e-06,1.9676e-06,1.253e-07,4.26e-08,1.0361e-06,2.4163e-06,5.454e-07,7.052e-07,-4.98e-08,2.509e-07,1.117e-07,1.01e-07,2.889e-07,2.057e-07,-1.8425e-06,1.691e-07,-1.2e-08,7.72e-08,-3.9096e-06,1.449e-07,-1.263e-06,2.64e-08,-3.7e-08,4.615e-07,5.62e-08,-2.239e-07,2.09e-07,2.893e-07,1.613e-07,-4.66e-08,6.527e-07,5.6e-08,-3.86133e-05,3.891e-07,4.102e-07,4.684e-07,9.283e-07,1.8175e-06,-3.101e-07,-4.37e-07,1.39e-07,5.53e-08,-1.359e-07,1.8841e-06,1.468e-07,-2.139e-07,7.97e-08,-1.486e-07,6e-09,-8.1e-09,-3.11e-08,1.1e-08,-3.9e-09,-3.009e-07,-5.09e-08,9.84e-08,-3.34e-08,-2.973e-07,8.33e-08,-3.87e-08,4.397e-07,-1.2e-09,1.006e-07,-2.9541e-06,-1.825e-07,1.064e-07,1.746e-07,1.772e-07,5.05e-08,-3.86238e-05,-1.1184e-06,-2.97e-08,1.724e-07,-3.397e-07,3.879e-07,-5.32e-08,6.17e-08,1.852e-07,2.67e-08,6.63e-08,1.547e-07
2.GNS+TR_D,-0.000172229,-3.6976e-05,5.93136e-05,2.58969e-05,-1.1238e-06,0.000283636,-0.00165997,0.000939468,0.000499702,-0.000292595,-0.000113704,-0.00736139,-0.0102828,0.000204312,7.95259e-05,0.000295526,9.73006e-05,0.00107486,-0.00238208,-0.000258943,0.000148402,-0.00105338,-0.000258055,-0.00229814,-7.3856e-06,-0.000254336,-0.000130365,0.000254638,0.000545763,-0.000382714,2.04592e-05,-0.000375654,-0.000137996,-0.000116602,1.01999e-05,-1.5596e-06,-1.28895e-05,-0.000142839,6.5762e-05,6.79211e-05,1.097e-07,0.000179867,0.000263843,0.000399331,7.83618e-05,-2.2523e-06,1.30253e-05,7.1842e-06,-1.80397e-05,3.45685e-05,5.24341e-05,8.718e-07,7.02137e-05,-0.000185241,0.000108097,0.000127041,0.00016069,0.000136895,-4.50967e-05,1.85576e-05,-1.97369e-05,1.34902e-05,-5.15147e-05,2.867e-06,-0.000100547,-2.63257e-05,-4.14635e-05,-6.1297e-06,-3.48756e-05,-4.07009e-05,-8.5932e-06,1.80563e-05,-0.000753101,-0.001005,-0.000765752,-0.00027365,-0.00114877,0.000245167,0.000179867,-0.00150615,2.49789e-05,-0.00109442,-0.000506093,0.000323064,-0.000587713,0.000182699,-0.000267462,-0.000291045,0.000160432,-0.000534534
2.LLD longline,0.0021334,0.00996559,0.000446964,-0.422702,-0.528877,-0.104987,0.101798,-0.0524064,-0.00244639,0.0112326,0.0251602,0.0351324,0.0399057,-0.00355769,-0.00301328,0.00188396,0.00135702,0.0464469,-0.0087671,0.000221141,-0.00855716,-0.00493159,0.0634039,0.00569258,-0.0233739,0.0931858,0.0582137,-0.0266161,0.00300262,0.0102716,-0.011226,-0.0128087,0.0411331,0.0123696,-0.00252803,0.0064924,-0.0051289,0.0166935,-0.0019498,0.00246251,-0.00371862,0.00662413,0.0111942,-0.0096756,-0.00212244,0.00393838,-0.00284065,-0.000774343,-0.000506405,-0.000373184,0.00406255,-0.00173229,-0.000272541,-0.00829941,-0.00220868,0.00347432,0.0030202,-0.0398451,-0.00610489,0.00239728,-0.000785221,0.00033985,0.00164812,0.000575039,-0.00260047,-0.000940971,0.00105602,-4.53702e-05,0.000452226,-0.00111388,-0.000356369,-0.000313579,0.00668956,-0.19428,0.0715331,0.0473989,0.0474109,-0.0857586,0.00662413,0.00476029,-0.363016,0.0416284,0.000440861,-0.00105052,0.00159131,0.00786439,0.00809394,-0.0091666,0.00578518,-0.00116234
