FG,SB,MM,TUR,XIP,THU,LPL,MPL,SPL,HAK0,HAK1,HAK2,HAK3,HAK4,MUL0,MUL1,MUL2,MUL3,TRA,PAG,DFS,DFH,DSM,DSP,DSR,MSC,MSG,MSP,ENG,SAR,EPI,CEBH,CEBS,CEPH,CEPS,DNS,DNH,DRS,DRH,ARF,PWL,SUP,Mb_O,Mb_FF,Mb_DF,Mb_C,Mb_PAR,Mb_SCA,Mb_H,Mb_GRA,Mb_SF,Mb_PF,BO,EUP,ZG,ZL,ZM,ZS,PB,BB,PS,DF,PL,MB,SG,MA,RAY,SHK,DC,SPOM,BD,1.GNS+TR_D,1.LLD longline,1.LTL trolling,1.LH hand-pole,1.MIS,1.PS+SB+SV,2.FPO traps,2.GNS+TR_D,2.LLD longline,2.MIS,2.OTB_D,2.OTB_DWS,2.OTB_MDD,2.OTM,2.PTM,2.PS+SB+SV,3.OTM,3.OTB_MDDW
BO,0.00225684,-0.000318104,-0.010156,-0.00064855,9.47308e-05,-0.0012372,0.00264838,-0.000938243,-0.00360996,0.00168775,0.0062579,0.000510923,-0.0039935,0.0770259,0.0274367,0.00924772,0.0107103,9.48436e-05,0.00737899,0.000738352,0.000107141,0.0371863,0.000923506,-0.00984756,-0.00366072,0.00134282,-0.00299426,0.000379629,-0.00697499,0.00247141,0.0424641,0.000923193,-0.00414255,-0.000894661,0.00905948,0.0119844,0.0280198,0.00292678,-0.006865,-0.0100744,-0.0101309,-0.0868429,0.0309256,0.0173206,0.0566848,-0.00899884,-0.000886221,-0.0115931,-0.0118322,-0.0374889,-0.00708966,-0.0504176,-0.00501215,0.00249142,-0.0020965,0.00118628,0.000538967,-0.000156289,-0.0288572,0.000454375,0.00250942,0.000550491,-0.0619769,0.00124327,0.00702256,-0.0134029,0.00461703,0.0287547,-0.000666013,0.0142546,0.0218324,0.00375598,0.00159422,-1.62052e-05,0.00162642,-0.000857172,0.00292678,0.0226726,-0.000250239,0.00151777,0.0087765,-0.00902655,0.00550592,0.000471209,-0.00288033,-0.00118003,-0.00379262,0.00351348
EUP,-0.00407005,-0.00392844,-0.00439273,-0.00686204,0.00831894,0.00081062,0.08326,-0.148806,0.279969,0.529746,0.0446618,-0.00897574,0.0348321,-0.0764358,-0.0214811,-0.0761807,-0.0531463,-0.0019356,-0.0122685,0.0961756,0.0585049,0.0802328,0.0156479,0.0163153,-0.0030396,-0.0391045,0.0347672,-0.0214289,-0.0218425,-0.0132771,-0.022001,-0.000259312,0.0364488,-0.000438561,-0.01201,-0.00249141,0.0506481,-0.00365195,0.0334704,0.0271104,-0.00458085,-0.0100105,-0.00368461,-0.0025258,-0.00153608,-0.00594432,-0.00920001,0.00630453,-0.00478145,-0.00320645,-0.0167825,-0.0238169,-0.156727,-0.0105173,-0.00840424,-0.131383,-0.0797234,0.0477982,-0.00521377,0.044294,-0.447141,0.0353013,0.00570034,0.00385842,0.00444493,-0.0142691,0.0317711,-0.000137687,-0.0324996,-0.0087957,0.0236892,0.01432,0.0345109,0.0204561,0.0615747,-0.00426533,-0.00365195,0.0508453,-0.00145672,0.0592691,0.0129532,0.0278018,0.0189403,0.0613124,-0.0214491,-0.0147291,0.0353739,0.0176105
ZG,-0.0119818,-0.0118229,0.00100124,0.000699375,-0.00346075,0.0210689,-0.00706931,0.0161372,0.00550279,-0.00493859,-0.00601006,-0.00594806,-0.00642301,0.000643339,-0.000799555,-0.00145074,-0.000614425,-0.0123863,0.00363163,-3.37602e-05,0.0310627,-0.00164907,0.00880097,0.00135157,0.00587692,0.232969,-0.0070675,0.00836928,-0.00305338,-0.178334,-0.00150779,0.00036515,0.00437981,0.00266709,-0.00614297,-0.0038861,-0.00142264,-0.00155647,-0.00182025,-0.00162403,0.00715763,-0.00127234,-0.000558046,0.000947182,-0.00206076,0.000397749,-0.00248217,0.00147509,0.0010458,0.00370572,0.00112474,-0.00215346,0.000410115,-0.0295599,-0.0472439,0.0157944,-0.00290374,0.00381943,-0.00467263,0.00428797,-0.0057366,-0.00741222,-0.00167366,-0.000601408,0.000838595,0.00159237,-0.00203866,-0.00152931,-0.00177689,0.00151495,-0.0114688,0.000470214,0.00271478,0.00741818,0.000331402,0.00967583,-0.00155647,-0.0242769,0.00385981,0.00111825,-0.00701789,-0.00187811,-0.00279662,-0.00400576,0.00326582,0.0014742,-0.00187409,-0.00257908
ZL,-0.0347925,0.0902128,-0.00243628,0.00561841,-0.00647779,0.0444647,-0.0096101,0.0408432,-0.0257999,-0.0173537,0.0322654,0.0401291,0.0149132,-0.0128632,0.0203241,-0.0350202,-0.00689331,0.0419849,-0.02577,0.0307767,0.0913507,-0.00899629,0.0096485,0.00989814,0.0163389,0.169281,-0.021778,0.0234548,0.0278557,-0.562587,-0.0161978,-0.00149154,-0.0102971,0.0130478,0.0944779,-0.0177825,0.00872181,-0.00630997,0.00818792,0.079703,0.0126272,-0.00669306,-0.00466338,-0.00268655,-0.00867134,-0.000634448,-0.00448859,0.00425719,-0.0041001,-0.0308944,-0.0139435,-0.0240231,-0.00663788,0.0961574,-0.212985,0.0531227,-0.0384432,0.0121339,-0.0114606,0.0324911,-0.0130724,-0.0227194,-0.0247988,0.00328279,0.00972529,-0.0137078,-0.00773138,-0.0034514,-0.00720293,0.000279808,-0.0382128,0.00403326,0.00183007,0.00490841,0.0046123,0.0120282,-0.00630997,-0.072829,0.00993116,0.00612443,0.00434021,0.0512611,0.0310356,0.0336709,0.0252369,0.0099181,0.0147716,0.0317335
ZM,0.10875,0.0411369,-0.014385,0.0624689,-0.0302503,-0.0144959,0.0881013,0.475549,0.141395,-0.0512634,0.00252244,0.00651695,0.0058956,0.0461178,-0.0131397,-0.0322966,-0.0097609,0.0125524,-0.0148789,-0.00905241,-0.0184542,-0.0264838,0.0305146,0.025213,0.0250426,0.0926208,0.0554925,0.264976,0.00782395,0.0850163,-0.0161292,-0.0127284,-0.00656987,0.014432,-0.0167379,-0.0798813,-0.00579233,-0.0237751,-0.00649941,0.00891974,-0.028665,-0.00771479,-0.0480373,-0.00138324,0.0120698,-0.0132902,0.0199252,-0.00364538,-0.00335346,-0.0503377,-0.0346611,0.0203486,-0.0944352,-0.0427063,-0.00631425,-0.301276,-0.138832,0.054682,0.0126845,0.0888023,-0.186728,-0.329253,0.0156098,0.00269461,0.0133589,-0.0132554,-0.00767704,0.0148814,-0.0557661,-0.00847789,-0.00103545,0.029694,0.0363361,0.0227631,0.0611168,0.0228784,-0.0237751,-0.00177129,0.0243463,0.0582478,-0.00187115,0.00153383,-0.000488774,-0.000526792,0.149688,0.159705,-0.0054513,-0.00248241
ZS,0.0330813,0.0439527,0.00608358,0.0127666,-0.010718,0.0353071,0.0126777,-0.0269801,0.121291,0.0424294,0.0711737,0.0970405,0.124375,0.0616725,0.013621,-0.00549983,0.00889542,0.152681,0.00502338,0.00918217,0.0313187,0.0467511,0.00367834,0.00966471,0.0162343,0.0760829,-0.00988115,0.102484,-0.0496053,0.00501515,-0.013253,-0.00674711,0.0200709,-0.0106457,0.0079095,-0.0092653,-3.1408e-05,0.00570011,-0.00394343,-0.0232558,-0.0178798,-0.000479388,0.0397231,0.0121245,0.0202852,0.0156059,0.0053748,-0.00100384,0.00163155,0.00225882,0.115842,0.0356534,0.0647597,0.082297,0.0373333,-0.0221999,-0.414366,-0.322416,0.0387513,-0.443029,-0.0606592,-0.10881,-0.00267584,-0.00967524,0.00299004,-0.00887215,0.00994845,0.0026331,0.239085,0.0129682,0.017209,0.0207058,0.00722568,0.00724009,0.0186296,0.0291364,0.00570011,0.0378959,0.0111096,0.0192623,0.00792891,-0.0139567,0.00853614,0.0558781,0.034592,0.0489309,0.0298574,0.00261086
PB,-0.0168283,-0.00309014,-0.0353984,-0.00157982,-0.00140396,0.00421086,-0.00877409,-0.00574659,0.045782,0.0293122,0.00964603,0.0201331,0.0367588,-0.0150046,-0.0291805,-0.0443795,-0.0377831,0.0253764,-0.0178629,-0.00290976,-0.0496186,-0.0684736,-0.0248215,-0.0375544,-0.00818199,-0.0236197,-0.00385636,0.0186436,-0.0349703,-0.116272,-0.0112239,-0.0136805,-0.00697162,-0.0216508,-0.0371418,-0.0809918,-0.0079013,-0.0587763,-0.00184257,-0.00388681,-0.0277853,-0.00310957,-0.171456,-0.0190597,-0.00899106,-0.0427929,0.0126052,0.00829503,-0.00502019,-0.167065,-0.203714,-0.0186398,0.0473059,0.0175524,0.0444368,-0.01569,0.133614,-0.508912,-0.0259078,-0.0932907,-0.0292623,-0.013005,0.0313645,0.0162898,0.0244373,-0.0214973,-0.0138915,0.0165145,-0.410867,-0.0302729,-0.0425832,-0.018882,-0.0195052,-0.0210297,-0.00535888,-0.00580274,-0.0587763,-0.0586295,-0.00161571,-0.00499577,-0.0223446,-0.00450569,-0.0129668,0.00615517,-0.00520446,-0.0019298,-0.00463055,-0.0149373
BB,-0.0123818,-0.0191803,-0.0679357,0.00299022,-0.00500381,-0.00989729,-0.00615117,0.000572329,-0.0058101,5.84819e-05,-0.00854078,0.000630207,0.00126397,0.0358833,-0.0678973,-0.0324406,-0.0337833,-0.0135621,-0.0281994,-0.00491096,-0.0106038,0.0109923,-0.0109649,-0.0484266,-0.0618464,-0.0493153,-0.0371232,0.00900731,0.0834296,-0.00700774,0.0195005,0.0184135,-0.0125017,-0.0152722,-0.0174368,-0.0263512,-0.0333925,-0.0223478,0.00798576,-0.03288,0.0896157,-0.133006,-0.00321569,-0.030274,-0.10856,0.00344526,-0.0661106,0.0521456,-0.0647849,-0.00983987,-0.059625,0.158989,-0.0273858,-0.0579008,-0.0462304,0.00941338,-0.00163777,-0.0179856,-0.38381,-0.0087357,0.0129008,-0.0156864,-0.0267039,0.0475227,-0.011463,-0.0239218,0.000761273,0.0364227,0.0014186,-0.32065,-0.00129554,-0.0095329,-0.00912367,-0.0118862,-0.00713645,-0.00907262,-0.0223478,0.0010883,-0.00244,-0.0072412,-0.0136077,-0.0177004,-0.0130955,-0.00770691,0.0418101,0.0143011,-0.0122958,-0.0180066
PS,0.0722628,0.0252193,0.0249152,0.00878551,-0.00448577,0.0152879,0.0167499,-0.0100238,0.0518382,0.0578897,0.0261333,0.03153,0.0350272,0.00321233,0.0206457,0.0064673,0.0108459,0.0498437,-0.00639838,0.0209567,0.0148589,0.0237016,0.00241745,0.0158502,0.015406,0.0297668,0.00681908,0.0285011,0.0298846,0.0786213,0.0180777,0.0205678,0.0111896,0.00351011,0.037049,0.0447204,0.0357137,0.0508861,0.00205737,0.0015075,0.0533297,-0.00543788,0.108989,0.00365383,-0.0166511,0.0191394,-0.0157425,-0.00824354,0.000171673,0.0960505,0.0332576,-0.0381294,0.0881796,0.044669,0.0391189,-0.0130251,0.168554,-0.0947525,-0.0282589,-0.140381,-0.0561734,-0.0445702,-0.0299774,-0.00240137,-0.0270015,0.00698633,0.0162837,-0.0203448,0.0674701,0.0135366,0.0257124,0.0125771,0.00897457,0.00482575,0.0163653,0.0172199,0.0508861,0.0309554,0.00681625,0.0163245,0.016045,0.00326624,0.0136066,0.0299659,0.0289538,0.0245661,0.0211119,0.010337
DF,0.00359619,0.000939781,-0.00144287,0.00114958,0.000434267,-0.000353454,0.0201991,-0.0107883,0.0618704,0.103976,0.0091628,-0.00135786,0.0074286,-0.0133302,-0.00479702,-0.016538,-0.0110035,0.000392854,-0.00303971,0.0188897,0.0110198,0.0150723,0.00435686,0.00428917,0.00042333,-0.00397761,0.00915517,0.00649979,-0.00414583,0.000754365,-0.0050695,-0.000573278,0.00706349,0.000470194,-0.00305711,-0.0037104,0.00989787,-0.00167102,0.00642693,0.00573655,-0.00209531,-0.00231156,-0.00258612,-0.000538424,0.000212495,-0.00169207,-0.00103321,0.00111326,-0.00108746,-0.00265069,-0.00453212,-0.00388454,0.164995,-0.00366192,-0.00186547,0.00163186,-0.0204321,0.0111601,-0.000464847,0.0116046,-0.0970076,-0.0063079,0.00175959,0.00086186,0.00142878,-0.00340018,0.00606525,0.000572513,-0.00829542,-0.00207465,0.00472774,0.00408945,0.00836876,0.00501492,0.0147935,0.000115097,-0.00167102,0.0101672,0.000702728,0.0142188,0.00253022,0.00559632,0.00378404,0.0123431,0.00176067,0.00353143,0.00691106,0.00342756
PL,0.119846,0.0347986,0.0156491,0.0395925,-0.0177708,0.000140782,0.0686139,0.235649,0.128079,0.0713661,0.0143676,0.0110491,0.0119209,0.00585934,0.00837182,-0.0182322,-0.00218571,0.0190765,-0.0162395,0.0241115,0.0118026,0.00554063,0.021662,0.0294032,0.0261637,0.0607989,0.0435313,0.147221,0.0462273,0.0721877,0.00993761,0.0157895,0.00750725,0.0144272,0.0244786,0.00232719,0.0372263,0.0358808,0.00276608,0.0148234,0.0437337,-0.0103654,0.0730165,-6.79824e-05,-0.0158159,0.00775424,-0.0077208,-0.00893529,-0.00216345,0.0682028,-0.0150171,-0.0386842,0.105741,0.0164271,0.0224065,0.363235,-0.0573533,0.0187526,-0.0322336,0.0209982,-0.189318,-0.195295,-0.0211151,0.00157156,-0.0198695,0.000716231,0.012369,-0.013607,-0.02424,0.00580601,0.02026,0.0255985,0.0311123,0.0191967,0.0506045,0.0205276,0.0358808,0.0193043,0.0176656,0.0486898,0.0127957,0.0102966,0.0129263,0.0226001,0.101709,0.0979865,0.0146959,0.0098281
MB,0.000515967,0.00453779,0.0337309,0.00148593,-0.00083015,0.00330218,0.00245265,-0.0010121,-0.00832867,-0.00566193,-0.000699394,-0.0067754,-0.00984418,0.0102188,0.0267367,0.0254584,0.0317334,0.00190431,0.0340841,0.00570109,0.00821744,0.00727612,0.00136647,0.00765379,0.00695391,0.00217284,0.00377923,-0.00289314,0.0216462,-0.0109758,0.0218437,0.00958308,0.00606635,0.00220201,0.00400965,-0.00203681,0.00614221,-0.0016247,0.00874731,0.0165393,0.0288571,0.0231378,0.0767471,0.092191,0.00998884,0.0196152,0.0175001,0.0678712,0.0490539,0.178542,0.1693,0.164022,-0.00681711,0.00261853,0.0155664,-0.001369,-0.000794614,-0.000314885,-0.0337621,-0.00374869,0.00455811,-0.00441768,-0.0628368,-0.0795243,-0.052142,0.00406459,0.00616779,-0.0199521,-0.00116818,0.00435138,0.00946997,0.00635237,0.00280226,0.00277767,0.00267609,0.00247536,-0.0016247,0.00384886,0.00182422,0.00269984,0.013425,0.0130248,0.0123342,0.0043602,0.00798462,0.00271758,0.00444966,0.0140628
SG,-0.0017151,0.000429828,0.0187286,-0.000949804,-5.08192e-05,-6.54798e-05,-0.000287897,0.000492532,0.000191295,-0.00304279,-0.000558454,-0.00584887,-0.00672117,-0.00174021,0.00459638,0.028799,0.0217295,0.000132125,0.0395779,0.000225259,-0.000702886,-0.00238156,-0.000932746,0.00412755,0.000332869,-0.00022875,0.00018513,0.000224746,-0.00477673,-0.000330406,-0.000451392,-0.000476468,0.00461191,-0.000405163,-0.00142625,-0.00757572,0.0052578,-0.00750356,0.00740704,0.0138263,-0.00474517,0.0395604,-0.0291668,0.101049,0.012633,0.0154862,0.0192295,0.000809954,0.0507313,-0.0151021,-0.0255522,-0.00555874,-0.000158977,-0.000919309,-0.00118992,0.000663235,0.000186293,-0.000245886,-0.00535538,0.000811486,-0.000152751,0.000793119,-0.0314881,-0.0893836,-0.0428685,0.0036062,0.000837862,-0.0150306,0.000305376,-0.00545679,-0.000552633,0.00341153,-0.000233885,0.000493596,-0.000229398,-7.86892e-05,-0.00750356,-0.00158651,5.04884e-05,-0.000223178,0.00662802,0.0109749,0.00644623,0.000185421,-0.00198804,-0.000612904,0.00138392,0.0102728
MA,0.000634308,0.00425648,0.0450218,0.00165384,-0.000772158,0.00141797,0.00047562,-0.00219174,-0.00456717,-0.00675534,-0.00423999,-0.00668612,-0.00718733,-0.00490614,0.00538225,0.0370877,0.0138302,0.00076129,0.0267568,0.00314088,0.0022389,-0.00097723,-0.00139366,0.00984102,0.00521,-0.00221755,0.00362234,-0.0028477,0.0120665,0.011096,0.0103881,0.00606747,0.0218098,0.000987996,8.12184e-05,0.0332292,0.000167961,0.0153368,0.00875873,0.0106607,0.0204221,0.0371163,-0.0247144,0.0764964,-0.00333782,0.0197516,-0.0011056,0.413867,0.0437569,-0.00685451,-0.0144893,-0.0185466,-0.00370491,-0.00316856,-0.000962267,-0.00331245,2.30406e-05,-0.000179946,-0.019683,-0.00251248,0.00337157,-0.00113128,-0.0334379,-0.0691862,-0.0452557,0.0109306,0.00514268,-0.0219921,-0.000222806,0.000558979,0.00607449,0.00485002,0.000761661,0.00394704,0.000723471,0.00174636,0.0153368,0.00202765,0.0014571,0.000749823,0.00849043,0.00979833,0.00734801,0.00239228,0.00379599,0.00120651,0.00554109,0.00953386
RAY,-0.00525466,-0.00668335,-0.0174445,-0.00583549,0.000156202,0.00543331,-0.0050871,-0.00426593,0.06495,-0.362425,-0.329375,-0.129291,-0.0142093,-0.135086,-0.331215,-0.0741,-0.0632001,0.0252623,-0.0743728,-0.00770678,0.0023836,-0.0240047,-0.0139947,-0.0194407,-0.00802652,-0.00507622,-0.00516412,-0.00838057,-0.0210282,0.00176782,-0.00118913,0.00514053,-0.00116839,-0.0190013,0.00471395,-0.073534,-0.00140655,-0.186,0.0123401,0.000680323,0.0098584,-0.0125608,0.0169201,0.00351082,0.00656573,0.00170426,0.0282927,-0.0189446,0.00738618,-0.0107056,-0.0114234,0.00427958,0.00789887,0.00163578,-0.000408356,0.000157824,-0.00124258,0.000750331,-0.00617083,-0.0004305,-0.00465888,-0.00170087,-0.00560981,-0.000731604,-0.00242407,-0.260007,-0.00889644,0.00562939,-0.000611295,0.002558,-0.0262908,-0.0205845,-0.0111638,-0.0114137,-0.00232009,0.00422041,-0.186,-0.0333557,-0.00137754,-0.0020259,-0.0200971,0.00510694,-0.0125321,0.00299821,-0.0139407,-0.00814906,0.243586,-0.0221066
SHK,-0.00250559,-0.00557115,0.00306049,-0.00264373,-0.00347875,0.00289008,-0.0387606,0.0020464,0.0266464,-0.0945932,-0.0746286,-0.0563829,0.0184242,-0.121935,-0.125484,-0.0173902,0.00988058,0.0125818,-0.000114289,-0.0213751,-0.00210956,0.00795739,-0.0285551,-0.172794,0.00242733,-0.00179355,0.00544256,-0.00177213,0.00483247,-0.00307521,-0.0830242,-0.106832,-0.0451729,0.00667607,-0.00488834,0.00583391,0.0537437,0.0266673,0.00502718,0.0065906,0.00865635,0.000603514,-0.00112758,-0.00208152,-0.00406561,0.00392409,0.0186499,-0.00733564,-0.000172535,-0.000541996,-0.00744966,0.000374464,-0.00647171,0.00220018,0.00019758,0.00100255,0.000293588,-0.000147563,-0.00538575,-0.0012815,0.00345013,-0.0016895,-0.00294806,0.00153086,-0.00298389,-0.0123336,-0.395624,-0.00848349,-1.08082e-05,0.00205059,-0.0434233,-0.0359311,0.0850882,-0.0357189,-0.0278059,0.00112592,0.0266673,-0.0163776,0.00436257,-0.0266412,-0.0164023,0.00523638,-0.0112228,-0.00982756,0.00109465,-0.00888212,0.0337163,-0.00417116
DC,0.0404892,0.00613437,0.0100522,-0.00361257,0.00140842,0.0125976,-0.00614501,-0.00508213,-0.00831708,-0.0496588,-0.0162771,-0.00646827,0.0018279,-0.0138311,-0.0379238,0.0234439,-0.0322918,0.0443623,-0.0175374,0.00353536,0.0146726,-0.00765318,0.0357732,0.0198702,0.00704196,-0.00868103,-0.00691518,-0.0177764,-0.00581684,0.000214299,0.0217814,0.0400212,0.0115009,0.00141952,-0.0119683,0.102011,0.147343,0.157858,0.159804,0.0456684,0.0140526,0.126684,-0.098855,-0.0764636,0.0395847,0.0226719,0.17929,-0.0995071,-0.0332087,-0.0340505,-0.096006,-0.0238795,-0.0184515,0.00390349,-0.000261163,0.00290763,0.00120493,-0.000384692,-0.00671388,-0.00199122,0.00979999,-0.00242027,0.0178908,0.0400321,0.00819714,0.070147,0.0131824,0.0,0.00081569,0.000913934,0.0189708,0.000977824,0.0210162,0.0295258,-0.00121546,0.0104969,0.157858,0.0018469,0.00175479,-0.000691352,0.0230038,0.0880468,0.0322943,0.0167241,-0.0123639,-0.00506105,0.0335842,0.0380978
SPOM,0.0344932,0.0422986,0.0217249,0.0102637,-0.00760131,0.0164131,0.0169967,0.0240841,0.0242869,-0.0122864,0.0324616,0.0398882,0.0344072,0.017625,0.0156744,0.0319527,0.0389545,0.0630174,0.00780742,0.00690435,0.0732002,0.0900196,0.0269,0.0385005,-0.0060066,0.0978697,-0.0213148,0.0595793,0.00422373,0.0875552,-0.0139494,0.00134819,0.00818188,0.0139672,0.0489758,0.0706716,0.00729612,0.0672133,0.00464183,0.0010936,-0.00147391,-0.0216346,0.220078,0.00902135,-0.000293655,0.0474785,-0.0230678,-0.0133445,-0.0134003,0.196352,0.295247,0.0149384,-0.0241384,0.00793392,0.122898,0.054761,0.157932,0.429159,-0.00931347,-0.126909,-0.013489,-0.065452,-0.0221429,-0.00351626,-0.00397408,0.00814782,0.0138151,0.00210587,0.0,-0.0483215,0.0440583,0.0286767,0.0225514,0.02272,0.0168432,0.0234199,0.0672133,0.0728493,0.00800584,0.0168269,0.0238568,0.00422857,0.0187303,0.0253143,0.0347283,0.0397508,0.018203,0.0186424
BD,0.0545617,0.0662411,0.17192,0.0199791,0.00494876,0.0418616,0.0232944,-0.0216511,-0.0693015,-0.0250688,0.0263462,-0.00791222,-0.038111,0.269544,0.23181,0.0811429,0.0757699,0.0212954,0.0747395,0.050531,0.083696,0.123455,0.0410148,0.112504,0.218206,0.0637685,0.141029,-0.0560251,0.108198,0.0562826,0.125015,0.0745029,0.06141,0.0673261,0.141159,0.112571,0.0310206,0.0338053,-0.0272226,0.0499632,0.178378,0.177241,0.0354265,0.152488,0.170915,0.0894239,0.0901116,0.0230291,0.14521,-0.0301955,0.0762875,0.188609,-0.0185312,0.119864,0.0404337,-0.0518269,0.00193988,0.0172451,0.47441,-0.0257456,0.0293703,-0.00308964,-0.154641,-0.156989,-0.162954,0.0687563,0.0547235,-0.149524,-0.0302964,0.0,0.0978375,0.0580245,0.042468,0.0474575,0.0281779,0.0403595,0.0338053,0.0943907,0.0227267,0.0286971,0.0778694,0.0259154,0.0621322,0.0406453,0.0171627,0.00296149,0.0511616,0.0557537
1.GNS+TR_D,-0.000285051,0.000285138,0.000680314,0.000586599,-0.000316155,0.000457318,-0.0269963,0.0158577,1.13137e-05,-0.000264015,-0.000381341,-0.0096272,-0.0139836,0.00105683,0.00198952,0.000628097,-0.0184481,0.00224791,-0.00451535,0.00057764,0.0010254,-0.00263303,-0.00865418,-0.0264441,-0.000556948,-0.000481332,-0.00013893,-0.000348546,0.000661482,-0.000172269,-0.0126748,0.00107144,0.002634,0.000389603,0.000254953,0.00223062,-0.000581827,0.00293408,0.00167659,0.00189058,0.000866462,0.000658072,0.000103474,-0.000110249,-0.000250447,0.000372252,0.000721623,-1.82399e-05,0.000221119,-0.00033449,0.000198692,0.00174291,0.0006233,0.000229178,-0.000204297,-0.000490083,-1.2972e-06,2.12833e-05,-0.000618189,-0.000113224,-0.000193044,8.11223e-05,-0.000496696,-3.23576e-05,-0.000442246,0.000813304,-0.00163496,-0.000618125,-1.78659e-05,0.000210648,-0.00917614,-0.00597507,-0.0122993,-0.0069116,-0.0197756,0.000682708,0.00293408,-0.00531547,0.000163041,-0.0190079,-0.00418854,0.00171255,-0.00272441,0.00112836,0.000107208,-0.00211804,0.000817528,-0.00190671
1.LLD longline,0.000236602,-0.000282062,0.000270652,-0.169335,0.0574064,0.0116658,-0.00747592,0.00473562,0.00167693,-0.00158693,-0.00294799,-0.011491,-0.0153082,0.00121177,0.00108765,0.000979219,0.00146809,-0.00415008,-0.0906904,-0.00109692,0.00177995,-0.000775116,-0.0122367,-0.0181999,0.00210886,-0.0104468,-0.00706203,0.00276656,-0.00343276,-0.00117763,0.00115176,0.000879777,0.0015277,0.00199713,0.000270776,-0.000362039,-0.000597418,0.00231684,-6.99757e-05,0.00248502,5.0263e-05,-0.000320392,7.95749e-05,0.000242705,0.000580647,-0.000153341,0.00151893,-0.000478667,-3.54113e-05,0.000484306,-0.000208251,-0.000143868,-0.000206887,0.00437856,0.000462883,-0.000397186,6.12614e-05,-1.78947e-05,-7.70903e-05,-1.95747e-05,0.000261009,0.000202757,-8.93241e-05,-0.000141737,-5.17821e-05,0.00335147,-0.000312411,4.21869e-05,2.994e-05,-1.08564e-05,-0.00282425,-0.0916533,-0.00907666,-0.00957512,-0.00244139,0.00959256,0.00231684,-0.00372786,-0.0690861,-0.00190611,-0.000917665,0.00134387,-0.00143472,-0.00505464,-0.00120175,0.00116916,-0.00216427,-0.00334733
1.LTL trolling,1.01375e-05,-7.1357e-06,1.181e-07,-6.733e-07,-1.73034e-05,1.03887e-05,-0.000476274,0.000449193,-9.20664e-05,3.17642e-05,1.61461e-05,4.73136e-05,1.63479e-05,0.000115945,0.000234272,-5.18337e-05,-3.73131e-05,1.22934e-05,3.61872e-05,0.000103337,5.80827e-05,1.57851e-05,-0.000917095,8.35219e-05,-3.69725e-05,-1.16354e-05,3.06801e-05,1.08063e-05,1.20602e-05,4.3506e-06,3.36804e-05,5.41704e-05,5.74617e-05,-1.0497e-06,1.4139e-06,1.2247e-06,-2.9741e-05,-1.00175e-05,1.59685e-05,-4.6985e-06,-7.8362e-06,6.5523e-06,-2.0267e-06,-9.279e-07,-3.836e-07,-5.7304e-06,-1.50316e-05,8.9134e-06,1.1035e-06,-8.077e-07,8.368e-06,-1.3205e-06,-3.3815e-06,1.5907e-06,6.64e-08,-1.25283e-05,2.8816e-06,-1.3944e-06,5.5245e-06,-7.557e-07,6.326e-06,7.4835e-06,3.312e-06,-3.433e-07,2.848e-06,-4.4166e-06,-0.000301435,2.8516e-06,1.1448e-06,-1.6512e-06,-1.31139e-05,5.0164e-06,-0.000654876,-0.000673892,-0.000348275,2.67036e-05,-1.00175e-05,9.3299e-06,-2.5052e-06,-0.000334666,8.149e-06,4.3657e-06,2.8113e-06,7.07462e-05,1.13252e-05,-4.5259e-05,1.98893e-05,1.7547e-06
1.LH hand-pole,0.00018361,-0.000350141,-1.71783e-05,4.23641e-05,-0.000344915,0.000146402,0.000307399,0.00344418,-0.0014072,-0.000321887,-0.000551547,0.000130722,0.00019055,0.00105514,0.00320102,-0.00111843,-0.000591426,-2.0252e-05,0.000326246,0.00168451,0.00109462,0.00013237,-0.0173951,0.000612828,-0.000516219,-0.000146886,0.000823093,0.000197315,0.000290238,7.61864e-05,-0.000222454,-0.000173202,-0.000528385,2.28129e-05,-1.95112e-05,1.85451e-05,4.18401e-05,-8.03374e-05,0.000277452,6.64699e-05,-7.32938e-05,8.64823e-05,-7.86298e-05,-3.16685e-05,-3.55215e-05,-9.24811e-05,4.64475e-05,2.5822e-06,2.8121e-05,2.8522e-05,2.02167e-05,2.12179e-05,-0.000214897,2.09471e-05,4.9755e-06,-7.78311e-05,4.0072e-05,-2.26975e-05,5.58989e-05,-1.4745e-05,0.000152706,5.68306e-05,3.76869e-05,1.10882e-05,3.38562e-05,-0.000204417,4.20523e-05,-1.0988e-05,1.51046e-05,-1.29576e-05,-0.000205666,-0.000156823,-0.0091782,-0.0130411,0.000265054,0.000386826,-8.03374e-05,0.00010715,2.4578e-06,0.000260552,-5.73028e-05,0.000154574,-9.09619e-05,0.00107701,0.000236513,-0.000588161,0.000591584,-4.10082e-05
