FG,SB,MM,TUR,XIP,THU,LPL,MPL,SPL,HAK0,HAK1,HAK2,HAK3,HAK4,MUL0,MUL1,MUL2,MUL3,TRA,PAG,DFS,DFH,DSM,DSP,DSR,MSC,MSG,MSP,ENG,SAR,EPI,CEBH,CEBS,CEPH,CEPS,DNS,DNH,DRS,DRH,ARF,PWL,SUP,Mb_O,Mb_FF,Mb_DF,Mb_C,Mb_PAR,Mb_SCA,Mb_H,Mb_GRA,Mb_SF,Mb_PF,BO,EUP,ZG,ZL,ZM,ZS,PB,BB,PS,DF,PL,MB,SG,MA,RAY,SHK,DC,SPOM,BD,1.GNS+TR_D,1.LLD longline,1.LTL trolling,1.LH hand-pole,1.MIS,1.PS+SB+SV,2.FPO traps,2.GNS+TR_D,2.LLD longline,2.MIS,2.OTB_D,2.OTB_DWS,2.OTB_MDD,2.OTM,2.PTM,2.PS+SB+SV,3.OTM,3.OTB_MDDW
Mb_O,-0.018742,0.00469099,0.0801027,0.00267762,0.00044246,0.00971962,0.00616127,-0.00148324,-0.00135845,-0.075669,-0.016497,-0.0617882,-0.05103,-0.0232492,-0.0962776,-0.0759638,-0.119399,0.0076991,-0.0975221,0.00572278,-0.0119916,0.00401097,-0.00866786,0.0202202,0.039434,0.00345722,0.0255989,0.00297861,-0.0274821,-0.0002022,0.0475093,0.0139518,0.0115973,-0.00182873,-0.0100905,-0.00947719,-0.0355947,-0.0878348,0.23811,0.120244,-0.0188929,-0.129259,-0.378751,-0.251656,-0.394108,0.038803,-0.0320003,0.0828382,0.0984012,0.185703,-0.00811613,0.117884,-0.00135774,-0.00415225,-0.0012297,-0.000492901,0.00217507,0.000478092,0.00667052,0.00502874,0.000865685,0.00792802,0.037611,0.0520122,0.0118382,0.132103,0.0103715,-0.290759,0.00390752,-0.0173999,0.00669411,-0.00481821,-0.000364094,-0.00344255,0.00709716,0.00741572,-0.0878348,-0.00343379,0.00241777,0.00719667,0.0514442,0.169875,0.0565092,0.00627044,-0.0104673,-0.00168192,0.0478869,0.0566835
Mb_FF,-0.00400987,-0.00259433,0.11858,-0.00157417,0.000298764,-0.000633654,0.0267036,-0.0061208,-0.00159797,-0.00843869,-0.00606985,-0.0160095,-0.0206582,-0.00463697,0.0894758,0.0113905,0.143622,-0.0010796,-0.00936927,-0.00011057,-0.00302818,-0.0061698,-0.00172378,0.0258482,-0.00268992,0.00182452,-0.00189082,-0.00174904,-0.00607796,-0.00171398,0.00464279,-0.00127434,-0.00259599,-0.00235277,-0.00452265,-0.00518876,0.00920503,0.049827,0.000753962,0.0431962,-0.00657157,0.019887,-0.0358327,-0.0271042,0.0232355,-0.018776,0.0538365,-0.0331975,-0.0102127,-0.029959,-0.0451325,-0.0127794,-0.00275028,-0.00444438,-0.00409993,-0.00421465,-0.00217103,-0.00323745,-0.00106736,-0.00764628,0.00324362,-0.00867742,-0.0532201,0.0186692,0.0114779,0.0081797,0.00255348,-0.0104298,-0.00527327,-0.00886867,0.00957082,0.00193378,0.00684544,-0.000930274,0.0195135,-0.000444758,0.049827,-0.000899432,-0.000639007,0.0187491,0.0232881,0.0242005,0.0201103,-0.000481161,-0.00366045,2.98971e-05,0.00258567,0.0250992
Mb_DF,-0.00609153,0.0014218,-0.0112511,-0.00725137,-0.000446221,-0.0034366,-0.00366581,0.00379601,0.00203837,0.00203829,0.00114321,-0.0207632,-0.0297918,-0.00458653,0.0589595,0.214966,0.180979,-0.00141036,0.293314,-0.000420507,-0.00150915,-0.0172715,-0.00381662,0.0214605,-0.00979112,-0.00244491,-0.00657302,0.00075624,-0.0252315,-0.00226315,-0.0176732,-0.00781837,0.0276465,-0.0023219,-0.00661446,-0.0479458,0.045916,-0.0216024,-0.0211228,0.0568708,-0.0278862,0.00663178,-0.080847,-0.250868,0.202154,0.0930656,0.139429,-0.331332,0.0264562,-0.153684,-0.148858,-0.0709297,-0.000400847,-0.0049706,-0.00753044,0.00471284,0.000589452,-0.00179067,-0.0365359,0.00413505,-0.001478,0.00311352,-0.22058,-0.611684,-0.288293,-0.0149276,0.00236171,-0.0140095,0.00089473,-0.0316421,-0.00574398,0.0241061,-0.00155362,0.00425432,-0.00360553,-0.00283731,-0.0216024,-0.00965049,-0.000446608,-0.00359912,0.0289908,0.0230366,0.0262791,-0.000773271,-0.0107509,-0.00379233,-0.0050069,0.0518693
Mb_C,0.00044941,9.90118e-05,-0.100547,9.28179e-05,-0.000402625,-0.000463489,-0.00440369,0.000901393,-0.00190891,0.00862306,0.00184314,-0.00130112,-0.00498114,0.0753901,0.0607556,0.00654098,0.065246,-0.00318857,0.0399334,0.0023671,0.000370305,0.000445317,-0.000740282,0.00450756,-0.000518551,0.000104153,0.000396571,0.000729761,0.013527,0.000811134,0.00246074,0.00260975,-0.0058623,0.00151121,0.000958828,-0.000355912,-0.0127352,-0.0103343,-0.0295437,0.00621168,0.0133896,-0.0613416,-0.113412,-0.200885,-0.0598878,-0.583776,-0.0627838,0.0369536,-0.205105,-0.396315,0.155263,-0.0569866,0.00073464,0.00110237,0.00236552,-0.000560634,0.000186309,0.00103213,0.00195329,-0.000287068,-0.000243329,4.13673e-05,0.0803713,0.17478,0.0819453,-0.0137649,-0.00173865,-0.0448083,0.000939984,0.00564718,0.00166169,0.00456624,-0.00156946,-0.00158342,-0.00336736,-0.000366143,-0.0103343,0.00066986,0.000323786,-0.00325718,0.00568402,-0.00876078,0.00333226,0.00047727,0.00637024,0.00238117,-0.00434425,0.00500232
Mb_PAR,0.000165612,-0.000138358,-0.00710049,2.15823e-05,1.88018e-05,-1.55022e-05,-0.000104484,-2.04414e-05,1.968e-06,0.000532084,4.6733e-05,0.000608462,0.000645784,-5.02926e-05,0.00396515,-0.00241412,0.000850812,-0.000182815,-0.00412773,-3.13433e-05,0.000263639,0.000131473,0.000217806,0.00100264,-0.000207085,-2.19827e-05,-0.000149883,5.26205e-05,0.000533098,-8.64e-08,-0.0003639,-0.000136107,-0.000945871,5.1223e-05,0.00010157,0.000118711,-0.000609895,0.000367725,-0.00153784,-0.0016464,0.000383844,-0.005866,0.00240427,-0.00714694,-0.0013877,-0.000120223,-0.0156991,-0.156871,-0.0172326,-0.0176709,-0.147429,-0.000656339,2.32175e-05,7.52324e-05,0.000109097,-3.75727e-05,-2.06075e-05,-2.6011e-06,0.000246338,-4.40343e-05,7.778e-07,-5.05745e-05,0.00274819,0.00691301,0.00355609,-0.000777487,-9.75836e-05,0.000458274,-4.69602e-05,0.000348252,0.000108937,-0.000135254,0.000114284,-3.24341e-05,-8.10808e-05,-3.4136e-06,0.000367725,0.000182305,-4.23051e-05,-7.85926e-05,-0.000660207,-0.0015787,-0.000773828,-8.25646e-05,0.000263586,0.000145847,-0.000315756,-0.00107924
Mb_SCA,-0.00124661,0.00482377,-0.0271468,0.00131556,-0.00092216,-0.000824277,0.000567644,0.000447999,0.00129947,0.00354252,0.000312335,0.00193136,0.00173295,-0.000754939,0.0122806,0.00111353,0.00161866,-0.00188266,0.0638864,-0.00117899,0.000932113,-0.00276183,-0.00294909,-0.0107037,0.000462496,0.00031909,0.000900737,-0.000739924,-0.00413719,-0.000224894,0.00449872,-0.000123041,0.0355535,-0.000492153,0.00102591,0.0170502,-0.0051016,-0.00255767,-0.0137483,-0.0117214,0.000833207,-0.0368293,-0.0215783,-0.0130371,-0.0151316,-0.0597691,-0.0678766,-0.485144,-0.0530441,-0.0494209,-0.451329,-0.00335805,0.000819107,0.000252423,0.000691184,9.72063e-05,-6.75012e-05,0.000194254,0.000894296,0.000170757,-0.000515191,8.23657e-05,0.00911259,0.0172768,0.00931925,-0.0048472,0.000768776,-0.00948818,7.19178e-05,0.00122647,-0.000765828,0.0038846,-0.00173301,0.00530222,0.00020155,-0.000607596,-0.00255767,-0.00191409,0.00106746,0.000162627,-0.00265493,-0.0122421,-0.00358859,-0.00121681,-0.00218895,-0.00165136,-0.00203179,-0.00334681
Mb_H,-1.1042e-06,-1.77e-07,0.000339168,-5.4758e-06,1.5687e-06,-4.1669e-06,-2.2178e-06,4.4013e-06,1.12169e-05,1.80949e-05,6.7318e-06,1.37552e-05,1.59773e-05,-3.016e-07,1.73653e-05,-5.73392e-05,-1.8068e-05,-3.8533e-06,3.37064e-05,-7.8676e-06,-6.8217e-06,-8.9976e-06,-3.2513e-06,0.000105865,-8.2372e-06,5.2125e-06,-4.5615e-06,2.9463e-06,-2.93355e-05,-1.19363e-05,-1.68204e-05,-1.30082e-05,1.62576e-05,-2.2674e-06,-1.1872e-06,-1.45844e-05,-9.6735e-06,-5.15618e-05,-3.93534e-05,-3.7718e-05,-3.66478e-05,-0.000123648,-2.30651e-05,-0.000181766,6.31011e-05,0.00188114,0.0012367,-0.00156474,0.000973394,-0.00017575,-0.00100197,-4.24558e-05,9.6581e-06,5.647e-06,2.1508e-06,4.5082e-06,1.434e-07,1.7161e-06,-2.97814e-05,4.9748e-06,-7.3248e-06,3.4626e-06,-0.000126147,-2.59621e-05,-0.00102824,-2.70984e-05,-4.9598e-06,2.04089e-05,1.2537e-06,1.10335e-05,6.59e-08,1.9356e-05,1.1392e-06,3.3163e-06,-2.7305e-06,-4.0663e-06,-5.15618e-05,4.226e-07,-2.5916e-06,-2.785e-06,-2.02636e-05,-3.78004e-05,-1.95648e-05,-6.3763e-06,-1.13572e-05,-8.729e-07,-1.299e-05,-2.35012e-05
Mb_GRA,0.000205878,-0.000206745,0.335847,-2.02229e-05,3.63859e-05,-2.25251e-05,-0.00021648,2.3637e-05,-4.99514e-05,0.000689593,0.000367721,0.000534804,0.000659414,8.02455e-05,-0.000417221,-0.000848969,-0.00139876,-7.6535e-06,-0.00136253,-1.03283e-05,8.42576e-05,0.000187472,0.00021421,-0.000413397,-0.000182509,-3.94857e-05,-0.000131898,6.39481e-05,0.000478022,1.78121e-05,-0.000379959,-7.9424e-06,-0.00154516,6.63306e-05,5.85131e-05,0.000270598,-8.75262e-05,-0.00697468,-0.000951095,-0.0011261,0.000207801,-0.00433929,-0.00367196,-0.00232309,-0.000614883,-0.00724819,-0.00561534,-0.0610424,-0.15369,-0.00681733,-0.0561935,-0.000477715,1.69753e-05,5.26595e-05,4.99459e-05,1.69542e-05,5.0619e-06,2.39067e-05,5.43478e-05,1.88368e-05,-1.63508e-05,1.77159e-05,0.000784743,0.00134088,0.000498001,-0.00115796,-0.000228359,0.00196339,2.18347e-05,0.000151539,-0.000628984,-0.000164602,2.9873e-06,-0.000184977,-0.000165467,-1.75727e-05,-0.00697468,-0.000108383,-5.62117e-05,-0.000160044,-0.000701402,-0.00104595,-0.000620461,-1.48741e-05,0.000244592,9.68062e-05,-0.000415109,-0.000737703
Mb_SF,-0.000819359,-0.000212003,-0.000108789,-0.000679905,0.000209111,0.000820845,-0.000386629,-6.27261e-05,-0.000776037,-2.2602e-05,0.00132945,0.0024651,0.00302812,-0.000294843,-0.000162517,-0.000689123,-0.000281975,0.0034124,-2.42908e-05,0.000469248,-0.000365008,-0.000207945,-0.000105472,-0.000161391,-0.000206578,-0.00106569,-0.000613789,-0.00154258,-0.00117543,-3.78705e-05,-0.000318565,-0.000224555,-0.000257749,-0.000685626,0.000394943,-1.14104e-05,-0.000177906,-0.000189243,-0.000274181,-0.000922353,-0.000376374,-0.000651779,-0.00161569,-0.00186811,0.00306813,0.00124043,0.00185232,-0.00257231,0.00062769,-0.00456685,-0.00336614,-0.00214005,-3.97617e-05,0.000152373,-0.000522848,-0.000180628,-0.000224619,-0.000227113,7.29427e-05,-0.000604634,9.96796e-05,-0.000802484,-0.00947602,0.00163981,0.000993357,-0.000439056,1.42512e-05,9.51086e-05,-0.000458654,-0.000426845,-0.000147936,-0.000235502,-0.00015011,-0.000143493,-6.90468e-05,0.000635186,-0.000189243,6.90125e-05,-0.000127504,-3.52815e-05,-0.000230396,-0.000603646,-0.000151714,0.00139513,-0.00137298,-0.000799604,0.000659192,-0.000320818
Mb_PF,-1.0933e-06,1.1942e-06,0.000153765,3.667e-07,-3.706e-07,-1.1484e-06,-3.839e-07,3.102e-07,1.6858e-06,3.3992e-06,4.25e-08,2.1355e-06,2.635e-06,-3.3171e-06,5.4733e-06,-4.6872e-06,-2.6222e-06,-1.8883e-06,2.64429e-05,-1.5377e-06,-1.0318e-06,-3.3672e-06,-1.8689e-06,-6.7985e-06,-2.1343e-06,-1.178e-06,-9.033e-07,-7.69e-08,-4.1044e-06,-2.152e-07,-7.145e-07,-1.5156e-06,1.62677e-05,-9.503e-07,-1.0334e-06,8.1418e-06,-4.0173e-06,-5.3283e-06,-9.572e-06,-9.8539e-06,-2.7959e-06,-2.95522e-05,-1.95106e-05,-2.25912e-05,-1.15166e-05,0.000761794,0.000476556,-0.000420618,0.000401656,-5.97049e-05,-0.000403404,-1.74857e-05,1.3201e-06,-9.19e-07,-1.9278e-06,1.469e-07,-1.0739e-06,-2.9083e-06,8.09e-08,1.4242e-06,-7.768e-07,8.431e-07,-6.81498e-05,2.30868e-05,1.35375e-05,-4.6938e-06,-7.898e-07,-9.114e-07,-3.9505e-06,-4.0733e-06,-2.4407e-06,7.249e-07,-1.5179e-06,1.9584e-06,-5.849e-07,-9.902e-07,-5.3283e-06,-2.4246e-06,1.326e-07,-6.063e-07,-4.1372e-06,-9.5913e-06,-4.4411e-06,-1.5446e-06,-1.8359e-06,-1.2224e-06,-2.4106e-06,-4.7142e-06
