FG,SB,MM,TUR,XIP,THU,LPL,MPL,SPL,HAK0,HAK1,HAK2,HAK3,HAK4,MUL0,MUL1,MUL2,MUL3,TRA,PAG,DFS,DFH,DSM,DSP,DSR,MSC,MSG,MSP,ENG,SAR,EPI,CEBH,CEBS,CEPH,CEPS,DNS,DNH,DRS,DRH,ARF,PWL,SUP,Mb_O,Mb_FF,Mb_DF,Mb_C,Mb_PAR,Mb_SCA,Mb_H,Mb_GRA,Mb_SF,Mb_PF,BO,EUP,ZG,ZL,ZM,ZS,PB,BB,PS,DF,PL,MB,SG,MA,Bathyraja_brachyurops,Chimaera_monstrosa,Dalatias_licha,Dipturus_oxyrinchus,Etmopterus_spinax,Galeus_melastomus,Mustelus_asterias,Mustelus_mustelus,Myliobatis_aquila,RSH_C1,RSS_C1,Raja_asterias,Raja_clavata,Raja_miraletus,Raja_polystigma,SSH_C1,SSS_C1,Scyliorhinus_canicula,Squalus_blainville,Torpedo_marmorata,Torpedo_torpedo,DC,SPOM,BD,1.GNS+TR_D,1.LLD longline,1.LTL trolling,1.LH hand-pole,1.MIS,1.PS+SB+SV,2.FPO traps,2.GNS+TR_D,2.LLD longline,2.MIS,2.OTB_D,2.OTB_DWS,2.OTB_MDD,2.OTM,2.PTM,2.PS+SB+SV,3.OTM,3.OTB_MDDW
DNH,0.000727596,-0.00426247,-0.00371835,-0.00146196,-0.000639527,0.00203371,0.00931876,-0.00999721,0.00172343,-0.0560411,-0.0421533,-0.00822635,0.0185333,-0.0330544,-0.0653049,0.426988,0.0293187,0.0253516,-0.0167245,0.00577981,0.00104805,-0.00328161,0.00156584,0.00482754,-0.00816588,-0.00354839,-0.00809928,0.0173477,-0.0279969,-0.00270241,-0.00368736,-0.0106702,-0.0170916,-0.00631644,-0.00141465,-0.0890054,-0.000493336,-0.0373485,-0.0141229,-0.0139307,-0.0254701,-0.021232,0.0171574,0.00948113,0.0155108,0.0115696,-0.246905,0.128388,0.0120627,0.00473114,0.120224,-0.0426188,2.71888e-05,0.000343832,-0.000595019,0.000152779,-0.00147472,-0.000161874,0.0153558,0.00231866,5.7132e-06,0.001651,0.0109625,-0.00385839,-0.00437939,0.039484,-0.040966,-0.00234223,0.0210141,-0.00615648,-0.00111681,0.0779403,0.0406805,0.0301244,0.13275700000000001,-0.0229738,0.0511596,0.0943015,0.110723,0.448063,0.031539,-0.00535044,0.0130098,-0.00641057,0.0104884,-0.00178387,-0.00883166,-0.00117914,-0.00699552,-0.0027997,-0.00128338,0.00821659,-0.0022968,0.00740269,0.00118383,-0.0373485,-0.00343814,-0.000579718,0.00719898,-0.000296902,-0.0134469,-0.00451962,0.0118369,-0.00284717,0.00491679,0.0308776,0.0158145
DRS,-0.00506645,0.000465805,-0.00824157,0.00212948,-0.00191925,5.02449e-05,-0.0121524,0.0118109,-0.0125558,-0.031474,-0.019385,-0.012757,-0.00522548,0.00477638,0.00123931,-0.00761329,-0.0270801,0.00112619,-0.010965,-0.0109675,-0.00351369,-0.0490267,-0.00651733,-0.00506621,-0.0160867,0.00425841,-0.0206945,-0.000363845,-0.00712974,-0.00982175,-0.0129264,0.124501,-0.0100511,0.00638216,-0.0757812,-0.0149576,-0.234794,-0.000260768,-0.0248086,0.000286921,-0.012874,-0.0593148,-0.00188549,-0.0056093,-0.0216146,0.0122088,-0.0153621,0.0212204,0.000645699,0.0285313,0.00815214,-0.0745681,-0.0567288,0.00235004,0.0140931,0.00911805,0.00413587,-0.00264052,0.0153261,-0.00212843,0.0300451,-0.00251615,0.0163871,0.01509,0.0150205,-0.0233329,-0.051301,0.0472624,-0.0166804,0.0348606,-0.0114511,-0.0265587,-0.00723732,-0.0396527,-0.0168437,-0.0409683,-0.00584638,-0.0105999,-0.0217964,-0.0195049,-0.0293566,0.0227763,-0.0244809,-0.00491356,-0.0471539,-0.0197104,-0.0387675,0.00206318,-0.00222596,-0.0200632,-0.00878215,-0.0103918,-0.00736038,-0.00894294,-0.00025703,-0.000260768,-0.0325744,0.000121487,-0.00860171,-0.00621776,-0.0135451,0.00114918,-0.00664123,-0.00334387,-0.0022809,-0.0122239,0.0136912
DRH,-0.00145558,5.00122e-05,0.0842452,-0.0035655,-0.00145243,-0.00190959,-0.00533868,0.000565135,0.00590485,-0.0153315,-0.0164717,0.00990532,-0.00321934,-0.0258196,-0.0715101,-0.0119096,-0.016215,-0.00187507,-0.00422587,-0.00186588,-0.0010337,-0.00632814,-0.00786985,0.0309595,-0.0037955,0.000982955,-0.00132093,0.00181952,-0.0108321,-0.00160802,0.003884,-0.00517635,-0.0034673,-0.00204785,0.000827232,-0.0147294,-0.00144184,-0.0604849,-0.0102151,-0.00964422,-0.0115457,-0.0221193,-0.044138,0.00739953,0.0106648,-0.0031591,-0.00182503,0.00393443,-0.0459013,-0.00293951,0.00529668,-0.00170731,0.00281452,-0.000313816,0.000295417,0.000797404,-0.000161855,3.26641e-05,0.00741209,0.00119916,-0.00193952,0.000842955,0.00727612,-0.00198945,0.00100351,0.0120605,-0.035364,-0.00126154,-0.0120389,-0.00247139,0.000367862,-0.000575499,0.0849436,0.000409905,0.0800209,-0.0285224,0.423872,0.0253045,0.113481,0.0111761,-0.00344269,-0.00186306,-0.00336443,-0.00407095,-0.00492408,-0.00567315,-0.0107902,7.13976e-05,-0.00248008,0.0702145,0.00290588,0.000938759,-0.00594376,-0.00443679,-0.00176515,0.939515,0.0276188,0.00107469,-0.0043409,0.00908763,-0.00954167,0.00225172,-0.00190689,-0.00381167,-0.000921509,0.0182956,-0.00425138
ARF,-7.61141e-05,-0.00152874,-0.00801808,-0.000452825,0.00015074,-0.000675758,-0.00163883,0.00162803,-0.00121231,-0.000276685,0.00378458,-0.0185019,-0.0262226,0.00262367,0.00537776,-0.000370241,-0.00865066,0.00110639,-0.0161872,-0.0030936,-0.00159923,-0.0025134,-0.00111259,-0.00235978,-0.00317904,-0.000682158,-0.00243,-0.000293337,-0.0036961,0.00150308,-0.00708815,-0.00287195,-0.0018638,-0.00150327,-0.00773019,0.000972693,-0.0012463,0.00589734,-0.0395327,-0.0380681,-0.00558545,-0.0530142,0.0207264,0.0159997,0.0267708,-0.00446388,0.00157552,-0.00269588,-0.0113334,-0.0123219,-0.00783323,-0.0175107,-0.00810528,5.53939e-05,-0.00239809,0.000820066,0.00110357,-0.000711245,0.00460941,-0.000134684,0.00443873,0.000495437,0.00127384,-0.0036634,0.00192309,-0.00969359,-0.054319,-0.00190592,-0.0188927,-0.00170763,-0.00345949,-0.00519627,-0.000607586,-0.0377996,-0.00214082,-0.0437462,-0.00453424,-0.0124028,-0.0188112,-0.0101966,-0.00235526,-0.00247523,-0.00249344,-0.00304928,-0.00145658,-0.000900727,0.0113428,0.000352678,-0.000519927,-0.00317034,-0.00315783,-0.00141815,-0.00140177,-0.00138553,-0.000486245,0.00589734,-0.00332183,-0.000626463,-0.0013586,-0.0163659,0.347974,0.0215363,-0.0016596,-0.00179884,-0.0009008,-0.00799089,0.0604054
PWL,-0.00134004,-0.00313874,-0.0175054,-5.78813e-05,0.000929185,0.00448909,-0.00244589,0.00344049,-0.00311653,0.0325376,0.0447689,-0.137014,-0.221852,0.0171112,0.0323157,-0.0266498,-0.115233,0.0193455,-0.137536,-0.00286865,-0.000418061,-0.000443299,-0.00599452,0.00254834,-0.000359704,-0.00704561,-0.00179746,-0.00729127,-0.00157443,0.00726686,-0.0111901,-0.00157179,-0.00087888,-0.00644756,-0.0112328,0.0152085,-0.0225387,0.0244976,-0.137436,-0.225601,0.000275531,-0.0264201,-0.0107541,0.00635577,-0.00402377,0.00760817,-0.00020073,0.00296888,-0.04059,-0.0143179,-0.0738542,0.000299047,-0.00460415,0.00104478,-0.010518,7.77505e-05,0.00102766,-0.00039214,0.000554569,-0.000582281,0.00263932,0.000243733,0.00105742,-0.000474623,-0.000172054,-0.093341,-0.0978429,0.00344707,-0.0833339,-0.00366373,-0.000556849,-0.0144234,-0.0088487,-0.109082,0.0113111,-0.0934733,-0.0790761,-0.0863385,-0.0946131,-0.0878708,-0.013965,-0.00020394,-0.0143521,0.00408773,-0.0137388,-0.0150187,0.0097993,0.000318831,0.000919718,-0.00561582,-0.0160782,-0.00605952,-0.00516616,-0.000621902,0.00417525,0.0244976,-0.0119277,-0.000936797,-0.000427975,0.207861,0.373309,0.280962,0.00439707,-0.00470838,-0.00283234,-0.0248528,0.298655
SUP,0.059004,0.046335,0.0953573,0.0496786,-0.013835,0.0446599,0.00397291,-0.0302384,-0.130425,0.00207599,-0.00299068,-0.00776997,-0.0410592,-0.0202666,0.186449,-0.0300723,-0.0648507,-8.91563e-05,-0.0209134,0.0792987,0.135536,0.0582899,0.0432107,0.0904985,0.136212,-0.0347596,0.0942716,-0.061702,0.525267,0.0449574,0.266731,0.184217,0.0716087,0.0541949,0.0311353,0.0619318,-0.0947677,-0.00272688,0.0402696,-0.00879095,-0.324252,-0.00737714,0.0458282,0.0379724,-0.262397,0.164366,-0.102986,-0.125049,0.0371495,0.0685984,-0.00489709,-0.364346,-0.100559,0.0202803,-0.0202603,-0.0569891,0.00198075,0.000212282,-0.432508,-0.0849203,0.079678,-0.0701583,-0.273245,-0.0345106,-0.312816,0.0337361,-0.0572238,0.141028,0.110578,0.0706092,0.0252852,-0.0254003,-0.0321184,-0.0279068,-0.0203316,-0.00448742,0.0106918,0.0171359,0.102699,0.0159579,-0.0169966,0.202477,-0.0347287,0.315548,-0.059683,-0.00362393,-0.186851,-0.0100732,0.14108,0.113705,0.050824,0.0217414,0.0513031,0.0146742,0.0433923,-0.00272688,0.055043,0.0320556,0.0158119,0.0626443,0.012397,0.0495857,0.0526574,0.198454,0.0669659,0.0499665,0.0152985
Mb_O,-0.0180134,0.00517252,0.0807937,0.0031985,0.000373235,0.00917539,0.00597712,-5.76888e-05,-0.00790495,-0.0338098,0.019604,-0.0478783,-0.0624051,-0.0108018,-0.0621408,-0.0711748,-0.114244,0.00502553,-0.0915466,0.0062137,-0.0122973,0.00557886,-0.00948731,0.0219141,0.0398734,0.00392645,0.0259663,0.00380917,-0.0242933,-0.000341203,0.0459174,0.014034,0.0106436,0.000269571,-0.0106212,-0.00553216,-0.0356272,-0.0765024,0.235005,0.119928,-0.0197647,-0.131044,-0.378804,-0.251154,-0.393296,0.0383832,-0.033377,0.0837277,0.0975765,0.186029,-0.00764309,0.117714,-0.00207763,-0.00429987,-0.00115948,-0.000543082,0.00229789,0.00040387,0.00723501,0.00505404,0.00130263,0.00809085,0.0379617,0.0519242,0.0121148,0.01431,0.797977,0.00463548,0.244989,0.013277,0.00777022,0.0769853,0.00578228,0.48696,0.00548976,0.632074,-0.0485254,0.0462643,0.159121,0.0356345,0.0221972,0.0062182,0.0249603,0.0003435,0.00664052,-0.00235745,-0.290055,0.00396152,-0.017564,0.00794908,-0.00315229,0.000616007,-0.00420994,0.00681831,0.00703443,-0.0765024,-0.00091144,0.00253875,0.00690774,0.0526632,0.168459,0.0579895,0.00573893,-0.0085993,-0.000815701,0.076948,0.0581407
Mb_FF,-0.00401591,-0.00254709,0.118525,-0.00141792,0.000276258,-0.000643542,0.0262395,-0.00612145,-0.00195386,-0.00682155,-0.00469796,-0.0156129,-0.0200115,-0.00593705,0.0863473,0.0108952,0.143378,-0.00122387,-0.00948807,6.80956e-05,-0.00288214,-0.0065088,-0.00205277,0.022984,-0.00269089,0.00183523,-0.00189333,-0.00168728,-0.00610138,-0.00174565,0.00392327,-0.000621198,-0.00245024,-0.00222179,-0.00448498,-0.00518304,0.00886319,0.0490418,0.000845634,0.0433135,-0.0065034,0.0199205,-0.0357465,-0.0271035,0.0232726,-0.018726,0.0539233,-0.0332084,-0.0101795,-0.0299699,-0.0451762,-0.0125951,-0.00268457,-0.00443592,-0.00410995,-0.00422532,-0.00217666,-0.00323326,-0.00111734,-0.00765049,0.00320888,-0.00868378,-0.0532696,0.0186623,0.0114491,-0.00203312,0.0118272,0.000635486,-0.00236182,-0.00136678,-0.00102262,0.0239047,0.0109329,0.0420288,0.0193716,0.00754942,0.0287529,0.00351299,0.00834689,-0.00133569,0.00771322,-0.000748096,0.00150265,-0.000508362,-0.00154501,0.00741199,-0.0104239,-0.00527668,-0.00885111,0.00885745,0.00141347,0.00717318,-0.00121986,0.0191689,-0.000461468,0.0490418,-0.00133033,-0.00062264,0.0184171,0.0231255,0.0243037,0.0200456,-0.000408661,-0.00363554,-8.8528e-05,0.00260153,0.0250586
Mb_DF,-0.00610712,0.0013388,-0.0111014,-0.00718088,-0.00043605,-0.00336462,-0.00449783,0.00390055,0.00208739,0.00166292,0.000619215,-0.0212011,-0.0302,-0.00604325,0.0584278,0.214695,0.181204,-0.00131456,0.293797,-0.000275152,-0.00155661,-0.0176201,-0.00430245,0.0183771,-0.00979244,-0.0025161,-0.0066068,0.000807737,-0.0251625,-0.00229574,-0.0188061,-0.00662513,0.0268396,-0.00227444,-0.00655834,-0.047504,0.0452791,-0.0200786,-0.0210781,0.0569803,-0.0278448,0.00668247,-0.0808926,-0.250861,0.202182,0.0930975,0.139488,-0.331313,0.0264083,-0.15373,-0.148856,-0.0706788,-0.000233365,-0.00493528,-0.00755087,0.0046886,0.000572871,-0.00177994,-0.0365742,0.00413969,-0.00156734,0.00311357,-0.220617,-0.611698,-0.288329,-0.0196398,0.00142334,-0.00386951,-0.00491363,-0.00414427,-0.00328384,0.042959,0.0116342,-0.0108018,-0.0122299,-0.000617953,-0.0189079,-0.0164972,-0.0218637,-0.0350914,0.0115285,-0.00527779,0.0123346,-0.00199234,-0.00921968,0.0020035,-0.014035,0.00088711,-0.0316312,-0.00647301,0.023529,-0.000376605,0.00363708,-0.00419978,-0.0027993,-0.0200786,-0.0101277,-0.00047525,-0.00416809,0.0287339,0.0231182,0.0261066,-0.000649898,-0.0106924,-0.00391793,-0.00431954,0.0517726
Mb_C,0.000414248,0.000107452,-0.100597,3.32957e-05,-0.000399086,-0.000458342,-0.00405705,0.000790625,-0.00156542,0.00654273,0.000108397,-0.00193095,-0.00450976,0.0753206,0.0593465,0.00650484,0.0649647,-0.00307138,0.0395146,0.00227459,0.000395056,0.000559185,-0.000531609,0.00568314,-0.00053705,0.000103757,0.000390846,0.000664656,0.0133224,0.000825871,0.00295155,0.00217596,-0.00551346,0.00138267,0.00096537,-0.000613658,-0.0125099,-0.0110723,-0.0294218,0.00618974,0.0134117,-0.0612406,-0.113427,-0.200922,-0.0599556,-0.583765,-0.0627737,0.0369238,-0.205059,-0.396306,0.155258,-0.0570812,0.000702814,0.00109914,0.00236957,-0.000546746,0.000186689,0.00103152,0.00194292,-0.000289547,-0.000229533,3.3022e-05,0.0803737,0.174792,0.0819448,-0.00480624,-0.057894,0.000958716,-0.0189077,0.000728339,0.000192522,-0.0213489,-0.00512616,-0.0434975,-0.00559818,-0.0461284,-0.00332682,-0.00882232,-0.0160842,-0.00767076,-0.00619264,0.00169828,-0.00613745,0.000696295,-0.00175259,0.00351594,-0.0448525,0.000940305,0.00564921,0.00192607,0.00472613,-0.00207785,-0.00132195,-0.00311054,-0.000357252,-0.0110723,0.00076872,0.000324625,-0.00300991,0.00572942,-0.0087248,0.00331577,0.000455071,0.00624402,0.00238473,-0.00640762,0.00497426
Mb_PAR,0.000160018,-0.000140467,-0.00710594,1.86119e-05,1.90086e-05,-1.15351e-05,-0.000100896,-3.22856e-05,4.65765e-05,0.000234218,-0.000209858,0.000508109,0.000726963,-0.000132876,0.00371435,-0.00244722,0.000815028,-0.00016348,-0.00416864,-3.29572e-05,0.000267968,0.000121073,0.000220299,0.000979128,-0.000209532,-2.52951e-05,-0.000151768,4.60839e-05,0.000508852,3.699e-07,-0.000354607,-0.000141745,-0.000929578,3.66266e-05,0.000105275,9.15991e-05,-0.000607153,0.000279192,-0.0015163,-0.00164408,0.000390366,-0.00585388,0.00240557,-0.00715048,-0.00139333,-0.000116646,-0.0156906,-0.156876,-0.0172264,-0.0176734,-0.147432,-0.00065554,2.73533e-05,7.65101e-05,0.000108599,-3.69286e-05,-2.14052e-05,-2.1235e-06,0.000242131,-4.42954e-05,-1.8559e-06,-5.1896e-05,0.00274557,0.0069137,0.00355405,0.000107275,-0.00525915,-5.85726e-05,-0.00158333,-8.17084e-05,-4.80201e-05,-0.00093676,-4.62e-06,-0.00314757,-2.74159e-05,-0.00415442,0.00064393,-0.000182449,-0.000917612,-6.38047e-05,-0.000189335,-3.74979e-05,-0.000304241,-8.0738e-05,7.29736e-05,0.000277139,0.000453376,-4.73249e-05,0.000349501,9.78544e-05,-0.000148728,0.000102879,-2.76974e-05,-7.73926e-05,-6.086e-07,0.000279192,0.00016356,-4.27515e-05,-7.48938e-05,-0.00066908,-0.0015688,-0.000784328,-7.74186e-05,0.000249277,0.000138626,-0.000507617,-0.00108944
Mb_SCA,-0.00126616,0.00474306,-0.0271833,0.0012478,-0.000903628,-0.000790763,0.000566673,0.000435264,0.00160827,0.00160964,-0.00135825,0.00125794,0.0021986,-0.00184616,0.0108865,0.000874897,0.00142317,-0.00173365,0.0636698,-0.00119541,0.00083019,-0.00281278,-0.00284187,-0.0101931,0.000427251,0.000287498,0.00086319,-0.000768066,-0.00419349,-0.000213786,0.00463022,-2.73673e-05,0.0351448,-0.00059115,0.00104324,0.016878,-0.00514439,-0.00298694,-0.0136118,-0.011711,0.000862832,-0.0367616,-0.0215826,-0.0130545,-0.0151607,-0.0597605,-0.0677694,-0.485222,-0.0530118,-0.0494454,-0.451373,-0.00335004,0.00087596,0.000259981,0.000687773,9.43599e-05,-7.50468e-05,0.00019897,0.000875355,0.000171953,-0.000547389,7.82603e-05,0.00910068,0.0172788,0.00931025,-0.000371553,-0.033409,0.000516172,-0.00900769,-0.000178166,0.000711801,-0.00188266,-0.000857992,-0.0214248,-0.000475105,-0.0260976,0.000682146,-0.00108335,-0.00567739,0.00603332,-0.000144563,0.000275254,0.00517218,0.000149588,-0.00198559,0.00142294,-0.00951057,6.8963e-05,0.00123199,-0.000729984,0.00390905,-0.00147253,0.00530771,0.000209649,-0.000584855,-0.00298694,-0.00196992,0.00104376,0.00017169,-0.00270252,-0.0121822,-0.00364743,-0.00118245,-0.0022302,-0.00164475,-0.00321712,-0.00341409
Mb_H,-1.2841e-06,-3.45e-07,0.000339247,-5.5057e-06,1.5705e-06,-3.9651e-06,-2.8993e-06,4.0468e-06,1.23365e-05,8.2342e-06,-1.9796e-06,1.02285e-05,1.7947e-05,-3.1765e-06,1.22176e-05,-5.87525e-05,-1.89753e-05,-3.1365e-06,3.31343e-05,-7.3886e-06,-6.7425e-06,-9.467e-06,-3.8201e-06,0.000101473,-8.318e-06,5.0365e-06,-4.6346e-06,2.803e-06,-2.99219e-05,-1.1971e-05,-1.75436e-05,-1.25675e-05,1.58588e-05,-2.6828e-06,-1.0693e-06,-1.48638e-05,-9.9332e-06,-5.15191e-05,-3.87207e-05,-3.76122e-05,-3.64234e-05,-0.000123363,-2.31061e-05,-0.000181826,6.29872e-05,0.00188126,0.00123699,-0.00156486,0.000973468,-0.000175877,-0.00100204,-4.22968e-05,9.8573e-06,5.7306e-06,2.1228e-06,4.5236e-06,1.097e-07,1.7364e-06,-2.99335e-05,4.9685e-06,-7.4464e-06,3.4167e-06,-0.000126249,-2.59644e-05,-0.00102834,-2.4144e-06,-0.00010602,-9.3131e-06,-4.06392e-05,-4.6622e-06,-5.863e-07,-6.9231e-06,1.08548e-05,-6.97396e-05,-9.2917e-06,-8.65111e-05,-2.05334e-05,-9.7822e-06,-3.68324e-05,-1.18852e-05,-1.6871e-06,-1.3047e-05,-2.047e-07,-2.31909e-05,-1.4889e-06,-1.76e-08,2.02358e-05,1.2377e-06,1.10798e-05,-8.957e-07,1.83061e-05,2.0501e-06,2.6955e-06,-3.1796e-06,-3.942e-06,-5.15191e-05,-5.09e-07,-2.6209e-06,-3.2094e-06,-2.07568e-05,-3.74862e-05,-2.00181e-05,-5.8399e-06,-1.16956e-05,-1.2314e-06,-1.61132e-05,-2.39107e-05
Mb_GRA,0.000201349,-0.000210791,0.335855,-3.20612e-05,3.8349e-05,-1.76342e-05,-0.000200542,1.90485e-05,1.49266e-05,0.00031239,4.11445e-05,0.000411511,0.000686183,0.00012737,-0.00034862,-0.000848554,-0.00141176,2.02105e-05,-0.00138692,-2.2583e-05,7.93096e-05,0.000192685,0.000242641,-0.000269468,-0.000184661,-4.41477e-05,-0.000134846,5.38679e-05,0.000460443,2.02242e-05,-0.000343908,-3.95438e-05,-0.00153789,4.55604e-05,6.07137e-05,0.000255938,-7.13233e-05,-0.00689606,-0.000939576,-0.00113115,0.000208357,-0.00433648,-0.00368036,-0.00232421,-0.00061969,-0.00724937,-0.0056168,-0.0610442,-0.153691,-0.00682002,-0.0561904,-0.00048607,1.90164e-05,5.35703e-05,4.96215e-05,1.7727e-05,4.5123e-06,2.4184e-05,5.42059e-05,1.90382e-05,-1.78045e-05,1.71653e-05,0.000785837,0.00134129,0.000497655,-3.63151e-05,-0.00377218,-6.03832e-05,-0.00111487,-3.35741e-05,-5.0465e-05,-0.0007338,-0.000730858,-0.00263085,-0.000697247,-0.00297337,-0.00304174,-0.000358843,-0.00160967,-0.000120356,-0.000196589,-5.22275e-05,-0.000399167,-5.02445e-05,0.000121724,-2.08989e-05,0.00195888,2.16348e-05,0.000151416,-0.000595564,-0.000147123,-1.57997e-05,-0.000158688,-0.000152435,-1.34653e-05,-0.00689606,-0.000101333,-5.79805e-05,-0.00014732,-0.000702291,-0.00104425,-0.000627973,-1.40464e-05,0.000231205,9.73043e-05,-0.00053504,-0.00074631
Mb_SF,-0.000819762,-0.000209062,-0.000109169,-0.000681907,0.000208808,0.0008191,-0.000365084,-6.69374e-05,-0.000763645,-6.41998e-05,0.00129772,0.00246364,0.00304029,-0.000231345,-0.000138132,-0.000675329,-0.000290643,0.00341151,-4.26055e-05,0.000458777,-0.00036155,-0.000199323,-8.75865e-05,-7.61449e-05,-0.000208077,-0.00106406,-0.000614841,-0.0015444,-0.00118405,-3.62331e-05,-0.000281809,-0.00023354,-0.00022614,-0.000690608,0.000395142,-2.2253e-05,-0.000173417,-0.000196164,-0.000272749,-0.000926451,-0.000378165,-0.000651348,-0.00161689,-0.00186837,0.00306714,0.00123943,0.00184737,-0.0025709,0.000627844,-0.00456583,-0.00336407,-0.00214612,-4.26112e-05,0.000151204,-0.000522332,-0.000179977,-0.000224379,-0.000227301,7.43079e-05,-0.000604554,0.000101115,-0.000802418,-0.00947474,0.00163996,0.000994264,-0.000412576,-0.00102444,0.000469386,-0.000691029,-0.000421523,0.000171516,-0.000388804,-0.000282239,-0.000816705,6.06887e-05,-0.000925816,-0.00050553,-0.000247984,-0.000620158,-0.000455516,-0.000329616,2.14891e-05,-0.000381692,0.000403993,-0.000334539,-0.000229657,9.54256e-05,-0.000458524,-0.000427339,-0.000124082,-0.000220693,-0.000198801,-0.000121148,-5.36278e-05,0.000634358,-0.000196164,8.14473e-05,-0.000126929,-2.05138e-05,-0.000223377,-0.000605407,-0.000148578,0.00138814,-0.00137777,-0.000797254,0.000612784,-0.000319587
Mb_PF,-1.1145e-06,1.1424e-06,0.000153746,3.19e-07,-3.596e-07,-1.1201e-06,-3.835e-07,2.825e-07,1.9333e-06,1.6981e-06,-1.4294e-06,1.5485e-06,3.0092e-06,-4.0287e-06,4.437e-06,-4.8781e-06,-2.7858e-06,-1.7609e-06,2.62718e-05,-1.5294e-06,-1.087e-06,-3.3972e-06,-1.8071e-06,-6.5494e-06,-2.1587e-06,-1.2036e-06,-9.283e-07,-1.059e-07,-4.1751e-06,-2.088e-07,-6.216e-07,-1.4941e-06,1.60492e-05,-1.0352e-06,-1.0198e-06,8.0162e-06,-4.0256e-06,-5.6011e-06,-9.4626e-06,-9.8487e-06,-2.7693e-06,-2.95003e-05,-1.9516e-05,-2.26048e-05,-1.15415e-05,0.000761803,0.000476626,-0.000420668,0.00040168,-5.97244e-05,-0.000403464,-1.74868e-05,1.3544e-06,-9.114e-07,-1.9301e-06,1.476e-07,-1.0792e-06,-2.9051e-06,6.4e-08,1.4244e-06,-7.971e-07,8.382e-07,-6.81599e-05,2.30885e-05,1.35287e-05,-9.797e-07,-2.58357e-05,-5.545e-07,-7.8969e-06,-1.1376e-06,-1.098e-07,-3.6255e-06,-1.5068e-06,-1.68717e-05,-1.3242e-06,-2.04658e-05,-1.0824e-06,-1.3957e-06,-5.6848e-06,2.5852e-06,-1.4163e-06,-1.4029e-06,1.5188e-06,-1.9374e-06,-1.9655e-06,2.642e-07,-9.334e-07,-3.9526e-06,-4.0683e-06,-2.4262e-06,7.179e-07,-1.3736e-06,1.9641e-06,-5.772e-07,-9.709e-07,-5.6011e-06,-2.4773e-06,1.184e-07,-5.978e-07,-4.1783e-06,-9.545e-06,-4.4925e-06,-1.5001e-06,-1.8837e-06,-1.2314e-06,-3.2842e-06,-4.7711e-06
BO,0.00214245,-0.000367534,-0.0101534,-0.000641639,0.000105629,-0.00112726,0.00224101,-0.00105297,-0.00269614,-0.00384569,0.00133825,-0.00158898,-0.00243892,0.0749252,0.0222592,0.00839933,0.0101363,0.000496401,0.00679256,0.000720889,0.000214491,0.0363557,0.000814324,-0.0116739,-0.00370864,0.00124031,-0.00306224,0.000264331,-0.00738412,0.0024659,0.0418649,0.00165882,-0.00401462,-0.00112326,0.00918591,0.0116852,0.0276347,0.00228093,-0.00640459,-0.00992497,-0.00997206,-0.0866136,0.0309273,0.0172685,0.0566068,-0.00892314,-0.000711565,-0.011691,-0.011751,-0.0375663,-0.00712521,-0.0501684,-0.00477269,0.00253288,-0.00212544,0.00117232,0.000509296,-0.000137517,-0.0289682,0.00045315,0.00237459,0.000527279,-0.06206,0.00124425,0.00695638,0.00707434,-0.0835123,0.000812909,-0.0268315,0.000206856,-0.000129402,0.00534784,0.0096296,-0.0504407,0.00571525,-0.0665921,0.0026573,-0.00410976,-0.0188666,0.00301802,0.0151906,0.00127665,0.00250365,0.00554301,0.0310463,0.0159729,0.0286561,-0.000679345,0.014288,0.0211139,0.00318767,0.00212997,-0.000122757,0.00135511,-0.000781587,0.00228093,0.0218262,-0.000272556,0.00126092,0.00840616,-0.00875824,0.0051854,0.000589473,-0.00312428,-0.00137649,-0.00690873,0.00323286
EUP,-0.0037639,-0.00336613,-0.00452393,-0.00766334,0.00805792,8.92374e-05,0.0884259,-0.148671,0.277189,0.538825,0.0536739,-0.00324183,0.0293683,-0.061556,-0.00301564,-0.0724994,-0.053304,-0.00308114,-0.0133686,0.0965689,0.0583954,0.0854626,0.0194696,0.0407204,-0.00347543,-0.0383395,0.0346827,-0.0215002,-0.0215907,-0.013016,-0.0129369,-0.0104593,0.0411227,-0.000447469,-0.013046,-0.00302569,0.0559886,-0.0038815,0.0321829,0.025955,-0.00512818,-0.0103699,-0.00408215,-0.00256872,-0.00189345,-0.00625254,-0.010455,0.00668479,-0.00491596,-0.00253799,-0.016432,-0.0263694,-0.159125,-0.0108607,-0.00805638,-0.131054,-0.0795019,0.0476517,-0.00474719,0.0442291,-0.445873,0.0352941,0.00615768,0.00396066,0.0047249,-0.00271949,-0.0406289,0.0437444,0.0308,-0.0412057,0.204628,-0.051403,-0.0523027,-0.030438,-0.0226594,-0.0198333,-0.0274691,-0.0125988,-0.0270483,-0.0187515,-0.033522,-0.016324,-0.0261587,0.017998,0.00110199,-0.0442906,-0.000191938,-0.0324013,-0.0089329,0.030981,0.0194657,0.0256248,0.0249565,0.0651922,-0.00468792,-0.0038815,0.0566069,-0.00105892,0.062722,0.0156095,0.0266216,0.0206778,0.061196,-0.0213781,-0.0135075,0.0346612,0.0188649
