FG,SB,MM,TUR,XIP,THU,LPL,MPL,SPL,HAK0,HAK1,HAK2,HAK3,HAK4,MUL0,MUL1,MUL2,MUL3,TRA,PAG,DFS,DFH,DSM,DSP,DSR,MSC,MSG,MSP,ENG,SAR,EPI,CEBH,CEBS,CEPH,CEPS,DNS,DNH,DRS,DRH,ARF,PWL,SUP,Mb_O,Mb_FF,Mb_DF,Mb_C,Mb_PAR,Mb_SCA,Mb_H,Mb_GRA,Mb_SF,Mb_PF,BO,EUP,ZG,ZL,ZM,ZS,PB,BB,PS,DF,PL,MB,SG,MA,Dipturus_oxyrinchus,Myliobatis_aquila,RSH_C1,RSS_C1,SSH_C1,SSS_C1,SSS_C2,Torpedo_marmorata,DC,SPOM,BD,1.GNS+TR_D,1.LLD longline,1.LTL trolling,1.LH hand-pole,1.MIS,1.PS+SB+SV,2.FPO traps,2.GNS+TR_D,2.LLD longline,2.MIS,2.OTB_D,2.OTB_DWS,2.OTB_MDD,2.OTM,2.PTM,2.PS+SB+SV,3.OTM,3.OTB_MDDW
SB,-0.000413239,-2.28752e-05,1.15604e-05,-0.000266579,0.000132625,3.55268e-05,3.17656e-05,9.89585e-05,5.29144e-05,4.10031e-05,-3.41582e-05,-6.51354e-05,-7.88157e-05,4.703e-06,2.47324e-05,7.76587e-05,-1.14664e-05,-9.26507e-05,1.73807e-05,3.20725e-05,-2.207e-06,1.65544e-05,-6.2581e-06,-0.000108416,4.04513e-05,1.11973e-05,3.18099e-05,-0.000947602,-0.000709314,-9.41357e-05,5.3043e-05,1.98464e-05,-4.27781e-05,-6.02457e-05,1.26427e-05,0.00020796,-6.6974e-06,8.6629e-06,-6.301e-07,3.07952e-05,8.24972e-05,-3.1684e-06,7.545e-07,6.4059e-06,-3.39825e-05,2.65009e-05,-6.65461e-05,1.53075e-05,6.9042e-06,1.83468e-05,2.16798e-05,-6.39335e-05,6.73556e-05,3.4688e-05,6.56561e-05,0.000133658,-1.09756e-05,2.0877e-06,-5.39948e-05,-7.5974e-06,-8.6993e-05,-8.59082e-05,-3.42132e-05,-5.2671e-06,-3.93774e-05,4.03139e-05,1.74984e-05,2.45613e-05,-1.8827e-06,-5.89474e-05,2.92873e-05,7.8625e-05,-3.47072e-05,-3.29713e-05,-4.6704e-06,1.60698e-05,4.64e-08,-0.000143669,-1.15468e-05,-1.52253e-05,3.27548e-05,3.03504e-05,8.6629e-06,-1.29503e-05,-9.13909e-05,3.286e-05,8.4524e-06,1.7442e-05,7.6576e-06,-1.49712e-05,-0.000836588,-0.000573554,-1.2646e-06,1.50948e-05
MM,0.0250528,-0.0905395,-0.00601531,-0.0397321,-0.00370309,-0.00724486,0.00838546,0.0162765,-0.036776,0.00604745,0.00199299,0.00606925,-0.00499693,0.0120555,0.0308102,-0.0238011,-0.0105172,-0.0156243,-0.134526,0.0343156,0.00604212,0.00830846,-0.0675057,0.058335,0.0312445,0.00224578,-0.0158802,0.0635817,0.02303,0.00329352,0.03683,-0.01751,-0.103205,-0.241944,0.00260954,-0.0152823,0.0131107,-0.0197619,-0.0177364,0.00381231,-0.0101376,-0.00722087,0.00215375,0.00124587,0.00624367,-0.00463038,0.0115574,-0.00510454,0.000681569,0.000635365,-0.00268664,-0.00390056,-0.0108768,-0.00253674,-0.0096747,-0.0122672,0.00246834,-0.000888469,0.00634038,4.49892e-05,0.0106826,0.00820291,0.00481128,0.000326247,0.00513127,-0.00784051,-0.00450729,-0.0043689,-0.00963617,-0.0988969,0.0352483,0.161466,-0.0931945,0.00540935,0.00103705,-0.00231332,0.0175488,-0.0187951,-0.0506829,-0.0707178,0.00427448,-0.00421145,-0.0197619,0.0105935,-0.0226903,0.0038374,-0.00509154,-0.00450395,-0.00522324,0.0138301,0.0447664,0.0329857,0.00608861,-0.00818148
TUR,8.59861e-05,-0.000333897,-0.155612,-0.000126889,8.28997e-05,5.32647e-05,-1.22631e-05,-1.66841e-05,-0.00026461,0.000849576,0.000894004,-1.28028e-05,-5.15243e-05,0.000474814,0.00113772,0.000650968,0.000691549,8.10642e-05,0.00101933,9.84765e-05,5.26328e-05,0.000271264,0.000304649,0.00010142,8.23342e-05,-3.10724e-05,1.58532e-05,9.73491e-05,0.000421289,2.54113e-05,-0.000162153,8.00085e-05,-0.00266374,0.0001069,-4.65056e-05,0.000152449,8.50048e-05,-0.0181729,0.000377343,0.000464938,-2.99726e-05,0.00148791,0.00017581,0.00120582,0.000468043,0.00329069,0.00294569,0.0275113,-0.384974,0.00301829,0.0254398,0.000274276,-7.28278e-05,9.552e-07,-2.83682e-05,-1.24718e-05,1.28525e-05,-6.8244e-06,-5.486e-05,7.5206e-06,4.68212e-05,2.69586e-05,-0.000297633,-0.000646439,-0.000278802,0.000469839,0.000552787,-0.00162525,0.00156517,-0.000628486,-2.66942e-05,-5.61196e-05,0.000283678,-0.000247229,6.6835e-06,-2.87146e-05,-0.00124775,0.0001035,5.07064e-05,-0.000329432,4.9715e-06,4.60159e-05,-0.0181729,-0.000374082,-8.49784e-05,6.804e-06,-3.92107e-05,0.00042132,8.8425e-05,7.82441e-05,0.000236023,0.000145036,-0.000259291,0.000298042
XIP,-0.00189963,-0.000879391,0.000320448,-0.29623,-0.235023,-0.0461559,0.0307351,-0.0155668,-0.00373168,0.0067766,0.0124735,0.0130995,0.01305,-0.0013144,0.000371806,0.000927143,0.00016264,0.0206736,-0.045091,0.00216121,-0.00320279,-0.0014747,0.0308891,-0.00274237,-0.00964295,0.0411691,0.0285794,-0.0122394,0.0130223,0.00540571,0.000814158,0.00347737,-0.00644073,-0.00864134,-0.000301492,0.00298955,-0.00168951,0.00447242,0.00510281,-0.00332025,-0.000652117,0.00169387,-0.00133394,-0.00023216,-0.000179342,-0.000175648,0.00235946,-0.00106437,-7.92418e-05,-0.0038923,-0.00103628,0.000751242,0.00169006,-0.0175612,-0.00220593,0.0016697,-0.000364602,0.000131474,0.000521916,0.000192498,-0.00157637,-0.000812369,0.000361999,-0.000103612,1.0533099999999999e-05,-0.00498318,-0.0188491,-0.0148332,-0.00466739,0.000452129,-0.000985409,-0.000702871,-5.78191e-05,-0.000684805,-0.000163854,-0.000106417,0.0024598,0.325557,0.0236044,0.0217945,0.0105117,-0.0375746,0.00447242,0.00151082,0.282325,0.00836157,-0.000458082,0.000159238,6.7636e-06,0.0205766,0.00403692,-0.00849187,0.00924697,-0.00185803
THU,0.00124915,-0.00897806,0.000165026,-0.109784,-0.1355,-0.0313226,-0.0290286,0.029737,-0.0106883,0.00215871,0.00362945,0.00888162,0.00908501,0.0071355,0.0204801,-0.00650178,-0.00325607,0.0082425,0.00455282,0.0112207,0.00480495,5.70261e-05,-0.0896798,-0.00613512,-0.000546559,0.0272113,-9.78828e-05,0.00061285,0.00338243,0.00394198,0.00388277,0.00293559,0.00725786,-0.0287925,4.08365e-05,0.000406142,-0.00129099,0.0017496,-2.23358e-05,-0.00155191,-0.00154913,4.69194e-05,-0.000135463,-2.7825e-06,0.000592464,-0.000494913,-0.00195609,0.001586,-3.03416e-05,-0.00149324,0.00131244,0.000180377,-0.000949498,-0.0119741,-0.00138413,-0.00173829,0.000358141,-0.00018106,0.000997166,-6.44657e-05,0.00116366,0.00112147,0.000699915,4.7976e-06,0.000560132,-0.0028415,-0.00892073,-0.00658043,-0.00179552,-0.00856072,0.00349001,0.0165292,-0.00976036,0.000518925,0.000136716,-0.000352401,-0.00182163,-0.0533257,-0.0565226,-0.0656551,-0.029632,-0.0239755,0.0017496,0.000285171,0.153331,-0.0296961,-0.00036744,-0.000791353,-0.000528089,0.00773536,0.0010542,0.0102091,0.00283033,-0.000622866
LPL,-0.0051292,-0.00549367,0.000270862,-0.0331385,-0.0843386,-0.440336,-0.347495,0.13178,0.0379804,-0.00179035,-0.0744639,-0.155513,-0.196808,0.0132985,0.00387613,0.0222758,0.0171204,-0.236072,-0.00447481,-0.036559,0.023117,0.0214569,-0.0367759,-0.00300495,0.105983,-0.4956,-0.267842,0.0739667,-0.177734,-0.06701,-0.00604875,-0.0324831,0.0113172,0.0508472,0.00679895,-0.00381651,0.0167364,-0.00590548,-0.0516913,0.0472374,0.0115408,-0.0158484,0.0106183,0.00304249,0.000460175,0.00234991,-0.0156474,0.00552911,-7.8137e-06,0.0431387,0.00751478,-0.0138338,-0.0121469,0.212844,0.0300612,-0.00747072,0.00266883,-0.00103183,-0.00873307,-0.00211019,0.00970847,0.00234095,-0.0057039,0.000223156,-0.00287826,0.0288394,0.0217323,0.0166034,0.0210422,0.0153827,0.00455045,-0.0307649,0.0299061,0.00328408,0.00129375,0.001896,-0.0224086,-0.024245,-0.0975008,-0.0292523,-0.1089,0.452015,-0.00590548,-0.0188007,0.0751618,-0.0835324,0.00229171,0.00597617,-0.00341746,-0.100579,-0.0380213,0.023708,-0.0514871,0.00742243
MPL,-0.000579067,-0.00719923,-0.00195477,0.0123174,-0.00151297,-0.00722324,-0.116002,-0.449849,0.0036874,-0.000977187,-0.0139199,-0.0209241,-0.0290362,0.00820523,0.0101334,0.000400619,6.5695e-06,-0.0360836,0.00277211,-0.00160558,0.0048062,-0.0248818,-0.0395195,0.0111719,0.0133564,0.00845527,0.0206575,-0.000744533,-0.00682874,0.00234018,-0.00323896,-0.0174612,-0.0414994,-0.00304901,0.000134658,-0.00364,0.00893652,-0.00394028,-0.00625488,0.00834374,0.000130347,-0.0035498,-0.00268696,0.000466638,0.000574913,-0.000635852,0.00453237,-0.00269908,0.000304076,0.00545496,-0.00184692,0.0033293,-0.00844454,-0.00292575,0.000570224,0.0136539,-0.00155893,0.000441767,-0.000245324,0.000940116,0.000190658,-0.00640132,-5.60941e-05,0.000242912,0.00023321,0.0034003,0.00172998,-0.00144107,0.00273855,-0.00822335,-0.00153532,-0.001777,-0.0166747,0.00100973,-0.000595993,4.46206e-05,0.0354568,0.00244153,0.183365,-0.0273968,0.649595,-0.0109792,-0.00394028,0.00277372,0.00286715,0.624674,-0.00403258,0.00213801,-0.00265929,-0.0127578,-0.00337937,0.0255935,-0.00788687,-0.0016386
SPL,-0.00354152,-0.00915363,0.00146705,-0.00322253,-0.00240525,-0.0153903,0.187447,-0.141995,-0.00597465,0.000526973,-0.00857293,-0.00436237,-0.00464865,-0.0140496,-0.0148229,-0.00419275,-0.00525932,-0.00403238,-0.00106412,0.00673385,-0.00152573,-0.00395316,0.0745668,-0.00610805,-0.0483416,0.0110927,-0.0342256,-0.0118402,0.00599517,-0.000725126,0.00583154,-0.00155885,-0.00728444,-0.0106147,0.00199319,0.00465602,0.00159797,0.00313211,0.0256007,0.00134784,0.00780298,0.00777712,-0.00730382,-0.00135843,-0.00669009,0.00249704,0.00632447,-0.00462779,0.000837107,0.00378906,-0.00330622,-0.003166,0.00712185,-0.0071178,0.00041847,-0.0211542,0.00393412,-0.00147865,-0.00398107,-0.00349869,0.00314817,0.00876547,-0.00277683,-0.00031614,-0.00379948,0.00386592,0.000629038,-0.00178519,0.00550763,0.0121099,-0.00708651,0.00796373,-0.00386367,-0.00571753,0.00150376,0.0020706,0.0103031,-0.00148032,0.0853445,0.0561002,0.134098,0.0437946,0.00313211,0.00148126,0.00211518,0.128426,0.00012306,0.0108441,0.00191363,0.00284581,-0.00389731,0.0487074,0.00227834,0.00185402
HAK0,-0.000108011,-4.4008e-05,4.95127e-05,1.66471e-05,-2.63218e-05,-1.56229e-05,-0.000699996,0.000413917,-0.00291061,-0.003774,0.000345578,-6.0712e-05,0.00207787,-6.17208e-05,-2.9408e-05,-2.65193e-05,7.5033e-06,-0.000131571,0.000111296,0.000195288,-0.00041561,-0.000574339,-0.000155147,-0.000284581,-1.72477e-05,0.000135217,-0.000291218,-0.000180867,0.00017394,-1.8362e-05,7.38686e-05,7.06097e-05,-0.000278711,3.9351e-06,8.98126e-05,0.000212855,-0.000358842,9.30225e-05,-0.000216107,-0.000170564,7.34355e-05,7.84788e-05,7.36267e-05,1.82899e-05,-4.724e-07,5.27526e-05,2.81391e-05,-3.46051e-05,3.47017e-05,8.75309e-05,0.000121788,0.000145935,-0.00553226,8.94751e-05,4.99163e-05,2.28739e-05,0.000503382,-0.000276341,4.0907e-06,-0.000254228,0.00323445,0.000207095,-6.03042e-05,-2.92824e-05,-5.10584e-05,-0.00036288,6.84056e-05,7.32234e-05,6.68038e-05,0.000300443,-0.00125591,-3.66106e-05,4.00811e-05,-2.062e-05,0.000204051,6.5074e-05,-0.000226067,-0.000112834,-0.000201697,-0.000187832,-0.000519997,-2.54877e-05,9.30225e-05,-0.00035729,-1.11403e-05,-0.000500859,-0.000126237,-0.000171165,-0.000133351,8.21357e-05,-2.28602e-05,-0.000104824,3.78778e-05,-0.000149878
HAK1,-0.000265832,-0.000375805,4.98664e-05,3.8015e-05,-0.000240684,3.48726e-05,-0.00123955,0.00232686,-0.00414649,-0.00964928,-0.00219238,-0.00158893,0.00155429,-0.000486184,-0.00145465,-0.000182473,-0.000685129,9.55675e-05,-0.000484096,1.84745e-05,-0.00440226,-0.000846829,-0.0018348,-0.00114378,-0.00135552,0.000814358,-0.00135947,0.000696225,0.000538782,-0.0020253,0.000640529,0.000285838,-0.000762294,-0.000500805,-0.0012366,0.000310455,-0.000691261,-0.000343197,0.000282359,-0.000681937,0.000385635,0.000352495,-7.27e-06,7.95944e-05,-9.55734e-05,0.000300612,0.000579279,-0.000403805,2.83643e-05,0.0002416,-0.000193319,0.00035339,-0.0106543,0.000785169,0.000489437,0.00221061,0.000972207,-0.000570906,-8.15781e-05,-0.000531172,0.00545464,-0.000740372,-0.000255889,-0.00012959,-0.000194667,-0.00128409,-0.000424815,0.00353926,-0.000324401,0.00179463,-0.00272573,0.000345719,0.00134227,-0.000137509,0.00040766,0.00021806,-0.000572159,-0.000155655,-0.000972637,-0.00156283,-0.000904358,-0.000176608,-0.000343197,-0.00012183,-4.18096e-05,-0.000868721,3.06968e-05,-0.00031522,0.000312182,3.65008e-05,0.000620519,0.000269163,0.000754222,0.000205843
HAK2,0.011479,-0.000698142,0.000209943,0.0112592,-0.00358634,-0.0180447,0.00196857,-0.00296582,-0.160088,-0.0402239,-0.0367579,-0.0464577,-0.0516365,-0.00392274,-0.00634537,-0.00149471,-0.00192607,-0.0696062,0.000594935,0.00112144,0.00293424,-0.0132549,8.31817e-05,-0.00191624,-0.00531653,0.0166452,0.00560683,0.0278404,0.017985,-0.000935771,-0.00336127,-0.000131987,-0.00190286,0.0112173,-0.00885741,-5.61425e-05,0.000364593,-0.000661278,-0.0142934,0.00148333,-0.000163656,0.000715564,-9.28282e-05,-0.000158227,0.000143402,-0.000129823,0.00161025,-0.0008518,0.000668091,0.0148741,0.000502419,0.00445109,0.000148075,-0.00627297,0.00314148,-0.00321238,0.000566495,-0.000247766,0.000309826,-0.000270496,0.00103117,0.00162833,-0.00048788,3.4514e-06,8.45667e-05,0.00932662,0.00627417,0.0103703,0.00852585,0.00718322,-0.00312642,-0.00873917,-0.00192383,0.000457791,0.000270581,6.73288e-05,-0.00574573,0.00152172,0.0017287,-0.000381994,-0.0032952,-0.0147261,-0.000661278,-0.00951868,0.000970402,-0.00385484,-0.00394602,-0.0050511,-0.00526412,-0.02167,0.0233394,0.0125893,-0.00890405,-0.00377359
HAK3,0.0162196,0.000470121,-0.00329358,0.0131834,-0.00351662,-0.026526,0.00533148,-0.00390255,0.0116679,-1.53091e-05,-0.0423362,-0.101656,-0.128564,0.00167315,-0.000186798,-0.00119821,-0.0173835,-0.105064,-0.0254942,-0.00660714,0.00128172,-0.00180467,-0.00278893,-0.00645018,-0.000859682,0.0239967,0.0138773,0.0415165,0.0210362,-0.000664319,-0.00432413,0.00233858,0.00358151,0.0163321,-0.00672373,0.000704159,-0.0001976,-0.00811227,-0.017283,-0.0326029,-0.00168506,0.00281869,-0.000736968,-0.000646564,0.000812441,-0.000640285,0.000852187,0.000562068,-0.00615348,0.0183414,-0.0122608,0.00346081,-0.000355385,-0.00934368,0.00320921,-0.00554631,0.00105564,-0.000464303,0.00115109,-0.000368122,0.00213737,0.00302123,0.000224763,5.30041e-05,0.000724069,0.000247994,-0.00539701,-0.00195702,0.00198076,0.009147,-0.00234461,-0.0116088,0.0070301,0.000736083,0.000485264,-0.000338149,0.00975694,0.0235741,0.00123112,-0.00152163,-0.00304747,-0.0216607,-0.00811227,0.0663344,-0.000146258,-0.00393831,0.0365418,-0.0249317,0.0500178,-0.0381015,0.032231,0.0177296,-0.0219281,0.041775
HAK4,0.00108032,7.16878e-05,-0.000214717,0.000791545,-0.000193989,-0.00169274,0.000346758,-0.00022059,-0.0151659,-0.00261926,-0.00290373,-0.00784454,-0.0101338,0.00105509,0.000677194,0.000808062,-0.000890762,-0.00670817,-0.002328,-0.00183221,0.000226401,-0.000141678,-0.000241975,-0.000268607,-6.35773e-05,0.00146591,0.000859915,0.0025973,0.00159005,0.000129157,-0.000360714,0.000233138,0.000321953,0.00118372,0.000292137,-3.429e-07,-2.2794e-05,0.000454619,-0.00181486,-0.00265825,-0.000195942,0.000234063,-0.000159129,-7.28747e-05,4.24809e-05,-7.06003e-05,3.65772e-05,9.53964e-05,-0.000655915,0.000968735,-0.00117391,0.000193681,6.24004e-05,-0.000626255,-3.22755e-05,-0.000363608,7.12472e-05,-3.02541e-05,0.000119336,-2.2685e-05,8.93828e-05,0.000201435,7.62514e-05,2.06587e-05,8.42853e-05,0.00261429,-0.000545477,-0.00116504,0.00026379,0.000200652,-1.83839e-05,-0.000944223,0.000150816,3.73612e-05,3.0413e-05,-4.20307e-05,0.00110505,0.00205373,-2.1262e-05,-0.000124826,-0.000189656,-0.00136428,0.000454619,0.00620732,-3.62929e-05,-0.000246688,0.0036271,-0.00216124,0.00489368,-0.00334021,0.00213727,0.00115552,-0.00206856,0.00410746
MUL0,-0.000133179,-6.85094e-05,0.000210781,-0.00010045,6.54243e-05,3.9711e-06,-0.000285124,-0.000458682,-0.00160472,-0.00146323,-0.00169633,-0.000380421,0.000420677,-0.00264573,-0.00194644,-0.0018108,-0.00122953,7.83829e-05,-0.000195961,0.0022886,-0.000291753,-0.000313057,0.00128721,-0.000873446,-5.71638e-05,-5.86471e-05,-0.000160657,-0.00012783,-0.000390868,-9.43852e-05,-0.000795495,-0.000302395,-0.000219408,-5.303e-05,-6.83291e-05,0.000112177,7.86145e-05,-6.81107e-05,9.917e-06,3.12518e-05,-0.000375904,6.32849e-05,0.000407134,0.000591094,-0.00233015,0.00149393,0.000323135,-7.38288e-05,0.000540883,0.00104749,-0.000384315,-0.00413439,0.000148542,4.588e-06,1.14573e-05,-0.000258087,-5.70209e-05,3.65978e-05,0.0001165,9.21566e-05,7.4203e-06,0.000191283,0.000207296,-0.000491179,-7.87038e-05,-0.00080042,0.000422112,0.00113074,-0.000711457,0.00261879,-1.34195e-05,8.16445e-05,0.000198081,0.000246365,-1.94742e-05,-0.000102375,-0.000456848,-0.000163196,0.0010683,0.000882134,-0.000209089,-5.05891e-05,-6.81107e-05,-0.000245523,-4.09856e-05,-0.000201004,-0.000309427,3.34663e-05,-0.000161992,0.00149612,-0.000243893,-0.000122941,0.00119595,-0.000229095
MUL1,-0.000369578,-0.000323018,-0.000764216,-0.000346237,0.000344609,-6.4716e-06,-0.00187279,-0.00272544,0.00101876,-0.011503,-0.0105986,-0.00416906,0.00210719,-0.00944373,-0.0161141,-0.00403343,-0.00401663,0.000956,-0.00328852,0.00138642,-0.00143631,-0.00118049,0.0135297,-0.00558247,-0.000180335,-0.000197165,-0.00109199,-0.000197123,-0.0018558,0.000218975,-0.00258948,-0.000578025,-0.00184448,-0.000533341,-1.77882e-05,-0.00151535,0.000314631,-0.00403911,0.000154238,-0.000498962,-0.00121709,-0.00151323,-0.00604047,0.000980004,-0.00491981,-0.00717394,-0.00884041,0.00717254,0.00199921,0.00297837,0.0058036,-0.000837963,0.000748004,-1.17987e-05,-0.000549177,0.000198284,-4.3577e-05,5.01613e-05,0.000817391,0.000231846,-0.000510556,0.000133866,0.000752512,-0.00052872,0.000340879,-0.00381573,0.00928132,0.018101,-0.00455253,0.0141263,0.000452612,0.000453711,0.00827561,0.00165514,2.44518e-05,-0.000288799,-0.00205925,-0.0014159,0.00922615,0.00950364,-0.00138192,-0.000272407,-0.00403911,-0.00157764,-0.000141625,-0.00132973,-0.00153673,-0.000229004,-0.00102981,0.00118643,-0.000932382,-5.45199e-05,0.00497876,-0.00130914
MUL2,-0.000227093,0.000484426,0.000166429,0.000241025,0.000234109,0.000119808,-0.00165791,0.00124216,-0.0156511,0.00256814,-0.00189367,-0.00525926,-0.00965085,-0.00624994,0.00474067,-0.0761073,-0.0227208,-0.00229262,-0.0124329,0.0199273,-0.000887645,-0.000387218,8.21982e-05,-0.00238,0.00118248,0.000203132,0.000921444,-0.00255058,0.00358205,0.000145206,-0.00092252,0.00018561,0.00213026,0.000660003,-3.02458e-05,-0.115173,0.000709796,0.00572208,-0.00671619,-0.00894893,0.00357583,0.0010223,-0.002162,-0.00558987,-0.00928882,0.00179697,0.0309981,-0.0139675,-0.00235446,0.0020815,-0.0184331,0.00665788,0.000120993,0.000178281,0.000382114,1.2865e-05,0.000146314,5.46602e-05,-0.00176291,-0.000314409,-8.36631e-05,-0.000285895,-0.000101547,0.00435836,0.00234836,-0.00778725,-0.00660807,-0.0132467,-0.00168605,-0.000665778,-0.0006068,0.00190641,0.00047251,0.00220117,0.000129377,0.00121252,-0.00034076,-0.000924739,-0.000557935,0.000387786,-0.00119035,9.67422e-05,0.00572208,-0.000178273,1.46243e-05,-0.00114064,0.00519157,-0.00738483,-0.00122804,0.0121026,0.000182467,-0.000802232,0.00394771,0.0408553
MUL3,-0.000245173,-7.06069e-05,-0.00138463,0.000393282,-3.39254e-05,0.000601687,-0.000853869,0.000594613,-0.00561791,-0.000801581,-0.00261439,-0.0151412,-0.0201556,-0.00299813,0.000324928,-0.0117498,-0.0185443,0.00178967,-0.0157438,0.00812424,3.38077e-05,-0.00137858,-7.19728e-05,-0.000134506,0.000244764,-6.17235e-05,-3.66624e-05,-0.000542426,0.000211122,-0.00127375,-0.00119084,-0.000202077,-3.18337e-05,-0.00066128,-0.00395677,-0.00138951,0.000591813,0.00133375,-0.0111458,-0.0192705,0.000499971,0.000183601,-0.00434427,-0.000301163,-0.0037406,-0.000339144,-0.00192833,0.00200198,-0.00277699,0.000900217,-0.00561052,0.0013872,0.000358148,0.000428349,0.00180025,0.000146815,-0.000124783,7.8338e-05,-0.000214839,0.000101517,-0.000257614,-6.90638e-05,8.5636e-06,0.00021364,-7.20613e-05,-0.00696826,-0.00604991,-0.0030422,-0.00665904,-0.0014346,-0.000437272,0.000783892,-0.00241185,0.000259081,-1.12332e-05,0.000180652,0.0167947,-0.00155809,-0.000527426,-0.000135385,-0.000471039,0.000436148,0.00133375,-0.000509422,8.38565e-05,-0.000430336,0.0630445,-0.0150389,0.0171218,0.00581575,-0.000202434,-0.000181316,0.00209114,0.0385392
TRA,-0.120889,-0.00812509,0.00240583,-0.12644,0.0360733,0.195118,-0.0444157,0.0359227,-0.0676651,0.00791301,0.298759,0.491773,0.628137,0.00686054,0.0279133,-0.00652134,-0.0095213,-0.241908,0.0108707,0.0257733,-0.0206656,0.0121868,0.00311324,0.0336919,0.0109013,-0.168052,-0.0943948,-0.291726,-0.173055,-0.0173823,0.0147722,-0.00676146,-0.0338076,-0.134666,-0.0141197,0.00935545,0.0057858,-0.00324037,-0.00148741,-0.146124,0.0226958,0.00125355,0.00287345,0.00198693,-0.00773095,0.00337493,-0.00219851,-0.00569229,0.00144104,-0.138419,-0.00188951,-0.0135418,0.00790299,0.0718896,0.00788442,0.0404513,-0.00979218,0.0043779,-0.015032,0.00349098,-0.0186182,-0.023066,-0.0082831,-0.00200322,-0.0105804,-0.0774574,-0.074608,-0.0267142,-0.0920936,-0.0487377,0.0180269,0.0983931,-0.0470648,-0.0128242,-0.00404168,0.00425381,0.0240436,-0.0219078,-0.0166636,-0.00442117,0.0185849,0.157894,-0.00324037,0.0511002,-0.0138487,0.0252831,7.16793e-05,-0.0815945,0.010602,0.260088,-0.237876,-0.129075,0.13279,-0.0222638
PAG,-6.09063e-05,0.00407041,0.000458275,-0.0215398,-0.00179464,-0.000142658,0.00104817,-0.000179609,0.000245019,-0.00157878,-0.000146759,-0.00934969,-0.0124384,-0.000134668,-0.000644694,-0.00448779,-0.00808326,0.00115703,-0.0239593,-0.000664069,-0.00138473,0.00436403,-0.000349081,3.0493e-06,0.001443,0.000271498,0.001516,-0.000299141,0.000952515,-0.000106665,-0.0116316,-0.015681,0.000304693,-0.000350411,-0.000934056,-0.000541871,0.00875455,0.00185685,-0.00821254,-0.0110104,0.00111149,0.000140919,0.00128815,-0.00177358,-0.00484247,0.00368952,-0.0192174,0.0109257,-0.000212993,0.00262632,0.00536933,7.54259e-05,-0.00114819,-7.6001e-06,0.000359017,-4.99172e-05,6.0623e-05,-4.33512e-05,-0.000568856,-0.000196202,0.000693101,-0.000137466,-3.21254e-05,0.00141144,0.000199935,-0.0024995,-0.000778749,0.000596179,-0.00171016,0.000704908,-0.00301827,-0.00176525,0.00380028,-0.000185752,-2.2805e-06,0.000327238,-0.00066071,0.078664,0.000220302,0.00299142,0.000734964,-0.000170012,0.00185685,0.0075476,0.00228688,0.000701664,0.00501358,-0.00927944,0.00666856,-0.000436427,0.000102533,3.20776e-05,-0.000434887,0.031658
DFS,-0.00295998,0.00155281,0.00345716,-0.00835968,0.00484357,0.00409228,0.00137418,-0.00211573,-0.647121,-0.140082,-0.24218,0.0285756,0.0672606,-0.374577,-0.0470828,-0.551937,-0.354888,0.000564899,0.0097811,-0.163057,-0.0376854,0.00753906,0.0103855,0.00993568,0.00494336,-0.00400259,-0.000723876,0.000653606,-0.00139101,0.000916897,-0.0320744,-0.0563518,0.00936592,0.00286876,-0.0076866,0.0897581,0.0282831,0.0334102,0.0051521,0.0104033,-0.00122327,-0.00298982,0.00167093,0.00353442,0.00754793,0.000623425,-0.01754,0.00674563,-0.000899498,-0.00704077,0.0109603,-0.00333688,-0.00947282,0.00147839,-0.00200248,0.000887104,0.00106744,-0.000637372,0.000513724,-0.000728384,0.00522464,-0.000252446,-0.000155393,-0.00234692,-0.00213304,-0.181922,-0.160885,-0.0936907,-0.200036,-0.0173928,-0.0381613,0.0378881,-0.0117114,-0.00437486,0.000406506,-0.000569106,-0.0092944,0.0341813,0.00296819,0.00972041,0.00208908,0.00155267,0.0334102,0.0339246,-0.00176331,0.00216509,-0.0236537,0.0126351,0.00281983,0.539019,-0.00030495,0.00131765,0.287995,-0.0295612
DFH,0.0442047,0.0189776,-0.00882534,-0.00432675,0.00923474,-0.00975748,-0.0383215,-0.0385123,-0.0609334,-0.0171057,-0.0243912,0.0423803,0.0421887,-0.0548341,-0.0882669,-0.0566059,-0.0115947,0.0230993,0.0173143,0.0144739,-0.26051,-0.0954288,0.297923,0.00368155,-0.00281011,0.0123999,-0.0301262,-0.0188957,-0.0504537,0.00506097,-0.122903,-0.0313938,0.0306539,0.0125398,-0.00985159,-0.0814609,-0.0116066,-0.0375473,-0.00885718,-0.00754905,-0.0491204,-0.00114317,0.00163144,-0.0104622,0.018921,-0.0420102,-0.0190101,0.0303909,0.000698968,-0.00420729,0.0219476,0.0548862,-0.117955,-0.00493667,0.00635466,0.01305,0.0133375,-0.0091176,0.0312679,-0.0011846,0.0643387,0.00537028,0.0200422,0.00907358,0.0270945,-0.0219194,-0.0178415,-0.0194302,-0.00579614,0.102894,-0.0269158,-0.0370203,-0.0570221,0.0100919,0.00498672,-0.0104287,-0.0125772,-0.00282922,0.168661,0.226908,-0.0308088,0.0232938,-0.0375473,-0.0543841,-0.00308926,-0.03001,-0.00826937,-0.00792283,-0.00431133,0.016995,-0.0326787,-0.00333482,0.00716505,-0.0197638
