FG,SB,MM,TUR,XIP,THU,LPL,MPL,SPL,HAK0,HAK1,HAK2,HAK3,HAK4,MUL0,MUL1,MUL2,MUL3,TRA,PAG,DFS,DFH,DSM,DSP,DSR,MSC,MSG,MSP,ENG,SAR,EPI,CEBH,CEBS,CEPH,CEPS,DNS,DNH,DRS,DRH,ARF,PWL,SUP,Mb_O,Mb_FF,Mb_DF,Mb_C,Mb_PAR,Mb_SCA,Mb_H,Mb_GRA,Mb_SF,Mb_PF,BO,EUP,ZG,ZL,ZM,ZS,PL,PB,MB,BB,PS,SG,DF,MA,ESH,ESS,DC,SPOM,BD,1.GNS+TR_D,1.LLD longline,1.LTL trolling,1.LH hand-pole,1.MIS,1.PS+SB+SV,2.FPO traps,2.GNS+TR_D,2.LLD longline,2.MIS,2.OTB_D,2.OTB_DWS,2.OTB_MDD,2.OTM,2.PTM,2.PS+SB+SV,3.OTM,3.OTB_MDDW,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100
SUP,0.0590458,0.0461299,0.0967947,0.0497223,-0.0138358,0.044727,0.00234801,-0.0301625,-0.135729,0.00549226,-0.000247345,-0.00695588,-0.042281,-0.0227743,0.19525,-0.0308593,-0.0639672,-0.000137205,-0.0167558,0.0847852,0.134972,0.0602457,0.042284,0.0831677,0.136254,-0.0347445,0.0943216,-0.0613389,0.525929,0.0447001,0.266121,0.181529,0.0689029,0.0546317,0.0305913,0.0671803,-0.0934536,0.0123773,0.0399468,-0.00886636,-0.32421,-0.00698898,0.0448667,0.0379148,-0.262743,0.164547,-0.104117,-0.124232,0.0365712,0.0689045,-0.00437787,-0.365071,-0.101474,0.0203801,-0.0201671,-0.0568506,0.0020553,-0.0702138,0.000162948,-0.273165,-0.432524,-0.0849736,-0.0345314,0.0801653,-0.312985,-0.000980834,0.123888,-0.187514,-0.0100465,0.141071,0.114194,0.0503145,0.0263363,0.0498704,0.0134943,0.0433663,0.0123773,0.0562692,0.0320507,0.0146793,0.0630312,0.0122477,0.0498556,0.0561687,0.198944,0.0668687,0.0505977,0.015741,,,,,,,,,,,,
Mb_O,-0.0183861,0.00498539,0.0821119,0.00302387,0.000131805,0.00934316,0.00394815,-0.000869934,-0.00590874,-0.0453109,0.0120435,-0.0526636,-0.0489072,-0.0179689,-0.0712378,-0.0693805,-0.112068,0.00603174,-0.0900387,0.00460395,-0.012362,0.00754536,-0.00936449,0.00977564,0.0404604,0.00388573,0.0266058,0.0036818,-0.0249402,-0.000608497,0.0414348,0.00385864,0.0085365,0.000666738,-0.0110297,-0.00157897,-0.0306262,-0.0667659,0.237081,0.120622,-0.0192444,-0.128002,-0.380578,-0.25218,-0.395115,0.0389208,-0.0334619,0.0842085,0.0976188,0.186796,-0.00753061,0.117286,-0.00285488,-0.00416785,-0.00115129,-0.000410106,0.00234257,0.00796776,0.000378485,0.0379819,0.00690187,0.00496407,0.052222,0.00171203,0.0118709,0.0551415,0.0645716,-0.29201,0.0039763,-0.0175056,0.00634588,-0.00528463,0.00694577,-0.00488657,0.00536711,0.00704593,-0.0667659,-0.000924437,0.00293568,0.00551797,0.0523528,0.169657,0.0570062,0.00502246,-0.00895846,-0.00149522,0.0263968,0.058701,,,,,,,,,,,,
Mb_FF,-0.00405957,-0.00270023,0.118561,-0.00156789,0.000297869,-0.000548215,0.0261244,-0.00613765,-0.00120096,-0.0109742,-0.00833211,-0.0171776,-0.0197479,-0.0069249,0.0865293,0.0106877,0.14341,-0.000834528,-0.00949405,-7.44738e-05,-0.00306638,-0.00660912,-0.00207449,0.023439,-0.00271133,0.00174597,-0.00191822,-0.00177748,-0.00612167,-0.00174298,0.00373701,-0.000917708,-0.00326496,-0.00239332,-0.00447451,-0.00529905,0.00901754,0.0494804,0.00098551,0.0433114,-0.00645782,0.0199228,-0.0357819,-0.027108,0.0232421,-0.0187273,0.0540891,-0.0333161,-0.0101781,-0.0300358,-0.0452228,-0.0125853,-0.00260418,-0.00440345,-0.00411924,-0.00422537,-0.00218904,-0.00869344,-0.00322568,-0.0532847,-0.00114645,-0.0076492,0.0186652,0.00316204,0.0114318,0.010695,0.000791916,-0.0104645,-0.00528189,-0.0088412,0.00882308,0.00137047,0.00799316,-0.00140013,0.0191092,-0.000395804,0.0494804,-0.0014849,-0.000648148,0.0183633,0.0229728,0.0243561,0.0198971,-0.000380865,-0.00369603,-0.000109059,0.00275761,0.0249191,,,,,,,,,,,,
Mb_DF,-0.00614694,0.00137504,-0.0115431,-0.00731795,-0.000413508,-0.00338401,-0.00336205,0.00371375,0.00277072,-0.00250177,-0.00308504,-0.0221902,-0.0301794,-0.00542215,0.055201,0.214028,0.17994,-0.00114844,0.292186,-0.000353794,-0.00145109,-0.0176796,-0.0037558,0.0228257,-0.00993494,-0.00250216,-0.00669951,0.000644763,-0.0255932,-0.00220628,-0.0169011,-0.00681682,0.0280653,-0.00266875,-0.00650195,-0.0491167,0.0454306,-0.0246544,-0.0209903,0.0568158,-0.0278195,0.00643411,-0.080583,-0.250797,0.202289,0.0930539,0.139682,-0.331549,0.0265685,-0.153838,-0.148961,-0.0708795,-0.000232465,-0.00496772,-0.00753725,0.00470724,0.000569004,0.00310345,-0.00177865,-0.220635,-0.0365773,0.00414002,-0.611708,-0.00157432,-0.2883,-0.00366786,-0.00293095,-0.0138469,0.000886037,-0.0316229,-0.00571639,0.024141,-0.00255609,0.004424,-0.00336782,-0.00278533,-0.0246544,-0.00998029,-0.000505061,-0.00336844,0.0288475,0.0230598,0.0261989,-0.000647511,-0.010972,-0.00383034,-0.00158145,0.0515786,,,,,,,,,,,,
Mb_C,0.000437363,0.000114685,-0.100706,5.02076e-05,-0.000385188,-0.000468026,-0.00400508,0.000860797,-0.00164271,0.00703961,0.00033232,-0.00165115,-0.00558936,0.0758145,0.0597799,0.00629003,0.0647418,-0.00313588,0.0393365,0.00237981,0.000418296,0.000399617,-0.00057166,0.00624258,-0.000590124,0.000103804,0.000338938,0.000676885,0.0133402,0.000854033,0.00324478,0.00297952,-0.0053573,0.00133249,0.00100034,-0.00097785,-0.0129075,-0.0119337,-0.0295619,0.00613539,0.0133844,-0.0614646,-0.113285,-0.200846,-0.0598184,-0.583801,-0.0627376,0.0368765,-0.205055,-0.396369,0.155238,-0.0570386,0.000766284,0.00108791,0.00236992,-0.00055877,0.000182334,4.15259e-05,0.001034,0.0803659,0.00196009,-0.000283609,0.17477,-0.000262515,0.0819594,-0.00836257,-0.00371002,-0.0447064,0.000938653,0.00564762,0.00197308,0.00480957,-0.00259166,-0.00130412,-0.00307479,-0.000356637,-0.0119337,0.000720535,0.000296317,-0.00297588,0.00572697,-0.00880975,0.00337117,0.000502278,0.00625886,0.00241408,-0.00242694,0.00490974,,,,,,,,,,,,
Mb_PAR,0.000163599,-0.000140071,-0.00711171,1.99284e-05,2.07624e-05,-1.32287e-05,-9.26065e-05,-2.39861e-05,2.6754e-05,0.000360763,-0.000114792,0.000557336,0.000636789,-8.19647e-05,0.00382279,-0.00245239,0.000808944,-0.000173459,-0.00416922,-2.33656e-05,0.000265541,0.000109286,0.000221892,0.00106082,-0.000212922,-2.45777e-05,-0.000155882,4.87947e-05,0.000518656,2.182e-06,-0.000329214,-7.11004e-05,-0.000929124,3.69226e-05,0.000107301,7.47372e-05,-0.000642066,0.000248991,-0.00153129,-0.00164828,0.000385692,-0.00587211,0.00241433,-0.00714417,-0.00138216,-0.000120819,-0.0156916,-0.156878,-0.017228,-0.0176771,-0.147432,-0.000652005,3.26503e-05,7.5366e-05,0.000108552,-3.81623e-05,-2.16359e-05,-5.07407e-05,-1.9842e-06,0.0027461,0.000245076,-4.3597e-05,0.00691181,-4.533e-06,0.00355592,-0.000344537,-0.000448735,0.000465363,-4.73769e-05,0.000348808,0.000110294,-0.000132787,7.40385e-05,-2.42992e-05,-7.17291e-05,-1.2368e-06,0.000248991,0.000166877,-4.55132e-05,-6.95094e-05,-0.000665505,-0.001577,-0.000776733,-7.44665e-05,0.000255108,0.000144804,-0.000200575,-0.00109079,,,,,,,,,,,,
Mb_SCA,-0.00126188,0.00481066,-0.0272366,0.00130404,-0.000905952,-0.000806961,0.000675989,0.000419043,0.00148876,0.00220822,-0.000950244,0.00154115,0.00165682,-0.000963801,0.0111897,0.000815923,0.00128261,-0.00181179,0.0635576,-0.00110941,0.000949707,-0.00294056,-0.00290691,-0.0102329,0.000414818,0.000298828,0.000850875,-0.000769279,-0.00425314,-0.000205408,0.00479921,0.00042735,0.0356911,-0.000607933,0.00107291,0.0166985,-0.00537442,-0.00350212,-0.0136979,-0.0117384,0.00084516,-0.0368796,-0.0214978,-0.0130136,-0.0150852,-0.0597753,-0.0678194,-0.485201,-0.0530086,-0.0494704,-0.451352,-0.00332381,0.00089587,0.000252705,0.000686837,9.21972e-05,-7.57789e-05,8.15771e-05,0.000199198,0.00909671,0.00088595,0.000174631,0.0172664,-0.000558345,0.00931871,-0.00139247,-0.00218995,-0.00942891,6.85979e-05,0.00123026,-0.000746419,0.00390717,-0.00208235,0.00537559,0.000285953,-0.000590412,-0.00350212,-0.00203487,0.00104102,0.000244484,-0.00269254,-0.0122303,-0.00360882,-0.00114957,-0.00225626,-0.00165789,-0.00112051,-0.00343768,,,,,,,,,,,,
Mb_H,-1.1855e-06,-2.637e-07,0.000338774,-5.5331e-06,1.6343e-06,-4.0687e-06,-1.9446e-06,4.2766e-06,1.2175e-05,1.15654e-05,6.111e-07,1.17023e-05,1.58707e-05,-1.9324e-06,1.17466e-05,-5.882e-05,-1.9559e-05,-3.47e-06,3.22424e-05,-7.5958e-06,-6.7617e-06,-9.8524e-06,-3.1961e-06,0.000107242,-8.4441e-06,5.1048e-06,-4.7733e-06,2.8071e-06,-2.98425e-05,-1.1865e-05,-1.58493e-05,-1.07381e-05,1.6659e-05,-2.7687e-06,-9.809e-07,-1.61328e-05,-1.07984e-05,-5.57478e-05,-3.90786e-05,-3.77576e-05,-3.65554e-05,-0.000123867,-2.27001e-05,-0.000181666,6.32998e-05,0.00188113,0.00123703,-0.0015651,0.000973557,-0.000175984,-0.0010021,-4.22673e-05,1.00112e-05,5.6614e-06,2.128e-06,4.486e-06,1.041e-07,3.4525e-06,1.7399e-06,-0.000126236,-2.98445e-05,4.9886e-06,-2.60058e-05,-7.5236e-06,-0.00102826,-1.15357e-05,-1.71526e-05,2.0648e-05,1.2374e-06,1.10598e-05,-7.11e-08,1.92964e-05,2.18e-08,3.4785e-06,-2.5033e-06,-3.9797e-06,-5.57478e-05,-2.463e-07,-2.7022e-06,-2.5627e-06,-2.05232e-05,-3.77089e-05,-1.97176e-05,-6.0801e-06,-1.16576e-05,-9.437e-07,-8.9264e-06,-2.39432e-05,,,,,,,,,,,,
Mb_GRA,0.000206372,-0.00020331,0.335836,-2.30475e-05,3.77854e-05,-2.47921e-05,-0.000176365,2.10776e-05,-4.28899e-05,0.000647262,0.000323118,0.000540646,0.000599399,0.000163358,-0.000410048,-0.000849093,-0.00142722,-1.02041e-05,-0.00139824,-8.974e-06,8.82595e-05,0.000193537,0.000234309,-0.000238704,-0.000186774,-3.77437e-05,-0.00013533,6.13008e-05,0.000466862,2.13779e-05,-0.000305276,1.45281e-05,-0.001497,5.5334e-05,6.04483e-05,0.000232549,-9.77425e-05,-0.00707611,-0.000957486,-0.00113381,0.000204553,-0.00434791,-0.0036646,-0.00232035,-0.000610322,-0.00725109,-0.00561873,-0.0610445,-0.153687,-0.00681919,-0.0561928,-0.000485228,1.62715e-05,5.07328e-05,5.06163e-05,1.72354e-05,5.1747e-06,1.81718e-05,2.37838e-05,0.000785907,5.67699e-05,1.91953e-05,0.00134018,-1.60413e-05,0.000500053,-0.000863227,-0.000354538,0.00197126,2.19339e-05,0.000150863,-0.000590549,-0.000134554,-9.20951e-05,-0.000155049,-0.0001365,-1.80723e-05,-0.00707611,-9.16201e-05,-5.81004e-05,-0.000132261,-0.000690976,-0.0010527,-0.000612745,-1.47926e-05,0.000238235,0.000102505,-0.000297576,-0.00073955,,,,,,,,,,,,
Mb_SF,-0.000818983,-0.000209781,-0.000113382,-0.000682089,0.000209139,0.000819021,-0.000365124,-6.33391e-05,-0.000771787,-3.15837e-05,0.00131991,0.00247205,0.00298692,-0.000244242,-0.000145025,-0.000683285,-0.000292469,0.00341031,-4.21917e-05,0.00046474,-0.00036272,-0.000196624,-9.57356e-05,-6.99014e-05,-0.000208131,-0.00106402,-0.00061414,-0.00154407,-0.00118013,-3.61274e-05,-0.000282798,-0.000240613,-0.000231236,-0.00068967,0.00039429,-2.94912e-05,-0.000169126,-0.000232148,-0.000279902,-0.000926843,-0.000377883,-0.000657152,-0.00161258,-0.00186692,0.00306979,0.00123901,0.00185097,-0.00257341,0.000628544,-0.00456691,-0.00336608,-0.0021469,-4.3642e-05,0.000151204,-0.000522158,-0.0001801,-0.00022424,-0.000802373,-0.000227379,-0.00947511,7.42208e-05,-0.000604675,0.0016398,0.00010176,0.000994474,-0.000314792,9.8726e-05,9.81077e-05,-0.000458481,-0.000427155,-0.000125664,-0.000219027,-0.000199548,-0.000128153,-5.36783e-05,0.000634467,-0.000232148,8.29123e-05,-0.00012747,-2.05653e-05,-0.000223798,-0.000608459,-0.000146943,0.00139157,-0.00137586,-0.000796549,0.000728298,-0.000320256,,,,,,,,,,,,
