FG,SB,MM,TUR,XIP,THU,LPL,MPL,SPL,HAK0,HAK1,HAK2,HAK3,HAK4,MUL0,MUL1,MUL2,MUL3,TRA,PAG,DFS,DFH,DSM,DSP,DSR,MSC,MSG,MSP,ENG,SAR,EPI,CEBH,CEBS,CEPH,CEPS,DNS,DNH,DRS,DRH,ARF,PWL,SUP,Mb_O,Mb_FF,Mb_DF,Mb_C,Mb_PAR,Mb_SCA,Mb_H,Mb_GRA,Mb_SF,Mb_PF,BO,EUP,ZG,ZL,ZM,ZS,PL,PB,MB,BB,PS,SG,DF,MA,ESH,ESS,DC,SPOM,BD,1.GNS+TR_D,1.LLD longline,1.LTL trolling,1.LH hand-pole,1.MIS,1.PS+SB+SV,2.FPO traps,2.GNS+TR_D,2.LLD longline,2.MIS,2.OTB_D,2.OTB_DWS,2.OTB_MDD,2.OTM,2.PTM,2.PS+SB+SV,3.OTM,3.OTB_MDDW,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100
Mb_PF,-1.1036e-06,1.1857e-06,0.000153703,3.582e-07,-3.595e-07,-1.1369e-06,-3.069e-07,2.902e-07,1.8158e-06,2.487e-06,-8.207e-07,1.8707e-06,2.5747e-06,-3.4524e-06,4.731e-06,-4.8894e-06,-2.8531e-06,-1.8404e-06,2.62152e-05,-1.4912e-06,-1.0197e-06,-3.4868e-06,-1.8388e-06,-6.4541e-06,-2.167e-06,-1.1915e-06,-9.373e-07,-9.73e-08,-4.1842e-06,-2.016e-07,-5.032e-07,-1.1443e-06,1.63668e-05,-1.0299e-06,-1.0015e-06,7.8987e-06,-4.2012e-06,-5.9831e-06,-9.5388e-06,-9.8663e-06,-2.788e-06,-2.95874e-05,-1.94551e-05,-2.2575e-05,-1.14848e-05,0.000761789,0.000476595,-0.000420657,0.000401681,-5.97386e-05,-0.000403404,-1.74637e-05,1.3716e-06,-9.19e-07,-1.9306e-06,1.436e-07,-1.0795e-06,8.426e-07,-2.905e-06,-6.81605e-05,7.54e-08,1.4268e-06,2.30797e-05,-8.058e-07,1.35374e-05,-2.3169e-06,-2.7893e-06,-8.705e-07,-3.9527e-06,-4.0708e-06,-2.4229e-06,7.445e-07,-1.764e-06,2.0111e-06,-5.252e-07,-9.787e-07,-5.9831e-06,-2.5039e-06,1.146e-07,-5.484e-07,-4.1616e-06,-9.5842e-06,-4.454e-06,-1.4995e-06,-1.8824e-06,-1.2261e-06,-1.7772e-06,-4.7761e-06,,,,,,,,,,,,
BO,0.00218576,-0.000395058,-0.0104832,-0.000699261,0.000146237,-0.00115166,0.00284514,-0.00104141,-0.00277542,-0.00389623,0.0010382,-0.00128046,-0.00404806,0.0755405,0.022591,0.0079873,0.00946697,0.000430696,0.00614573,0.000941832,0.000156541,0.0364759,0.000943297,-0.00885482,-0.00383258,0.0012505,-0.00316722,0.000259525,-0.0073967,0.00252968,0.0431926,0.00271766,-0.00383784,-0.00130987,0.00922803,0.0106869,0.0271317,-0.000558824,-0.00662754,-0.0101005,-0.0100441,-0.0870233,0.0312297,0.0174017,0.0568459,-0.00900412,-0.000584838,-0.0118436,-0.0116953,-0.0376854,-0.00720705,-0.0502583,-0.00472212,0.0025053,-0.00211542,0.00116882,0.000506342,0.000540232,-0.00013655,-0.0620545,-0.028916,0.000464584,0.0012081,0.00234613,0.00700457,-0.000323299,-0.00500841,0.0289456,-0.000679691,0.0142788,0.0216743,0.00367105,0.000739515,8.86686e-05,0.00179393,-0.000782968,-0.000558824,0.0220944,-0.000338542,0.00168216,0.00854127,-0.00894348,0.00536579,0.000708388,-0.00313271,-0.0012484,-0.00033734,0.0031376,,,,,,,,,,,,
EUP,-0.00360086,-0.00292392,-0.00413042,-0.00699348,0.00825332,-3.09965e-05,0.0885823,-0.148662,0.276347,0.554585,0.0670601,0.00205997,0.0258181,-0.0548199,0.00709109,-0.0691031,-0.0506612,-0.00424636,-0.0109528,0.0952844,0.0588701,0.0851294,0.0187515,0.0381732,-0.00275579,-0.038314,0.035181,-0.0211819,-0.0212694,-0.0130292,-0.0141921,-0.00656367,0.0425812,0.000141312,-0.0126378,-0.00118987,0.0539066,0.000588688,0.0311186,0.0260269,-0.00560032,-0.0103801,-0.00424854,-0.00253452,-0.00170096,-0.0063761,-0.0114725,0.00740243,-0.00515209,-0.00240159,-0.0159879,-0.0258918,-0.158448,-0.0109061,-0.00819303,-0.131252,-0.0795309,0.0354349,0.0476727,0.00632603,-0.00449092,0.0442995,0.00393816,-0.446204,0.00487119,-0.0413145,0.064068,3.96344e-05,-0.0324104,-0.00904357,0.0307024,0.0195262,0.0242221,0.0246722,0.0652758,-0.00476218,0.000588688,0.0567327,-0.00126326,0.0627979,0.0159457,0.0262604,0.0209572,0.0600118,-0.0210548,-0.0134548,0.0342911,0.0194319,,,,,,,,,,,,
ZG,-0.0119615,-0.0117957,0.00107896,0.000711773,-0.00347234,0.0210419,-0.00707105,0.0161672,0.00527138,-0.00341781,-0.00460121,-0.00542596,-0.00648491,0.00119079,0.000582535,-0.00110004,-0.000310443,-0.0124864,0.00392977,-7.80442e-05,0.0310651,-0.00145579,0.00883318,0.00133572,0.00591796,0.232999,-0.00702689,0.0084015,-0.00295345,-0.178364,-0.00159853,-5.32819e-05,0.0043721,0.00276654,-0.00618525,-0.00357671,-0.00121545,-0.000721519,-0.00189292,-0.00162713,0.00712733,-0.00123034,-0.000633608,0.000928322,-0.00209911,0.000394274,-0.00257611,0.00154477,0.00101167,0.00375817,0.00116108,-0.00220314,0.000332193,-0.0295606,-0.0472393,0.0158023,-0.00289438,-0.00740966,0.00381388,-0.00165025,-0.00465192,0.00428612,-0.000593161,-0.00569354,0.000847156,-0.00165275,0.000241603,-0.00157035,-0.00177285,0.00150705,-0.0113704,0.000539672,0.00280526,0.00744044,0.00032303,0.00965417,-0.000721519,-0.0240992,0.00388064,0.00110917,-0.00693721,-0.00190932,-0.00274593,-0.00406584,0.00332777,0.00150269,-0.00269664,-0.00247702,,,,,,,,,,,,
ZL,-0.0348143,0.0902023,-0.00253882,0.00553023,-0.00651164,0.0444557,-0.00947892,0.0408527,-0.0253645,-0.0189095,0.0309245,0.0395874,0.0141117,-0.0129849,0.0191527,-0.0351463,-0.00712678,0.0420887,-0.0262912,0.0304541,0.0914208,-0.00867843,0.00959931,0.01046,0.0163156,0.169303,-0.0217401,0.0233955,0.0277654,-0.562626,-0.0161599,-0.00291648,-0.0100998,0.0129926,0.0944217,-0.0182548,0.00945598,-0.0073165,0.00811652,0.0796599,0.012687,-0.00683247,-0.00457894,-0.00267392,-0.00866319,-0.000630838,-0.00430587,0.00413608,-0.00407149,-0.0309159,-0.0140267,-0.0241771,-0.00678999,0.0961698,-0.212972,0.0531547,-0.0384305,-0.0227394,0.0121262,-0.0248123,-0.0114892,0.0324767,0.00329657,-0.0129934,0.00972161,-0.00995217,0.000400127,-0.00345485,-0.00719873,0.000295976,-0.0381303,0.00406634,0.00142955,0.00492592,0.00470661,0.0120262,-0.0073165,-0.0726983,0.00997401,0.00621481,0.00431157,0.0512034,0.0310248,0.0334957,0.0251639,0.00989928,0.0170957,0.0316784,,,,,,,,,,,,
ZM,0.108596,0.0408728,-0.01471,0.0624289,-0.0302109,-0.0142643,0.0871926,0.475423,0.142884,-0.060892,-0.00627351,0.00279021,0.00741507,0.0405728,-0.0228865,-0.0346988,-0.0112451,0.0133025,-0.0162129,-0.0088299,-0.0184855,-0.0278802,0.0298646,0.0216414,0.0248611,0.0923974,0.0553038,0.264819,0.00737236,0.0850133,-0.017179,-0.0106392,-0.00754746,0.0139963,-0.0165094,-0.081246,-0.00684394,-0.0274898,-0.00587775,0.00910625,-0.0283749,-0.00782412,-0.0476713,-0.00131681,0.0122261,-0.0132044,0.0206714,-0.004093,-0.00317081,-0.0506526,-0.0349379,0.0208319,-0.0939211,-0.0426182,-0.00636449,-0.301307,-0.13889,-0.329292,0.0547191,0.0154218,0.0124852,0.0888029,0.00265741,-0.187002,0.0132577,0.00296871,-0.0184437,0.0149842,-0.0557928,-0.00840477,-0.00255121,0.028579,0.0376821,0.0219706,0.0605081,0.0230321,-0.0274898,-0.00333993,0.0242577,0.057671,-0.0026599,0.00188588,-0.00100479,-0.000147299,0.149401,0.159387,-0.00195104,-0.00314402,,,,,,,,,,,,
ZS,0.0330338,0.0439264,0.00578689,0.012677,-0.0106968,0.035335,0.013101,-0.02705,0.122018,0.0382815,0.0673259,0.0958172,0.123545,0.0613274,0.010391,-0.0062552,0.00790928,0.152901,0.00385237,0.00914085,0.0313885,0.0465599,0.00378628,0.0115777,0.0161003,0.076052,-0.00997884,0.10237,-0.0499588,0.00507333,-0.012342,-0.00632859,0.0206396,-0.0109744,0.00798591,-0.0104649,-0.000217514,0.00265201,-0.00389181,-0.0233432,-0.0178222,-0.000711938,0.0399828,0.0121955,0.0204108,0.0155871,0.0056142,-0.00121842,0.00173653,0.0021264,0.115738,0.0356127,0.0648441,0.0822913,0.0373362,-0.0221963,-0.414377,-0.108821,-0.322409,-0.0027184,0.0387197,-0.443028,-0.00969283,-0.06071,0.00299048,0.00213414,0.00775444,0.00278905,0.23908,0.0129853,0.0174111,0.0208616,0.0059548,0.00749096,0.0189488,0.0291731,0.00265201,0.0377522,0.011069,0.0195706,0.00785336,-0.0139852,0.0085031,0.0559209,0.034373,0.0489174,0.0336623,0.00236385,,,,,,,,,,,,
PL,0.119892,0.0349189,0.0155915,0.0395489,-0.0177724,4.30106e-05,0.0694219,0.235636,0.127838,0.0732707,0.0160477,0.0120842,0.0105245,0.00850601,0.0110255,-0.0175652,-0.00217206,0.0188498,-0.0164283,0.0239903,0.0118682,0.006102,0.0220878,0.0327769,0.0261627,0.0608894,0.0435567,0.147219,0.0461933,0.0722375,0.0112119,0.0151342,0.00846076,0.0144002,0.0244234,0.0021251,0.0375748,0.0354863,0.00248222,0.014659,0.0436208,-0.0104836,0.0730247,-4.69318e-05,-0.0157976,0.0076933,-0.00793789,-0.00886083,-0.00217848,0.0682641,-0.014947,-0.038959,0.105552,0.0163761,0.0224338,0.363253,-0.0573319,-0.195281,0.0187383,-0.0210485,-0.032151,0.0209987,0.00157601,-0.18921,-0.019815,0.00063402,0.0157701,-0.0135356,-0.02423,0.00577951,0.0212146,0.0263103,0.0294052,0.0198084,0.0511743,0.0204755,0.0354863,0.0200089,0.0176778,0.0492342,0.0131535,0.0100918,0.013173,0.0224509,0.101693,0.098145,0.0157192,0.0099842,,,,,,,,,,,,
PB,-0.0166834,-0.00279879,-0.0352419,-0.00161499,-0.0014448,0.00395654,-0.0073994,-0.00566653,0.0446294,0.0374495,0.0170595,0.0235544,0.0342092,-0.00875987,-0.0202079,-0.0421006,-0.0367625,0.0246708,-0.0172133,-0.00327694,-0.0495189,-0.0668691,-0.0240075,-0.0319568,-0.00805469,-0.023374,-0.00368268,0.0187382,-0.0347008,-0.116227,-0.00936617,-0.0162156,-0.0054005,-0.0213714,-0.0373757,-0.0803181,-0.00660459,-0.0567072,-0.00256072,-0.00417631,-0.0280753,-0.00317375,-0.171689,-0.0190867,-0.00908632,-0.0429059,0.0119374,0.00864632,-0.00515788,-0.16679,-0.203481,-0.0192746,0.0467215,0.0174451,0.0445031,-0.0156419,0.13368,-0.0129695,-0.508955,0.0315547,-0.0257003,-0.093296,0.0163253,-0.0289387,0.0245567,-0.0322185,-0.000586768,0.0164988,-0.410837,-0.030344,-0.0406442,-0.0174619,-0.022052,-0.0199355,-0.00441263,-0.00595927,-0.0567072,-0.0568432,-0.00152707,-0.00409508,-0.0214739,-0.00495531,-0.0123845,0.0056966,-0.00503207,-0.00157171,-0.00558855,-0.0143394,,,,,,,,,,,,
MB,0.000540394,0.00458924,0.033748,0.00147883,-0.000835149,0.00325856,0.00271994,-0.0010015,-0.00851592,-0.00434742,0.000490479,-0.0062062,-0.0102996,0.0113318,0.0282334,0.0258344,0.0318755,0.00178541,0.0341618,0.00564596,0.00823703,0.00753882,0.00152161,0.00873127,0.00697045,0.00221446,0.00380333,-0.0028797,0.0216811,-0.0109646,0.0222187,0.00921054,0.00637113,0.00223723,0.00397416,-0.00195791,0.00633398,-0.00137056,0.00862555,0.0164853,0.0288059,0.0231219,0.0767143,0.0921887,0.00997691,0.0195939,0.0173849,0.0679284,0.0490338,0.178586,0.16934,0.163913,-0.00691096,0.00259901,0.0155776,-0.00136102,-0.000783811,-0.00441124,-0.000321873,-0.0628045,-0.0337256,-0.00374906,-0.0795193,0.00461029,-0.0521205,0.00255268,0.0081164,-0.0199475,-0.00116325,0.00433893,0.00982299,0.00661313,0.00229499,0.00298765,0.0028616,0.00244948,-0.00137056,0.00415463,0.00183646,0.00287667,0.0135775,0.012946,0.0124368,0.00428731,0.00800767,0.0027823,0.00438,0.0141594,,,,,,,,,,,,
BB,-0.0122704,-0.0189061,-0.0680344,0.00294148,-0.00498192,-0.0101084,-0.00436938,0.000560778,-0.00654942,0.00484103,-0.0043671,0.00315795,-0.00142053,0.0418862,-0.0615579,-0.0309502,-0.0337244,-0.0141132,-0.0284241,-0.00497273,-0.0104641,0.0119941,-0.0099422,-0.0409469,-0.0618629,-0.0491265,-0.0371169,0.00902898,0.0833645,-0.00689158,0.0224586,0.0180016,-0.0104017,-0.01534,-0.0175108,-0.0266422,-0.0331533,-0.0229594,0.00740643,-0.0332313,0.0893287,-0.133206,-0.00322012,-0.0302256,-0.108508,0.00330189,-0.0666949,0.0523687,-0.0648234,-0.00970523,-0.0594219,0.158476,-0.0277014,-0.0580153,-0.0461798,0.00943978,-0.00159847,-0.0156457,-0.0180121,-0.026551,-0.383609,-0.00872423,0.0475203,0.0130766,-0.0113374,-0.0251772,0.00246375,0.036607,0.00143806,-0.320718,0.000818156,-0.0079319,-0.0128536,-0.0104729,-0.00587882,-0.00918251,-0.0229594,0.00255074,-0.0024478,-0.0060393,-0.0127963,-0.0181237,-0.0125392,-0.00791967,0.041795,0.0146714,-0.011079,-0.017653,,,,,,,,,,,,
PS,0.0723279,0.0253675,0.0249179,0.00875397,-0.00449351,0.0151639,0.0176076,-0.010007,0.051384,0.0611332,0.0290457,0.0330468,0.0335545,0.00644833,0.0245722,0.0074482,0.011101,0.0495217,-0.00634564,0.0208133,0.0149205,0.0244206,0.00289944,0.0193941,0.0154322,0.0298831,0.00687002,0.028525,0.0299282,0.0786641,0.0193694,0.0196568,0.0121855,0.00355705,0.036964,0.0447669,0.0361887,0.0511466,0.00170797,0.00133271,0.0531838,-0.00552328,0.108936,0.00366147,-0.0166609,0.0190721,-0.0160551,-0.00810505,0.000128775,0.0961559,0.0333644,-0.0384495,0.08793,0.0446102,0.0391509,-0.0130035,0.168583,-0.0445518,-0.0947711,-0.0298884,-0.0281541,-0.140381,-0.0023915,-0.056037,-0.0269374,0.00426358,0.0209752,-0.020299,0.0674832,0.0135016,0.0267978,0.0133837,0.00726106,0.0054935,0.0169649,0.0171492,0.0511466,0.0318288,0.00684098,0.0168965,0.0164879,0.00302947,0.0139074,0.0297723,0.028987,0.0247577,0.0214297,0.0105821,,,,,,,,,,,,
SG,-0.00170727,0.000436628,0.0187741,-0.000944519,-5.97176e-05,-7.49163e-05,-0.000336393,0.000507509,9.65464e-05,-0.00235873,8.98712e-05,-0.00564985,-0.00669187,-0.00161487,0.0051647,0.0289555,0.0219004,9.57101e-05,0.0397418,0.000185123,-0.000710329,-0.00228251,-0.000952088,0.00388606,0.000357009,-0.000217744,0.000211084,0.000239408,-0.00471784,-0.000339695,-0.000598854,-0.00077782,0.00454364,-0.000346128,-0.00145145,-0.00740016,0.00540738,-0.00702423,0.00737958,0.013834,-0.00475155,0.0395862,-0.0292086,0.101036,0.0126085,0.0154893,0.0192009,0.000839021,0.0507131,-0.0150762,-0.0255411,-0.00557922,-0.00020133,-0.000919865,-0.00118731,0.000666162,0.000190798,0.000793477,-0.000248594,-0.0314794,-0.00535079,0.000809372,-0.0893778,-0.000128988,-0.0428678,0.00186224,0.00246799,-0.0150615,0.000307189,-0.00545879,-0.000558603,0.00340008,-6.80488e-05,0.000458272,-0.000267621,-8.76599e-05,-0.00702423,-0.00152031,6.48056e-05,-0.00026031,0.00664908,0.0109676,0.00645777,0.000148048,-0.00195399,-0.000609337,0.000943672,0.01032,,,,,,,,,,,,
DF,0.00368378,0.00113007,-0.00140395,0.00112153,0.000422759,-0.000512461,0.021228,-0.0107648,0.0612069,0.108551,0.0132836,0.00069799,0.00568508,-0.00922945,0.000521669,-0.01522,-0.0105677,-3.88929e-05,-0.00283206,0.0187203,0.0110917,0.0159954,0.00495178,0.00852136,0.000472588,-0.00382848,0.00923018,0.00654269,-0.00404992,0.000803926,-0.00354805,-0.00174982,0.0082519,0.000568142,-0.00317339,-0.00350686,0.0105072,-0.000977028,0.00598153,0.00552715,-0.0022875,-0.00239028,-0.00268379,-0.00053738,0.000185999,-0.00177503,-0.00145742,0.00131455,-0.00115409,-0.00250255,-0.00438446,-0.00428026,0.164671,-0.00373617,-0.00182523,0.00165686,-0.020396,-0.00628276,0.0111365,0.00187713,-0.000328307,0.0116057,0.000876288,-0.0968314,0.00150999,-0.00814027,0.01209,0.000612372,-0.00827867,-0.00212127,0.00607011,0.00508637,0.00636254,0.0058269,0.01551,2.19445e-05,-0.000977028,0.0112817,0.000737803,0.014902,0.00309704,0.00530206,0.00416673,0.0120982,0.00182763,0.00377354,0.00684144,0.00376493,,,,,,,,,,,,
MA,0.000652648,0.004272,0.0451199,0.00167381,-0.000785305,0.00139938,0.000380045,-0.00216237,-0.00480403,-0.0052323,-0.00281586,-0.00621895,-0.0070689,-0.00461,0.00665249,0.0374119,0.0141843,0.000675261,0.0271289,0.00310153,0.00222114,-0.000818113,-0.00141606,0.00936107,0.00525872,-0.002197,0.00366766,-0.00281175,0.0121896,0.0110778,0.0101212,0.00565202,0.0216681,0.00110681,3.90291e-05,0.0336174,0.000371243,0.0163652,0.00870995,0.0106779,0.0204013,0.0371799,-0.0248037,0.0764716,-0.00338502,0.0197561,-0.00118527,0.413938,0.0437187,-0.00680151,-0.0144572,-0.0185716,-0.00377101,-0.00317003,-0.000958948,-0.00330937,3.07139e-05,-0.00112845,-0.000184508,-0.0334189,-0.0196696,-0.00251485,-0.069177,0.00340915,-0.0452532,0.00715446,0.00735628,-0.0220495,-0.000219592,0.000552914,0.00606709,0.00483457,0.00109535,0.00388788,0.000648143,0.00172852,0.0163652,0.00214826,0.00147967,0.000676647,0.00853952,0.00978787,0.00737534,0.00233973,0.00387011,0.00121845,0.00444423,0.00963313,,,,,,,,,,,,
ESH,-0.00982401,-0.0169263,-0.0164354,-0.00554918,-0.00103478,0.0131551,-0.066618,-0.00419491,0.101467,-0.576743,-0.517065,-0.234301,0.0686067,-0.358147,-0.593797,-0.133116,-0.0724969,0.0478225,-0.078216,-0.0105001,-0.00183329,-0.0572223,-0.0518831,-0.27952,-0.00838045,-0.0118985,-0.00533024,-0.0105513,-0.0213194,-0.00190462,-0.105118,0.00209695,-0.0727626,-0.0186266,0.00688964,-0.0743264,-0.000686724,-0.189796,0.0326002,0.0126117,0.0214597,-0.00815927,0.0193537,0.00222796,0.0052808,0.00697614,0.0532464,-0.0296849,0.00959915,-0.0164827,-0.0204818,0.0207401,0.0177691,0.00569756,-0.00197164,-0.000487909,-0.00258599,-0.00345072,0.00164977,-0.0115928,-0.0141032,-0.00104595,-0.000543798,-0.0101905,-0.0071143,-0.116245,0.0290318,-0.00053103,-0.00130042,0.00533127,-0.101876,-0.0784647,0.115601,-0.0620306,-0.0456366,0.00839179,-0.189796,-0.085805,-0.000666677,-0.0434058,-0.0504783,0.0196312,-0.0331841,0.00828413,-0.0153339,-0.0221103,0.246106,-0.0368202,,,,,,,,,,,,
ESS,0.00557532,0.0105212,0.00942582,-0.00131262,-0.00265126,-0.00970295,0.0424363,0.00420424,-0.0455231,0.336774,0.310203,0.133196,-0.0908676,0.223605,0.354876,0.0934336,0.051339,-0.0269816,0.0354726,-0.0196199,0.00252335,0.0676305,0.0246442,0.166704,0.00677707,0.00963373,0.00910685,0.00428284,0.0149392,0.000751806,0.0466634,-0.131236,0.0473898,0.0154527,-0.0111562,0.038153,0.0667062,0.11404,-0.0279483,-0.0092488,-0.00990735,-0.000524095,-0.0117496,-0.00216887,-0.00586856,-0.00338145,-0.0241199,0.0139888,-0.00640033,0.0119693,0.00836988,-0.025017,-0.0255373,-0.00376778,0.00267129,0.00212518,0.00280785,0.00109929,-0.00178613,0.00721651,0.00721002,-0.000539769,0.00193828,0.0141837,0.00401888,-0.521935,-0.303595,-0.00399054,0.0012279,-0.00247298,0.0653826,0.0468651,-0.0706873,0.0330169,0.028723,-0.00629436,0.11404,0.0686783,0.004933,0.027265,0.0314601,-0.0164785,0.0208352,-0.0211348,0.00899258,0.0123172,-0.061401,0.0249526,,,,,,,,,,,,
DC,0.040426,0.00585104,0.0106062,-0.003457,0.00132815,0.0127905,-0.00886423,-0.00494316,-0.00840627,-0.0491878,-0.0154655,-0.00768003,0.00585683,-0.0202916,-0.0405919,0.0229232,-0.0308366,0.044695,-0.0156168,0.00347149,0.0144141,-0.00831397,0.0343665,0.00823233,0.00726888,-0.00883812,-0.00673793,-0.0176468,-0.00520446,-1.05427e-05,0.0168434,0.0389494,0.00820005,0.00201662,-0.0120457,0.104081,0.147817,0.163107,0.160347,0.0461983,0.0143273,0.127227,-0.0992372,-0.0766324,0.039315,0.0228745,0.179682,-0.0994806,-0.0333238,-0.0339961,-0.0961206,-0.0233072,-0.0183074,0.00404384,-0.000313604,0.00288376,0.00118576,-0.00245855,-0.000369208,0.0177755,-0.00691359,-0.0020146,0.0400724,0.00972489,0.00804637,0.0553514,0.0195389,0.0,0.000803916,0.000973795,0.0162175,-0.00113863,0.0272793,0.0274604,-0.00316874,0.0105622,0.163107,0.000460737,0.00185575,-0.00256319,0.0221715,0.088552,0.031696,0.0167866,-0.0120244,-0.00548388,0.0271181,0.0380693,,,,,,,,,,,,
SPOM,0.0342657,0.0418999,0.0212768,0.0102276,-0.00753632,0.016763,0.0155653,0.0239262,0.0264057,-0.0262664,0.0196817,0.0344314,0.0369557,0.00925561,0.00138204,0.0283956,0.0368321,0.0641165,0.00598252,0.0073034,0.0731363,0.0878375,0.025924,0.032834,-0.00627934,0.0975307,-0.0216112,0.0593601,0.00358629,0.0875341,-0.0156308,0.00477086,0.0066219,0.0133415,0.0493308,0.068799,0.00556794,0.0620201,0.00560045,0.00139372,-0.00104633,-0.0217526,0.220595,0.00911384,-7.03832e-05,0.0476102,-0.0219931,-0.0139825,-0.0131364,0.195889,0.294853,0.0157072,-0.0233369,0.00807108,0.122817,0.0547067,0.157839,-0.0655094,0.429218,-0.0224238,-0.00960999,-0.126903,-0.00357426,-0.0139361,-0.00412843,0.0311243,-0.00405965,0.00224825,0.0,-0.0482141,0.0417207,0.0269668,0.0247997,0.0215028,0.0158803,0.0236508,0.0620201,0.0704438,0.00786502,0.0159138,0.0226682,0.00477952,0.0179501,0.0259174,0.0343243,0.0392745,0.0227226,0.0176682,,,,,,,,,,,,
BD,0.0546203,0.0663035,0.172181,0.0200293,0.00491429,0.0417962,0.0231687,-0.0215696,-0.0700151,-0.0205522,0.0305411,-0.00644729,-0.0379819,0.270782,0.235745,0.0821292,0.076737,0.02102,0.0757405,0.0504366,0.0836532,0.123949,0.041028,0.111753,0.218343,0.0638376,0.141157,-0.0559249,0.108533,0.0562399,0.124466,0.0733498,0.061176,0.0676455,0.141042,0.113619,0.0315875,0.0365592,-0.0273847,0.0499886,0.178303,0.177406,0.0351804,0.152422,0.170786,0.0894265,0.0898505,0.0232391,0.145105,-0.0300402,0.076391,0.18851,-0.0187305,0.119853,0.0404448,-0.0518173,0.00196342,-0.00307911,0.0172309,-0.15458,0.47446,-0.0257514,-0.156963,0.0294828,-0.16294,0.0583316,0.0609774,-0.149671,-0.0302864,0.0,0.0979585,0.0581005,0.0431101,0.0473989,0.028068,0.0403034,0.0365592,0.0948197,0.0227883,0.0285889,0.0780554,0.0258636,0.0622438,0.0404975,0.0173663,0.00302294,0.0482658,0.0560499,,,,,,,,,,,,
1.GNS+TR_D,-0.000277348,0.000294885,0.0007261,0.000595703,-0.000324673,0.000447538,-0.0270466,0.0158879,-9.18819e-05,0.000438693,0.000278578,-0.00941787,-0.0139424,0.00122619,0.00259617,0.000788885,-0.0182856,0.00220895,-0.00435413,0.00054709,0.00102163,-0.00253911,-0.00866322,-0.0267109,-0.000534427,-0.0004705,-0.000116049,-0.000333697,0.00071671,-0.000179712,-0.0128007,0.000816612,0.00259088,0.000445044,0.000232406,0.00240341,-0.000455692,0.00341433,0.0016482,0.00189696,0.000857748,0.000683601,6.26881e-05,-0.000121565,-0.000272711,0.000374959,0.000687183,1.46179e-05,0.000202633,-0.000309311,0.000212291,0.00172378,0.00058462,0.000227836,-0.000201925,-0.000488112,2.9862e-06,8.22045e-05,1.86998e-05,-0.000487609,-0.000612261,-0.00011493,-2.75365e-05,-0.000171142,-0.000441052,-0.000880761,-0.000256341,-0.000646255,-1.61172e-05,0.00020808,-0.00917971,-0.0059896,-0.0121814,-0.00693439,-0.0198153,0.00067458,0.00341433,-0.0052522,0.000176599,-0.0190464,-0.00416424,0.00170433,-0.0027109,0.00109646,0.00013979,-0.00211471,0.000379876,-0.00185944,,,,,,,,,,,,
1.LLD longline,0.000257686,-0.000255156,0.000350882,-0.16931,0.0574015,0.011643,-0.0074785,0.00476138,0.00140977,-4.09001e-05,-0.00153263,-0.0109629,-0.0152364,0.00174856,0.00248855,0.00130371,0.00175668,-0.00425324,-0.0903658,-0.0010849,0.00177117,-0.000648656,-0.0121965,-0.0182816,0.00214628,-0.0104246,-0.00703369,0.00280192,-0.00333702,-0.00118712,0.00110428,0.000737753,0.00151172,0.00208666,0.000244135,-3.50116e-05,-0.000530883,0.00316945,-0.000125172,0.00248542,1.27864e-05,-0.000266457,3.5061e-06,0.000225632,0.000548225,-0.000157589,0.0014077199999999999,-0.000398953,-6.91067e-05,0.0005321,-0.000163625,-0.000168772,-0.000252175,0.00437244,0.000465431,-0.000396562,6.74787e-05,0.000208925,-2.16561e-05,-6.5982e-05,-5.33444e-05,-1.89151e-05,-0.000136999,0.000287219,-4.29268e-05,7.31088e-05,0.000379638,9.9823e-06,3.28309e-05,-2.07303e-05,-0.0027373,-0.0915949,-0.00898489,-0.0095497,-0.0024493,0.0095745,0.00316945,-0.00358676,-0.0690748,-0.0019146,-0.000837499,0.00132251,-0.00138561,-0.00507937,-0.00113985,0.00119732,-0.00318502,-0.00325071,,,,,,,,,,,,
