FG,SB,MM,TUR,XIP,THU,LPL,MPL,SPL,HAK0,HAK1,HAK2,HAK3,HAK4,MUL0,MUL1,MUL2,MUL3,TRA,PAG,DFS,DFH,DSM,DSP,DSR,MSC,MSG,MSP,ENG,SAR,EPI,CEBH,CEBS,CEPH,CEPS,DNS,DNH,DRS,DRH,ARF,PWL,SUP,Mb_O,Mb_FF,Mb_DF,Mb_C,Mb_PAR,Mb_SCA,Mb_H,Mb_GRA,Mb_SF,Mb_PF,BO,EUP,ZG,ZL,ZM,ZS,PB,BB,PS,DF,PL,MB,SG,MA,Bathyraja_brachyurops,Dalatias_licha,Dipturus_oxyrinchus,Myliobatis_aquila,RSH_C1,RSS_C1,Raja_asterias,Raja_polystigma,SSH_C1,SSS_C1,SSS_C2,Scyliorhinus_canicula,Torpedo_marmorata,DC,SPOM,BD,1.GNS+TR_D,1.LLD longline,1.LTL trolling,1.LH hand-pole,1.MIS,1.PS+SB+SV,2.FPO traps,2.GNS+TR_D,2.LLD longline,2.MIS,2.OTB_D,2.OTB_DWS,2.OTB_MDD,2.OTM,2.PTM,2.PS+SB+SV,3.OTM,3.OTB_MDDW
HAK2,0.0114763,-0.000694282,0.000216834,0.0112488,-0.00358676,-0.0180428,0.00199941,-0.00297187,-0.160055,-0.0404376,-0.0369238,-0.0465103,-0.0516291,-0.00370404,-0.0059731,-0.0014832,-0.00193676,-0.0695892,0.000565706,0.00110444,0.00293337,-0.0131836,0.000106574,-0.00178056,-0.00530445,0.0166437,0.0056171,0.0278301,0.0179756,-0.000934307,-0.00331276,-0.000247434,-0.00186569,0.0112066,-0.00886245,-8.73534e-05,0.000424615,-0.000563628,-0.0143051,0.00146858,-0.000170205,0.00069961,-9.79669e-05,-0.000155459,0.000144986,-0.000134849,0.001607,-0.000850111,0.000662182,0.0148726,0.000505412,0.00442539,0.000129808,-0.00627259,0.00314272,-0.00320962,0.000568177,-0.000248883,0.000314728,-0.000270732,0.00104089,0.00162847,-0.000482692,4.0563e-06,8.80422e-05,-0.00117213,-0.0123214,0.00931916,0.00626889,0.0109141,0.00850455,0.00522014,0.00466737,0.00677197,-0.00225582,-0.00830498,0.00674305,-0.00232259,0.000458832,0.00027132,6.57931e-05,-0.00568841,0.00154861,0.00167254,-0.000353092,-0.00327195,-0.0147239,-0.000563628,-0.00946676,0.000973232,-0.0038324,-0.00393345,-0.00506429,-0.00526044,-0.0216756,0.0233296,0.0125906,-0.00889665,-0.00377339
HAK3,0.0162206,0.000467948,-0.00327928,0.0131649,-0.00351656,-0.0265262,0.00538021,-0.00390521,0.0117029,-0.000218252,-0.0424885,-0.101694,-0.128565,0.00196858,0.000456151,-0.00117433,-0.0173945,-0.105049,-0.0255294,-0.006631,0.00126742,-0.00171866,-0.00274086,-0.00615572,-0.000853327,0.023997,0.0138841,0.0415075,0.021044,-0.000660873,-0.00423598,0.00217315,0.00358233,0.0163195,-0.00673307,0.000666821,-0.000110601,-0.00790933,-0.0172981,-0.0326234,-0.00169603,0.00279662,-0.00075038,-0.000642601,0.000812972,-0.000649229,0.000849937,0.000561657,-0.00616475,0.0183419,-0.0122583,0.00342452,-0.000377585,-0.00934473,0.00321117,-0.00554307,0.00105773,-0.000465692,0.0011594,-0.000368132,0.00214922,0.00302185,0.000233142,5.37514e-05,0.000729286,-0.0107579,-0.0166156,0.00024556,-0.005396,-0.00135913,0.00195826,-0.010445,-0.00678599,0.00826388,-0.00112313,-0.0109966,0.00910895,0.00647284,0.000736352,0.000486254,-0.000340677,0.00985684,0.0236297,0.00117923,-0.00147797,-0.0030116,-0.0216601,-0.00790933,0.0664129,-0.000144046,-0.00390381,0.0365645,-0.0249497,0.0500278,-0.0381123,0.0322294,0.0177419,-0.0219301,0.0417786
HAK4,0.0010812,6.97497e-05,-0.000217539,0.000789812,-0.000193483,-0.00169337,0.000350389,-0.000218625,-0.0151699,-0.00259377,-0.00288084,-0.00783522,-0.010137,0.00102005,0.000639028,0.000809905,-0.000889794,-0.00670983,-0.00232765,-0.00183219,0.000222062,-0.000139231,-0.000237391,-0.000230908,-6.43582e-05,0.00146649,0.000859428,0.00259835,0.00159312,0.000129576,-0.00035239,0.000229899,0.000306487,0.00118457,0.00029121,-3.5e-09,-2.06035e-05,0.000428806,-0.00181543,-0.00265847,-0.000195933,0.000234609,-0.000158185,-7.31413e-05,4.21868e-05,-7.06255e-05,3.83188e-05,9.35093e-05,-0.000654894,0.000969161,-0.00117531,0.000192458,6.20143e-05,-0.000626644,-3.20175e-05,-0.000363779,7.13059e-05,-3.02846e-05,0.000119416,-2.27179e-05,8.9669e-05,0.000201539,7.63009e-05,2.07787e-05,8.44223e-05,-0.000928431,-0.00117946,0.00261301,-0.000547584,-0.00120446,0.00026295,-0.000421691,-0.000680113,8.80555e-05,1.25725e-05,-0.000935496,0.000378143,0.000145322,3.76209e-05,3.0446e-05,-4.2039e-05,0.00111088,0.00206082,-1.44104e-05,-0.000123718,-0.000187147,-0.00136474,0.000428806,0.00621201,-3.68505e-05,-0.000244298,0.00362919,-0.00216161,0.00489566,-0.00334082,0.00213917,0.00115822,-0.00206748,0.00410884
MUL0,-0.000124392,-9.27314e-05,0.000186262,-0.000122212,7.25176e-05,5.338e-07,-0.000248661,-0.000438069,-0.00162061,-0.00129185,-0.00153929,-0.000315342,0.000397555,-0.00297791,-0.00219784,-0.00178779,-0.00121577,7.08585e-05,-0.000191783,0.00227692,-0.000344298,-0.000288528,0.00133916,-0.000442009,-6.30123e-05,-5.60474e-05,-0.000165895,-0.000119066,-0.000356634,-8.95486e-05,-0.000706435,-0.00030648,-0.000408407,-4.94745e-05,-7.56987e-05,0.000114501,8.56434e-05,-0.00027106,4.0087e-06,2.65112e-05,-0.000379026,6.44687e-05,0.000414155,0.000590169,-0.0023306,0.00149122,0.000341463,-9.38431e-05,0.000548635,0.00104895,-0.000397576,-0.00414544,0.000150478,1.4303e-06,1.33755e-05,-0.00026058,-5.69427e-05,3.66061e-05,0.000119189,9.25053e-05,7.1627e-06,0.000192999,0.000209037,-0.000490619,-7.63401e-05,0.000258376,3.79335e-05,-0.000806411,0.000407655,0.000910466,-0.00071734,0.00637433,0.000417597,0.00137104,1.40327e-05,0.000112094,0.0047737,0.000201675,0.000251301,-1.93016e-05,-0.000103158,-0.000387118,-8.48988e-05,0.00115984,0.000891796,-0.00018312,-5.3076e-05,-0.00027106,-0.000195229,-4.87566e-05,-0.000176151,-0.000289599,2.82026e-05,-0.000144637,0.00148507,-0.000224298,-9.34429e-05,0.00119827,-0.000218415
MUL1,-0.000383818,-0.00025248,-0.00094015,-0.000276465,0.000333969,-3.12254e-05,-0.00189764,-0.00272469,0.000767089,-0.0101582,-0.00941578,-0.003774,0.00201111,-0.0108913,-0.0205305,-0.00395427,-0.00393569,0.000846476,-0.00321395,0.00142893,-0.00131778,-0.00116671,0.0133832,-0.00647002,-0.000136203,-0.000166876,-0.00104603,-0.000175461,-0.0019992,0.000206025,-0.00276544,-0.000537514,-0.00147117,-0.00044766,-2.04147e-05,-0.00136871,0.000295202,-0.00619504,0.000145698,-0.000444275,-0.00115954,-0.0014093,-0.00591718,0.000945422,-0.00494033,-0.00711861,-0.00885814,0.00717967,0.0020978,0.00300082,0.00578642,-0.000807313,0.00070156,-1.59867e-05,-0.00054174,0.000198081,-3.91025e-05,4.754e-05,0.000779026,0.00022292,-0.000483274,0.000127532,0.000720671,-0.000519367,0.000324557,0.00984756,0.000702219,-0.00385038,0.00920771,0.0151843,-0.00448365,0.0883623,0.00988971,0.0163646,0.000324398,0.000327577,0.0100915,0.00836082,0.00165011,2.52952e-05,-0.000276761,-0.0023568,-0.00153559,0.00902575,0.00945193,-0.00140675,-0.000289009,-0.00619504,-0.00167447,-0.000125459,-0.00135456,-0.00154314,-0.000200519,-0.00100838,0.00118153,-0.000982915,-0.000112019,0.00501025,-0.00125658
MUL2,-0.000218057,0.000468519,0.000143296,0.000220993,0.00023732,0.000110941,-0.00160009,0.00125632,-0.0156718,0.00276433,-0.00170781,-0.00517377,-0.00968801,-0.00643855,0.00457768,-0.0760341,-0.0227063,-0.00230824,-0.0124429,0.0199078,-0.000924685,-0.00033727,0.000143022,-0.00193615,0.0011704,0.000211436,0.000915447,-0.00254142,0.0036078,0.00015065,-0.000811091,7.93292e-05,0.00201825,0.000663372,-4.22695e-05,-0.11512,0.000769375,0.00552084,-0.0067251,-0.00895824,0.00357169,0.00102138,-0.00215636,-0.00559162,-0.00929276,0.00179536,0.0309936,-0.0139745,-0.00234655,0.0020885,-0.0184362,0.00662953,0.000107839,0.000173139,0.000385464,1.30063e-05,0.000147577,5.37951e-05,-0.00175888,-0.000314792,-7.60071e-05,-0.000285043,-9.77588e-05,0.00435997,0.00235078,-0.00698586,0.000369018,-0.00777789,-0.00660871,-0.0134225,-0.00168148,-0.00826481,-0.0585085,-0.00204719,8.33465e-05,0.00234726,0.000598042,6.90748e-05,0.00220163,0.000129958,0.00121137,-0.000253739,-0.000840672,-0.000543768,0.000420911,-0.00115007,9.07403e-05,0.00552084,-0.0001097,1.11618e-05,-0.00110222,0.00522111,-0.00739405,-0.00120539,0.0120842,0.000198627,-0.000772852,0.00392973,0.0408736
MUL3,-0.000246486,-6.84247e-05,-0.00137922,0.000391881,-3.42669e-05,0.000602981,-0.000849644,0.000591514,-0.00560533,-0.000881159,-0.00267952,-0.0151637,-0.0201506,-0.00290555,0.000480056,-0.0117469,-0.0185466,0.00179597,-0.0157496,0.0081202,3.63555e-05,-0.00136349,-6.95143e-05,-0.000128994,0.000248539,-6.29125e-05,-3.38477e-05,-0.000545875,0.000207063,-0.00127372,-0.00118608,-0.000224363,-1.28451e-05,-0.000664975,-0.003957,-0.00139451,0.000602866,0.0013955,-0.0111484,-0.0192742,0.000497687,0.000178765,-0.00434721,-0.00030004,-0.00373973,-0.000340722,-0.00193162,0.00200462,-0.00277997,0.000899325,-0.00560793,0.00138208,0.000354715,0.000428848,0.00180022,0.000147551,-0.000124479,7.81241e-05,-0.000213304,0.000101595,-0.000255864,-6.90071e-05,1.00936e-05,0.000213595,-7.11766e-05,-0.00624892,0.000561212,-0.00696562,-0.00604592,-0.00286527,-0.00666077,-0.00536369,-0.00664174,-0.00144627,-0.000295194,0.000879839,-0.00165753,-0.00249696,0.000259211,-1.10967e-05,0.00018013,0.0168053,-0.00155676,-0.000544377,-0.000129369,-0.000467584,0.000437245,0.0013955,-0.000500167,8.48107e-05,-0.000426964,0.0630458,-0.015042,0.0171208,0.00581522,-0.000206115,-0.000182939,0.00208749,0.038538
TRA,-0.120988,-0.00797553,0.00263347,-0.126219,0.0360433,0.195219,-0.0450747,0.0357534,-0.0673528,0.0053885,0.296354,0.490682,0.628577,0.00859014,0.0291295,-0.00700228,-0.00962518,-0.24171,0.0110176,0.0259842,-0.0202633,0.0115214,0.00242887,0.0287271,0.0109742,-0.16815,-0.0943784,-0.291804,-0.173377,-0.01744,0.0135054,-0.005356,-0.0326664,-0.134733,-0.0139671,0.00946611,0.00500205,-0.00135758,-0.0013444,-0.146013,0.0227352,0.00127413,0.00283922,0.00200939,-0.00767949,0.00340719,-0.00231848,-0.00553107,0.00138164,-0.138499,-0.00177104,-0.0132228,0.00809981,0.0719456,0.00784302,0.040446,-0.00981294,0.00439076,-0.015074,0.00349876,-0.0187316,-0.0230757,-0.00832625,-0.00202536,-0.0106163,-0.0471219,0.140888,-0.077361,-0.0744423,-0.0240975,-0.0919774,-0.0738045,-0.0696388,-0.0334101,0.00763928,0.0931614,-0.06175,-0.0422692,-0.0128325,-0.00405143,0.00426427,0.0230067,-0.0228651,-0.0167495,-0.00481835,0.0181258,0.157962,-0.00135758,0.0502477,-0.0138258,0.0248453,-0.000284507,-0.0814698,0.0103234,0.260296,-0.238058,-0.129398,0.132776,-0.0224675
PAG,-5.90973e-05,0.00406333,0.000458041,-0.0215449,-0.00179289,-0.000141926,0.00105095,-0.000175585,0.000248667,-0.00158686,-0.000155361,-0.00935189,-0.0124377,-0.000177858,-0.000599925,-0.00448887,-0.00808261,0.00115948,-0.0239562,-0.000664204,-0.00139804,0.0043593,-0.000338997,8.85206e-05,0.00143989,0.000270428,0.00151239,-0.000297673,0.000962183,-0.000105725,-0.0116139,-0.0156566,0.000253712,-0.000352252,-0.000934196,-0.000541487,0.00874285,0.00187118,-0.00821162,-0.0110116,0.00110949,0.000139486,0.00128688,-0.00177269,-0.00484132,0.00368781,-0.0192139,0.0109221,-0.000213721,0.00262524,0.00536767,7.61916e-05,-0.00114333,-7.7763e-06,0.000358941,-5.06874e-05,6.02028e-05,-4.30819e-05,-0.00056755,-0.000195712,0.000690525,-0.000136928,-3.14156e-05,0.00141098,0.000200567,0.000590957,-0.00167127,-0.00249873,-0.000778993,0.000623514,-0.00171153,-7.02311e-05,-0.000710182,0.00047554,-0.00310273,-0.00182164,0.00127435,0.00385767,-0.000184021,-2.3969e-06,0.000326807,-0.000646189,0.0786776,0.000250857,0.00299029,0.000737208,-0.000169605,0.00187118,0.00755231,0.00228459,0.000703851,0.00501535,-0.00927978,0.00666992,-0.00043602,0.000107523,3.82423e-05,-0.000435403,0.0316574
DFS,-0.00294189,0.00172818,0.0035307,-0.00850111,0.00478246,0.00397656,0.00232812,-0.00220324,-0.64709,-0.139932,-0.241609,0.0291598,0.0668555,-0.369772,-0.0409213,-0.551108,-0.354909,0.000459329,0.00924717,-0.163494,-0.0375618,0.00900831,0.0110509,0.013492,0.0050377,-0.00387859,-0.00056336,0.000558368,-0.00144881,0.00096111,-0.0307447,-0.0597932,0.0107933,0.00284095,-0.00788,0.0893551,0.0300805,0.0344803,0.00484942,0.0101301,-0.00133673,-0.00319656,0.00155187,0.00353571,0.00748133,0.000550017,-0.017721399999999998,0.00683395,-0.000984788,-0.00692664,0.0110234,-0.00396967,-0.0100114,0.0014276,-0.00194973,0.000957893,0.00111868,-0.000670834,0.000610913,-0.000746313,0.00551492,-0.000255188,-4.31568e-05,-0.00231068,-0.00206389,-0.155338,-0.0136084,-0.181879,-0.160818,-0.0901169,-0.200164,-0.146383,-0.118412,-0.0296235,-0.015422,0.0520308,-0.0339075,-0.0251568,-0.00442169,0.000428248,-0.000597173,-0.00794126,0.034962,0.000987962,0.0106152,0.00276168,0.00148791,0.0344803,0.0351803,-0.00165393,0.00280778,-0.0231856,0.0123539,0.00308864,0.538705,-0.000382446,0.00145263,0.287773,-0.0293387
DFH,0.0448227,0.0170606,-0.00947746,-0.00605051,0.00974836,-0.00982043,-0.0360182,-0.0372109,-0.0606064,-0.013649,-0.0209962,0.0442387,0.0413169,-0.0689374,-0.0820651,-0.055691,-0.0111608,0.0232421,0.017251,0.0135976,-0.26446,-0.0940886,0.301866,0.0350165,-0.00339986,0.0123812,-0.0307038,-0.0184543,-0.0475724,0.00542623,-0.116525,-0.0314022,0.0166056,0.0123083,-0.0102752,-0.0820002,-0.0113036,-0.0393852,-0.00915057,-0.00810557,-0.0496043,-0.00159065,0.00146012,-0.010338,0.0190146,-0.0424588,-0.0177474,0.0290845,0.000691261,-0.00425589,0.0211983,0.0541003,-0.117527,-0.00510355,0.00642986,0.0128856,0.0133128,-0.00909937,0.0316256,-0.0011137,0.0641454,0.00551183,0.0203039,0.00905472,0.0273205,-0.0434554,-0.0386879,-0.0221316,-0.0183926,-0.0179983,-0.00652824,-0.0467663,-0.0638425,0.0142884,-0.0272372,-0.0363876,0.261926,-0.055363,0.010441,0.00499046,-0.0105378,-0.00680126,0.00262625,0.175744,0.227663,-0.0291278,0.0232392,-0.0393852,-0.0508535,-0.00367869,-0.0283952,-0.00704887,-0.00837276,-0.00336931,0.0163905,-0.0311899,-0.00120336,0.00719648,-0.0194008
DSM,-0.000491124,0.0230941,-0.00678363,-0.0176078,0.00437365,-0.0037822,0.0827176,-0.0352393,-0.0505427,-0.117728,0.0421572,-0.0675481,-0.0576811,-0.039728,-0.0592526,-0.0407068,-0.00817213,-0.00770905,-0.0375921,0.00429123,-0.0239486,-0.172862,0.0101184,-0.0494177,-0.0117384,0.0086662,-0.017653,0.00363367,-0.0431674,-0.00317424,-0.03608,0.0621188,0.0709487,-0.00680228,0.00110358,-0.0538094,-0.0429519,-0.00242957,-0.0306662,-0.0445257,-0.0379534,0.00260358,0.000207697,0.000540986,0.0177371,-0.00899446,0.0128306,0.00495273,-0.0102634,-0.00598268,-0.0135177,-0.115551,-0.100134,-7.21748e-05,0.00398096,0.0234783,0.00916954,-0.00659692,0.0249211,-2.51382e-05,0.0502979,-0.0019768,0.0234786,-0.000613242,0.01698,0.231889,0.00555328,-0.0441138,0.020455,0.0455526,-0.0222435,0.00998119,0.0675959,0.09426,-0.00654018,0.0706364,0.0692646,0.599099,0.0128104,0.00356637,-0.00853083,0.210735,0.0930302,0.043185,0.0219325,0.059967,-0.00429941,-0.00242957,0.475904,-0.00391227,0.0575482,0.0803269,-0.0362636,0.0457501,0.000151642,-0.0171191,-0.00395633,0.0131087,0.0517927
DSP,-0.00789952,0.013363,0.00021905,-0.00382076,0.0177992,-0.0068831,-0.0330952,-0.163206,0.0685132,0.0193998,0.0310159,-0.00357841,-0.00917231,-0.0494527,-0.156677,0.0561835,0.0297884,0.0023797,-0.0334937,-0.0830463,-0.0534848,-0.00318314,-0.129906,-0.0307821,0.0253121,0.00683069,-0.0417058,-0.00840448,-0.00957204,-0.00366138,0.0103028,0.00814643,-0.00665767,-0.000309205,0.000795831,-0.000933871,-0.00197437,0.00562035,-0.0138298,-0.0034241,0.0028982,-0.00414293,0.00358688,0.00154198,0.00197357,0.00403181,0.00229857,-0.00234573,-0.00142987,-0.00191547,-0.00309664,-0.00123199,0.0103126,-0.00093292,-0.000428286,0.00349579,-0.00187636,0.00107204,-0.00229763,0.000761693,-0.00724522,-0.00251125,-0.00151728,-0.000546553,-0.00131681,0.0200967,0.00554063,0.0287843,0.0113997,0.00513123,0.0154448,0.00256021,0.0128409,-0.00532232,0.00798001,-0.00340179,-0.0223705,-0.00461917,0.00053357,-0.000699949,0.000483359,0.0103572,0.00610488,0.453008,0.645069,-0.0262011,-0.0188112,0.00562035,-0.00350021,-0.000879474,-0.0254681,0.00278978,-0.0077654,0.00427859,-0.0527959,-0.00888562,0.030437,-0.0292852,0.00158259
DSR,0.00576419,-0.00137289,-0.0167078,-0.0327012,0.0105043,-0.00219605,-0.0110324,0.0038665,0.00406191,-0.00540344,-0.00401152,-0.0125113,-0.0038461,0.000920759,-0.00133746,-0.00818691,-0.000422616,0.00187497,-0.0185046,-0.00362588,-0.0231737,-0.0149412,-0.0125517,-0.0538815,-0.000756946,0.00255524,0.00152526,-0.00610603,0.00164958,-0.00572836,-0.0130417,0.000609656,-0.00203091,0.000646952,-0.00030352,-0.0156144,0.00124682,-0.169851,0.000411489,-0.000803596,0.00212291,-0.00536357,0.00449476,-0.000377626,-0.00392336,-0.00979291,-0.0051567,-0.020299,0.0083731,0.0017521,0.00373396,0.00496882,0.000470857,0.00118555,-9.22038e-05,1.25137e-05,0.000388995,-6.88167e-05,-0.00117109,-0.000295285,-0.000302821,-0.000190346,-0.00101448,0.00122674,0.000398644,0.00155267,0.00274875,-0.00373724,-0.0066869,-0.0172598,-0.00295263,-0.079508,-0.013149,0.1081,0.00112542,0.00137347,-0.0102147,-0.0120967,0.00620068,0.000193418,0.000750003,0.0893949,0.160502,0.0400678,0.0110321,-0.00870834,-0.00251027,-0.169851,0.0561423,-0.0108967,-0.00846124,-0.00239261,-0.000395753,0.00103535,-0.00230908,-0.00286672,0.0268543,-0.00405422,-0.00290154
MSC,-0.0364486,0.10164,-0.0248969,0.0323388,0.0308724,0.0540542,0.0542495,0.0673181,0.101351,0.00114051,0.0883571,0.000498273,0.0153204,0.0663199,-0.0292218,0.132472,0.0985392,0.000716288,-0.0159005,-0.187655,-0.0316083,-0.0188779,-0.011691,-0.00375278,-0.314505,-0.0599993,0.500633,-0.0632077,-0.0966357,-0.0156104,-0.0900336,-0.00559699,-0.0556789,0.135978,-0.0171493,-0.0192118,0.000717621,-0.0330756,-0.362201,-0.0131824,-0.0843178,-0.113415,0.0555281,0.023443,0.0857212,-0.0207595,-0.0757657,0.0525225,-0.00933404,-0.0183683,0.053991,0.0463202,-0.0461284,0.0233159,-0.00370979,-0.0557213,0.0160058,-0.00710605,0.0428407,0.00143341,0.0463386,0.0416283,0.0298924,0.00143702,0.041138,0.257226,-0.0926949,-0.0193973,-0.00111192,0.0585417,-0.0577986,0.0429485,0.0468129,-0.00638601,0.104981,-0.109043,0.025208,-0.00205717,0.0707238,0.00785106,-0.0216961,-0.0328296,0.00263494,0.00751561,-0.0206099,0.0541981,0.0470402,-0.0330756,-0.0210758,0.0351929,0.0541927,-0.0168494,-0.150334,-0.0323057,-0.119075,-0.0772806,-0.0366356,-0.0626573,-0.0324985
MSG,0.00451415,-0.00426286,-0.00111738,-0.00656916,-0.00929,0.0672832,-0.0475515,0.000661236,0.00232093,0.00371481,-0.011668,-0.023326,-0.0263899,0.00177279,-0.00144425,0.00730636,0.00314003,-0.0327422,0.000838166,-0.00749708,-0.0155537,0.0043236,-0.0101475,-0.00449663,0.010436,-0.175117,-0.0345498,9.88113e-05,-0.0262377,0.101594,0.000396185,-0.00438379,0.00114474,0.00478547,-0.00483993,0.00384438,0.00242542,0.00100383,-0.00850113,3.61694e-05,-0.00178964,-0.00683071,0.000689873,0.00187287,0.00369757,9.54454e-05,-0.00133729,-0.000344348,-0.000716727,0.00700158,0.00192691,-0.000198425,0.000172155,-0.35172,-0.0389846,-0.0237882,0.00418361,-0.00218814,0.000922206,-0.00389518,0.00818275,0.0114951,0.00171298,-0.000311766,-0.00163117,0.00877,-0.00583591,0.00206736,0.00164439,0.00239837,-0.000258694,0.0048816,0.00735471,0.00909659,0.000802238,-0.00384471,-0.00251248,0.00551036,0.00313465,0.00110978,-0.000585881,0.00356216,-0.00497615,-0.0158523,-0.00797154,-0.0173484,0.0583949,0.00100383,0.0118726,0.00783775,-0.0141372,0.00201984,-0.00360576,-0.0024951,-0.0155685,-0.0115789,-0.00128319,-0.00821716,-0.00101762
MSP,0.0129243,0.0183574,0.00944168,-0.0224459,0.0117159,0.0603048,-0.0775499,-0.0121754,-0.0357996,-0.00689203,-0.045798,-0.0238173,-0.0364403,-0.0255266,0.0058234,-0.0456143,-0.0342239,-0.0362066,-0.0045842,0.0641652,0.0128683,0.0095905,0.0309607,0.00144515,-0.253654,-0.0485216,-0.245484,0.034881,0.0112715,-0.00416274,0.0340238,-0.00250775,0.0139485,-0.0441902,0.0077069,0.00725646,0.00153904,0.0120729,0.133949,0.0119837,0.0330431,0.0423433,-0.0200877,-0.00877935,-0.0327683,0.00814862,0.0292183,-0.0203457,0.00363209,0.0137364,-0.020417,-0.0188736,0.00614576,0.0222654,0.0056477,0.0199453,-0.00429536,0.00180194,-0.0168509,-0.00156527,-0.0105365,-0.0149891,-0.0119396,-0.00052575,-0.0157895,-0.0916603,0.0264992,0.0123709,0.00448815,-0.0205282,0.027287,-0.0137067,-0.0131439,0.00463901,-0.0421172,0.0364049,-0.0066379,0.0060157,-0.0268046,-0.00221417,0.00854882,0.00936577,-0.00731636,-0.00143944,0.0253377,-0.0412923,0.0467828,0.0120729,0.00469166,0.00340161,-0.0374374,0.00656823,0.0595483,0.0117811,0.0287943,0.0240236,0.0191656,0.015139,0.0133407
ENG,0.270314,0.018581,0.00448655,0.196551,-0.095189,-0.054779,-0.00400878,-0.0798958,-0.064139,-0.0342821,0.034544,0.0567078,0.0672283,0.00328199,0.0200567,-0.0729065,0.000972165,0.0837549,-0.00799476,-0.0113503,-0.0118908,-0.00646394,-0.0311361,-0.0251976,-0.0224644,0.0235658,0.00387839,-0.152597,-0.0151286,0.0200831,-0.002765,0.00844677,0.0130143,0.0548568,-0.00428755,-0.172214,-0.00719166,0.0196899,0.0087888,-0.0249167,0.0166179,0.00288636,0.00302184,0.000131517,-0.00514967,0.000848812,0.0509012,-0.029523,-0.00210621,-0.00913042,-0.0232862,0.00670539,-0.0689406,-0.019747,-0.0417343,-0.110363,0.00706207,9.244e-07,-0.00942142,-0.00212587,0.0798074,0.0588301,-0.00656691,-0.00072417,-0.0054987,-0.0245189,-0.0625468,-0.0185966,-0.0165276,-0.023,-0.00247078,-0.0139467,-0.0956144,0.0148264,-0.0192639,-0.0297225,0.0188474,0.0181781,-0.00169676,0.00210556,0.00467747,-0.00242818,0.0872346,-0.0153817,-0.0210933,-0.017362,-0.0489575,0.0196899,0.00163312,0.0621182,-0.0187817,-0.00140853,-0.0105716,-0.00156246,0.0240068,0.460988,0.397109,0.00704555,-0.00973677
SAR,0.115335,-0.0027343,-0.0149924,0.0596685,-0.0333224,0.0352801,-0.02671,0.00339435,0.0262853,-0.00329779,-0.00551981,0.00155475,0.00142266,-0.000112975,-0.0408403,0.00993383,0.012125,-0.0064848,-0.0041807,-0.018798,-0.0261175,-0.0109287,-0.0137482,-0.0382289,-0.0166728,-0.041916,-0.0377416,-0.0145677,-0.12836,0.00924067,-0.0469044,-0.0339239,0.0332671,-0.00315571,-0.00893351,-0.00504289,0.0174263,-0.00016543,-0.010675,-0.00158299,-0.113864,0.000628104,-0.00568418,-0.00609823,0.0450327,-0.0268421,0.0105006,0.0249649,-0.00626232,-0.00875326,0.00477912,0.0622202,0.020448,0.0100214,-0.0272266,-0.00196711,0.00266284,-0.00112262,0.0729516,0.0121181,-0.0115165,0.0170717,0.0466702,0.00567773,0.0521227,-0.0057378,-0.0288908,-0.0203153,0.0032441,0.00569241,0.00601624,0.0315417,-0.00157236,0.0217623,-0.00369854,-0.0493474,0.0180122,0.0140654,0.0316882,0.00244159,-0.0236909,-0.0233094,0.017508,-0.0112884,-0.00478334,-0.0104058,0.0275039,-0.00016543,-0.0104515,0.0280009,-0.00867231,-0.0108819,-0.00547844,-0.00840499,-0.0130529,0.377391,0.137675,-0.00669434,-0.00394773
EPI,0.0478286,0.0284978,-0.00713186,-0.0189371,0.00970194,-0.0207846,-0.0212385,-0.114596,-0.0430047,0.0245887,-0.00312677,-0.0182514,-0.0142058,-0.00959736,-0.0106882,0.0206384,0.00593134,-0.00377376,-0.0118358,-0.0129375,-0.171251,0.00842707,-0.0593347,-0.0373369,-0.0233895,-0.0821222,-0.0147751,-0.0763808,-0.0221533,-0.00964516,0.00553986,-0.00461134,-0.0145698,-0.00980464,0.00898986,0.0312119,0.0067783,0.0105948,-0.00104221,-0.00172817,-0.0346912,-0.00288063,0.00271339,-0.00473618,0.0099329,-0.00288463,0.00666999,-0.00694279,-0.00681635,-0.00126537,-0.00894522,0.00640516,0.00195498,-0.317593,0.0651358,-0.176264,-0.0122746,-0.00164476,0.012952,-0.00685477,0.0624718,0.0845853,0.0137933,0.00462708,-0.00612486,-0.00137699,0.000327478,-0.0114917,0.00211317,0.000397626,-0.000634419,0.00771178,0.0179329,0.0776556,-0.00196845,-0.00630561,-0.0538057,0.0141385,0.011616,-0.0055168,-0.0173367,0.0545655,-0.0181263,-0.0340495,-0.0483077,-0.0211191,0.02156,0.0105948,0.125975,-0.0124788,-0.0211064,0.0307018,-0.00109196,0.00319066,-0.0100379,-0.0519594,-0.0302435,-0.00582549,0.00505731
