ESSESH,SB,MM,TUR,XIP,THU,LPL,MPL,SPL,HAK,HAK1,HAK2,HAK3,HAK4,MUL,MUL1,MUL2,MUL3,TRA,PAG,DFS,DFH,DSM,DSP,DSR,MSC,MSG,MSP,ENG,SAR,EPI,CEBH,CEBS,CEPH,CEPS,DNS,DNH,DRS,DRH,ARF,PWL,SUP,MbO,MbFF,MbDF,MbC,MbPAR,MbSCA,MbH,MbGRA,MbSF,MbPF,BO,EUP,ZG,ZL,ZM,ZS,PL,PB,MB,BB,PS,SG,DF,MA,ESH,ESS,DC,SPOM,BD
MbO,-0.0246814,-0.000816924,-0.0123278,-0.00136947,0.000323673,-0.000764739,-0.000797603,0.000230526,0.000108884,0.000395736,-0.00232491,-0.000818346,-0.0154969,-0.00263268,-0.00212609,-0.00286079,-0.00618201,-0.000401763,-0.00599626,-0.00093535,5.5666e-05,-0.000346434,-0.000630733,-0.00259728,-0.001608,0.000373212,-0.00132355,9.42855e-05,0.000140043,0.000402243,-0.00268007,-0.00159035,-0.00165122,-0.000729441,0.000528661,-0.00144047,-0.00259393,-0.00192003,-0.0108466,-0.00849056,0.00056687,0.0,0.00368997,0.00348056,0.00169138,-0.00211126,-0.00466361,0.000557795,-0.00404082,0.000972134,-0.00296318,-0.00248131,0.000414755,0.000332757,0.000100291,0.000275699,7.53682e-05,0.000585948,-0.000169301,0.00406514,2.48731e-05,0.0005656,0.00225919,0.000460365,0.00311931,-0.00482444,-0.00340828,0.00731533,-4.62874e-05,0.00184143
MbFF,-0.0211786,-0.000469862,-0.0285826,-0.000787711,-5.69645e-05,-0.000512825,-0.00287321,-0.000927007,2.40178e-05,-0.000133642,-0.000733495,-0.000800229,-0.00729632,-0.00103729,-0.00921164,-0.00301816,-0.0230008,-0.00039458,-0.00311814,-0.000599674,-0.000399202,-0.000255862,-0.000739989,-0.00313468,-0.000407932,-0.000446588,-0.000362988,-4.83118e-05,-0.000151133,6.78627e-05,-0.00147432,-0.000858314,-0.000789615,-0.000426422,-0.000270785,-0.00092945,-0.00242873,-0.00600497,-0.00230974,-0.00606442,-0.000161496,-0.00368997,0.0,4.2493e-05,-0.00416488,-0.00231821,-0.00651844,-0.000239094,-0.00616298,8.06156e-05,-0.00363419,-0.000395697,0.000133415,7.03606e-05,1.99807e-05,0.000205902,6.83358e-05,0.000825936,-0.000166661,0.00484116,-0.000212242,0.00073787,0.000957221,0.000270361,0.000721513,-0.00228264,-0.000875501,-0.00306099,0.000514408,0.000701199
MbDF,-0.0218989,-0.000720573,-0.00678404,-0.000886515,-5.82073e-05,-0.000453749,-0.000396524,-7.28315e-05,2.04509e-05,-0.000244529,-0.000807357,-0.00075828,-0.0073845,-0.0014157,-0.00307519,-0.00808045,-0.0116463,-0.000454687,-0.0147148,-0.000722337,-0.00068381,-0.000323241,-0.000737962,-0.00197189,-0.000544024,-8.93211e-05,-0.000484104,-1.38698e-05,-0.000266327,-1.12735e-05,-0.000942654,-0.0010478,-0.00184312,-0.000575802,-0.000538684,-0.00087799,-0.00286723,-0.0010147,-0.00187138,-0.00384992,-0.00017681,-0.00348056,-4.2493e-05,0.0,-0.00704221,-0.00794281,-0.00620687,-0.000302112,-0.00575435,3.70807e-05,-0.00396508,-0.000361458,0.000126168,4.34752e-05,-8.53616e-05,0.000129528,-1.05439e-05,0.00043283,-0.000235463,0.00650345,1.37542e-05,0.000435384,0.00278631,0.000242211,0.00425921,-0.00141634,-0.00101606,-0.00328276,-0.000120015,0.00139416
MbC,-0.0278282,-0.000436777,-0.00587015,-0.000844523,0.000406834,-0.000138492,9.44169e-05,0.000442394,0.000129017,0.000194935,-0.000540251,-0.000467337,-0.00922913,-0.0134201,-0.0103673,-0.00925708,-0.027223,6.75853e-05,-0.022066,-0.000628274,-0.000207964,-2.14195e-06,-0.00035006,-0.0025493,-4.15294e-05,0.000662632,-7.4317e-05,0.00027169,-0.000646981,0.000302688,-0.00168187,-0.00134635,-0.000992603,-0.000306267,5.36694e-05,-0.000915832,-0.00291746,-0.00080602,-0.00180482,-0.00721371,-0.000415931,-0.00169138,0.00416488,0.00704221,0.0,0.00781258,-0.00420916,0.00334269,0.00155106,0.00408222,-0.00244516,0.00180106,0.000378661,0.000298166,7.63515e-05,0.000276328,8.70564e-05,0.000621332,-0.000162527,0.00339317,0.000174525,0.000605488,0.00222414,0.000442888,0.00255331,-0.0010196,-0.00069093,0.00395742,-2.49688e-05,0.00201171
MbPAR,-0.0229625,-9.12672e-05,-0.0112289,-0.00034078,0.000479739,-7.35749e-05,0.00034047,0.000501984,0.000127462,0.000280517,-7.04471e-05,-7.05449e-05,-0.00596639,-0.00215285,-0.0138496,-0.00132295,-0.0158505,0.000279332,-0.00460751,-5.01693e-05,-0.000677188,0.000286833,-0.000432308,-0.00385941,0.000291067,0.000688869,0.000246569,0.000303295,2.26408e-05,0.000347333,-0.000281841,2.57681e-05,-0.000675197,0.000177398,0.000386865,-0.000450678,-0.00074926,-0.000382361,-0.000855174,-0.00137813,0.000335751,0.00211126,0.00231821,0.00794281,-0.00781258,0.0,-0.00247099,0.0618932,0.00188111,0.00458166,0.104934,0.000826712,0.000368292,0.000305296,0.000102698,0.000284782,0.000102033,0.000630634,-0.000143017,0.00359946,0.000172041,0.000615885,0.00221565,0.000435087,0.00273823,-0.000467546,0.000102271,0.00434489,0.000117827,0.00181855
MbSCA,-0.0257323,-0.00385244,-0.00658643,-0.00447831,0.000653102,-1.92908e-05,-0.000594351,0.000679153,0.000146277,0.000611007,-0.00024745,-0.000221708,-0.0114618,-0.00021672,-0.0090847,-0.00449661,-0.0111123,0.00022013,-0.0611205,0.000133464,-0.000709162,0.000789119,-0.000308434,-0.00288336,-0.000478193,0.00137657,-0.000357338,0.000241597,0.000355843,0.000600253,-0.00471377,-0.0016324,-0.0244969,-0.000663294,0.000717188,-0.00988078,0.000153802,0.000277247,0.000460765,0.000387844,0.000904443,0.00466361,0.00651844,0.00620687,0.00420916,0.00247099,0.0,0.0412128,0.00314046,0.00376335,0.0678576,0.000962564,0.000522953,0.000456726,0.000196858,0.000332517,0.000120017,0.000633507,-0.000115139,0.00351162,0.00025196,0.000601519,0.00207001,0.000531902,0.00253245,-0.00167567,7.90854e-05,0.0118196,5.48915e-05,0.00186548
MbH,-0.0198712,-0.000447953,-0.0386759,-0.000632718,0.000186794,-8.86604e-05,-2.49097e-05,0.000183446,0.000344321,7.35765e-05,-0.000206402,-0.000237594,-0.00496766,-0.00040374,-0.0014211,-0.000852241,-0.00229068,-5.57005e-05,-0.00585893,-4.79626e-05,-0.000165594,2.18379e-05,-0.000194513,-0.00438487,-4.25131e-05,0.000258707,-4.78678e-05,0.000231845,3.75546e-05,0.000309238,-0.000508896,-0.000186964,-0.00212075,-2.51331e-05,0.000153968,-0.00113257,-0.000607586,-0.000512357,-0.000473697,-0.000263156,0.000320815,-0.000557795,0.000239094,0.000302112,-0.00334269,-0.0618932,-0.0412128,0.0,-0.0434298,0.000355561,-0.00339837,0.000279519,0.000412209,0.000416227,0.000121059,0.000387351,0.000222724,0.000886029,-5.8606e-05,0.0197287,0.00218689,0.000893204,0.00444963,0.000508697,0.0458396,-0.000483447,-7.98277e-05,-0.00248252,3.92287e-05,0.00367179
MbGRA,-0.0153361,-0.000130016,-3.33473,-0.00027834,0.000234902,-7.20846e-06,0.000102017,0.000207162,0.00013601,0.000110705,-0.000120163,-0.000147499,-0.00396903,-0.00094376,-0.000820297,-0.000736369,-0.00203396,2.4513e-05,-0.00259119,5.05922e-06,-4.19189e-05,4.51765e-05,-3.88688e-05,-0.000327824,7.04175e-05,0.000271077,4.90729e-05,0.000163421,-4.23379e-05,0.0001902,-0.000205777,-9.01725e-05,-0.00044651,4.40962e-05,0.000125302,-0.000485273,-0.000620212,-0.000465617,-0.00046888,-0.000552559,0.000153286,0.00404082,0.00616298,0.00575435,-0.00155106,-0.00188111,-0.00314046,0.0434298,0.0,0.00306724,0.0723893,0.000662056,0.000254125,0.000216128,4.02118e-05,0.000223394,8.67183e-05,0.000561835,-0.000123152,0.00542402,7.05349e-05,0.000553928,0.00258414,0.000331477,0.0039266,-0.000134755,4.27761e-06,-0.000358026,1.00743e-05,0.00191349
MbSF,-0.020214,-0.000659302,-0.00359288,-0.000592462,-0.00016779,-0.00202485,-0.000619432,-1.68996e-05,-5.88684e-05,-0.000217398,-0.0026021,-0.00412483,-0.0452084,-0.000933374,-0.000770257,-0.000835664,-0.00203538,-0.00481378,-0.00179601,-0.000928446,-0.000304957,-0.000251735,-0.000443513,-0.000483591,-0.000240197,-5.88357e-05,-0.000229722,6.5514e-06,-0.000235899,-9.81328e-06,-0.000445544,-0.000484617,-0.000576733,-0.000382725,-0.00115092,-0.000722514,-0.00107528,-0.000921412,-0.000970662,-0.000931459,-0.00027577,-0.000972134,-8.06156e-05,-3.70807e-05,-0.00408222,-0.00458166,-0.00376335,-0.000355561,-0.00306724,0.0,-0.00429151,-0.000215011,7.39743e-05,-2.04078e-05,-4.80253e-05,0.00015112,2.04719e-06,0.000755683,-0.000246363,0.00925475,-0.000303296,0.000667001,0.000735796,0.000229717,0.000558364,-0.000703952,-0.000452549,-0.0036724,0.000430774,0.000309233
MbPF,-0.014738,0.00152733,-0.063587,0.000851766,0.00295341,0.00264138,0.00316043,0.00293543,0.00352134,0.00290275,0.002305,0.00228666,-0.00280012,0.00337648,0.00175646,0.0024436,0.00159406,0.0033097,-0.00564875,0.00296098,0.00253904,0.00306842,0.003325,0.00288008,0.00334601,0.00410708,0.00294573,0.00352601,0.00327283,0.00465762,0.00266589,0.00419215,-9.93273e-05,0.0034388,0.0035346,0.0011834,0.00260489,0.002705,0.00346477,0.00240201,0.00338368,0.00296318,0.00363419,0.00396508,0.00244516,-0.104934,-0.0678576,0.00339837,-0.0723893,0.00429151,0.0,0.003617,0.0035214,0.00450721,0.00392686,0.00459194,0.00395211,0.00883868,0.00247149,0.124446,0.00233825,0.00876104,0.0136981,0.00408723,0.0103624,0.00403539,0.00378776,0.00199869,0.0136916,0.0145671
BO,-0.0219255,-0.000941788,-0.00161562,-0.00150931,-4.41878e-05,-0.000369323,-0.00126987,0.000112001,0.000124839,-0.000314671,-0.00202188,-0.00124232,-0.00881642,-0.0186912,-0.00361823,-0.00188483,-0.00272702,-0.000301709,-0.00241456,-0.00110632,-0.000840634,-0.00739332,-0.0010483,-0.000948004,-0.000165591,0.000141951,-0.000171524,6.05375e-05,-0.00035539,0.000107244,-0.00986054,-0.00228568,-0.00120061,-0.00112964,-0.00248431,-0.00319246,-0.00512757,-0.00124039,-0.00418048,-0.0021721,-0.000260904,0.00248131,0.000395697,0.000361458,-0.00180106,-0.000826712,-0.000962564,-0.000279519,-0.000662056,0.000215011,-0.003617,0.0,0.000218291,0.000143476,7.65786e-06,0.000236625,0.000103813,0.000575953,-0.000111289,0.0098722,0.00184129,0.000575556,0.00159228,0.000326192,0.00132377,-0.00235302,-0.00149439,-0.000130792,0.00014835,0.00163266
EUP,-0.0855423,-0.00167399,-0.000904321,-0.00275268,-0.000806984,-0.00186802,-0.00580991,-0.000320566,-0.0295846,-0.0301872,-0.00518554,-0.00251999,-0.0463536,-0.000451727,-0.000319803,-0.000362884,-0.000716483,-0.0024232,-0.000957339,-0.00557754,-0.00414458,-0.00482889,-0.00315048,-0.00243914,-0.00148686,-0.000141533,-0.00305137,-0.00277267,-0.000278927,-0.00047341,-0.000469965,-0.0016008,-0.00312253,-0.00154459,-0.000231376,-0.000424429,-0.00294496,-0.000428962,-0.00238623,-0.00234132,-0.000311097,-0.000414755,-0.000133415,-0.000126168,-0.000378661,-0.000368292,-0.000522953,-0.000412209,-0.000254125,-7.39743e-05,-0.0035214,-0.000218291,0.0,-0.000178857,-0.000147478,0.0011143,0.000993503,0.000955084,6.31789e-05,0.000141839,-0.00033456,0.000590076,0.000384782,0.0194133,0.000291266,-0.00167622,-0.0045926,-0.00122672,0.000107908,-2.74598e-06
ZG,-0.0417493,-0.000791967,-0.00079148,-0.000506733,-7.81422e-05,-0.00965615,-0.00115811,-0.000988087,-2.73256e-05,-0.000555007,-0.000429699,-0.000525332,-0.00576802,-0.000409971,-0.00027232,-0.000232979,-0.000533637,-0.000359358,-0.000444093,-0.000222936,9.21396e-05,-0.000161992,-0.000489954,-0.000274169,-0.000169778,-0.0660929,-0.00016527,-3.47813e-05,-0.000229841,0.000299538,-0.00023646,-0.000135554,-0.000191018,-0.000358491,-0.000427053,-0.000278938,-0.00036073,-0.000333547,-0.000378586,-0.000500578,-4.48389e-05,-0.000332757,-7.03606e-05,-4.34752e-05,-0.000298166,-0.000305296,-0.000456726,-0.000416227,-0.000216128,2.04078e-05,-0.00450721,-0.000143476,0.000178857,0.0,0.000275021,0.00161672,0.000856046,0.000936062,3.38298e-05,0.000434368,-0.0003292,0.000796262,0.000948876,0.000857165,0.000788807,-0.000350782,-0.000190681,-0.0009741,0.000355743,0.000602132
ZL,-0.0510936,-0.00714153,-0.000433991,-0.00277752,-0.000528259,-0.00435681,-0.00100239,-6.01217e-05,-3.77076e-05,-0.000611517,-0.00410906,-0.00582106,-0.0451874,-0.000173612,-0.000963258,-0.000129639,-0.00310478,-0.0046293,-0.000666077,-0.00198547,2.05766e-05,-5.94768e-05,-0.000361832,-7.38834e-05,-0.000451816,-0.00991982,-0.000392188,-0.00179523,-0.00207701,0.00280067,-8.31199e-05,-0.000423092,-0.000370618,-0.00330973,-0.00755492,-0.000142251,-0.00123862,-0.000150444,-0.00202548,-0.00605924,2.52237e-05,-0.000100291,-1.99807e-05,8.53616e-05,-7.63515e-05,-0.000102698,-0.000196858,-0.000121059,-4.02118e-05,4.80253e-05,-0.00392686,-7.65786e-06,0.000147478,-0.000275021,0.0,0.000948654,0.000717024,0.000845752,0.000248522,0.00139205,-0.000118978,0.00077757,0.000839417,0.000592638,0.000672091,-0.000424843,-0.000709466,-0.000527404,0.00048104,0.000592041
ZM,-0.128387,-0.00185784,-0.000669067,-0.00349855,-0.000633397,-0.00196958,-0.00287274,-0.00847452,-0.00703639,-0.00148688,-0.00124973,-0.00145912,-0.0168453,-0.0017668,-0.000279929,-0.00024511,-0.000476308,-0.00160488,-0.000463971,-0.000956161,-0.000833703,-0.00038956,-0.00177307,-0.00104129,-0.00188318,-0.00246214,-0.00224555,-0.00549192,-0.000896543,-0.00186607,-0.000269446,-0.00041983,-0.000852717,-0.00151368,-0.000350228,-0.000283241,-0.000512569,-0.000293046,-0.000655594,-0.000835651,-0.0002343,-0.000275699,-0.000205902,-0.000129528,-0.000276328,-0.000284782,-0.000332517,-0.000387351,-0.000223394,-0.00015112,-0.00459194,-0.000236625,-0.0011143,-0.00161672,-0.000948654,0.0,0.000302716,0.00173415,-0.000174488,8.76315e-05,-0.000325544,0.000392971,0.000221079,0.00390287,0.000174177,-0.000619713,-0.000648508,-0.000600809,7.02214e-05,-0.000286644
ZS,-0.0409741,-0.000704207,-0.000438132,-0.000988355,-6.46299e-05,-0.000839606,-0.000590605,-0.000392351,-0.0025234,-0.00109566,-0.000896055,-0.00120781,-0.0148719,-0.000734873,-0.000103532,-9.74369e-05,-0.000262335,-0.00136031,-0.000215628,-0.000308778,-0.000245802,-0.000244404,-0.000251998,-0.00016318,-0.000288503,-0.000823817,-0.000340658,-0.00132503,-0.000151378,-0.000425521,-7.53993e-05,-6.86896e-05,-0.00038891,-0.000354949,-0.000216467,-0.000164644,-0.000216651,-9.65583e-05,-0.000154516,-0.000341647,-0.000117566,-7.53682e-05,-6.83358e-05,1.05439e-05,-8.70564e-05,-0.000102033,-0.000120017,-0.000222724,-8.67183e-05,-2.04719e-06,-0.00395211,-0.000103813,-0.000993503,-0.000856046,-0.000717024,-0.000302716,0.0,0.000692445,0.000629611,0.00018489,-0.000206945,0.00103944,0.000470866,0.000386991,0.000369022,-0.000130634,-0.00020087,-0.000159909,0.000646708,-8.40389e-05
PL,-0.0466576,-0.000881867,-0.00144706,-0.00125195,-0.0002966,-0.000906502,-0.00100794,-0.00151243,-0.00207808,-0.00126783,-0.000927547,-0.000967611,-0.00912137,-0.00121043,-0.000779931,-0.000686104,-0.00110811,-0.000863607,-0.000886115,-0.000776403,-0.00078819,-0.000767413,-0.000880418,-0.000798224,-0.000874791,-0.000983207,-0.000921248,-0.00124478,-0.00084319,-0.000949508,-0.000714814,-0.000754676,-0.000708957,-0.000823556,-0.00073938,-0.000783223,-0.000756213,-0.000792891,-0.000734363,-0.000724645,-0.000775057,-0.000585948,-0.000825936,-0.00043283,-0.000621332,-0.000630634,-0.000633507,-0.000886029,-0.000561835,-0.000755683,-0.00883868,-0.000575953,-0.000955084,-0.000936062,-0.000845752,-0.00173415,-0.000692445,0.0,-0.000894214,0.0,-0.000715036,0.0,0.0,0.0,0.0,-0.000763269,-0.000777988,-0.000738875,-0.000908232,-0.000702703
PB,-0.0160374,-0.000164198,-0.000106719,-0.000279251,0.000187606,-0.000123108,1.64842e-05,8.55144e-06,-0.000579423,-0.000152389,-0.000162077,-0.000263307,-0.00519277,-0.000112088,0.000170865,0.000164831,0.000100228,-0.000202065,7.65028e-05,7.41974e-05,7.29689e-05,9.08561e-05,0.000128697,0.000161812,0.000109378,-8.22265e-05,6.30093e-05,-0.000183433,0.000127901,7.01915e-05,0.000170952,0.000266531,8.49173e-05,7.67749e-05,7.33708e-05,9.44249e-05,0.00011125,0.000141563,0.000173517,-8.82205e-05,6.71894e-05,0.000169301,0.000166661,0.000235463,0.000162527,0.000143017,0.000115139,5.8606e-05,0.000123152,0.000246363,-0.00247149,0.000111289,-6.31789e-05,-3.38298e-05,-0.000248522,0.000174488,-0.000629611,0.000894214,0.0,0.000326066,1.80389e-07,0.000880309,0.00083338,0.000373472,0.000651828,0.000251875,0.000187478,0.000151503,0.00154781,0.000242541
