CUT3,SB,MM,TUR,XIP,THU,LPL,MPL,SPL,HAK,HAK1,HAK2,HAK3,HAK4,MUL,MUL1,MUL2,MUL3,TRA,PAG,DFS,DFH,DSM,DSP,DSR,MSC,MSG,MSP,ENG,SAR,EPI,CEBH,CEBS,CEPH,CEPS,DNS,DNH,DRS,DRH,ARF,PWL,SUP,MbO,MbFF,MbDF,MbC,MbPAR,MbSCA,MbH,MbGRA,MbSF,MbPF,BO,EUP,ZG,ZL,ZM,ZS,PB,BB,PS,DF,PL,MB,SG,MA,Bathyrajabrachyurops,Dalatiaslicha,Dipturusoxyrinchus,Etmopterusspinax,Galeusmelastomus,Myliobatisaquila,RSHC1,RSSC1,Rajaasterias,Rajamiraletus,Rajapolystigma,SSHC1,SSSC1,Scyliorhinuscanicula,Torpedomarmorata,Torpedotorpedo,DC,SPOM,BD
DFS,-0.0217567,-0.0170105,-0.00125401,-0.0194809,-0.00951607,-0.00954553,-0.00414232,-2.88318e-05,0.0129807,0.0106746,0.0226072,-0.00790086,-0.64535,0.0294364,0.0172986,0.0902762,0.121413,0.00491333,-0.00065122,0.0,0.0117239,0.00762018,-0.0701019,-0.000647275,-0.00213177,0.000203553,-0.00267005,0.000595424,6.19793e-05,0.000307794,0.0066062,0.00339681,-0.00879224,-0.0317239,0.00403082,0.00279499,0.000590347,-0.000109802,-0.000504521,-4.28735e-05,0.00200708,0.000937045,0.000600242,0.000722854,0.000629785,5.14533e-05,-0.000131554,4.87733e-05,-4.33674e-06,0.000929024,-0.00295516,0.00110713,0.00557924,0.000223399,0.00198635,0.000956555,0.000309219,-7.35906e-05,0.00041816,0.000611567,0.00372204,0.000776576,0.0016526,0.00117785,0.00138951,-0.0113206,-0.129411,-0.054891,-0.0270101,-0.00403273,-0.00960743,-0.0126757,-0.0103388,-0.00358954,-0.000548442,-0.028298,-0.00137644,-0.0997811,-0.0133487,-0.0020727,-0.00553968,-0.00132748,0.000136833,0.00117191
DFH,-0.349832,-0.00499479,-0.00113795,-0.00410995,-0.00183693,-0.00210431,-0.00108624,0.000124388,7.96598e-05,-0.0130199,-0.00247186,-0.00834863,-0.0749211,-0.000200941,4.45239e-05,-9.33513e-05,-0.000180892,-0.00403036,-0.00753272,-0.0117239,0.0,0.00209024,-0.0453934,-0.00777793,-0.000232167,0.000155394,-0.000232182,0.000155468,-7.74941e-06,-0.00121152,-5.84175e-05,-0.000406002,-0.00977423,-0.00439736,0.000450466,0.00224454,-1.18505e-05,0.00071374,-0.000475505,-0.000285956,0.00214392,-5.52704e-05,0.000399405,0.000684018,0.000208209,0.000677434,0.000709316,0.000165794,4.20614e-05,0.000305098,-0.00253825,0.000840834,0.0041454,-9.20474e-05,-2.04739e-05,0.000833874,0.000245925,-7.28514e-05,0.000443432,0.000649211,0.00282957,0.000788318,0.00149714,0.00112728,0.00132592,-0.00601876,-0.0229421,-0.00781963,-0.00884889,-0.00114102,-0.00777331,-0.0041211,-0.00441709,-0.0028864,-0.000279135,-0.0249359,-0.0052295,-0.00312363,-0.0407383,-0.00736492,-0.109711,-0.000769466,0.000383132,0.00105956
DSM,-0.0834104,-0.00709329,-0.00175873,-0.00527984,-0.00127228,-0.00145384,-0.0228522,0.000158305,8.82147e-05,-0.000320615,-0.0204103,-0.000850273,-0.026889,-0.000235075,-3.86102e-05,-0.00101192,-0.00799769,-0.000409058,-0.00482371,-0.00762018,-0.00209024,0.0,-0.0107209,-0.00530577,7.61697e-06,0.000204924,-5.29248e-06,0.000144083,-3.73225e-05,0.000128208,-0.00156565,-0.0202554,-0.0203903,-0.00230617,0.000116706,0.00147919,-0.000680376,-0.000629794,-0.000589164,-0.000314098,0.0019813,0.000348201,0.000256351,0.00032366,3.4542e-06,-0.000285676,-0.000787472,-2.10931e-05,-4.4505e-05,0.000252133,-0.00306289,0.0073949,0.00482988,0.000162403,5.98891e-05,0.000389782,0.000244782,-9.02929e-05,0.00078221,0.000684319,0.00308127,0.000767524,0.00180791,0.00126107,0.00136321,-0.286948,-0.125928,-0.00315941,-0.0853337,-0.008251,-0.0926063,-0.0177141,-0.00436345,-0.0388104,-0.0116691,-0.691419,-0.0328255,-0.0241179,-0.0299388,-0.559636,-0.109303,-0.00177476,0.000357653,0.00126685
DSP,-0.122571,-0.0481163,-0.00123484,-0.0083967,-0.0728304,-0.00960592,-0.0012692,0.0956708,0.0010676,0.00104593,0.00187033,-0.000584393,-0.0120301,0.0184712,0.0754286,0.00860046,0.01446,0.00077258,0.00724037,0.0701019,0.0453934,0.0107209,0.0,0.0102438,0.00481203,0.000353522,0.0354956,0.00231955,0.00274697,0.0013186,0.000570202,0.000730868,-0.00352577,-0.0103038,0.000829271,0.00258261,-0.000355052,0.000300025,-0.000570528,-0.000292645,0.00174038,0.000632316,0.000740594,0.000738485,0.000351234,0.000433384,0.000309854,0.000195211,3.94534e-05,0.000443951,-0.00332085,0.00104901,0.00315169,0.00049042,0.000362287,0.0017737,0.000252368,-0.000128237,0.000320805,0.000638597,0.00260532,0.000880665,0.0015381,0.00117523,0.00136768,-0.00378405,-0.0171079,-0.0835188,-0.00585193,-0.000377126,-0.00968888,-0.000752411,-0.0142169,-0.00341936,-0.00256547,-0.0282977,-0.0248535,-0.00171891,-0.00190955,-0.00240651,-0.00440346,-0.000137993,0.000218538,0.00105333
DSR,-0.492449,-0.00648876,-0.00283339,-0.00836583,-0.00738717,-0.000608824,-0.00278995,0.000264946,6.48074e-05,0.000154057,-0.000746757,-0.000667176,-0.00957631,-0.000294763,5.99328e-05,-7.38077e-05,-0.000123938,-0.000281193,-0.000959834,0.000647275,0.00777793,0.00530577,-0.0102438,0.0,0.000232465,0.000332976,0.000105432,0.00060097,9.9126e-05,0.000733163,-0.00512682,-1.90888e-05,-0.0271871,-0.00204932,0.000479311,0.00522498,-0.000728895,0.0297799,-0.000655047,-0.000339021,0.00181656,0.00260631,0.00313738,0.00197404,0.00255669,0.00386676,0.00289441,0.00438938,0.000331281,0.0004854,-0.00285097,0.000950959,0.00244062,0.000276101,7.5828e-05,0.00104231,0.000164842,-0.000159047,0.000332913,0.000643635,0.00192695,0.000798395,0.00223066,0.00146815,0.00207466,-0.0748589,-0.0696603,-0.00296047,-0.0215623,-0.00433228,-0.0266868,-0.00379038,-0.00502036,-0.0106601,-0.00227335,-0.0851959,-0.157884,-0.00714912,-0.0128787,-0.0189098,-0.0293828,-0.000504785,0.000144644,0.00134679
MSC,-0.0199431,-0.0116248,-0.000950935,-0.0129407,-0.00580923,-0.0103915,-0.00984308,-0.0105184,0.000134236,-0.00346387,-0.00767064,-0.00357953,-0.0432219,-0.000166137,-4.10426e-05,9.01121e-05,0.00012579,-0.00429716,-0.000926882,0.00213177,0.000232167,-7.61697e-06,-0.00481203,-0.000232465,0.0,0.000164188,-0.0421491,0.000118048,-9.50369e-05,0.000157418,8.92002e-05,-0.00448608,-0.000263565,-0.0164756,0.000332409,-0.000336402,-0.000816031,-0.000335296,-2.39088e-06,-0.00035928,0.00182811,0.00160783,0.00040796,0.000544055,4.11279e-05,-0.00029158,0.000477262,4.23999e-05,-7.05828e-05,0.000240182,-0.0033478,0.00016545,0.00148711,0.000169734,0.000451817,0.00188341,0.000288494,-0.000109496,0.00042616,0.000642457,0.00166995,0.000874911,0.00155855,0.00149465,0.00156651,-0.101958,-0.114298,-0.00343534,-0.0817957,-0.0170897,-0.0294191,-0.00729587,-0.00513832,-0.0120514,-0.00278805,-0.0930595,-0.000803262,-0.00556876,-0.00359796,-0.00212564,-0.00461459,-0.00238227,3.18372e-05,0.00164508
MSG,-0.021787,-0.000253266,-0.00118385,-0.000386033,-3.86408e-05,-0.0650411,-0.000122866,2.42803e-05,-2.59496e-05,-0.000101402,-0.000366064,-0.000427477,-0.00546201,-0.000456209,-0.000310934,-0.000512818,-0.000665218,-0.00030217,-0.00074028,-0.000203553,-0.000155394,-0.000204924,-0.000353522,-0.000332976,-0.000164188,0.0,-0.000163106,3.50814e-05,-0.000191083,0.00247083,-0.000342973,-0.000393449,-0.000255359,-0.000189166,3.22114e-05,-0.00071805,-0.00110307,-0.00104485,-0.001025,-0.000680904,-0.00012704,-0.000373482,0.000446652,8.93358e-05,-0.000662929,-0.000689246,-0.00137745,-0.000258742,-0.000271167,5.88426e-05,-0.00410796,-0.000142028,0.000141587,0.0660993,0.00992077,0.00246238,0.000823896,8.22123e-05,-0.000219213,0.000746405,0.00112785,0.000983303,0.000716698,0.00089431,0.000742706,-0.00396546,-0.00747324,-0.00181506,-0.00357546,-0.000225765,-0.0105774,-0.000685494,-0.00573121,-0.00399978,-0.000701,-0.0294292,-0.000373096,-0.000445475,-0.000311153,-0.00205204,-0.00262851,-0.00427108,0.000445746,0.000565105
MSP,-0.0186601,-0.0482331,-0.00082462,-0.00696625,-0.033497,-0.104504,-0.000256789,0.000137822,0.000127694,7.96153e-05,-0.000241619,-0.000593818,-0.00790634,-0.000139438,-2.22962e-05,7.5483e-05,0.000104165,-0.000427759,-0.000582648,0.00267005,0.000232182,5.29248e-06,-0.0354956,-0.000105432,0.0421491,0.000163106,0.0,0.000117638,-7.0447e-05,0.000155859,5.11757e-05,-0.00142848,-0.000187708,-0.0158794,0.000294739,-0.000293983,-0.00070949,-0.000305392,-2.24257e-05,-0.000308637,0.00188965,0.00132368,0.00036308,0.00048419,7.4202e-05,-0.000246795,0.000356874,4.78903e-05,-4.91018e-05,0.000229768,-0.00294629,0.000171496,0.00305188,0.000165297,0.000392251,0.00224586,0.000340716,-6.30143e-05,0.000443279,0.000628248,0.00270269,0.000921372,0.00147947,0.00135591,0.00145253,-0.00305344,-0.0112645,-0.00276572,-0.00769141,-0.000401378,-0.00811788,-0.000776516,-0.00448651,-0.00295233,-0.000373699,-0.0230755,-0.000549782,-0.000599499,-0.00011568,-0.00156318,-0.00228012,-0.00205614,8.34024e-05,0.00148855
ENG,-1.92783,-0.00720517,-0.000938218,-0.0589612,-0.00433848,-0.00927552,-0.00686529,1.08697e-07,-9.29956e-05,-8.59688e-05,-0.00613507,-0.0105355,-0.121589,-0.000351964,-0.000184353,-0.000236124,-0.000360692,-0.0135984,-0.000397374,-0.000595424,-0.000155468,-0.000144083,-0.00231955,-0.00060097,-0.000118048,-3.50814e-05,-0.000117638,0.0,-0.00012561,0.000122236,-0.000378081,-0.000163897,-0.00576583,-0.01399,-8.92071e-05,0.00537366,-0.000422036,-0.000427394,-0.000398504,-0.000338798,-8.9995e-05,-9.43297e-05,4.83366e-05,1.38819e-05,-0.000271791,-0.000303442,-0.000241894,-0.000231853,-0.000163457,-6.54446e-06,-0.00352654,-6.05741e-05,0.00277292,3.47843e-05,0.00179535,0.00549228,0.00132512,0.000183437,-0.000212037,0.000649287,0.00374649,0.00124486,0.000294464,0.000412027,0.000389845,-0.00445284,-0.00502313,-0.00162501,-0.00220795,-0.000166216,-0.00502227,-0.00173448,-0.00268291,-0.00226314,-0.00027551,-0.014927,-0.000766813,-0.000371195,-0.0015855,-0.00204204,-0.00524822,-0.00132185,0.000392821,-5.45232e-05
SAR,-1.12784,-0.00306936,-0.000999375,-0.0282937,-0.00383551,-0.0249115,-0.00458466,0.000163217,5.90512e-05,8.31604e-05,-0.00209548,-0.00523664,-0.0391271,-0.00017388,4.22826e-05,-2.84285e-05,-0.000102608,-0.00404779,-0.000184319,-6.19793e-05,7.74941e-06,3.73225e-05,-0.00274697,-9.9126e-05,9.50369e-05,0.000191083,7.0447e-05,0.00012561,0.0,0.000289348,-0.000114786,9.63334e-05,-0.0107185,-0.00226272,0.000101644,-0.000154672,-0.000230523,-0.000228892,-0.000162667,-6.03404e-05,0.00547254,-0.000139809,0.000151242,0.000266421,0.000647147,-2.26165e-05,-0.000355941,-3.74688e-05,4.23996e-05,0.000235983,-0.00327281,0.000355441,0.000279045,0.000229914,0.00207734,0.000896682,0.000151445,-0.000127856,0.00117597,0.000682484,0.000598879,0.000843303,0.00263608,0.0012394,0.001902,-0.00376685,-0.0060753,-0.00109381,-0.00234326,2.88274e-06,-0.00640333,-0.00538014,-0.00225316,-0.0282292,-0.000181568,-0.0201608,-0.00333554,-0.000261586,-0.0025686,-0.00227691,-0.0221302,0.000325871,0.000141676,0.00133727
