ORI,SB,MM,TUR,XIP,THU,LPL,MPL,SPL,HAK,HAK1,HAK2,HAK3,HAK4,MUL,MUL1,MUL2,MUL3,TRA,PAG,DFS,DFH,DSM,DSP,DSR,MSC,MSG,MSP,RSH,RSS,SSH,SSS,ENG,SAR,EPI,CEBH,CEBS,CEPH,CEPS,DNS,DNH,DRS,DRH,ARF,PWL,SUP,MbO,MbFF,MbDF,MbC,MbPAR,MbSCA,MbH,MbGRA,MbSF,MbPF,BO,EUP,ZG,ZL,ZM,ZS,PB,BB,PS,DF,PL,MB,SG,MA,DC,SPOM,BD
SB,0.0,0.0121832,0.014915,0.00932231,0.015686,0.0154472,0.0183455,0.0349705,0.00876419,0.0160993,0.0142585,0.0140998,0.00891646,0.0106177,0.0243045,0.0192372,0.0239076,0.0191022,0.0182892,0.0217808,0.349753,0.0834024,0.122557,0.492405,0.0199356,0.0217826,0.0186567,0.0263286,0.0203995,0.0232977,0.0201711,1.92744,1.12761,0.154041,0.0236662,0.0226123,0.0247106,0.0181156,0.0183172,0.109104,0.0168755,0.0336603,0.0186225,0.0139948,0.0614864,0.0246891,0.0211817,0.0219008,0.0278311,0.0229645,0.0257322,0.0198726,0.0153376,0.0202162,0.0147392,0.021925,0.0855571,0.0417524,0.0510976,0.128397,0.040977,0.0160385,0.0192288,0.0312864,0.0978888,0.0466609,0.0399491,0.0355115,0.0399306,0.145559,0.0262791,0.0408466
MM,-0.0121832,0.0,-0.000488812,-0.000107536,0.000219573,4.15527e-05,0.000145541,0.00277908,0.000334669,0.000329549,0.000468877,-7.01118e-05,-0.00295042,0.000750091,0.00191031,0.00169768,0.00219268,0.0220626,0.0407334,0.0170132,0.0049901,0.00708882,0.0480749,0.00648521,0.0116106,0.000252873,0.0481911,-6.79795e-05,-0.00062075,0.00033748,0.00759014,0.00719885,0.00306658,0.00225019,0.00569021,0.00654716,0.138957,0.192398,0.00353907,0.00103264,0.00136473,0.00115192,-0.000173347,0.000382045,0.00133141,0.000810398,0.000469109,0.00071996,0.00043606,9.07622e-05,0.0038531,0.000447897,0.000129879,0.000659206,-0.00152749,0.00094213,0.00167523,0.000792005,0.00714272,0.00185814,0.00070434,0.000164245,0.000342504,0.000687593,0.00175044,0.000881984,0.00140104,0.00108485,0.00126617,-0.000660863,0.000402756,0.00105857
TUR,-0.014915,0.000488812,0.0,0.000242378,0.000898155,0.000670637,0.000912708,0.000885818,0.000524464,0.000808414,0.0005314,0.000474293,-0.00325423,0.000299574,0.000947215,0.000745985,0.000860351,0.00134226,0.000565066,0.00125549,0.00113716,0.00175884,0.00123522,0.00283626,0.000950443,0.00118353,0.000824405,0.000973125,5.85244e-05,0.00107053,0.000943659,0.000938021,0.000999317,0.000822486,0.000714613,0.000958435,0.0480196,0.000878956,0.000870207,0.000326638,6.70797e-05,0.11942,0.000326922,0.00051011,0.00286797,0.0123292,0.0285851,0.00678465,0.00587072,0.0112299,0.00658683,0.0386792,3.33501,0.00359323,0.0635925,0.00161563,0.000904221,0.000791583,0.000434058,0.00066911,0.000438176,0.000106742,0.000903099,0.00136339,0.000892214,0.00144718,0.00863345,0.00433186,0.00750404,0.00561086,0.000613643,0.00422249
XIP,-0.00932231,0.000107536,-0.000242378,0.0,0.000306464,0.00016814,0.0721631,0.0139226,0.0014696,0.00111426,0.00156404,7.33398e-05,-0.00217888,0.000698421,0.000861975,0.00208513,0.0100928,0.00812414,0.000319781,0.0194953,0.00410784,0.00527986,0.00839352,0.00836499,0.0129296,0.000385757,0.00696298,0.000180374,-0.000294925,0.000589845,0.0101451,0.058935,0.0282812,0.000793443,0.0184062,0.00753068,0.143816,0.254287,0.00290255,0.00351145,0.00196523,0.000999444,0.000100595,0.000216624,0.00242836,0.00136078,0.000786689,0.000885642,0.000843538,0.000340098,0.00447885,0.000632595,0.000278141,0.000592252,-0.000851959,0.00150972,0.00275436,0.00050666,0.00277792,0.00349895,0.000988484,0.000279288,0.000673324,0.000853469,0.00296224,0.00125207,0.00182222,0.00133153,0.00164342,0.000453878,0.000578518,0.00141898
THU,-0.015686,-0.000219573,-0.000898155,-0.000306464,0.0,-0.000224898,0.0258742,0.0141567,2.92737e-05,-7.80539e-06,-1.47455e-05,-0.000349046,-0.00395937,0.000403371,0.00220922,0.000558842,0.000863445,0.0129993,-0.000339904,0.00951863,0.00183643,0.00127247,0.0728144,0.0073862,0.00580684,3.85934e-05,0.0334895,-0.000562032,-0.00116687,-0.000217081,0.00175866,0.00433749,0.00383464,0.000118644,0.00114514,0.000271739,0.00263547,0.0507497,0.000878035,0.000124651,-0.000488684,-0.000433293,-0.000719181,-0.000184554,0.000324053,-0.000325493,5.67496e-05,5.80178e-05,-0.000407094,-0.000479947,-0.000653208,-0.000186841,-0.000234968,0.000167746,-0.00295363,4.42342e-05,0.000807342,7.81229e-05,0.000528304,0.000633427,6.46385e-05,-0.000187613,-7.43526e-05,0.000213667,0.000791503,0.000296609,0.000461221,0.00037205,0.000418064,-0.00269878,-0.000113977,0.000169153
LPL,-0.0154472,-4.15527e-05,-0.000670637,-0.00016814,0.000224898,0.0,0.0473486,0.0265188,0.000188104,0.000221123,0.000185161,-0.000142433,-0.00377126,0.000131549,0.000496045,0.000777203,0.00104153,0.129409,-0.000270813,0.00954553,0.00210373,0.00145386,0.00960434,0.000609971,0.0103891,0.0650286,0.104484,-0.000175989,-0.000856628,7.7681e-05,0.00061546,0.00927374,0.0249068,0.000797539,0.00128286,0.00629426,0.00947027,0.0141069,0.00112759,0.00236188,0.000498184,-0.000227609,-0.000366029,0.00297596,0.00156861,0.000764332,0.000512808,0.000453716,0.000138416,7.34906e-05,1.91548e-05,8.86475e-05,7.18922e-06,0.00202491,-0.00264156,0.000369302,0.00186833,0.00965645,0.00435695,0.00196963,0.000839632,0.00012311,0.000315939,0.000707178,0.00192848,0.000906526,0.0013681,0.00104163,0.00118319,-0.000933226,0.000347164,0.000949445
MPL,-0.0183455,-0.000145541,-0.000912708,-0.0721631,-0.0258742,-0.0473486,0.0,0.21245,5.5206e-05,5.51352e-05,-0.000101291,-0.000279296,-0.00454915,-0.000216556,-2.0094e-05,0.000110913,0.000120365,0.0327566,-0.000436657,0.00414292,0.00108585,0.0228486,0.00126911,0.00279043,0.00984113,0.000122779,0.000256669,-0.000416143,-0.00117639,-0.0106071,-0.000237608,0.00686413,0.00458388,0.000217499,0.00155427,0.00332677,0.0395744,0.00976097,0.000420992,0.00411424,-0.000291862,0.000182472,-0.000617784,0.000368015,0.00109787,0.000797944,0.00287342,0.000396631,-9.39718e-05,-0.000340063,0.000595044,2.51631e-05,-0.000101786,0.000619575,-0.00315843,0.00127009,0.00581104,0.00115829,0.00100257,0.00287288,0.000590744,-1.62782e-05,0.000206416,0.000633651,0.00455735,0.00100797,0.00130945,0.000944295,0.00107734,-0.00222931,0.00021821,0.000774381
SPL,-0.0349705,-0.00277908,-0.000885818,-0.0139226,-0.0141567,-0.0265188,-0.21245,0.0,-4.05013e-05,-8.0488e-05,-0.000285429,-0.000387108,-0.00493153,-0.000336546,-0.000231136,-0.000304703,-0.000389905,-0.00029183,-0.000559958,2.88724e-05,-0.000124769,-0.000158521,-0.0956493,-0.000264843,0.0105175,-2.44896e-05,-0.000138087,-0.00332712,-0.00297704,-0.0172345,-0.0010937,-2.5131e-07,-0.000163473,2.2753e-05,-0.000251407,-0.00030157,-0.000548488,-0.00261713,-3.76859e-05,-0.000498751,-0.00080746,-0.0006765,-0.000605512,-0.000506202,0.000224136,-0.000229757,0.000927208,7.29915e-05,-0.000441785,-0.000501417,-0.000678259,-0.000183124,-0.000206861,1.70593e-05,-0.0029328,-0.000111762,0.000320663,0.000988277,6.03014e-05,0.00847466,0.000392505,-8.29462e-06,-6.76947e-05,0.000467319,0.00330046,0.00151244,0.000471081,0.000511441,0.000488916,-0.00297384,0.000223581,0.000238346
HAK,-0.00876419,-0.000334669,-0.000524464,-0.0014696,-2.92737e-05,-0.000188104,-5.5206e-05,4.05013e-05,0.0,-4.21618e-05,-0.0153448,-0.000362598,-0.325827,-0.000311372,-0.000125427,-8.22387e-05,-0.000219102,-1.02023e-05,-0.000229408,-0.012978,-7.97386e-05,-8.80945e-05,-0.00106721,-6.41087e-05,-0.000134263,2.59421e-05,-0.000127677,-0.000204984,-0.000922109,-0.000139911,-0.000562116,9.29951e-05,-5.90026e-05,7.36427e-05,-8.97521e-05,-1.7907e-05,-0.000164457,-0.000601699,-4.54351e-05,-0.000102233,-5.16146e-05,-8.27672e-05,-4.14663e-05,-0.000136818,-0.000118421,-0.000108837,-2.40039e-05,-2.045e-05,-0.000129029,-0.000127486,-0.000146335,-0.000344336,-0.00013602,5.88735e-05,-0.00352153,-0.00012487,0.0295898,2.73392e-05,3.77104e-05,0.00703652,0.00252345,0.000579432,-0.000294152,0.00113539,0.0200353,0.00207812,0.00024541,0.000645387,0.000496888,-7.74468e-05,0.000770319,6.72446e-05
HAK1,-0.0160993,-0.000329549,-0.000808414,-0.00111426,7.80539e-06,-0.000221123,-5.51352e-05,8.0488e-05,4.21618e-05,0.0,-0.00991609,-0.000433625,-0.212054,-0.000263433,-0.000126048,-0.000258314,-0.000339055,-0.000147451,-0.000465197,-0.0106736,0.0130171,0.000319328,-0.00104748,-0.000155114,0.00346214,0.000100454,-8.08591e-05,-0.0325318,-0.00191123,-0.0170969,-0.00140077,8.53146e-05,-8.4446e-05,0.00233254,9.97094e-05,-0.000186693,-0.000153427,-0.000517706,0.00491915,-4.67832e-05,-0.000635049,-0.00045211,-0.000601209,-0.000407199,0.00132426,-0.000397936,0.00013315,0.000244092,-0.000196796,-0.000282347,-0.000614048,-7.45182e-05,-0.000111612,0.00021697,-0.00291076,0.000313904,0.0301925,0.000554547,0.000611037,0.00148671,0.00109527,0.000151661,0.000242259,0.000872514,0.0183427,0.00126786,0.000988775,0.000945585,0.00100975,-0.00249411,0.000344798,0.000838807
