CUT1,SB,MM,TUR,XIP,THU,LPL,MPL,SPL,HAK,HAK1,HAK2,HAK3,HAK4,MUL,MUL1,MUL2,MUL3,TRA,PAG,DFS,DFH,DSM,DSP,DSR,MSC,MSG,MSP,ENG,SAR,EPI,CEBH,CEBS,CEPH,CEPS,DNS,DNH,DRS,DRH,ARF,PWL,SUP,MbO,MbFF,MbDF,MbC,MbPAR,MbSCA,MbH,MbGRA,MbSF,MbPF,BO,EUP,ZG,ZL,ZM,ZS,PB,BB,PS,DF,PL,MB,SG,MA,Dipturusoxyrinchus,Myliobatisaquila,RSHC1,RSSC1,SSHC1,SSSC1,SSSC2,Torpedomarmorata,DC,SPOM,BD
MbFF,-0.0211833,-0.000469496,-0.0285873,-0.000787011,-5.67909e-05,-0.000512873,-0.00287364,-0.000927241,2.39951e-05,-0.000133485,-0.000733364,-0.00080037,-0.00729789,-0.00103768,-0.00921251,-0.00301878,-0.0230037,-0.000394592,-0.00311854,-0.000600047,-0.00039947,-0.00025619,-0.000740358,-0.00313625,-0.000407886,-0.000446627,-0.000363042,-4.83266e-05,-0.00015118,6.78207e-05,-0.00147509,-0.000858274,-0.000790679,-0.000424879,-0.000270795,-0.000929429,-0.00242936,-0.00600588,-0.00231037,-0.00606533,-0.000161559,-0.00369064,0.0,4.24821e-05,-0.0041656,-0.00231874,-0.00652024,-0.000239148,-0.00616362,8.0606e-05,-0.00363488,-0.000395787,0.00013344,7.03372e-05,1.99643e-05,0.000205903,6.8322e-05,-0.000166709,-0.000212294,0.000737902,0.000270391,0.000825971,0.00484137,0.000957267,0.000721551,-0.00508063,-0.0561072,-0.00273354,-0.0190545,-0.00158877,-0.000578054,-0.000880027,-0.00441972,-0.00306368,0.00051439,0.000701192
MbDF,-0.0219023,-0.000720451,-0.00678516,-0.000885959,-5.80513e-05,-0.00045377,-0.000396669,-7.30044e-05,2.04428e-05,-0.000244385,-0.000807239,-0.000758384,-0.00738578,-0.00141607,-0.00307536,-0.00808177,-0.0116476,-0.000454685,-0.014717,-0.000722663,-0.000684046,-0.000323512,-0.000738265,-0.00197315,-0.000543977,-8.93283e-05,-0.000484144,-1.38729e-05,-0.000266356,-1.13006e-05,-0.000943259,-0.00104777,-0.00184413,-0.000574797,-0.000538694,-0.000877938,-0.00286787,-0.00101462,-0.00187184,-0.00385048,-0.00017685,-0.00348114,-4.24821e-05,0.0,-0.00704329,-0.00794429,-0.00620849,-0.000302138,-0.00575492,3.70816e-05,-0.00396554,-0.00036152,0.000126194,4.34658e-05,-8.53675e-05,0.000129532,-1.05481e-05,-0.000235491,1.37329e-05,0.000435401,0.000242235,0.000432847,0.00650369,0.00278641,0.00425937,-0.00531289,-0.0266726,-0.00146532,-0.0180283,-0.00137161,-0.000749499,-0.00118582,-0.00368614,-0.00328538,-0.000120037,0.0013942
MbC,-0.027833,-0.00043662,-0.00587114,-0.000843948,0.000407102,-0.000138432,9.4e-05,0.000441799,0.00012904,0.000195689,-0.000539374,-0.000467383,-0.00923168,-0.0134223,-0.0103676,-0.0092588,-0.0272254,6.78047e-05,-0.0220688,-0.000629344,-0.000208631,-3.05143e-06,-0.000350845,-0.00255377,-4.10795e-05,0.000662779,-7.42513e-05,0.000271753,-0.000646987,0.000302676,-0.00168404,-0.00134571,-0.000996004,-0.000305282,5.38675e-05,-0.000915118,-0.00291809,-0.000804885,-0.0018053,-0.00721463,-0.000415934,-0.00169141,0.0041656,0.00704329,0.0,0.00781348,-0.00421051,0.00334321,0.00155156,0.00408286,-0.0024455,0.00180128,0.000378817,0.000298213,7.63989e-05,0.000276376,8.70856e-05,-0.000162539,0.00017456,0.000605582,0.000443009,0.000621429,0.0033937,0.00222449,0.00255372,-0.005666,-0.0326023,-0.00121412,-0.0208962,-0.000749061,-0.000367509,-0.00103401,-0.0045584,0.00395574,-2.49617e-05,0.00201204
MbPAR,-0.022966,-9.11012e-05,-0.0112307,-0.000340332,0.000479976,-7.3493e-05,0.000340116,0.000501439,0.000127501,0.000281284,-6.95122e-05,-7.0508e-05,-0.00596832,-0.00215374,-0.0138503,-0.00132344,-0.0158513,0.000279596,-0.00460752,-5.1121e-05,-0.000677834,0.000286008,-0.000433038,-0.00386382,0.000291562,0.000689052,0.000246688,0.000303379,2.27025e-05,0.000347352,-0.000283761,2.65933e-05,-0.000678425,0.000178403,0.00038711,-0.00044988,-0.000749391,-0.000381128,-0.00085539,-0.00137819,0.000335834,0.00211202,0.00231874,0.00794429,-0.00781348,0.0,-0.00247233,0.0619043,0.00188249,0.00458253,0.104953,0.000826826,0.000368461,0.000305367,0.000102765,0.000284846,0.00010208,-0.00014301,0.000172103,0.000616,0.000435218,0.000630752,0.00360013,0.00221607,0.00273875,-0.00298465,-0.0207254,-0.000484316,-0.0124595,-0.00048423,0.00037193,-2.75283e-05,-0.00247996,0.00434407,0.00011788,0.00181893
MbSCA,-0.0257338,-0.00385575,-0.00658723,-0.00448049,0.000653263,-1.9098e-05,-0.000594971,0.000678355,0.000146361,0.000612382,-0.00024584,-0.000221602,-0.0114653,-0.000217716,-0.00908407,-0.00449757,-0.0111113,0.000220612,-0.0611288,0.000132009,-0.000710061,0.000787924,-0.000309422,-0.00289007,-0.000477304,0.00137702,-0.000357065,0.00024178,0.000356044,0.00060035,-0.00471726,-0.00163106,-0.0245042,-0.000666599,0.000717705,-0.00988056,0.000154097,0.000279658,0.000461034,0.000388289,0.000904725,0.00466556,0.00652024,0.00620849,0.00421051,0.00247233,0.0,0.041223,0.00314229,0.00376437,0.0678751,0.000962743,0.000523257,0.000456884,0.000197009,0.000332627,0.000120111,-0.000115076,0.000252108,0.000601673,0.000532117,0.00063367,0.00351252,0.00207055,0.00253311,-0.00296798,-0.0143145,-0.000918399,-0.0025551,-0.00306839,-0.000201764,-0.000547365,-0.005241,0.0118219,5.49935e-05,0.00186607
MbH,-0.0198737,-0.000448338,-0.038682,-0.000632895,0.000186814,-8.86802e-05,-2.51817e-05,0.000183106,0.000344331,7.39274e-05,-0.000205978,-0.000237659,-0.0049691,-0.000404176,-0.00142084,-0.000852574,-0.00229032,-5.56539e-05,-0.00585953,-4.85318e-05,-0.000165965,2.13433e-05,-0.000194958,-0.00438749,-4.23208e-05,0.00025873,-4.78685e-05,0.000231859,3.7556e-05,0.000309212,-0.000510011,-0.000186628,-0.00212267,-2.5501e-05,0.000154044,-0.00113231,-0.000607746,-0.000511812,-0.000473876,-0.000263188,0.000320802,-0.000557743,0.000239148,0.000302138,-0.00334321,-0.0619043,-0.041223,0.0,-0.043434,0.000355589,-0.00339866,0.000279475,0.000412277,0.000416238,0.000121076,0.00038737,0.000222738,-5.86128e-05,0.00218697,0.000893243,0.00050875,0.000886067,0.0197295,0.00444981,0.0458414,-0.00156132,-0.00926015,-0.000385608,-0.00463243,-0.000679635,-4.55192e-05,-0.000272913,-0.00199478,-0.0024847,3.92269e-05,0.00367194
MbGRA,-0.0153385,-0.00013012,-3.33525,-0.000278313,0.000234962,-7.20374e-06,0.000101789,0.000206854,0.000136025,0.000111058,-0.000119737,-0.000147538,-0.00397031,-0.000944218,-0.000819971,-0.000736667,-0.00203358,2.45845e-05,-0.00259128,4.53981e-06,-4.22542e-05,4.47189e-05,-3.92588e-05,-0.000329934,7.06237e-05,0.000271123,4.90926e-05,0.000163446,-4.23307e-05,0.000190189,-0.000206793,-8.98171e-05,-0.000448183,4.41087e-05,0.000125389,-0.000484939,-0.000620369,-0.000465088,-0.000469045,-0.000552608,0.000153291,0.0040413,0.00616362,0.00575492,-0.00155156,-0.00188249,-0.00314229,0.043434,0.0,0.00306755,0.0723961,0.000662078,0.0002542,0.000216149,4.02336e-05,0.00022342,8.6736e-05,-0.000123159,7.05438e-05,0.000553983,0.000331538,0.000561891,0.00542454,0.0025844,0.00392698,-0.00129277,-0.00811589,-0.000200105,-0.00440985,-4.73778e-05,7.94883e-05,-0.000132891,-0.00144487,-0.000359803,1.00803e-05,0.00191369
MbSF,-0.0202173,-0.0006597,-0.0035935,-0.000592533,-0.000167803,-0.00202509,-0.000619626,-1.70686e-05,-5.8879e-05,-0.000217255,-0.00260223,-0.00412552,-0.0452168,-0.000933677,-0.000770162,-0.000835907,-0.00203537,-0.00481435,-0.00179617,-0.000928819,-0.000305162,-0.000251998,-0.000443784,-0.000484689,-0.000240132,-5.8841e-05,-0.000229746,6.54927e-06,-0.000235926,-9.83962e-06,-0.000446105,-0.000484521,-0.000577613,-0.000383169,-0.00115096,-0.000722443,-0.00107555,-0.000921319,-0.000970934,-0.000931598,-0.000275812,-0.000972268,-8.0606e-05,-3.70816e-05,-0.00408286,-0.00458253,-0.00376437,-0.000355589,-0.00306755,0.0,-0.00429199,-0.000215062,7.39992e-05,-2.04189e-05,-4.80297e-05,0.000151125,2.04389e-06,-0.000246391,-0.000303329,0.000667027,0.000229742,0.000755713,0.00925511,0.000735829,0.000558393,-0.00215398,-0.0101889,-0.000850337,-0.00563983,-0.000497505,-0.000466284,-0.000599625,-0.00233856,-0.0036752,0.000430773,0.00030923
MbPF,-0.0147401,0.00152704,-0.0635972,0.000851681,0.00295375,0.00264168,0.00315861,0.00293276,0.00352161,0.00290596,0.00230918,0.00228686,-0.00280584,0.00337381,0.00176038,0.00244239,0.00160018,0.00331065,-0.00564674,0.00295669,0.00253636,0.00306462,0.00332208,0.00286219,0.00334802,0.00410755,0.00294608,0.00352635,0.00327318,0.0046577,0.00265746,0.00419587,-0.000113608,0.00343972,0.00353554,0.00118718,0.0026053,0.00271109,0.003465,0.00240274,0.00338387,0.00296515,0.00363488,0.00396554,0.0024455,-0.104953,-0.0678751,0.00339866,-0.0723961,0.00429199,0.0,0.00361691,0.00352211,0.00450756,0.0039273,0.00459235,0.00395249,0.00247172,0.00233844,0.00876182,0.00408788,0.00883947,0.124457,0.0136993,0.0103635,0.00180384,-0.0030412,0.00427518,0.000678782,0.00360371,0.00433391,0.00330273,0.00214352,0.00199805,0.0136928,0.0145685
BO,-0.0219264,-0.00094267,-0.00161577,-0.00151008,-4.42436e-05,-0.000369342,-0.00127018,0.000111753,0.000124872,-0.000314378,-0.00202174,-0.00124249,-0.00881804,-0.0186935,-0.00361824,-0.0018852,-0.00272677,-0.00030166,-0.00241459,-0.00110685,-0.000840933,-0.00739416,-0.00104871,-0.000949771,-0.000165401,0.000142002,-0.000171491,6.05692e-05,-0.000355368,0.000107251,-0.0098624,-0.00228558,-0.00120204,-0.00113239,-0.00248436,-0.00319247,-0.00512851,-0.00124,-0.00418127,-0.0021723,-0.000260893,0.00248165,0.000395787,0.00036152,-0.00180128,-0.000826826,-0.000962743,-0.000279475,-0.000662078,0.000215062,-0.00361691,0.0,0.000218358,0.00014351,7.69794e-06,0.000236654,0.000103847,-0.000111257,0.00184143,0.000575592,0.000326237,0.000575989,0.00987281,0.00159238,0.00132386,-0.00421007,-0.0129418,-0.00166247,-0.00358611,-0.00331324,-0.0014667,-0.00281586,-0.0340132,-0.000131308,0.000148398,0.00163281
