CUT2,SB,MM,TUR,XIP,THU,LPL,MPL,SPL,HAK,HAK1,HAK2,HAK3,HAK4,MUL,MUL1,MUL2,MUL3,TRA,PAG,DFS,DFH,DSM,DSP,DSR,MSC,MSG,MSP,ENG,SAR,EPI,CEBH,CEBS,CEPH,CEPS,DNS,DNH,DRS,DRH,ARF,PWL,SUP,MbO,MbFF,MbDF,MbC,MbPAR,MbSCA,MbH,MbGRA,MbSF,MbPF,BO,EUP,ZG,ZL,ZM,ZS,PB,BB,PS,DF,PL,MB,SG,MA,Bathyrajabrachyurops,Dalatiaslicha,Dipturusoxyrinchus,Myliobatisaquila,RSHC1,RSSC1,Rajaasterias,Rajapolystigma,SSHC1,SSSC1,SSSC2,Scyliorhinuscanicula,Torpedomarmorata,DC,SPOM,BD
SB,0.0,0.0121846,0.0149169,0.00932337,0.015688,0.0154492,0.018345,0.0349647,0.00876504,0.0160719,0.0142153,0.0140599,0.00888589,0.0106351,0.0243281,0.0192371,0.0239065,0.0190991,0.0182876,0.0217637,0.349809,0.0834102,0.122563,0.492426,0.0199448,0.0217854,0.018659,1.92769,1.12776,0.154061,0.0236525,0.0226473,0.0247726,0.0181148,0.0183245,0.109117,0.0168815,0.0336689,0.0186244,0.0139774,0.0614947,0.0246953,0.0211848,0.0219039,0.027835,0.0229677,0.0257367,0.0198752,0.0153397,0.0202188,0.0147414,0.0219275,0.0855639,0.0417576,0.0511049,0.128414,0.0409827,0.0160408,0.0192315,0.0312907,0.0979047,0.0466674,0.0399547,0.0355166,0.0399364,0.0209565,0.016,0.0177061,0.0251965,0.0261994,0.0230002,0.0265562,0.00950978,0.0221624,0.0250533,0.0201256,0.0251888,0.0223299,0.145573,0.0262828,0.0408525
MM,-0.0121846,0.0,-0.000488706,-0.000107526,0.000219783,4.17439e-05,0.000145669,0.00278062,0.000334764,0.000329081,0.000467918,-7.09038e-05,-0.00295137,0.00075082,0.00191162,0.00169734,0.00219214,0.0220773,0.0407608,0.0170073,0.00499376,0.00709182,0.0481067,0.00648785,0.0116225,0.000253182,0.0482235,0.00720374,0.00306877,0.0022518,0.00568984,0.00656665,0.139052,0.192526,0.00354435,0.00103342,0.00136755,0.00115279,-0.000173077,0.000382095,0.00133226,0.000811475,0.000469567,0.000720561,0.000436688,9.11132e-05,0.00385623,0.000448422,0.000130155,0.000659797,-0.00152704,0.00094281,0.00167923,0.000792697,0.00714791,0.00185967,0.000705031,0.000164537,0.000342851,0.000688134,0.00175346,0.000882702,0.00140195,0.00108567,0.00126706,-0.00197409,0.00213402,-0.000808585,-0.00562215,-6.98035e-05,-0.00293747,-0.00192806,-0.0163469,0.000262064,0.00996765,0.00556612,0.000381927,-0.000656891,-0.000661926,0.000403214,0.00105953
TUR,-0.0149169,0.000488706,0.0,0.000242308,0.000898289,0.000670747,0.000912682,0.000885318,0.000524549,0.000806695,0.000528636,0.000471713,-0.0032568,0.00030067,0.000948681,0.000745936,0.000860237,0.00134213,0.000564898,0.00125443,0.00113794,0.00175893,0.00123475,0.00283387,0.000951035,0.00118374,0.000824552,0.000938191,0.000999498,0.000822581,0.000713657,0.000960579,0.0480313,0.00087833,0.000870676,0.00032654,6.72154e-05,0.11944,0.000326841,0.000508459,0.00286845,0.0123314,0.0285899,0.0067858,0.00587167,0.0112317,0.00658781,0.0386856,3.33556,0.00359384,0.0636032,0.00161589,0.000904732,0.000791684,0.000434169,0.000669247,0.000438278,0.000106785,0.000903268,0.00136362,0.000892542,0.00144743,0.00863489,0.00433259,0.0075053,-0.00157623,-0.0030916,-0.000279741,-0.00587228,0.000965361,-0.00267368,-0.00129528,-0.0196311,0.000959738,0.0012031,0.000790343,0.00115567,-0.00019161,0.00560884,0.000613771,0.00422323
XIP,-0.00932337,0.000107526,-0.000242308,0.0,0.000306616,0.000168277,0.0721879,0.013927,0.00146985,0.00111369,0.00156282,7.22732e-05,-0.00217991,0.000698715,0.000862097,0.00208369,0.0100933,0.00812671,0.000319953,0.0194792,0.00410954,0.00527927,0.00839592,0.00836555,0.0129395,0.00038598,0.00696555,0.0589554,0.028291,0.000793774,0.0184069,0.00755298,0.143869,0.254374,0.00290729,0.00351252,0.00196807,0.000999566,0.000100794,0.000216209,0.002429,0.00136162,0.000787058,0.000886025,0.000843985,0.000340327,0.00448074,0.000632941,0.000278332,0.000592576,-0.000851702,0.00151018,0.002759,0.000506965,0.00277935,0.0035005,0.00098904,0.000279496,0.000673583,0.000853872,0.00296571,0.00125267,0.00182282,0.00133212,0.00164405,-0.00132559,0.00465406,-0.000462459,-0.00407958,0.000177791,-0.00204472,-0.00124095,-0.0124243,0.000509558,0.0132961,0.00753686,0.000660747,-0.000177133,0.000452987,0.000578839,0.00141967
THU,-0.015688,-0.000219783,-0.000898289,-0.000306616,0.0,-0.000224922,0.0258786,0.014159,2.92425e-05,-8.03778e-06,-1.51854e-05,-0.000349414,-0.00396025,0.000403489,0.0022096,0.000558484,0.000862996,0.0130015,-0.000339971,0.00951563,0.00183683,0.00127221,0.0728267,0.00738692,0.00580895,3.86309e-05,0.0334953,0.00433826,0.00383533,0.000118688,0.00114417,0.00027579,0.00263659,0.0507577,0.000878957,0.000124616,-0.000488437,-0.000433497,-0.000719381,-0.000184761,0.000324084,-0.000325544,5.67925e-05,5.80564e-05,-0.000407169,-0.000480057,-0.000653437,-0.000186817,-0.00023498,0.000167811,-0.0029539,4.42427e-05,0.000808193,7.81737e-05,0.000528503,0.000633613,6.47053e-05,-0.000187609,-7.4348e-05,0.000213726,0.000792135,0.000296694,0.000461295,0.000372141,0.000418148,-0.0029197,-0.00284294,-0.00136045,-0.00769314,-0.000562453,-0.00419694,-0.00296144,-0.0212185,-0.000271213,0.00235197,0.00109613,-0.000231797,-0.00148502,-0.00270197,-0.00011396,0.000169236
LPL,-0.0154492,-4.17439e-05,-0.000670747,-0.000168277,0.000224922,0.0,0.0473555,0.0265225,0.000188127,0.000220544,0.000184211,-0.000143344,-0.00377256,0.000131894,0.000496509,0.000777129,0.00104143,0.129428,-0.000270948,0.00954528,0.00210425,0.00145388,0.00960551,0.000609055,0.0103911,0.0650382,0.1045,0.00927512,0.0249105,0.000797655,0.0012824,0.00629688,0.00947297,0.0141083,0.00112806,0.00236215,0.000498323,-0.000227677,-0.000366207,0.0029759,0.00156884,0.000764436,0.000512907,0.000453803,0.000138405,7.3451e-05,1.89874e-05,8.86973e-05,7.20325e-06,0.00202522,-0.0026418,0.000369358,0.00186871,0.00965787,0.00435764,0.00196996,0.000839783,0.000123149,0.000315999,0.000707291,0.00192894,0.000906673,0.00136831,0.00104179,0.00118337,-0.00257479,-0.00354383,-0.00108589,-0.00721478,-0.000178264,-0.00380329,-0.00253561,-0.0207592,1.23102e-05,0.000833671,0.000319983,8.34407e-05,-0.00118568,-0.000936236,0.000347236,0.000949615
MPL,-0.018345,-0.000145669,-0.000912682,-0.0721879,-0.0258786,-0.0473555,0.0,0.212476,5.52454e-05,5.46884e-05,-0.00010203,-0.000279985,-0.0045497,-0.000216232,-1.97081e-05,0.000110865,0.000120303,0.0327605,-0.000436686,0.00414228,0.0010862,0.0228513,0.00126914,0.00279003,0.00984271,0.000122845,0.000256766,0.00686501,0.00458451,0.000217561,0.00155403,0.0033285,0.0395804,0.00976164,0.000421319,0.00411478,-0.000291759,0.000182572,-0.000617864,0.000367722,0.00109806,0.000798136,0.00287383,0.000396729,-9.39142e-05,-0.00034006,0.000595071,2.52651e-05,-0.000101731,0.000619698,-0.00315817,0.0012703,0.00581122,0.00115847,0.00100276,0.00287327,0.000590868,-1.62147e-05,0.000206502,0.000633736,0.00455803,0.00100811,0.00130962,0.000944421,0.00107748,-0.0032207,-0.0111037,-0.00142746,-0.00876343,-0.000417803,-0.00469538,-0.00321778,-0.0247244,-0.0146315,-7.71884e-05,-0.00078042,-0.00634495,-0.0228994,-0.00223244,0.000218302,0.000774549
SPL,-0.0349647,-0.00278062,-0.000885318,-0.013927,-0.014159,-0.0265225,-0.212476,0.0,-4.03844e-05,-8.05971e-05,-0.000285598,-0.000387241,-0.00492987,-0.000336126,-0.000230731,-0.000304449,-0.000389568,-0.000291663,-0.00055964,2.88157e-05,-0.000124495,-0.000158368,-0.0956652,-0.000264993,0.0105181,-2.43581e-05,-0.000137921,-1.55645e-07,-0.000163295,2.28724e-05,-0.000251329,-0.00030104,-0.000547833,-0.00262124,-3.74888e-05,-0.000498444,-0.000807059,-0.000676085,-0.000605143,-0.000506069,0.000224346,-0.000229338,0.00092738,7.31105e-05,-0.00044144,-0.000501105,-0.000677858,-0.000182891,-0.000206663,1.71721e-05,-0.00293106,-0.000111591,0.000320748,0.000988431,6.04322e-05,0.00847508,0.000392629,-8.11872e-06,-6.75194e-05,0.000467341,0.00330061,0.00151251,0.000471105,0.000511467,0.000488941,-0.00291268,-0.014433,-0.00480156,-0.00765999,-0.0035972,-0.00454623,-0.00291814,-0.0212632,-0.0287562,-0.00100378,-0.00166241,-0.00137987,-0.00528783,-0.00297491,0.000223766,0.000238538
HAK,-0.00876504,-0.000334764,-0.000524549,-0.00146985,-2.92425e-05,-0.000188127,-5.52454e-05,4.03844e-05,0.0,-4.25126e-05,-0.0153476,-0.000363157,-0.325883,-0.000311216,-0.000125212,-8.23023e-05,-0.000219197,-1.02701e-05,-0.000229506,-0.01298,-7.9642e-05,-8.81475e-05,-0.00106753,-6.46675e-05,-0.000134199,2.59448e-05,-0.000127691,9.30021e-05,-5.90114e-05,7.36363e-05,-8.99805e-05,-1.75847e-05,-0.000163788,-0.000602465,-4.53847e-05,-0.00010229,-5.16179e-05,-8.276e-05,-4.1525e-05,-0.000137008,-0.000118429,-0.000108855,-2.39987e-05,-2.04444e-05,-0.000129073,-0.00012754,-0.000146404,-0.00034434,-0.000136041,5.88793e-05,-0.00352178,-0.000124889,0.0295868,2.7323e-05,3.77164e-05,0.00703681,0.00252355,0.000579449,-0.000294176,0.00113544,0.0200361,0.00207821,0.000245427,0.000645418,0.000496915,-0.00159391,-0.00428323,-0.00161444,-0.00266064,-0.000228672,-0.00150031,-0.000841428,-0.00872778,-0.000135755,-7.85672e-05,-0.00151101,-0.000268576,-0.00131315,-7.76729e-05,0.000770344,6.72387e-05
HAK1,-0.0160719,-0.000329081,-0.000806695,-0.00111369,8.03778e-06,-0.000220544,-5.46884e-05,8.05971e-05,4.25126e-05,0.0,-0.00991747,-0.000433477,-0.212083,-0.000262286,-0.000124992,-0.0002574,-0.000337881,-0.000146809,-0.000464036,-0.0106748,0.0130187,0.000319875,-0.001047,-0.000154998,0.00346302,0.000100852,-8.03432e-05,8.55973e-05,-8.3893e-05,0.00233305,0.000100243,-0.000185344,-0.000151939,-0.000517783,0.00492001,-4.56423e-05,-0.000633456,-0.000450534,-0.000599695,-0.00040648,0.00132494,-0.000396432,0.000133546,0.000244444,-0.00019555,-0.000281165,-0.000612239,-7.3824e-05,-0.000110973,0.000217312,-0.00290524,0.00031446,0.0301904,0.000554925,0.000611451,0.00148696,0.00109565,0.000152205,0.000242817,0.000872571,0.0183439,0.00126794,0.000988842,0.00094565,0.00100982,-0.0029163,-0.0162016,-0.0029842,-0.00767703,-0.036127,-0.00430441,-0.00282551,-0.0216522,-0.0212747,-0.000965313,-0.00271822,-0.0142511,-0.0488769,-0.00249104,0.000345355,0.000839408
