CUT2,SB,MM,TUR,XIP,THU,LPL,MPL,SPL,HAK,HAK1,HAK2,HAK3,HAK4,MUL,MUL1,MUL2,MUL3,TRA,PAG,DFS,DFH,DSM,DSP,DSR,MSC,MSG,MSP,ENG,SAR,EPI,CEBH,CEBS,CEPH,CEPS,DNS,DNH,DRS,DRH,ARF,PWL,SUP,MbO,MbFF,MbDF,MbC,MbPAR,MbSCA,MbH,MbGRA,MbSF,MbPF,BO,EUP,ZG,ZL,ZM,ZS,PB,BB,PS,DF,PL,MB,SG,MA,Bathyrajabrachyurops,Dalatiaslicha,Dipturusoxyrinchus,Myliobatisaquila,RSHC1,RSSC1,Rajaasterias,Rajapolystigma,SSHC1,SSSC1,SSSC2,Scyliorhinuscanicula,Torpedomarmorata,DC,SPOM,BD
HAK2,-0.0142153,-0.000467918,-0.000528636,-0.00156282,1.51854e-05,-0.000184211,0.00010203,0.000285598,0.0153476,0.00991747,0.0,-0.000326251,-0.14124,2.00716e-05,0.000256999,0.000502122,0.000642825,0.14641,-0.000156639,-0.0226073,0.00247045,0.020408,-0.0018719,0.000745358,0.00766906,0.000365231,0.00024052,0.00613415,0.00209428,0.000662639,0.00334038,0.000142735,0.0134916,0.00498625,0.0179234,0.00292907,-1.71846e-06,6.15432e-05,0.00332362,0.0157626,0.00125169,0.00232453,0.000733507,0.000807378,0.000539686,6.977e-05,0.000246244,0.000206159,0.000119894,0.0026025,-0.00230801,0.002022,0.00518678,0.000429628,0.00410977,0.00124993,0.000896119,0.000161884,0.000420462,0.000791292,0.00361162,0.000927741,0.00157819,0.00126097,0.00136155,-0.00246177,-0.0222342,-0.0405844,-0.00645685,-0.052586,-0.00791663,-0.00215957,-0.0190109,-0.0308077,-0.000814277,-0.00469137,-0.0206588,-0.0705118,0.000132603,0.000418771,0.00122166
HAK3,-0.0140599,7.09038e-05,-0.000471713,-7.22732e-05,0.000349414,0.000143344,0.000279985,0.000387241,0.000363157,0.000433477,0.000326251,0.0,-0.134204,9.67554e-05,0.00036535,0.000785795,0.00102235,0.254619,-0.000104893,0.00789961,0.00834705,0.000849421,0.000583042,0.00066618,0.00357844,0.000426812,0.000592932,0.0105343,0.00523545,0.00082419,0.00260065,0.00033828,0.0100553,0.0138777,0.0203082,0.0047976,0.000722919,0.0113708,-0.000218097,0.0231581,0.00114439,0.00081873,0.000800553,0.000758551,0.000467796,7.08654e-05,0.000222172,0.000237897,0.000147748,0.00412596,-0.00228527,0.00124275,0.00252104,0.00052558,0.00582265,0.00145955,0.00120823,0.000263566,0.000349503,0.000860397,0.00214264,0.000967857,0.00141944,0.00117053,0.00125546,-0.00214845,-0.027729,-0.0425359,-0.00633167,-0.045673,-0.00808468,-0.00206065,-0.0188039,-0.0478713,-0.000922832,-0.00251212,-0.0315579,-0.109045,0.000718143,0.000538822,0.00107087
HAK4,-0.00888589,0.00295137,0.0032568,0.00217991,0.00396025,0.00377256,0.0045497,0.00492987,0.325883,0.212083,0.14124,0.134204,0.0,0.0226258,0.0170958,0.0663846,0.0886904,2.95108,0.00438812,0.645299,0.0749153,0.0268882,0.0120292,0.00957863,0.0432191,0.00546154,0.00790574,0.121579,0.0391247,0.00847851,0.0445822,0.0104197,0.0882357,0.130976,0.0243664,0.0604123,0.0107689,0.0068224,0.00499702,0.18282,0.0121498,0.0155001,0.00729847,0.0073864,0.00923242,0.00596878,0.0114664,0.0049695,0.00397065,0.0452205,0.00280619,0.00881865,0.0463696,0.00576975,0.0451999,0.01685,0.0148762,0.00519466,0.00430404,0.00791378,0.0339858,0.00912384,0.0117315,0.00954398,0.0104085,0.00363646,0.00505962,-0.781826,0.00200307,0.00629515,-0.0876951,0.0050264,-0.00961783,0.00554467,0.0126335,0.00853341,0.00636091,0.00491313,0.0339868,0.00727064,0.0102389
MUL,-0.0106351,-0.00075082,-0.00030067,-0.000698715,-0.000403489,-0.000131894,0.000216232,0.000336126,0.000311216,0.000262286,-2.00716e-05,-9.67554e-05,-0.0226258,0.0,0.000273299,0.000265032,0.000204551,0.000325965,8.44108e-05,-0.0294348,0.000200984,0.000235249,-0.0184701,0.000295132,0.000166223,0.000456177,0.000139435,0.000351974,0.000173985,0.00039107,0.000240896,0.000410772,-5.27831e-05,-0.00107966,0.00031661,0.000165113,0.000229839,0.00020614,0.000324777,0.000338004,0.00202742,0.00263329,0.00103754,0.00141599,0.0134224,0.00215313,0.000216509,0.000403838,0.000943911,0.000933565,-0.00337723,0.0186945,0.0004519,0.000410041,0.000173669,0.00176712,0.000735014,0.000112105,0.00190732,0.00106348,0.00104686,0.00121065,0.00323097,0.00254059,0.00239522,-0.0597498,-0.0265402,-0.00289864,-0.0959109,-0.0137689,-0.00147615,-0.279521,-0.318903,-0.0184636,-0.00129546,-0.00541575,-0.0602351,-0.029964,0.00242469,0.000427383,0.00290271
MUL1,-0.0243281,-0.00191162,-0.000948681,-0.000862097,-0.0022096,-0.000496509,1.97081e-05,0.000230731,0.000125212,0.000124992,-0.000256999,-0.00036535,-0.0170958,-0.000273299,0.0,-0.000226984,-0.000311464,-5.73861e-05,-0.000465751,-0.0172978,-4.46176e-05,3.86338e-05,-0.0754242,-5.97841e-05,4.09949e-05,0.000310825,2.21832e-05,0.000184305,-4.23107e-05,0.0002818,-0.000136099,-9.42745e-05,-0.000448509,-0.00113712,0.000149098,-0.000494269,-0.000845544,-0.000784526,-0.000714197,-0.000337851,0.00223592,0.00212453,0.00921299,0.00307541,0.0103676,0.0138505,0.00908336,0.00142056,0.000819648,0.000770038,-0.00176383,0.00361819,0.000319747,0.000271938,0.000963024,0.000279805,0.000103193,-0.00017154,0.000491554,0.000737417,0.000420509,0.000780082,0.00332786,0.00199093,0.00227999,-0.34621,-0.0547742,-0.00715358,-0.558403,-0.0830535,-0.00583796,-1.64004,-1.84561,-0.0911059,-0.00372364,-0.00779551,-0.0637791,-0.216943,-0.00152862,9.42656e-05,0.00204267
MUL2,-0.0192371,-0.00169734,-0.000745936,-0.00208369,-0.000558484,-0.000777129,-0.000110865,0.000304449,8.23023e-05,0.0002574,-0.000502122,-0.000785795,-0.0663846,-0.000265032,0.000226984,0.0,-2.8263e-05,5.01836e-05,-0.000239752,-0.0902721,9.32859e-05,0.00101194,-0.00860006,7.40689e-05,-9.01202e-05,0.000512706,-7.55795e-05,0.000236089,2.84475e-05,0.000271896,1.63182e-05,-5.68899e-05,-0.00152079,-0.00382356,0.000886232,0.094841,-0.00054768,-0.000552042,-0.000466657,-0.000209129,0.00104352,0.00286219,0.00301912,0.00808261,0.00925978,0.00132361,0.00449804,0.000852719,0.000736783,0.000836019,-0.0024422,0.00188541,0.000363133,0.000233165,0.000129836,0.000245233,9.7589e-05,-0.000164671,0.000309662,0.000643082,0.000420046,0.000686279,0.00379891,0.00201021,0.00325248,-0.0499167,-0.0245446,-0.00662782,-0.0825834,-0.0116807,-0.00500219,-0.0343429,-0.271994,-0.0172747,-0.000840417,-0.0107524,-0.0171074,-0.0550871,0.00140844,0.000148331,0.00151176
MUL3,-0.0239065,-0.00219214,-0.000860237,-0.0100933,-0.000862996,-0.00104143,-0.000120303,0.000389568,0.000219197,0.000337881,-0.000642825,-0.00102235,-0.0886904,-0.000204551,0.000311464,2.8263e-05,0.0,8.43366e-05,-0.000270906,-0.121408,0.000180658,0.00799708,-0.0144595,0.000124083,-0.000125932,0.000664983,-0.00010441,0.00036058,0.000102497,0.000644497,7.15564e-05,-2.76641e-05,-0.00106356,-0.00510803,0.027368,0.0153098,-0.000575842,-0.000434342,-0.000464957,-0.000181308,0.000958466,0.00618209,0.0230057,0.0116486,0.0272278,0.0158527,0.0111123,0.00229061,0.00203382,0.00203558,-0.00159963,0.00272704,0.00071663,0.000533433,0.00310519,0.000476286,0.000262137,-0.000100721,0.000488516,0.00103958,0.0007466,0.00110837,0.0065887,0.00316369,0.00405292,-0.159026,-0.0211895,-0.00941551,-0.25776,-0.0377571,-0.00628014,-0.108676,-0.855165,-0.00634689,-0.000238887,-0.0130609,-0.00129714,-0.00158345,0.000975943,0.000378424,0.00259308
TRA,-0.0190991,-0.0220773,-0.00134213,-0.00812671,-0.0130015,-0.129428,-0.0327605,0.000291663,1.02701e-05,0.000146809,-0.14641,-0.254619,-2.95108,-0.000325965,5.73861e-05,-5.01836e-05,-8.43366e-05,0.0,-0.000389595,-0.00491321,0.00402988,0.00040887,-0.000772935,0.000281077,0.00429674,0.000301947,0.000427469,0.0135977,0.00404739,0.000645577,0.00147445,4.5426e-05,-0.00129305,0.0112509,0.00193792,0.00566825,-0.000123425,-0.000536605,-0.000595245,0.00805309,0.000653989,0.000401399,0.000394654,0.000454749,-6.77427e-05,-0.000279565,-0.00022059,5.57283e-05,-2.45336e-05,0.00481471,-0.00331036,0.000301717,0.00242403,0.000359428,0.00463024,0.00160521,0.0013606,0.000202117,3.32368e-05,0.000770976,0.00217197,0.000863781,0.00105315,0.000881185,0.000949668,-0.0600618,-0.00999133,-0.0130314,-0.0121859,-0.0124663,-0.00601501,-0.0142021,-0.0361176,-0.0097213,0.000421077,-0.000986548,-0.00604506,-0.0143595,-0.000498398,0.000395267,0.000580038
PAG,-0.0182876,-0.0407608,-0.000564898,-0.000319953,0.000339971,0.000270948,0.000436686,0.00055964,0.000229506,0.000464036,0.000156639,0.000104893,-0.00438812,-8.44108e-05,0.000465751,0.000239752,0.000270906,0.000389595,0.0,0.000651442,0.00753203,0.00482345,-0.00724007,0.000960128,0.000926833,0.000740137,0.000582509,0.000397329,0.000184352,0.00050847,0.0247681,0.0210802,-0.000649633,0.000952271,0.00478441,0.00555826,0.00223858,0.0037987,-0.000209538,1.85698e-05,0.00156086,0.00599723,0.00311886,0.0147185,0.022071,0.00460795,0.0611347,0.00586013,0.00259155,0.00179636,0.0056475,0.00241482,0.000957654,0.000444035,0.000666118,0.000464026,0.000215559,-7.67615e-05,0.000579388,0.000839756,0.000850224,0.000886348,0.00630689,0.00318145,0.00441845,-0.0687252,-0.00447386,-0.00156725,-0.113768,-0.0155143,-0.00401177,-0.0474619,-0.376898,-1.57199e-05,0.000667794,0.000298441,0.000156453,-0.000965506,0.00280564,0.000266734,0.00246601
DFS,-0.0217637,-0.0170073,-0.00125443,-0.0194792,-0.00951563,-0.00954528,-0.00414228,-2.88157e-05,0.01298,0.0106748,0.0226073,-0.00789961,-0.645299,0.0294348,0.0172978,0.0902721,0.121408,0.00491321,-0.000651442,0.0,0.0117232,0.00761979,-0.0700977,-0.000647242,-0.00213187,0.000203423,-0.00267015,0.000595333,6.18758e-05,0.000307662,0.00660567,0.00339644,-0.00879199,-0.0316996,0.00403054,0.0027945,0.000589863,-0.000110744,-0.000504969,-4.31003e-05,0.0020068,0.000936512,0.000600095,0.000722719,0.000629371,5.10997e-05,-0.000132098,4.85611e-05,-4.52829e-06,0.000928887,-0.00295672,0.00110692,0.00557896,0.000223277,0.00198616,0.000956471,0.000309111,-7.37514e-05,0.000417973,0.000611541,0.00372189,0.000776543,0.00165252,0.0011778,0.00138944,-0.0113211,-0.106591,-0.0547016,-0.00961011,-0.00708893,-0.0103236,-0.00359061,-0.0283055,-0.00131444,-0.00388703,-0.0995325,-0.013348,-0.00207345,-0.00132847,0.000136663,0.00117169
DFH,-0.349809,-0.00499376,-0.00113794,-0.00410954,-0.00183683,-0.00210425,-0.0010862,0.000124495,7.9642e-05,-0.0130187,-0.00247045,-0.00834705,-0.0749153,-0.000200984,4.46176e-05,-9.32859e-05,-0.000180658,-0.00402988,-0.00753203,-0.0117232,0.0,0.00209027,-0.0453907,-0.0077774,-0.000232127,0.000155364,-0.000232201,0.000155467,-7.7052e-06,-0.00121153,-5.84444e-05,-0.000405862,-0.00977376,-0.00439426,0.000450459,0.00224441,-1.18647e-05,0.000713138,-0.000475538,-0.000285877,0.00214381,-5.53685e-05,0.000399365,0.000683975,0.000208144,0.000677378,0.00070926,0.000165749,4.20291e-05,0.000305073,-0.00253845,0.000840784,0.00414527,-9.2072e-05,-2.04869e-05,0.000833844,0.000245899,-7.2881e-05,0.000443385,0.000649192,0.00282949,0.000788295,0.00149709,0.00112725,0.00132588,-0.00601843,-0.0185188,-0.00776978,-0.00777281,-0.00233962,-0.00441172,-0.00288618,-0.0249346,-0.00605647,-0.00109119,-0.00310143,-0.0407356,-0.00736455,-0.000769012,0.000383089,0.0010595
DSM,-0.0834102,-0.00709182,-0.00175893,-0.00527927,-0.00127221,-0.00145388,-0.0228513,0.000158368,8.81475e-05,-0.000319875,-0.020408,-0.000849421,-0.0268882,-0.000235249,-3.86338e-05,-0.00101194,-0.00799708,-0.00040887,-0.00482345,-0.00761979,-0.00209027,0.0,-0.0107204,-0.00530547,7.56654e-06,0.000204839,-5.39033e-06,0.000144043,-3.73624e-05,0.000128125,-0.00156575,-0.0202545,-0.0203895,-0.0023041,0.00011664,0.00147892,-0.000680621,-0.000630553,-0.000589436,-0.000314193,0.00198112,0.00034787,0.000256263,0.000323582,3.20868e-06,-0.000285883,-0.000787778,-2.12301e-05,-4.46264e-05,0.000252064,-0.00306389,0.0073946,0.00482972,0.000162324,5.98228e-05,0.000389744,0.000244713,-9.03979e-05,0.000782078,0.000684302,0.00308119,0.000767504,0.00180786,0.00126103,0.00136317,-0.28692,-0.0892739,-0.00309003,-0.0925943,-0.0146722,-0.0043564,-0.0388053,-0.691329,-0.0317734,-0.00888079,-0.0240696,-0.0299369,-0.559596,-0.0017751,0.000357536,0.0012667
DSP,-0.122563,-0.0481067,-0.00123475,-0.00839592,-0.0728267,-0.00960551,-0.00126914,0.0956652,0.00106753,0.001047,0.0018719,-0.000583042,-0.0120292,0.0184701,0.0754242,0.00860006,0.0144595,0.000772935,0.00724007,0.0700977,0.0453907,0.0107204,0.0,0.0102435,0.00481181,0.000353484,0.0354934,0.00231942,0.00274689,0.0013185,0.000570106,0.000730994,-0.0035256,-0.0102958,0.000829249,0.00258241,-0.000354983,0.000299314,-0.000570485,-0.000292489,0.00174024,0.000632212,0.000740528,0.000738423,0.000351188,0.000433363,0.000309874,0.000195173,3.94362e-05,0.000443915,-0.00332078,0.00104894,0.00315149,0.000490374,0.000362265,0.0017736,0.000252341,-0.000128249,0.000320762,0.000638558,0.00260516,0.000880613,0.001538,0.00117516,0.00136759,-0.00378371,-0.014131,-0.083453,-0.00968744,-0.00151083,-0.0142163,-0.00341881,-0.0282941,-0.0231696,-0.000360557,-0.00173595,-0.00190943,-0.00240638,-0.000137151,0.000218505,0.00105324
DSR,-0.492426,-0.00648785,-0.00283387,-0.00836555,-0.00738692,-0.000609055,-0.00279003,0.000264993,6.46675e-05,0.000154998,-0.000745358,-0.00066618,-0.00957863,-0.000295132,5.97841e-05,-7.40689e-05,-0.000124083,-0.000281077,-0.000960128,0.000647242,0.0077774,0.00530547,-0.0102435,0.0,0.000232307,0.000332799,0.000105219,0.000600857,9.8988e-05,0.000732973,-0.00512695,-1.9263e-05,-0.0271862,-0.00204844,0.000479139,0.00522426,-0.000729481,0.0297773,-0.000655667,-0.000339316,0.00181622,0.00260552,0.00313708,0.00197382,0.00255605,0.00386612,0.00289353,0.00438892,0.000331006,0.00048525,-0.00285314,0.000950702,0.00244045,0.000275938,7.5685e-05,0.00104221,0.000164707,-0.000159262,0.00033267,0.000643609,0.00192687,0.000798363,0.00223056,0.00146809,0.00207457,-0.0748535,-0.0598127,-0.00294233,-0.0266883,-0.00302889,-0.00502059,-0.0106607,-0.0851996,-0.147429,-0.00415455,-0.00727327,-0.0128782,-0.0189097,-0.000506332,0.000144415,0.0013465
