TOT,SB,MM,TUR,XIP,THU,LPL,MPL,SPL,HAK,HAK1,HAK2,HAK3,HAK4,MUL,MUL1,MUL2,MUL3,TRA,PAG,DFS,DFH,DSM,DSP,DSR,MSC,MSG,MSP,ENG,SAR,EPI,CEBH,CEBS,CEPH,CEPS,DNS,DNH,DRS,DRH,ARF,PWL,SUP,MbO,MbFF,MbDF,MbC,MbPAR,MbSCA,MbH,MbGRA,MbSF,MbPF,BO,EUP,ZG,ZL,ZM,ZS,PB,BB,PS,DF,PL,MB,SG,MA,Bathyrajabrachyurops,Chimaeramonstrosa,Dalatiaslicha,Dipturusoxyrinchus,Etmopterusspinax,Galeusmelastomus,Mustelusasterias,Mustelusmustelus,Myliobatisaquila,RSH,RSS,Rajaasterias,Rajaclavata,Rajamiraletus,Rajapolystigma,SSH,SSS,Scyliorhinuscanicula,Squalusblainville,Torpedomarmorata,Torpedotorpedo,DC,SPOM,BD
SB,0.0,0.0121864,0.0149192,0.00932477,0.0156904,0.0154515,0.0183473,0.0349642,0.00876646,0.0160466,0.0141767,0.0140317,0.00888397,0.010637,0.0243203,0.0192371,0.0238977,0.0190902,0.0182846,0.0217792,0.349862,0.0834191,0.12258,0.492485,0.0199435,0.0217888,0.0186616,1.92799,1.12793,0.154085,0.0236604,0.0226332,0.0247723,0.0181094,0.0183255,0.109133,0.0168805,0.033694,0.018627,0.0139754,0.0615047,0.0247007,0.0211881,0.0219074,0.0278393,0.0229711,0.0257399,0.0198781,0.015342,0.0202218,0.0147438,0.0219307,0.0855772,0.041764,0.0511122,0.128434,0.040989,0.0160432,0.0192345,0.0312955,0.0979198,0.0466746,0.0399612,0.0355221,0.0399427,0.0209595,0.0241892,0.0146211,0.0177006,0.0176226,0.0257056,0.0199983,0.0216867,0.0251989,0.0230307,0.000698064,0.0265596,0.0249681,0.0283012,0.00950806,0.0218721,0.0178152,0.0251679,0.0216106,0.0223115,0.0242735,0.145593,0.0262868,0.0408588
MM,-0.0121864,0.0,-0.000488708,-0.000107504,0.000219917,4.1853e-05,0.000145766,0.00278177,0.000335061,0.0003289,0.000467706,-7.12782e-05,-0.00295188,0.000751489,0.00191267,0.00169867,0.00219377,0.0220876,0.04078,0.0170209,0.00499624,0.0070959,0.0481294,0.00649021,0.0116276,0.000253372,0.0482463,0.00720717,0.00307025,0.00225293,0.00569382,0.00656831,0.139118,0.192616,0.00354579,0.00103405,0.00136797,0.00115378,-0.000173027,0.000382334,0.00133306,0.000812048,0.000469859,0.000720974,0.000437056,9.12847e-05,0.00385815,0.000448756,0.000130316,0.000660165,-0.00152685,0.000943401,0.00167992,0.000793134,0.00715131,0.00186055,0.000705413,0.000164703,0.000343121,0.000688458,0.00175421,0.000883116,0.00140265,0.00108619,0.00126768,-0.00197441,-0.00377872,0.00103145,-0.000815116,0.00916476,0.00983453,-0.00167867,0.000194196,-0.00562399,-0.000426844,-0.0139845,-0.00192865,-7.27737e-05,-6.30607e-05,-0.0163517,-1.74986e-06,0.00422187,0.000374378,0.00633493,-0.000663664,-0.000917826,-0.00066358,0.000403494,0.00106013
TUR,-0.0149192,0.000488708,0.0,0.000242338,0.000898463,0.000670889,0.000912841,0.000885129,0.000524678,0.000805108,0.000526157,0.000469882,-0.00325757,0.000300767,0.000948138,0.00074588,0.000859619,0.00134164,0.000564635,0.00125545,0.00113813,0.00175904,0.00123488,0.00283341,0.000950963,0.00118398,0.000824714,0.000938338,0.000999521,0.000822768,0.000714083,0.000959643,0.0480401,0.000877606,0.000870745,0.000326554,6.6914e-05,0.119463,0.000326797,0.000508286,0.00286905,0.0123337,0.0285953,0.0067871,0.00587275,0.0112337,0.00658882,0.0386929,3.33618,0.00359452,0.0636153,0.00161621,0.000904932,0.000791858,0.000434245,0.000669369,0.000438379,0.000106834,0.000903474,0.00136388,0.000892712,0.0014477,0.00863653,0.00433341,0.00750672,-0.00157663,-0.00365604,-0.00449984,-0.000288059,-0.00150005,0.00124155,-0.00150285,0.000873674,-0.00587462,0.000401031,-0.0170925,-0.00129603,0.000912199,0.00105776,-0.0196373,0.000630707,0.000343786,0.00115432,0.000708363,-0.000192977,-0.000481154,0.00560714,0.000613914,0.00422405
XIP,-0.00932477,0.000107504,-0.000242338,0.0,0.000306692,0.000168334,0.0722038,0.0139298,0.0014703,0.00111347,0.00156255,7.17675e-05,-0.00218035,0.000699132,0.000862384,0.00208471,0.0100961,0.00812827,0.000319901,0.0194908,0.00411051,0.00528131,0.00839767,0.00836638,0.0129417,0.000386089,0.0069671,0.0589684,0.0282972,0.00079397,0.0184125,0.00755263,0.1439,0.25443,0.00290754,0.0035133,0.00196799,0.00100012,0.00010077,0.000216167,0.00242966,0.00136195,0.000787257,0.000886258,0.000844189,0.000340394,0.00448162,0.000633116,0.000278417,0.000592723,-0.00085166,0.00151061,0.00275944,0.000507096,0.00277994,0.00350125,0.000989267,0.00027958,0.000673778,0.000854061,0.00296626,0.00125294,0.00182327,0.00133242,0.00164444,-0.00132588,-0.00267801,0.00379781,-0.000467561,0.0132579,0.0131172,-0.000994798,0.000445936,-0.00408107,-0.000123444,-0.0106945,-0.00124147,0.000164575,0.000201411,-0.0124281,0.000302407,0.00590001,0.000650598,0.00862736,-0.000186161,-0.000338069,0.000451521,0.000578992,0.00142002
THU,-0.0156904,-0.000219917,-0.000898463,-0.000306692,0.0,-0.000224953,0.0258816,0.0141607,2.92803e-05,-8.17684e-06,-1.54022e-05,-0.000349643,-0.00396098,0.000403577,0.00220985,0.000558612,0.000863159,0.0130029,-0.000340102,0.00951825,0.00183706,0.00127254,0.0728353,0.00738755,0.00580951,3.86481e-05,0.0334993,0.00433878,0.00383577,0.000118715,0.00114462,0.000275362,0.00263682,0.0507633,0.000878985,0.00012458,-0.000488756,-0.000433576,-0.000719627,-0.00018486,0.000324151,-0.000325684,5.6813e-05,5.80795e-05,-0.000407278,-0.000480202,-0.000653777,-0.000186813,-0.00023501,0.000167842,-0.00295419,4.42729e-05,0.000808262,7.81952e-05,0.000528568,0.000633691,6.4723e-05,-0.000187621,-7.43416e-05,0.000213751,0.000792207,0.000296729,0.00046136,0.000372187,0.000418203,-0.00292036,-0.00530175,-0.00424082,-0.00136892,0.000262948,0.00231424,-0.0027309,-0.000336659,-0.00769583,-0.000965192,-0.0180181,-0.00296251,-0.000544277,-0.00059192,-0.021225,-0.00060108,0.000485846,-0.000233959,0.00115389,-0.00148711,-0.0018963,-0.00270523,-0.000113962,0.000169269
LPL,-0.0154515,-4.1853e-05,-0.000670889,-0.000168334,0.000224953,0.0,0.0473618,0.0265259,0.000188176,0.000220019,0.000183398,-0.000144001,-0.00377331,0.000131928,0.000496347,0.00077717,0.00104133,0.129445,-0.000271146,0.0095472,0.00210453,0.00145406,0.00960674,0.000608766,0.0103924,0.0650469,0.104514,0.00927635,0.0249138,0.000797779,0.00128274,0.00629725,0.00947414,0.0141096,0.00112817,0.00236241,0.000498151,-0.000227421,-0.000366403,0.00297617,0.00156908,0.000764474,0.000512993,0.000453881,0.000138373,7.33827e-05,1.87389e-05,8.87392e-05,7.20724e-06,0.0020255,-0.00264205,0.000369423,0.00186896,0.00965918,0.00435823,0.00197022,0.000839908,0.00012318,0.000316059,0.000707385,0.0019292,0.000906793,0.0013685,0.00104194,0.00118353,-0.0025754,-0.00487424,-0.00494031,-0.00109431,-0.00154752,0.000833422,-0.00244091,-5.64624e-05,-0.0072174,-0.000620308,-0.0177338,-0.00253662,-0.000178023,-0.000177155,-0.0207656,-0.000315812,-0.000115636,8.23835e-05,0.000232497,-0.0011868,-0.00157018,-0.000939255,0.000347297,0.000949759
MPL,-0.0183473,-0.000145766,-0.000912841,-0.0722038,-0.0258816,-0.0473618,0.0,0.2125,5.52777e-05,5.42504e-05,-0.000102723,-0.000280537,-0.00455043,-0.000216242,-1.98972e-05,0.000110814,0.000120115,0.0327641,-0.000436879,0.00414323,0.00108633,0.0228539,0.00126924,0.00279005,0.00984375,0.000122878,0.000256807,0.0068658,0.004585,0.000217607,0.00155434,0.0033285,0.0395848,0.00976227,0.000421339,0.00411519,-0.000292031,0.000182787,-0.000618101,0.000367651,0.00109822,0.000798144,0.00287418,0.000396795,-9.39804e-05,-0.000340187,0.000594855,2.53067e-05,-0.000101736,0.000619783,-0.00315838,0.00127046,0.00581188,0.00115862,0.00100288,0.00287361,0.000590953,-1.61973e-05,0.000206548,0.000633808,0.00455855,0.00100822,0.00130977,0.00094453,0.00107761,-0.00322136,-0.00597617,-0.0143923,-0.00143732,-0.00465488,-0.000112144,-0.271742,-0.013772,-0.00876633,-0.00091597,-0.0210629,-0.00321892,-0.000411494,-0.000430819,-0.0247314,-0.0280898,-0.00229095,-0.00634681,-0.000824285,-0.0229036,-0.0293492,-0.00223609,0.000218347,0.000774658
SPL,-0.0349642,-0.00278177,-0.000885129,-0.0139298,-0.0141607,-0.0265259,-0.2125,0.0,-4.03157e-05,-8.07575e-05,-0.000285852,-0.000387409,-0.00492921,-0.000335994,-0.000230725,-0.000304366,-0.000389517,-0.000291666,-0.000559556,2.89563e-05,-0.0001244,-0.000158307,-0.0956813,-0.00026502,0.0105186,-2.42849e-05,-0.000137836,-1.07209e-07,-0.000163228,2.2946e-05,-0.000251187,-0.000301072,-0.000547816,-0.00262472,-3.74209e-05,-0.00049832,-0.000806997,-0.000675807,-0.000605048,-0.000505985,0.000224466,-0.000229184,0.000927493,7.31793e-05,-0.000441305,-0.000501006,-0.000677806,-0.000182762,-0.000206568,1.72348e-05,-0.0029302,-0.000111499,0.000320798,0.000988542,6.05017e-05,0.00847547,0.000392707,-8.02212e-06,-6.74229e-05,0.00046736,0.00330075,0.00151257,0.000471128,0.000511488,0.000488963,-0.00291221,-0.00524662,-0.0180236,-0.00474577,-0.0060657,-0.00103315,-0.128108,-0.0435028,-0.00765975,-0.00092416,-0.0265198,-0.00291805,-0.00898849,-0.000633603,-0.0212617,-0.0140013,-0.00351251,-0.00138016,-0.00173151,-0.00528823,-0.00678655,-0.00297696,0.000223873,0.000238647
HAK,-0.00876646,-0.000335061,-0.000524678,-0.0014703,-2.92803e-05,-0.000188176,-5.52777e-05,4.03157e-05,0.0,-4.28526e-05,-0.0153505,-0.000363611,-0.325941,-0.000311278,-0.000125398,-8.23909e-05,-0.000219421,-1.04431e-05,-0.000229656,-0.0129816,-7.96724e-05,-8.82143e-05,-0.00106776,-6.48911e-05,-0.000134275,2.59406e-05,-0.000127716,9.29967e-05,-5.90634e-05,7.36373e-05,-8.99659e-05,-1.78413e-05,-0.000163878,-0.000603927,-4.54209e-05,-0.000102348,-5.17283e-05,-8.25941e-05,-4.16051e-05,-0.000137108,-0.000118444,-0.000108911,-2.40033e-05,-2.04466e-05,-0.00012914,-0.000127619,-0.000146524,-0.000344359,-0.000136075,5.8877e-05,-0.00352216,-0.000124911,0.0295881,2.73205e-05,3.7708e-05,0.00703712,0.00252366,0.000579462,-0.000294207,0.00113549,0.020037,0.0020783,0.000245442,0.000645447,0.000496939,-0.00159432,-0.00175492,-0.00486057,-0.00161626,-0.00193289,-8.53024e-05,-0.00190076,-0.000139991,-0.0026617,-0.000148355,-0.00994897,-0.000841838,-0.000675144,1.88655e-05,-0.0087306,-0.000498724,-0.00122662,-0.000268956,-0.00308356,-0.00131366,-0.00354597,-7.80039e-05,0.000770366,6.72232e-05
HAK1,-0.0160466,-0.0003289,-0.000805108,-0.00111347,8.17684e-06,-0.000220019,-5.42504e-05,8.07575e-05,4.28526e-05,0.0,-0.00991888,-0.000433237,-0.212114,-0.000261433,-0.000124449,-0.000256559,-0.000336916,-0.000146323,-0.000462993,-0.0106755,0.0130201,0.000320387,-0.00104645,-0.000154507,0.00346372,0.000101232,-7.98592e-05,8.58558e-05,-8.34128e-05,0.00233356,0.00010104,-0.000184743,-0.000151399,-0.000518813,0.00492077,-4.45535e-05,-0.000632068,-0.000448836,-0.000598284,-0.000405523,0.00132561,-0.000395042,0.00013392,0.000244779,-0.000194381,-0.000280069,-0.000610582,-7.31666e-05,-0.000110375,0.000217637,-0.00290004,0.000314995,0.0301926,0.00055531,0.000611839,0.00148721,0.00109603,0.000152725,0.000243353,0.000872631,0.0183451,0.00126803,0.000988914,0.000945715,0.00100989,-0.00291158,-0.00521404,-0.0209769,-0.00209379,-0.00685632,-0.00107794,-0.0724503,-0.0134434,-0.00766586,-0.000812078,-0.0204531,-0.00282105,-0.100159,-0.000386214,-0.0216211,-0.0511364,-0.00453957,-0.014253,-0.00401891,-0.0488819,-0.52727,-0.0024883,0.000345887,0.000839985
