FG,SB,MM,TUR,XIP,THU,LPL,MPL,SPL,HAK0,HAK1,HAK2,HAK3,HAK4,MUL0,MUL1,MUL2,MUL3,TRA,PAG,DFS,DFH,DSM,DSP,DSR,MSC,MSG,MSP,ENG,SAR,EPI,CEBH,CEBS,CEPH,CEPS,DNS,DNH,DRS,DRH,ARF,PWL,SUP,Mb_O,Mb_FF,Mb_DF,Mb_C,Mb_PAR,Mb_SCA,Mb_H,Mb_GRA,Mb_SF,Mb_PF,BO,EUP,ZG,ZL,ZM,ZS,PB,BB,PS,DF,PL,MB,SG,MA,Bathyraja_brachyurops,Dalatias_licha,Dipturus_oxyrinchus,Etmopterus_spinax,Galeus_melastomus,Myliobatis_aquila,RSH_C1,RSS_C1,Raja_asterias,Raja_miraletus,Raja_polystigma,SSH_C1,SSS_C1,Scyliorhinus_canicula,Torpedo_marmorata,Torpedo_torpedo,DC,SPOM,BD
HAK2,0.0,0.0,0.0,4.116e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.900378e-06,2.287165e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0062388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001299777,0.0,0.0,0.0,0.008174806,3.566917e-06,0.0,0.0,0.0,0.001422416,0.0,0.0006638364,7.190104e-05,0.0005412886,0.01079378,0.02158756,0.01079378
HAK3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.287165e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001299777,0.0,0.0,0.0,0.006475927,3.566917e-06,0.0,0.0,0.0,0.002006971,0.0,0.0009366458,0.0001014494,0.0007637361,0.01019015,0.02038031,0.01019015
HAK4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001299777,0.0,0.0,0.0,0.0,3.566917e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005058867,0.001011773,0.0005058867
MUL0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003238132,0.0,0.0,0.0007205136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.86607e-05,0.0,0.0,0.0,0.0,1.091195e-05,0.0007083564,0.0,0.0002254302,0.0003664444,3.576134e-06,0.0004162934,0.0,0.0009575649,1.478695e-05,0.0001647804,0.0,0.01337996,0.01337996
MUL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004166396,0.0,0.0,0.007218237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002442035,0.0,0.0,0.0,0.0,0.0001427992,0.00926945,0.0,0.002941444,0.004795597,4.68e-05,0.004761761,0.0,0.00224592,0.0002428096,0.001497663,0.01633623,0.03267246,0.01633623
MUL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02698443,0.0,0.0,0.00017467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002065373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.045228e-05,0.0,0.0,0.0,0.0,2.364488e-05,0.001513017,0.0,6.946642e-05,0.0008001219,7.795479e-06,0.001411381,0.0,0.0006941474,7.450992e-05,6.518298e-05,0.01970177,0.03940354,0.01970177
MUL3,0.0,0.0,0.0,1.3818e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01085854,0.0,0.0,0.00017467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.045228e-05,0.0,0.0,0.0,0.0,2.364488e-05,0.001513017,0.0,6.946642e-05,0.0008001219,7.795479e-06,0.000163888,0.0,0.0,0.0,0.0,0.007103683,0.01420737,0.007103683
TRA,0.0,0.0248759,0.0,0.00028518,0.008459366,0.46599,0.04563118,0.0,0.0,0.0,0.07993589,0.1229715,0.008069375,0.0,0.0,0.0,0.0,0.0,0.0,0.01751829,0.0,0.0,0.0007030466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03249864,0.009132602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005300498,0.0,0.000312513,0.0,0.0,1.131518e-05,0.01934516,8.520178e-06,0.0002606793,0.0003616747,3.568354e-06,0.005856642,0.0,0.0008066167,8.936423e-05,7.744601e-05,0.1818736,0.3637471,0.1818736
PAG,0.0,0.00182386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003537067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002168642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.211391e-05,0.0,0.0,0.0,0.0,1.292586e-05,0.000827116,0.0,3.797498e-05,0.0004374001,4.261527e-06,1.211714e-05,0.0,0.0,0.0,0.0,0.007888562,0.01577712,0.007888562
DFS,0.0,0.0002666965,0.0,0.0,0.0008523414,0.009493606,0.001172597,0.0,0.0,0.0,0.0008141811,0.001121223,0.0006254858,0.0,0.0,0.0,0.0,0.0,0.0,0.07501672,0.003767628,0.0,0.03459339,0.0008413008,0.08894067,0.0,0.0,0.0,0.0,0.0,0.0,0.008325575,0.01054373,0.06922153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.096064e-05,0.0009049524,3.267967e-05,0.0002587388,0.0,0.004594582,2.459659e-05,0.0,0.0,0.0,0.0,0.01254106,0.00177971,0.0,0.0,0.05590925,0.1118185,0.05590925
DFH,0.0001736396,0.004129494,0.0,9.760799e-05,0.0,0.0007302774,0.0005624652,0.0,0.0,0.01236577,0.0005845402,0.008715132,0.0002670977,0.0,0.0,0.0,0.0,0.1223187,0.005398551,0.1348358,0.7961536,0.05247346,0.2035778,0.07944975,0.071311,0.0,0.0,0.0,0.0,0.4820323,0.06619419,0.01660867,0.1049623,0.05657639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007109272,0.0,0.0,0.0,0.01327163,1.929169e-05,0.0,0.0,0.0,0.008211832,0.0,0.06350356,0.0001057052,0.003640575,0.5700949,1.14019,0.5700949
DSM,1.774485e-05,0.007854641,0.0,0.0,0.0008572682,0.0,0.06731945,0.0,0.0,0.0,0.02390352,0.000115923,7.95109e-05,0.0,0.0,0.0013888,0.002479811,0.0,0.001086333,0.04565766,0.1937637,0.2520565,0.02400402,0.02992904,0.0,0.0,0.0,0.0,0.0,0.0,0.02964452,0.5610843,0.1337226,0.009132602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005823093,2.020225e-05,0.0,3.149742e-05,0.0002493349,0.0006340279,0.04417698,0.0,0.00185913,0.02436341,0.0004957582,0.05774913,0.01248237,0.02440245,0.01809644,0.002177319,0.3473697,0.6947395,0.3473697
DSP,2.240511e-06,0.007854641,0.0,1.3818e-05,0.007062609,0.004868516,0.0001811329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002514949,0.0,0.0,0.004379849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001825499,0.0,0.003717671,0.009132602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.296299e-07,0.0,0.0006020465,0.0,0.0,2.523995e-07,1.012822e-05,1.63371e-05,7.276996e-07,0.0003398588,7.957512e-08,0.00302951,0.0,1.945434e-06,2.440533e-07,2.063178e-07,0.03326573,0.06653146,0.03326573
