Parameter,TOT,CUT3,CUT2,CUT1,ORI,ESSESH,SHKRAY
Connectance Index,0.1793137,0.1858236,0.1887237,0.1951922,0.1987402,0.2020908,0.2043214
System Omnivory Index,0.2967153,0.2962698,0.2969126,0.2980699,0.3006079,0.3022159,0.3013561
