,TOT,CUT3,CUT2,CUT1,ORI,ESSESH,SHKRAY
Boundary,1157.19610556228,1157.19610556228,1157.19610556228,1157.19610556228,1157.19611,1157.19610556228,1157.19610556228
TST,3723.08903037919,3723.08901204161,3723.0890358025,3723.08893269062,3723.08483,3723.08903491504,3723.08703755731
TSTp,4880.28094029309,4880.28092198589,4880.28092272703,4880.28081957201,4880.27521,4880.28107284297,4880.27801505817
APL,3.21733629458609,3.21733627873952,3.21733629927267,3.21733621016774,3.21733265245767,3.21733629850578,3.21733457247358
FCI,0.0711835007592054,0.0711835104769728,0.0711836201120791,0.0711839699543393,0.0711888688075307,0.0711863207114182,0.0711907855574933
BFI,0.310816125029495,0.310816126560379,0.310816124576739,0.310816133184869,0.310816476883767,0.310816124650827,0.310816291397128
DFI,0.251520261863885,0.251520263102711,0.251520256834704,0.251520263800621,0.251520379954122,0.251520266824584,0.25152028702448
IFI,0.437663613090548,0.437663610317923,0.437663618606418,0.437663603031472,0.437663143111779,0.437663608561766,0.437663421557394
ID.F,1.74007298595847,1.74007296636454,1.74007304268158,1.7400729325666,1.74007030043295,1.74007293363362,1.7400720503901
ID.F.I,2.6469737838331,2.60353403034614,2.56683791247816,2.50489668495974,2.45987579004562,2.43443989979083,2.43522675536154
ID.F.O,1.7158864646141,1.70087389763227,1.69391225999658,1.67217626669082,1.65321334138689,1.64477104412278,1.64523608131004
HMG.I,1.70113225377249,1.69058434446088,1.69083743151173,1.67620235608599,1.62294192815581,1.61836303898154,1.61811266895143
HMG.O,1.19859993934328,1.19936879210291,1.19957831089491,1.19533370301196,1.19064797716175,1.19218086485544,1.19176377759635
AMP.I,3.0,2.0,2.0,2.0,2.0,2.0,2.0
AMP.O,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode0.F,1157.19610556228,1157.19610556228,1157.19610556228,1157.19610556228,1157.19611,1157.19610556228,1157.19610556228
mode1.F,2300.87041393839,2300.87036071252,2300.86997473632,2300.86857646322,2300.84652229988,2300.85991941552,2300.84144102461
mode2.F,265.022510818691,265.022545696114,265.022955570398,265.024250728267,265.042197512731,265.033010075657,265.049490892238
mode3.F,2300.87041393839,2300.87036071252,2300.86997473632,2300.86857646322,2300.84652229988,2300.85991941552,2300.84144102461
mode4.F,1157.19610556228,1157.19610556228,1157.19610556228,1157.19610556228,1157.19611,1157.19610556228,1157.19610556228
