FG,Key1 TOT,Key 2 TOT,RTI TOT,Key3 TOT,Key1 CUT3,Key 2 CUT3,RTI CUT3,Key3 CUT3,Key1 CUT2,Key 2 CUT2,RTI CUT2,Key3 CUT2,Key1 CUT1,Key 2 CUT1,RTI CUT1,Key3 CUT1,Key1 ORI,Key 2 ORI,RTI ORI,Key3 ORI,Key1 ESSESH,Key 2 ESSESH,RTI ESSESH,Key3 ESSESH,Key1 SHKRAY,Key 2 SHKRAY,RTI SHKRAY,Key3 SHKRAY
SG,-0.906661,-0.1623,0.113028,-0.789918,-0.914898,-0.170537,0.12284,-0.798155,-0.915018,-0.170656,0.13145,-0.798275,-0.915447,-0.171086,0.131498,-0.798704,-0.928206,-0.183843,0.138838,-0.811464,-0.930415,-0.186053,0.132691,-0.813672,-0.930517,-0.186157,0.139617,-0.813774
MA,-0.391551,0.692519,0.31103,-0.0492713,-0.392584,0.691487,0.343684,-0.050304,-0.392703,0.691368,0.367775,-0.0504225,-0.393167,0.690904,0.36788,-0.0508868,-0.394532,0.689541,0.398741,-0.0522521,-0.394891,0.68918,0.382712,-0.0526109,-0.394995,0.689075,0.402686,-0.0527147
Bathyraja_brachyurops,-1.977456,1.967308,0.00734,-0.138558,-1.997961,1.946803,0.00775501,-0.178368,-2.006435,1.938329,0.00814046,-0.193472,,,,,,,,,,,,,,,,
Chimaera_monstrosa,-1.18085,2.692868,0.0459527,0.645283,,,,,,,,,,,,,,,,,,,,,,,,
Dalatias_licha,-0.114616,4.248065,0.535187,1.777497,-0.1587,4.20398,0.535565,1.71055,-0.329058,4.033623,0.387254,1.522219,,,,,,,,,,,,,,,,
Dipturus_oxyrinchus,-0.240818,3.567841,0.400269,1.578793,-0.446502,3.362158,0.276096,1.352906,-0.653813,3.154846,0.183353,1.138646,-0.668595,3.140064,0.177458,1.116802,,,,,,,,,,,,
Etmopterus_spinax,-0.666717,3.6842,0.150109,1.219793,-0.683698,3.667218,0.159888,1.179644,,,,,,,,,,,,,,,,,,,,
Galeus_melastomus,-0.182976,3.260924,0.457387,1.557543,-0.237158,3.206741,0.447189,1.503361,,,,,,,,,,,,,,,,,,,,
Mustelus_asterias,-1.662325,2.497311,0.0151638,0.206937,,,,,,,,,,,,,,,,,,,,,,,,
Mustelus_mustelus,-0.542877,2.507716,0.199808,1.100963,,,,,,,,,,,,,,,,,,,,,,,,
Myliobatis_aquila,-2.084431,1.953698,0.00573735,-0.233133,-2.132967,1.905162,0.00568286,-0.300418,-2.145096,1.893033,0.00591532,-0.318981,-2.230175,1.807954,0.00486954,-0.423955,,,,,,,,,,,,
RSH,-0.886502,2.202936,0.0905639,0.78595,,,,,,,,,,,,,-0.0754956,2.308181,0.759074,1.403432,,,,,,,,
RSS,-1.791808,3.053956,0.0112538,0.127276,,,,,,,,,,,,,-0.670058,2.855617,0.192329,1.070434,,,,,,,,
Raja_asterias,-1.050072,2.872212,0.0620987,0.782488,-1.051846,2.870438,0.0685014,0.761119,-1.0546,2.867684,0.0728596,0.751632,,,,,,,,,,,,,,,,
Raja_clavata,-0.171272,2.645444,0.47043,1.442176,,,,,,,,,,,,,,,,,,,,,,,,
Raja_miraletus,-0.560048,2.291435,0.192162,1.063814,-0.582703,2.268779,0.202024,1.041159,,,,,,,,,,,,,,,,,,,,
Raja_polystigma,-2.529413,2.35493,0.00205919,-0.605128,-2.553579,2.330764,0.00215735,-0.655946,-2.564136,2.320207,0.00225374,-0.683317,,,,,,,,,,,,,,,,
SSH,-1.020106,2.445493,0.0665497,0.728231,,,,,,,,,,,,,-0.316766,2.370865,0.434612,1.275193,,,,,,,,
SSS,-0.114067,3.512223,0.535968,1.671365,,,,,,,,,,,,,-0.200175,2.838116,0.567802,1.443676,,,,,,,,
Scyliorhinus_canicula,-0.731923,2.438029,0.129263,0.949612,-0.738876,2.431076,0.1409,0.933516,-0.743477,2.426475,0.149228,0.919575,,,,,,,,,,,,,,,,
Squalus_blainville,-0.372274,3.27405,0.295752,1.420216,,,,,,,,,,,,,,,,,,,,,,,,
Torpedo_marmorata,-1.79496,2.33653,0.0111731,0.0683949,-1.831473,2.300017,0.0113777,0.0136571,-1.845308,2.286181,0.0117966,-0.00642708,-1.872468,2.259022,0.0110965,-0.0528919,,,,,,,,,,,,
Torpedo_torpedo,-1.186575,3.052172,0.0453475,0.688511,-1.185944,3.052803,0.0503008,0.66534,,,,,,,,,,,,,,,,,,,,
DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSH_C1,,,,,-0.141492,2.489953,0.558496,1.415829,-0.0886594,2.338752,0.676094,1.404335,-0.0904525,2.309458,0.674389,1.388409,,,,,,,,,,,,
RSS_C1,,,,,-1.207474,2.622245,0.0478722,0.59877,-1.226413,2.603306,0.0490553,0.572992,-1.34055,2.48917,0.0377692,0.451906,,,,,,,,,,,,
SSH_C1,,,,,-0.447713,2.438079,0.275643,1.186321,-0.411777,2.455211,0.320515,1.212064,-0.328239,2.363694,0.389287,1.263711,,,,,,,,,,,,
SSS_C1,,,,,-0.0032464,3.332015,0.766387,1.72123,-0.235255,3.157961,0.48079,1.497315,-0.301009,3.092207,0.4138,1.423443,,,,,,,,,,,,
SSS_C2,,,,,,,,,-0.0616483,3.273613,0.717112,1.654556,-0.209007,3.087319,0.511488,1.490183,,,,,,,,,,,,
ESH,,,,,,,,,,,,,,,,,,,,,0.0607861,2.271083,1.0,1.478461,,,,
ESS,,,,,,,,,,,,,,,,,,,,,-0.0544405,2.861993,0.763132,1.569336,,,,
RAY,,,,,,,,,,,,,,,,,,,,,,,,,-0.175398,2.183763,0.609854,1.288912
SHK,,,,,,,,,,,,,,,,,,,,,,,,,-0.485156,2.036015,0.298449,1.060226
