CUT1,SB,MM,TUR,XIP,THU,LPL,MPL,SPL,HAK,HAK1,HAK2,HAK3,HAK4,MUL,MUL1,MUL2,MUL3,TRA,PAG,DFS,DFH,DSM,DSP,DSR,MSC,MSG,MSP,ENG,SAR,EPI,CEBH,CEBS,CEPH,CEPS,DNS,DNH,DRS,DRH,ARF,PWL,SUP,MbO,MbFF,MbDF,MbC,MbPAR,MbSCA,MbH,MbGRA,MbSF,MbPF,BO,EUP,ZG,ZL,ZM,ZS,PB,BB,PS,DF,PL,MB,SG,MA,Dipturusoxyrinchus,Myliobatisaquila,RSHC1,RSSC1,SSHC1,SSSC1,SSSC2,Torpedomarmorata,DC,SPOM,BD
HAK2,-2.84447e-06,-0.00375752,2.28381e-07,-0.000101391,-0.00102876,-0.0559202,-0.00851193,-0.0051857,0.000461469,0.000212423,0.987872,-0.0167477,-0.00111646,-0.000177031,-0.0013436,-0.0012289,-0.000650953,0.377865,-0.000177065,-0.0309714,0.000882284,0.109725,0.000316472,-0.0024231,0.103095,-0.00982365,-0.0155362,0.0291563,-0.00249135,-0.000582645,0.00458232,-0.0157432,0.00411168,0.000340601,0.229811,0.00533854,-0.00873681,-0.005099,0.00239066,0.0149219,0.0664623,0.074917,0.000147565,-0.00156338,0.00364681,-3.71278e-05,0.000903454,-8.81289e-06,-0.000144372,0.00173449,-6.90746e-07,0.00720914,0.107281,-0.0036047,0.0754098,0.0338979,0.127355,0.136652,0.0164371,0.0569439,0.0230419,0.0595795,0.0106119,0.0103966,0.0074738,-0.00067875,-2.77622e-05,-0.0427938,-6.06304e-05,-0.014627,-0.000262027,0.000374175,-0.000647473,-0.0563906,-0.0855875,0.0600883
HAK3,-6.71195e-06,-0.00631299,-6.65367e-05,-0.000159767,-0.00185888,-0.10014,-0.0121059,-0.00634766,-9.46116e-05,-0.000482551,-0.0190983,0.971266,-0.00191259,-0.00011601,-0.00123508,-0.000716302,-0.000447281,0.66245,-0.000204509,-0.00102649,0.0687992,-0.0158939,-0.00163994,-0.00361623,0.0138864,-0.0164359,-0.01659,0.0563851,0.00769833,-0.00128048,0.00070144,-0.00482276,-0.00293423,0.00930816,0.256012,0.0150872,0.000109359,0.0202425,-0.0011945,0.0232184,0.0525612,0.0223178,0.00112961,-0.000417939,0.00388822,3.51873e-05,0.00104343,-5.56232e-06,-0.000127921,0.00318495,-2.38477e-07,0.0031003,0.031379,-0.00565194,0.108802,0.0461351,0.190139,0.168023,0.0236826,0.0657574,0.00846255,0.0549754,0.007793,0.00123544,0.00400606,-0.000755138,-9.52293e-06,-0.0386053,-3.39865e-05,-0.0206139,-4.86187e-05,0.000370851,-0.000489597,-0.0522751,-0.0765166,0.0198866
HAK4,-7.25825e-05,-0.0648799,7.38716e-05,-0.00145284,-0.0206744,-1.16797,-0.142575,-0.0694756,0.012078,0.0144933,-0.185282,-0.30019,0.978732,0.000811335,-0.000149723,0.00748353,0.00307999,7.72863,-0.000938915,0.58603,0.576203,0.0133485,-0.0321754,-0.0119307,0.218277,-0.175345,-0.19667,0.651446,-0.0167158,-0.0145043,0.112551,-0.0372144,-0.0527049,0.0556685,0.00488247,0.237842,0.00111118,-0.0136495,-0.00812244,0.182327,0.458576,0.220597,0.00929769,0.0290756,0.0182633,-0.000188203,0.00318749,-3.27648e-05,-0.000348652,0.0362774,-2.55245e-06,0.006974,0.880335,-0.0594841,0.720228,0.535921,2.35744,1.52318,0.142933,0.816817,0.201781,0.656964,0.0647125,0.00115573,0.0353193,-0.0144462,-0.000112373,-0.0476108,-0.000517565,-0.014422,-0.00123387,-0.00667709,-0.000133505,-0.0353195,-0.333593,0.00781566
MUL,4.14298e-07,3.21263e-05,6.69416e-06,-1.00609e-06,0.000130127,0.000557928,0.000402332,-0.00140722,-1.92444e-05,-1.59127e-05,-0.000189318,-6.07134e-05,2.05884e-05,0.999583,-0.00110217,-0.000910211,-0.000347995,-0.000374365,-0.000153384,-0.0317066,-0.0122901,-0.0131586,-0.00575699,-0.00164879,-0.0126226,0.000128868,0.000641676,-0.00316235,-0.00364534,-0.0123801,-0.00935557,0.00105628,-0.000447515,0.00230954,-0.010159,-0.00811107,-0.00843268,-0.00371761,-0.00112503,-0.00119691,0.118954,0.0336513,0.000639862,-0.00355143,0.118828,0.000214964,-0.00224149,-2.61747e-05,-0.00011155,3.51477e-06,-4.57969e-06,0.119672,-0.0184064,-0.00140261,-0.0123504,0.100352,0.0978231,0.101911,0.141732,0.108543,0.000525592,0.110676,0.0334789,0.0657716,0.0199943,3.57857e-05,-0.000109456,-0.0122112,-1.67207e-05,-0.014166,0.000278688,0.000646356,-9.90651e-05,0.0177364,-0.0965844,0.376042
MUL1,1.47529e-06,0.000598441,-9.20702e-06,7.536e-06,0.000499211,0.00107593,0.00049937,-0.00365345,9.54431e-06,-0.00024942,-0.000738313,-0.000578784,1.94482e-05,-0.00036612,0.99669,-0.000907841,-0.000529103,-0.00211217,-0.000349283,-0.0205828,-0.0298183,-0.0249961,-0.0303678,-0.00409007,-0.0243034,-0.000698221,-7.83804e-05,0.000372449,-0.00893483,-0.00773273,-0.0111345,-0.000578364,-0.00242687,0.00163551,-0.0122375,-0.0176048,-0.00315986,-0.0121784,-0.000714553,-0.00217859,0.223808,0.0340618,0.108147,0.0752755,0.0915811,0.00497065,0.0169134,-1.50489e-05,-0.000368503,-0.000282404,-3.22631e-06,0.0180039,-0.0111408,-0.000658163,0.0151271,-0.0114429,-0.0154637,0.0420801,-0.0521336,0.0622414,-0.00270588,0.0439138,0.0398769,0.0551075,0.0272186,9.23052e-05,-0.000626907,-0.0745354,-1.69976e-05,-0.0358039,0.000537122,0.000889068,-0.00098492,-0.0549735,-0.0809635,0.249482
MUL2,2.72133e-06,-0.000268471,2.77265e-05,4.60501e-06,4.94877e-06,0.00188476,-0.000469399,3.92384e-05,-2.31531e-05,-8.86365e-05,-0.000372482,0.000254737,7.60982e-05,-0.000294897,-0.00120176,0.984444,-0.00122217,-0.0074693,-0.000555652,-0.0939728,-0.0272555,-0.0105208,0.00247162,-0.00378747,-0.00352417,0.000144868,0.00059413,-0.0206719,-0.0010433,-0.00183982,-0.0149503,-0.00045432,-0.000591768,0.00472365,-0.00484832,0.495786,-0.00653906,-0.00356114,-0.000606577,-0.00190082,0.0267636,0.0542706,0.0256179,0.306115,0.0668485,-0.000653475,0.00625549,-3.77372e-05,-0.000521595,-0.000401649,-3.5555e-06,0.00474897,-0.0172599,1.75785e-05,-0.00828953,-0.0163153,-0.0231705,0.0481256,-0.0140138,0.0117496,-0.00414867,0.0085178,0.0489763,0.0621709,0.061316,-0.000175677,-0.000158177,-0.0191331,-3.49038e-05,-0.00824847,0.000227457,0.00126863,-0.000247868,-0.0270698,-0.0878635,0.0964797
MUL3,1.09762e-06,-0.00051564,-6.60411e-05,-0.000168681,-2.55189e-05,0.00182744,-0.000601485,-0.000356593,-4.29306e-05,-0.000315605,-0.00197553,-0.000918889,9.34315e-05,-0.000501574,-0.00238366,-0.0066656,0.997803,-0.00612139,-0.000951003,-0.129964,-0.0227329,0.0376788,0.00201722,-0.00265549,-0.011363,-0.00201846,0.000746875,-0.00449396,0.000241918,0.000450786,-0.00914299,-0.00649461,-0.000915054,0.00245948,0.364844,0.0730671,-0.0197897,-0.00613865,-0.00208916,-0.00757885,-0.0606656,0.113518,0.282199,0.428096,0.224601,0.00410345,0.0151493,-3.90573e-05,-0.0011805,-6.56717e-05,-6.55439e-06,0.00550663,-0.0184418,-0.00104382,0.0560404,-0.00976868,-0.0201453,0.0877075,-0.0606844,0.041211,-0.0041151,0.0354849,0.0914672,0.0998724,0.0614373,-1.54462e-05,-0.000321996,-0.0309017,-6.40011e-05,-0.00220631,-0.000236346,0.0014267,-9.91223e-05,-0.0884961,-0.13076,0.198433
TRA,-7.98007e-06,-0.00775685,9.47722e-06,-0.000190959,-0.00238533,-0.132648,-0.0159869,-0.00761352,-0.000118372,-0.0002045,-0.0237824,-0.0364626,-0.00237578,-4.04709e-05,-0.000171015,-0.000863627,-7.13048e-05,0.881298,-5.68408e-05,-0.00769366,0.0291593,-0.00880495,-0.000652738,-0.000683548,0.034098,-0.0197264,-0.0224976,0.0766399,-0.000784493,0.00154594,0.00291838,-0.00390654,-0.00465465,0.00989528,-0.00389371,0.0259693,0.000650326,-0.00173278,-0.000618998,0.00675671,0.0268711,0.0178601,6.86693e-05,0.00208105,0.000382647,-3.90447e-05,0.000152844,-2.09222e-06,-1.81672e-05,0.00414218,-1.78707e-07,-0.000385968,0.0294181,-0.00663043,0.077719,0.0596328,0.255711,0.154319,0.0111795,0.0837309,0.0087328,0.0591629,0.00505833,-0.000897985,0.00249411,-4.2636e-05,-1.00107e-05,-0.00453945,-1.08053e-05,-0.000832398,2.70227e-06,0.000134331,2.43812e-05,0.00619774,-0.0211261,-0.00593673
PAG,-2.52196e-07,-0.0161839,2.22927e-05,3.76392e-05,0.000142094,2.11806e-05,-0.000239267,-0.000579712,-6.71322e-06,-0.000168584,-0.000365012,-0.000225225,6.46508e-06,-0.000207566,-0.00139383,-0.00217281,-0.0007216,-0.00294909,0.998331,-0.00300714,0.0623486,0.0201654,-0.00479715,-0.00298576,-0.0191683,-0.000690216,-0.000332621,-0.00304645,-0.00277311,-0.0085125,0.0890273,0.0802649,-0.00853628,-0.00707196,0.0505799,0.0186595,0.00722192,0.00684558,-0.00157799,-0.00438149,0.0480161,0.119874,0.0184605,0.580283,0.171861,-0.000981352,0.112378,-1.10564e-05,-0.000897164,-0.000117205,-2.26061e-06,0.00365405,0.00615383,-0.000438392,0.000959009,-0.00122812,-0.0208116,0.0938554,-0.0362425,-0.00493546,0.00114188,0.00174682,0.0898985,0.118303,0.0801546,-0.000146326,-0.000149312,-0.0139742,-7.04849e-05,-0.00243133,-0.000890553,-0.000712404,-0.000118808,-0.057731,-0.149812,0.177118
DFS,1.98255e-07,0.00434381,4.82496e-06,0.000302123,0.000229947,-0.00875877,-0.00115708,-0.0026799,0.000372366,0.000466147,0.00378465,-0.00162427,-0.000600955,0.00185707,0.00266926,0.0231363,0.00576482,0.00802728,-0.000160382,0.98826,0.0911486,0.0317391,-0.0314848,-0.00308287,-0.0836,-0.0023395,0.00143339,-0.0098187,-0.00903915,-0.0100958,0.0199282,0.00745789,-0.0115698,-0.0445185,0.0401079,0.0122957,0.000576134,-0.00050642,-0.00114265,-0.00117328,0.189897,0.035341,0.00158409,0.000173614,0.00693033,7.2813e-05,0.000379294,-1.15562e-05,-9.5422e-05,0.000372693,-1.18812e-06,0.00280041,0.129196,-0.00108132,0.0361503,0.0161374,0.0187328,0.0636941,0.0170488,0.0379155,0.0265197,0.0559728,0.0138508,0.0138373,0.0117357,-0.00085148,-1.52046e-05,-0.00548878,-4.321e-05,-0.00360626,-0.00109137,-0.0115599,-0.000121832,-0.0390636,-0.069767,0.0829844
DFH,-1.4163e-05,0.000861523,3.6401e-07,5.15476e-05,0.000386959,0.00225771,0.000367968,-0.00175393,-0.000132015,-0.00139789,0.000115057,-0.000376397,1.18891e-05,-0.000100756,-0.000582299,-0.000639402,-0.000106573,-0.0107384,-0.000511209,-0.0141036,0.975301,0.0013417,-0.0179071,-0.00877829,-0.0224522,6.2062e-05,0.000331256,-0.00545553,-0.00837114,-0.0530091,-0.00407936,-0.00418866,-0.00937764,-0.00302373,-0.00127943,0.00943332,0.000818695,0.0009266,-0.000649187,-0.000517202,0.249007,0.00503684,-0.00137772,0.00029504,0.00271186,0.000327001,0.00218612,-1.17135e-05,-5.16437e-05,-0.000328368,-1.79514e-06,0.00165892,0.0949461,-0.000214405,-0.00123647,0.0187251,0.0165084,-0.0181416,0.025797,0.0708102,0.0197775,0.0761041,0.0141747,0.0185154,0.0135447,-5.68501e-05,-1.25194e-06,-0.00122208,-4.62323e-06,-0.00582721,1.39992e-05,0.000201889,-8.78912e-06,-0.0224462,0.0250896,0.092905
DSM,-1.14807e-06,0.00016572,2.79128e-05,9.11967e-05,-1.86259e-05,0.00178436,-0.00931311,-0.0022428,-0.000141788,-0.000320525,-0.00363767,-4.26787e-05,-1.5664e-06,-0.000140911,-0.000702331,-0.000578376,-0.000415524,-0.00227905,-6.5066e-06,-0.00703267,-0.0366612,0.962377,-0.00257303,-0.00618765,-0.0213781,0.000124886,0.000869047,-0.00333579,-0.00653198,-0.00593414,-0.0110681,-0.0815174,-0.0205645,0.00113022,-0.00933452,0.00382362,-0.021293,-0.00277504,-0.000800558,-0.00034598,0.17187,0.0168609,-0.00476575,-0.0226018,0.000695846,1.00652e-05,-0.00114529,-1.38513e-05,-3.02424e-05,-0.000366891,-2.4233e-06,0.0443831,0.110507,-0.000284532,-0.00499065,-0.0146825,0.0240367,-0.0232146,0.0558,0.0818199,0.0215703,0.0614271,0.0158719,0.0228999,0.0101394,1.39311e-06,-9.47907e-05,-0.0109264,-9.58186e-06,-0.0107577,0.000775211,-0.00104098,-0.00264123,-0.0305899,0.0338768,0.130698
DSP,-1.32233e-05,-0.0153513,5.37878e-06,0.000182992,-0.0160718,-0.0165532,-0.0110108,0.0954534,-6.29419e-05,-0.000690107,0.000214379,-5.58564e-05,-1.7983e-05,0.00112719,0.0147534,0.00146247,0.00054777,-0.012243,0.000232466,0.0642608,0.460984,0.0507585,0.982918,0.00354251,0.0403062,-0.00298834,0.0422268,0.00241883,0.00476016,-7.53439e-05,-0.00720742,-0.00840253,-0.0148469,-0.031596,0.00011437,0.0113336,-0.000563835,0.000423287,-0.00071381,-0.000721318,0.16626,0.0357228,0.00244368,-0.0010319,0.00532878,0.000261698,0.00156758,-9.03626e-06,-9.29859e-05,-0.000286255,-6.25686e-07,0.0024561,0.0583632,-0.000968652,-0.00623779,0.0961382,0.00264908,0.0702169,0.0242825,0.00933176,0.0155199,0.0712257,0.0111643,0.00804653,0.00948656,-0.00147482,-2.46208e-05,-0.00415757,-6.06183e-05,-0.0118443,-0.000128118,-0.000718062,-0.000157839,-0.0523108,-0.0899534,0.0572026
DSR,-2.35885e-05,0.00180337,-0.000187891,8.19862e-05,-0.00150574,0.000615393,-0.000323182,-0.00177555,-7.10162e-05,-0.000291029,-0.000230443,-0.00038926,4.69826e-06,-0.000158987,-0.00117593,-0.00105897,-0.00016053,-0.00206335,-0.000125464,-0.00129111,0.0597157,0.013098,-0.00570702,0.991721,-0.0179002,-0.000414597,0.000557669,-0.00350937,-0.00820148,0.00209154,-0.0309636,-0.00314764,-0.0324371,0.00064386,-0.00137073,0.0235352,-0.00340854,0.0637703,-0.00141992,-0.00150102,0.176547,0.0863407,0.0322683,0.0425981,0.0202267,0.00129246,0.003605,2.06661e-05,-0.000400572,-0.000275129,-1.872e-06,-0.00122308,0.0463943,-0.000590826,-0.00500815,0.0503947,-0.00190171,0.0505841,-0.00851723,0.0361356,0.0112931,0.0652342,0.0225459,0.0294978,0.0295416,-5.52812e-05,-5.08553e-05,-0.00584873,-4.92687e-05,-0.0438628,0.000554525,0.000809292,-8.19602e-05,-0.0354261,-0.0742213,0.122379
MSC,1.24946e-06,0.00147074,-1.41114e-05,2.96866e-05,0.000190988,0.00719117,-0.00139014,-0.0116629,-4.5791e-05,-0.000354987,-0.000803492,0.000282677,1.86074e-05,-5.00767e-05,-0.00024925,2.20041e-05,-1.26624e-05,-0.00721735,9.01582e-07,0.00173356,-0.00456857,-0.00747866,0.000846756,-0.000809918,0.92048,0.000137288,-0.0556951,-0.0078881,-0.00624223,-0.0135788,-0.00328821,-0.019159,-0.000534197,-0.0206823,-0.00433077,-0.00221409,-0.0045986,-6.08456e-06,-0.000294577,-0.000792239,0.206509,0.0704382,-0.00125817,-0.0147834,0.00283517,-2.3291e-05,0.00273876,-1.58002e-05,-0.000172357,-0.000362899,-1.74835e-06,-0.00259985,0.0159915,-0.00102122,0.00128175,0.109702,0.020923,0.0872929,-0.0326818,0.0495597,0.00762902,0.0972044,0.0128353,0.0367914,0.0173048,-6.25494e-05,-3.39083e-05,-0.00343661,-4.09536e-05,-0.000323128,-0.00159961,-0.000388563,2.12324e-05,-0.0468266,-0.111087,0.221635
