CUT1,SB,MM,TUR,XIP,THU,LPL,MPL,SPL,HAK,HAK1,HAK2,HAK3,HAK4,MUL,MUL1,MUL2,MUL3,TRA,PAG,DFS,DFH,DSM,DSP,DSR,MSC,MSG,MSP,ENG,SAR,EPI,CEBH,CEBS,CEPH,CEPS,DNS,DNH,DRS,DRH,ARF,PWL,SUP,MbO,MbFF,MbDF,MbC,MbPAR,MbSCA,MbH,MbGRA,MbSF,MbPF,BO,EUP,ZG,ZL,ZM,ZS,PB,BB,PS,DF,PL,MB,SG,MA,Dipturusoxyrinchus,Myliobatisaquila,RSHC1,RSSC1,SSHC1,SSSC1,SSSC2,Torpedomarmorata,DC,SPOM,BD
SB,0.998222,0.032217,0.000177768,-0.0166671,-0.00589474,-0.105214,-0.0282889,-0.0615323,-0.00389631,-0.00737807,0.017673,0.0243717,0.00178548,-0.00188298,-0.00327336,-0.0101626,-0.000342908,-0.682126,-0.00100009,-0.0659615,3.26177,0.268697,-0.0379695,0.401542,-0.619722,-0.0343697,0.00593309,13.9539,5.92988,3.59297,-0.0955672,-0.0497652,-0.202072,-0.333493,-0.10709,0.378518,-0.163252,-0.0118391,-0.0181844,-0.0129406,5.43012,-0.315174,0.00657324,-0.0417395,-0.0162744,0.000285593,-0.0199878,-0.00017798,0.000641052,-0.00366232,-8.4429e-06,0.00524252,1.13254,-0.0731857,0.257269,8.55486,5.52999,5.29657,1.07297,4.56179,0.578631,7.99212,0.281768,0.0360906,0.250558,-0.000463892,-3.5775e-05,-0.0203384,0.00018288,-0.0407505,-8.49157e-05,-0.000352903,-0.000758603,1.36491,-2.71255,0.945051
MM,-4.82626e-06,0.967075,-0.000186751,-0.00206611,-0.00412267,-0.0159693,-0.0055849,-0.00254922,-5.02565e-05,-0.000208837,-0.00154323,-0.00173168,-9.31003e-05,-1.54884e-05,-7.22589e-05,4.8306e-05,-2.74494e-05,0.0315668,0.00268485,0.010771,0.0376056,0.034882,0.0169167,0.00212662,0.175475,-0.00608047,0.0528592,0.0367143,0.00650682,0.0447626,0.00329075,0.0144898,0.134007,0.286641,0.0225756,0.0028686,0.011097,0.00250676,-0.000735402,-0.00150459,0.107332,0.0419155,-0.000583471,0.00157276,0.00585882,6.31064e-05,0.00864305,-6.93309e-06,-0.000273323,-0.000151279,-1.88238e-07,0.00104832,0.01867,-0.00302866,0.148409,0.100885,0.0836174,0.150945,0.018201,0.0261504,0.00791549,0.0691403,0.0116606,0.00502767,0.0101571,-0.00010524,-1.64346e-05,-0.00393096,-2.73868e-05,-0.00608172,0.000596352,0.000283216,-0.000105859,-0.0788412,-0.107217,0.0414269
TUR,3.42044e-07,-0.00235712,0.921835,-0.000111408,2.48669e-05,-0.000278911,-0.00122085,-0.000317739,1.14933e-05,-2.93125e-05,-0.000199993,-0.000497252,2.54101e-06,-4.39275e-05,-0.00107653,-0.000387681,-0.000429505,-0.00059662,-0.000161571,-0.000124189,-0.00640428,-0.000749435,0.000102968,-0.00817402,-0.0306518,-0.000761109,0.00146663,0.0016509,-0.00263462,-0.00888866,-0.0178551,-0.00211017,0.0436882,-0.00146184,-0.00841522,-0.00674888,-0.00874298,0.238866,-0.00408566,-0.00461277,0.171022,0.30157,0.321145,0.118869,-0.0303316,-0.00159254,-0.00803145,0.000249888,0.80065,0.000736368,2.61882e-05,-0.0098539,-0.00256464,-0.000768097,-0.0107339,-0.00977707,-0.0293156,0.0922061,-0.127569,0.0848971,-0.000949479,0.0711046,0.113928,0.134138,0.145961,-0.000190417,-0.000105048,-0.0112416,-0.00017021,-0.00292274,8.97455e-05,2.47885e-05,8.30832e-06,-0.0384057,-0.169735,0.367182
XIP,-4.85563e-05,-0.0383141,-0.000189642,0.996849,-0.0048361,-0.00827277,0.0268133,0.00787606,-5.61738e-05,-0.000174403,0.000128382,0.000479942,5.62573e-05,-6.53348e-05,-0.000397806,-0.000197852,0.000332502,-0.0242644,-0.000321887,0.0121631,0.0203052,0.0187505,-7.1536e-05,0.00323537,0.18426,-0.00338158,-0.0071149,0.42033,0.142506,-0.0134548,0.0481635,0.0173315,0.134964,0.376777,0.0213756,0.0130208,0.0128687,0.000995076,-0.000911513,-0.00155593,0.229154,0.0499467,0.00151252,0.000156076,0.00713862,6.17524e-05,0.00894377,-1.02402e-05,-0.000292527,-0.000463514,-1.47793e-07,0.0026269,0.0348343,-0.00236942,0.037927,0.22265,0.113308,0.186066,0.0563722,0.0237072,0.0160691,0.136226,0.016089,0.00194597,0.0140479,-0.000141744,-1.79015e-05,-0.00468627,-3.29215e-05,-0.00684786,0.000867519,0.000323337,-9.58203e-05,-0.082483,-0.154301,0.0348516
THU,-3.80278e-06,-0.00763943,-1.13794e-05,-0.000487006,0.998113,-0.0119913,0.00941919,0.0123365,-2.59005e-05,-0.000111596,-0.000877754,-0.00121686,-7.51098e-05,2.55695e-05,0.000316379,5.99293e-06,4.33976e-06,0.0258953,-5.61531e-05,0.00757354,0.0156224,0.00467382,0.0290765,0.0064747,0.0932394,-0.00244697,0.0398405,0.0269372,0.0177382,-0.00252746,0.000731053,-0.00306363,-0.00056752,0.0738626,0.00853008,0.00323051,0.00436665,0.0012908,-0.000179702,-0.000279049,0.046759,0.0279718,0.000266227,-0.00449014,0.00401781,8.98901e-05,0.00156687,-2.83343e-06,-8.0375e-05,-9.2033e-05,3.62278e-07,-0.000375697,0.0135236,-0.000549782,0.00877506,0.0395616,0.0086296,0.0789799,0.0165361,-0.0253922,0.00429507,0.00757085,0.0032447,-0.00376155,0.00166589,-8.25986e-05,-8.65763e-06,-0.00161385,-1.91183e-05,-0.0011262,7.52584e-05,1.67137e-06,-1.70379e-05,-0.075091,-0.0941645,-0.00116976
LPL,-1.1223e-05,-0.00620849,-1.6964e-05,-0.000242409,-0.00227559,0.917936,0.0122754,0.0206566,-7.39066e-05,-0.000168281,-0.00890635,-0.0134622,-0.000876241,-3.85188e-05,-0.000250403,-0.00029171,-1.46181e-05,0.323409,-9.99796e-05,0.00447328,0.0075757,-0.0014918,-9.58364e-06,-0.000839,0.146874,0.121897,0.127883,0.049885,0.118362,-0.00615486,-0.000822826,0.0160473,0.00122202,0.00706015,-0.00874601,0.0106756,0.008047,0.000311413,-0.000728064,0.00156407,0.150486,0.0500381,0.000707259,-0.00824738,0.00546586,0.0001632,0.00199497,-8.23204e-06,-0.000128147,0.00117568,-1.59317e-07,-0.00186121,0.0201872,0.0320325,0.0792248,0.103346,0.116203,0.168143,0.033837,0.0205169,0.00837389,0.0640012,0.0110357,-0.000504709,0.00702109,-6.0892e-05,-1.54174e-05,-0.00311225,-3.08435e-05,-0.00110706,-0.000473225,-0.000263338,3.4929e-07,-0.0877856,-0.126289,0.0217606
MPL,-3.57382e-06,-0.00275537,-7.07714e-05,-0.00176876,-0.00622066,-0.0682376,0.972888,0.214678,-0.000212491,-0.000414384,-0.00244662,-0.0025508,-0.00016046,-8.13369e-05,-0.000590743,-0.000728692,-0.000142137,0.0583076,-8.12904e-05,-0.000181148,-0.0117282,0.130939,-0.0090329,-0.000565601,0.13931,-0.0113291,-0.0203772,0.0299922,0.0105272,-0.016755,-0.00158935,-0.003877,0.0333648,0.00562266,-0.00416958,0.0204243,-0.000385607,0.00108537,-0.000834141,-0.00067346,0.088401,0.0533649,0.0326618,-0.00646088,0.00330814,2.5636e-05,0.00312491,-6.864e-06,-0.000219545,-7.94426e-05,-8.16713e-08,0.00450961,0.125599,-1.09052e-05,0.0066911,0.176941,0.0679944,0.13153,0.0298873,0.0123024,0.0323142,0.116285,0.0105837,-0.000995399,0.00576217,-5.04004e-05,-2.95145e-05,-0.00381959,-3.22523e-05,-0.0100193,-0.000274134,-0.000137892,-0.000467824,-0.0820805,-0.119603,0.0153764
SPL,3.133e-06,0.00144555,-2.04707e-06,0.000111513,-0.000501254,-0.0143664,-0.0970326,0.966003,-0.000100323,9.73068e-05,0.000252428,0.000567528,4.33057e-05,-0.000123913,-0.000793686,-8.57434e-05,-4.74564e-05,-0.0147794,-1.97434e-05,-0.0030284,-0.0222479,-0.0172201,-0.0388666,-0.00140163,0.151405,-0.00457187,-0.0140597,-0.0325853,-0.00784361,-0.0397979,-0.00162356,-0.00411141,-0.00341025,-0.0060337,-0.000930803,-0.00377896,0.00100716,-0.000208406,-1.87425e-05,-0.000454144,-0.00242026,0.0161782,0.0078784,0.000212173,0.00144738,2.13341e-05,0.000666781,1.019e-06,-4.38509e-05,-0.000232926,1.05195e-06,-0.00185495,-0.0550976,-0.000540339,-0.0133338,0.663823,0.0058908,0.122496,0.0241711,-0.0315824,0.0155322,0.33191,0.000365296,-0.0129398,-0.00315747,4.7061e-05,-3.73084e-06,-0.00236075,-8.57856e-06,-0.00642355,-0.000130671,0.000112001,5.18716e-05,-0.0413022,-0.116114,-0.04681
HAK,3.16013e-06,-0.000166746,4.22126e-07,1.15638e-05,-8.15742e-06,0.00149675,-0.000667829,-0.00354702,0.99888,-0.00193228,-0.00297976,0.000268092,-0.00027269,-6.97176e-05,3.23241e-05,-0.000384872,-9.6656e-05,-0.00663097,6.17973e-07,-0.0166788,-0.0333352,-0.0221052,0.00138816,-0.000958171,-0.0295755,-0.00100026,-0.000264384,-0.0377631,4.14778e-05,-0.0379261,0.00062675,0.0040969,-0.000175018,0.00254273,-0.0010394,-0.00175399,-0.01453,0.000232456,-0.00187387,-0.00193286,-0.0637907,0.000653342,0.000450234,0.0117194,-0.00012313,-4.68381e-06,-8.51076e-05,8.32768e-06,2.96581e-05,-2.96453e-05,2.49441e-06,-0.00238784,0.758465,-0.00341497,-0.0182831,0.449071,0.47135,0.357745,0.0699203,0.126204,0.170503,0.366081,-0.00382576,-0.0376113,-0.0106142,-7.10057e-05,2.97666e-06,0.000656175,-2.77136e-06,0.000657577,-0.000868371,0.000271032,6.22223e-05,-0.00449007,-0.138923,-0.181315
HAK1,2.81577e-08,0.000190878,2.51391e-06,1.9276e-05,2.40991e-05,0.0020083,-0.00118913,-0.00115685,-0.0010454,0.997607,-0.00249302,-0.000206887,-0.000165945,-0.000103786,-0.000849199,-0.000493773,-0.000237367,-0.00850833,-0.000113476,-0.0170565,0.099312,-0.0314044,-0.00127967,-0.00314584,0.0321682,-0.000475718,-0.00421673,-0.0196071,-0.0049461,0.0482792,-0.0040474,8.81403e-06,-0.00233071,-0.000980547,0.0624633,-0.0042892,-0.0134317,-0.00248994,-0.00208141,-0.00250736,0.12253,0.00979702,-0.00280953,-0.0083605,0.00385197,0.00012872,0.00144889,-4.53013e-06,-4.08877e-05,-0.000273245,5.42611e-07,-0.00212463,0.805776,-0.000683175,0.000553623,-0.00305621,0.154325,0.180449,0.0391076,0.0934315,0.161314,0.150516,0.00502585,-0.00769487,0.00271434,-8.68664e-05,2.76695e-06,-0.02622,-9.40494e-06,-0.00866991,-0.00101283,0.000359287,-0.000144728,-0.0755968,-0.137243,-0.00487679
