ORI,SB,MM,TUR,XIP,THU,LPL,MPL,SPL,HAK,HAK1,HAK2,HAK3,HAK4,MUL,MUL1,MUL2,MUL3,TRA,PAG,DFS,DFH,DSM,DSP,DSR,MSC,MSG,MSP,RSH,RSS,SSH,SSS,ENG,SAR,EPI,CEBH,CEBS,CEPH,CEPS,DNS,DNH,DRS,DRH,ARF,PWL,SUP,MbO,MbFF,MbDF,MbC,MbPAR,MbSCA,MbH,MbGRA,MbSF,MbPF,BO,EUP,ZG,ZL,ZM,ZS,PB,BB,PS,DF,PL,MB,SG,MA,DC,SPOM,BD
MbPAR,-1.51715e-07,2.2799e-05,-1.35418e-05,-8.41859e-07,2.66373e-05,-0.000255276,3.05664e-05,0.000158451,4.17478e-06,2.91212e-05,1.43198e-05,3.12324e-05,-4.27595e-08,7.78982e-05,-0.00244846,-0.000172025,-0.000556692,8.38708e-05,-4.16133e-05,0.000294867,-0.00966481,0.000338913,0.000278581,-0.0034076,-0.00163919,0.000311335,0.000273138,0.000174831,-4.17409e-05,0.000332182,1.767e-05,0.000635708,0.000622333,0.00055263,0.000356325,0.00139331,8.76185e-05,0.00024108,-0.00078957,-0.00143608,-0.00476004,-0.00128626,-0.000685231,-0.000299455,-0.00684018,0.0452343,0.0080528,0.259514,-0.101579,0.998819,-0.00553196,0.000594683,2.42993e-05,0.00322011,6.18831e-05,0.000207295,-0.00142397,-0.000190272,-0.00332965,0.000506564,-0.00476391,0.0296326,-0.0537506,0.0213214,-0.000268108,0.0131762,0.0395497,0.0677384,0.0384185,0.0388992,-0.0540206,0.158367
MbSCA,-1.288e-06,0.00143024,-5.01163e-06,6.69519e-05,8.33757e-05,0.000145892,0.000736617,0.000885654,4.06039e-06,8.35182e-05,0.000129825,6.72732e-05,-3.55573e-06,1.86144e-07,-0.00207549,0.00120009,-0.000620024,0.00163023,-0.00436344,0.000492807,-0.0117436,-0.000150209,0.000395832,-0.00299467,-0.0188532,0.00158614,0.00212846,0.00201823,1.81675e-05,0.00180737,0.000363726,0.00387562,0.00104534,0.00875926,-0.0157559,-0.00544658,-0.0250047,0.00273661,0.00150742,-0.05841,-0.0171583,-0.00446084,-0.0013558,-0.00124401,-0.0323226,0.0501471,0.0695954,0.208928,0.00389171,-0.000410152,0.990008,0.000392105,0.000177099,0.0028448,3.95303e-05,-0.00180665,-0.00160589,0.000175035,-0.00311206,0.0021414,-0.010277,0.0556031,-0.0688645,0.00568734,-0.000252427,0.0043567,0.0371185,0.0583459,0.028321699999999998,0.191013,-0.0908523,0.156356
MbH,-3.34878e-07,-0.000102282,0.000991684,-1.26477e-05,-3.40943e-05,-0.000326875,-0.000128711,-0.000426505,-5.25643e-06,-4.8303e-06,-5.90485e-05,-4.62223e-05,1.95842e-07,5.39357e-05,0.000563764,0.000686339,0.000241581,-0.000385753,0.000619107,9.51327e-05,0.0101892,0.00590241,-0.000245155,-0.00289571,0.0125224,-0.000278308,-0.00089301,0.000110916,7.04468e-05,-0.000243509,1.71372e-05,-0.000795,0.0115752,-0.011966,0.00820105,0.00263253,0.00151347,-0.000617752,0.00574797,0.000364669,0.0125581,0.00060491,0.0017496,0.00196755,-0.406584,-0.0570162,-0.0278089,-0.383525,-0.00374677,-0.023061,-0.0724671,0.99922,-0.0105846,-0.00355476,-2.87708e-05,-0.0233049,0.00187873,-5.53903e-05,-0.0073219,0.01163,-0.0202212,0.143691,0.243312,-0.11595,0.000789575,-0.0824543,0.333115,0.106775,1.44101,-0.0496885,-0.207355,0.0525688
MbGRA,8.31928e-08,0.000219112,-0.0886719,1.00748e-05,-2.37594e-05,-0.000139478,7.70292e-06,-3.76902e-05,4.52836e-06,6.55595e-06,-7.86475e-06,4.70676e-05,2.42636e-07,2.0575e-05,-9.8968e-05,-0.000311447,-8.94272e-05,-5.04203e-05,-9.43546e-05,-0.000132551,-0.000508701,-0.000554669,-2.97374e-05,1.4378e-05,-0.00685186,-0.000360745,0.000324806,0.000485541,-9.13097e-05,0.00021634,-7.47904e-06,-0.000339626,0.00133975,-0.00339135,0.000686697,0.000208203,-0.00446981,0.000335346,-0.00158237,-8.168e-06,-0.000982079,-0.0239112,-0.000902531,-0.00111319,-0.0566347,0.0916987,0.0345428,0.154534,-0.0274969,-0.00139013,-0.0061002,0.000350076,0.922346,0.00153115,3.55334e-05,-0.00342505,-0.00175091,-0.000368068,-0.00464883,0.000537346,-0.00988356,0.0528227,-0.087523,0.00622634,-0.000343709,0.00257323,0.0755716,0.104493,0.0726196,-0.0351973,-0.0893994,0.173325
MbSF,2.79047e-07,7.3743e-05,6.47846e-05,-1.0995e-06,-3.73395e-06,0.00158092,0.000135512,7.48025e-05,7.39451e-06,1.35218e-06,0.000325485,0.000498012,3.1872e-05,4.57456e-05,9.86e-05,7.98583e-05,7.77307e-05,-0.0117738,8.83509e-05,-0.000475026,0.000294293,0.00052749,-2.90283e-05,1.48281e-05,-0.00135306,-7.22199e-05,0.000147844,-0.000182598,-1.31226e-05,-0.000134954,3.52096e-06,-0.000821913,0.00182748,-0.00296481,0.000918747,-0.000529069,0.000136654,-0.000146034,-0.0136701,0.00153285,0.00593669,0.00132024,0.000364105,0.000401336,-0.0694255,0.0111483,-0.0148213,-0.0651908,-0.0260941,-0.00129957,-0.00264058,-3.4934e-05,-0.000671631,0.997781,-1.43687e-05,-0.0119187,-0.00165023,2.86474e-05,-0.00747768,-0.0149686,-0.00964649,-0.0737369,-0.0237923,0.118258,-0.000939384,0.10201,0.183394,-0.0073735,-0.00918167,-0.0609787,0.0889982,-0.0105274
MbPF,-4.09804e-06,4.55166e-05,0.00188568,-4.02634e-05,0.000158648,-7.71704e-05,0.00020445,0.00135977,6.33977e-05,0.00014404,8.94456e-06,4.80045e-06,-2.71968e-06,0.000256417,0.00134989,0.0015805,0.000649655,0.000527163,0.0011899,0.00110338,0.0141262,0.0158427,-2.4023e-05,0.00320526,0.0361289,0.00267822,-0.000441072,0.00146303,0.000213837,-0.000204801,0.000360769,0.00860396,0.0302823,-0.021458,0.0229746,0.012415,0.00492629,-0.000215726,0.0197998,0.011237,0.0270339,0.00540856,0.00559228,0.00617474,-0.801957,-0.139681,-0.199447,-0.827125,0.0475488,-0.0400543,-0.123829,-0.000551058,-0.017964,-0.0261704,0.9997780000000001,-0.135615,-0.0107374,-0.00363192,-0.0578483,-0.0888173,0.50498,-2.38086,-1.03738,1.74353,-0.00440543,0.985204,2.45275,0.280378,-0.0373696,-0.011863,3.32965,1.44851
BO,-5.45827e-07,-2.82579e-05,2.81064e-05,-5.74154e-06,-7.02617e-06,-0.000385405,0.000448592,0.000123358,1.31296e-05,5.78355e-05,0.000267502,0.000103105,-1.18885e-06,-0.00116975,-0.000486548,0.000572743,0.00011085,0.000735813,0.000130356,0.00087348,0.0024511,-0.042614,9.81197e-05,0.000227581,0.00267508,0.00020039,4.15711e-06,0.000761903,-1.89365e-05,0.00139114,0.000143686,0.00133249,0.00664571,-0.000416163,-0.0331291,0.0100413,0.000745761,0.000924918,-0.0342341,-0.0155231,-0.0307,-0.00224928,-0.0047304,-0.00144047,-0.210067,0.0738049,-0.0115515,-0.0678626,-0.0181923,-0.000260397,-0.00142993,-4.35955e-05,-0.000248133,-0.00184574,-1.44713e-05,0.97673,-0.00826998,-0.000269268,-0.0137067,0.00329867,0.00298041,0.00203823,0.22258,0.020052,-0.00150628,0.00233163,0.177691,0.0277907,-0.00521793,0.00323886,-0.0174864,0.193718
EUP,1.71977e-06,8.64896e-06,1.00614e-06,1.85992e-05,-1.86331e-05,0.000690604,-0.00137099,0.000165031,-0.0011179,-0.00221962,-0.000283768,0.000142939,-1.29105e-06,1.58347e-06,4.14363e-05,-5.28924e-05,-8.52269e-06,-0.00320987,1.29112e-05,-0.00342797,-0.0345598,-0.0255555,0.00085923,-0.000901255,-0.0194196,0.000133668,-0.000908552,0.000514494,-9.64161e-05,0.000663886,-0.000953967,-0.0189119,0.00122484,-0.00969425,0.000664921,0.00455394,-0.000413081,0.00132218,-0.00135668,-0.00122118,-0.0155887,0.000187082,-0.00191731,-0.00183681,-0.0437285,-0.0018855,-0.000529846,0.000769094,-0.000320673,2.19063e-06,1.69224e-05,3.20379e-06,1.0307e-05,-2.7551e-05,1.02528e-06,-0.00183862,0.874221,-0.000375898,-0.00535195,-0.0209703,0.174959,0.141432,0.00492701,0.0940611,0.174325,0.141974,-0.00311964,-0.0109125,-0.00434301,-0.0077616,-0.0765684,-0.0412183
ZG,-1.14917e-07,-5.57815e-05,2.37672e-06,1.42075e-07,-2.29957e-05,0.0100044,-3.9265e-05,-0.00121767,-9.44573e-06,2.47169e-05,-8.18745e-05,-0.000135821,-8.91168e-06,-8.12824e-06,1.36585e-05,3.46246e-05,7.96721e-06,0.00332582,8.87643e-06,0.000112074,5.89982e-05,0.000440678,6.91477e-05,3.5005e-05,5.45862e-05,-0.135302,0.00153017,5.89112e-05,8.90111e-06,2.49701e-05,1.35826e-05,-0.00196757,0.00142885,-0.00200393,0.000183805,0.000499883,3.93009e-05,0.000259284,0.00115368,-0.000307118,-0.000423521,-0.000188487,8.85653e-05,0.000231958,-0.000226082,-0.00704912,-0.00162316,-0.00351839,-0.000754986,-7.1401e-06,-0.000146423,-1.1393e-06,7.01658e-06,4.65353e-06,-2.08893e-07,0.000575342,-0.00831965,0.962599,-0.0147254,0.052165,0.142083,0.0787788,-0.0283634,0.101511,0.000683159,0.0904263,-0.000827997,0.00861624,0.00142825,0.010206,-0.0183896,0.0559494
ZL,1.39247e-06,-0.00190969,3.56698e-06,4.08298e-05,8.36102e-05,0.00234743,0.000187809,-7.99049e-05,-3.34411e-06,5.59981e-05,0.000578757,0.000692531,2.40295e-05,1.73468e-08,-0.000156854,5.15563e-05,0.000146067,-0.0084764,3.59693e-05,-0.00105155,0.00165071,0.00100952,-2.9399e-05,5.38936e-05,-0.00805179,-0.0180968,0.000711495,0.00027568,2.75892e-05,1.82504e-05,0.000167603,-0.0162827,-0.0102053,0.0804029,0.000445364,0.00156229,-6.40165e-05,-0.00261137,-0.105383,-0.000996349,-0.00268838,-7.79924e-05,-0.00155967,-0.00553239,-0.0235763,-0.00639138,-0.00311024,-0.0110144,-0.000541891,2.50084e-05,1.49279e-05,-3.92533e-06,1.07264e-05,-0.000389717,-1.93364e-06,-0.00257524,-0.00800115,-0.00900462,0.961718,0.0343758,0.112902,0.189501,-0.0362751,0.106465,-1.41164e-05,0.0833624,0.0191304,0.00708142,0.000402177,0.00449828,0.0361255,0.0405547
