CUT3,SB,MM,TUR,XIP,THU,LPL,MPL,SPL,HAK,HAK1,HAK2,HAK3,HAK4,MUL,MUL1,MUL2,MUL3,TRA,PAG,DFS,DFH,DSM,DSP,DSR,MSC,MSG,MSP,ENG,SAR,EPI,CEBH,CEBS,CEPH,CEPS,DNS,DNH,DRS,DRH,ARF,PWL,SUP,MbO,MbFF,MbDF,MbC,MbPAR,MbSCA,MbH,MbGRA,MbSF,MbPF,BO,EUP,ZG,ZL,ZM,ZS,PB,BB,PS,DF,PL,MB,SG,MA,Bathyrajabrachyurops,Dalatiaslicha,Dipturusoxyrinchus,Etmopterusspinax,Galeusmelastomus,Myliobatisaquila,RSHC1,RSSC1,Rajaasterias,Rajamiraletus,Rajapolystigma,SSHC1,SSSC1,Scyliorhinuscanicula,Torpedomarmorata,Torpedotorpedo,DC,SPOM,BD
SB,0.998222,0.0322295,0.000184929,-0.0166678,-0.00589375,-0.10513,-0.0282775,-0.0616447,-0.0038959,-0.00747935,0.017383,0.024008,0.00178749,-0.00196274,-0.00445,-0.0101576,-0.000354903,-0.682788,-0.00100224,-0.0659221,3.26019,0.266057,-0.0379166,0.401134,-0.620285,-0.0343707,0.00597459,13.9555,5.92994,3.59136,-0.0986432,-0.0489633,-0.202076,-0.333561,-0.107311,0.37564,-0.162957,-0.0140025,-0.0181545,-0.0129822,5.42647,-0.315961,0.00610558,-0.0419597,-0.0163343,0.000283328,-0.020049,-0.000177699,0.000649444,-0.0036658,-8.40335e-06,0.00483871,1.13193,-0.0731867,0.25732,8.55552,5.53017,5.29661,1.07264,4.5608,0.578549,7.99173,0.281388,0.0356101,0.250092,-0.000129345,-5.65288e-05,-0.000454617,0.000195475,-0.000345308,-3.37979e-05,-0.0144073,0.000183528,-0.00132344,-0.00439202,-0.000146392,-0.0263295,-0.000354386,-0.0125987,-0.000747444,-0.00193781,1.36272,-2.71249,0.942789
MM,-4.81509e-06,0.967119,-0.000186642,-0.00206361,-0.00412278,-0.0159701,-0.00556792,-0.00247244,-5.00324e-05,-0.000213026,-0.00155883,-0.00174397,-9.30253e-05,-2.61425e-05,-9.0963e-05,4.47674e-05,-2.81976e-05,0.0315576,0.00268477,0.0107454,0.0364181,0.0345957,0.0169659,0.00245974,0.175077,-0.00608014,0.0529059,0.0367118,0.00649025,0.045042,0.0035845,0.0143355,0.133397,0.286509,0.0223546,0.00280709,0.0110821,0.00271791,-0.000733327,-0.00150668,0.107002,0.0418183,-0.000570579,0.00155604,0.00585442,6.31607e-05,0.0086137,-6.90558e-06,-0.000273043,-0.000151405,-1.86457e-07,0.00104773,0.0184715,-0.00303009,0.148393,0.100901,0.0835709,0.150891,0.0181793,0.026071,0.0078765,0.0690626,0.0116368,0.00498059,0.0101258,-9.35188e-05,-4.27498e-06,-0.000104175,-3.80918e-05,0.000467523,-1.63984e-05,-0.0031029,-2.7305e-05,-4.79757e-05,-0.000651771,-5.35394e-06,-0.00108354,0.000264952,-0.004954,-0.000105366,-2.90438e-05,-0.0788062,-0.107144,0.0411877
TUR,3.46426e-07,-0.00235725,0.921839,-0.000111532,2.31368e-05,-0.000295389,-0.00121893,-0.000298986,1.15188e-05,-1.38225e-05,-0.000154574,-0.000456814,2.21206e-06,-6.88614e-05,-0.00151276,-0.000379618,-0.00043356,-0.000488547,-0.000164264,-9.49625e-05,-0.0063848,-0.00101528,0.000115803,-0.00807254,-0.0306843,-0.000768994,0.00146567,0.00168549,-0.0027506,-0.0088266,-0.0176361,-0.00206463,0.0435997,-0.00140779,-0.00832432,-0.00737868,-0.00865362,0.236202,-0.00407439,-0.00458478,0.169903,0.301043,0.320912,0.118819,-0.0303523,-0.00159347,-0.00803612,0.000250032,0.800708,0.000736146,2.62014e-05,-0.00987555,-0.00257539,-0.000769922,-0.0107088,-0.00971009,-0.0292278,0.0921863,-0.127628,0.0845377,-0.000948835,0.0707978,0.113821,0.134019,0.145796,-6.3431e-05,-3.66053e-06,-0.000191978,1.05524e-05,6.80449e-05,-0.000104123,-0.00337589,-0.000169978,-0.00152708,-0.00609519,-1.4784e-05,-0.00148302,2.83747e-05,-0.00143092,9.36631e-06,3.40784e-05,-0.0390619,-0.169596,0.366585
XIP,-4.85474e-05,-0.0382603,-0.000189512,0.996852,-0.00483458,-0.00826538,0.026833,0.00794633,-5.59232e-05,-0.000182935,0.000100421,0.000453565,5.64284e-05,-7.74599e-05,-0.000444671,-0.000201902,0.000331518,-0.0243063,-0.000322183,0.0121375,0.0191136,0.0184156,-2.57268e-05,0.00353677,0.183833,-0.00337929,-0.00708138,0.420369,0.142488,-0.0132699,0.0483394,0.0171323,0.134371,0.376526,0.0211376,0.012914,0.012834,0.0011954,-0.00090893,-0.00156076,0.228697,0.0498383,0.0015169,0.000134243,0.00712816,6.16385e-05,0.00891198,-1.0206e-05,-0.000292173,-0.000463721,-1.45054e-07,0.00261454,0.0346173,-0.00236999,0.0378752,0.22265,0.113241,0.185968,0.056332,0.0235862,0.0160259,0.136109,0.0160532,0.00188843,0.014006,-7.68492e-05,-9.99111e-06,-0.000140223,-4.19556e-05,0.000673328,-1.78303e-05,-0.00376928,-3.28212e-05,-6.02452e-05,-0.000734004,-7.59282e-06,-0.0017407,0.000295684,-0.00499917,-9.5131e-05,-9.28125e-05,-0.0824441,-0.154194,0.0345552
THU,-3.80152e-06,-0.00763517,-1.13096e-05,-0.000486693,0.998114,-0.0119876,0.00942037,0.0123303,-2.58698e-05,-0.000113423,-0.000882337,-0.00122045,-7.50425e-05,2.5294e-05,0.000304505,5.88341e-06,3.6822e-06,0.0258719,-5.64599e-05,0.00757191,0.0156557,0.00456139,0.0290732,0.00644143,0.0931409,-0.00244709,0.0398474,0.0269397,0.0177284,-0.00254734,0.000698062,-0.00307935,-0.000543494,0.0737983,0.00851776,0.00316839,0.00436028,0.00126122,-0.00017923,-0.000281857,0.0466619,0.0279469,0.00025497,-0.00450034,0.00401534,8.985e-05,0.00156622,-2.82771e-06,-8.02695e-05,-9.23132e-05,3.63291e-07,-0.000384703,0.0135003,-0.00054949,0.00877177,0.039544,0.00861844,0.078959,0.0165275,-0.0254296,0.00428978,0.00753085,0.00323397,-0.00377589,0.00165437,-4.0404e-05,-4.46499e-07,-8.21986e-05,-3.38611e-06,4.07123e-05,-8.61729e-06,-0.00111953,-1.90951e-05,-2.99048e-05,-0.00039059,-2.28901e-06,-0.000857697,-8.59524e-06,-0.000240349,-1.67192e-05,-6.38826e-06,-0.0751199,-0.0941426,-0.0012382
LPL,-1.12218e-05,-0.00620641,-1.68051e-05,-0.000242278,-0.00227513,0.917941,0.0122798,0.020651,-7.38795e-05,-0.000169632,-0.00890818,-0.0134582,-0.000876108,-3.78058e-05,-0.000253733,-0.000291065,-1.62363e-05,0.323362,-0.000100904,0.0044625,0.0076532,-0.00172833,-1.15441e-05,-0.000877874,0.146586,0.121904,0.127905,0.0498882,0.118347,-0.00610972,-0.000765356,0.0159211,0.00123995,0.00703274,-0.0087795,0.0105471,0.00802609,0.000256391,-0.000727313,0.00155794,0.150374,0.0500027,0.000689752,-0.00826067,0.00546604,0.000163294,0.00199384,-8.22364e-06,-0.000127953,0.00117519,-1.57782e-07,-0.00187236,0.0201651,0.0320355,0.0792122,0.103317,0.116188,0.168122,0.0338389,0.0204616,0.00836845,0.0639407,0.0110223,-0.00053045,0.00700343,-0.000104606,1.34701e-05,-6.0087e-05,-5.76707e-05,-0.00035799,-1.53503e-05,-0.00230608,-3.08049e-05,-7.0762e-05,-0.000587006,-5.06096e-06,-0.000869435,-0.000269337,-0.000267379,9.25265e-07,5.97756e-05,-0.0878718,-0.126266,0.0216329
MPL,-3.5663e-06,-0.00275842,-7.02988e-05,-0.00176887,-0.00621967,-0.0682263,0.972889,0.214646,-0.000212383,-0.000420398,-0.00246073,-0.00256816,-0.000160219,-8.36095e-05,-0.000654235,-0.000727724,-0.000144391,0.0582242,-8.20829e-05,-0.000176566,-0.0116112,0.130326,-0.00904399,-0.000793635,0.139015,-0.0113295,-0.0203591,0.0300089,0.0104987,-0.0169314,-0.0019113,-0.00378764,0.0334728,0.00560547,-0.00415688,0.0200174,-0.000359035,0.000907621,-0.0008302,-0.000679149,0.0878978,0.0531572,0.0326086,-0.00650225,0.00329794,2.55256e-05,0.0031188,-6.8267e-06,-0.000218711,-7.97736e-05,-7.55635e-08,0.00445508,0.125524,-8.86683e-06,0.00670039,0.176868,0.0679534,0.131472,0.0298533,0.0120995,0.0322967,0.116086,0.0105248,-0.00107554,0.00569291,-0.000173937,1.15439e-05,-4.93081e-05,2.02256e-06,-0.000236451,-2.92733e-05,-0.00239975,-3.21129e-05,-6.65413e-05,-0.0011016,-1.76221e-05,-0.00722496,-0.000154825,-0.00262921,-0.000465759,-0.000109126,-0.0822124,-0.119542,0.0150088
SPL,3.13427e-06,0.00142523,-2.32756e-06,0.000110553,-0.000498876,-0.0143483,-0.0970399,0.965902,-0.000100366,9.16866e-05,0.000241308,0.000563266,4.35724e-05,-0.000115552,-0.000781641,-8.80332e-05,-4.92806e-05,-0.0148823,-2.02671e-05,-0.00302152,-0.0213969,-0.0174439,-0.0389066,-0.00183862,0.151373,-0.00457069,-0.01406,-0.0325819,-0.00788254,-0.0400158,-0.00196251,-0.00410211,-0.00294713,-0.00607976,-0.000852585,-0.00387031,0.000972656,-0.000303224,-1.94251e-05,-0.00047067,-0.0024095,0.0162322,0.00784534,0.000183927,0.00144473,2.11701e-05,0.000681255,1.00918e-06,-4.41165e-05,-0.00023355,1.05342e-06,-0.00188834,-0.0550482,-0.000538222,-0.0133216,0.663744,0.00587656,0.122475,0.0241677,-0.0316278,0.0155391,0.331853,0.000354513,-0.0129481,-0.00316154,-2.60618e-05,7.01071e-06,4.84227e-05,-6.79604e-06,-0.000111025,-3.68719e-06,-0.00225098,-8.57291e-06,1.11191e-05,-7.23113e-05,1.65323e-06,-0.00665478,9.66411e-05,0.000228743,5.27281e-05,2.54467e-05,-0.0413793,-0.116112,-0.0468416
HAK,3.15836e-06,-0.000168254,4.05404e-07,1.14816e-05,-8.12493e-06,0.00149411,-0.000669593,-0.00354923,0.99888,-0.00193002,-0.00297343,0.000275398,-0.000272743,-6.82284e-05,4.85928e-05,-0.000384644,-9.62973e-05,-0.00661379,6.47158e-07,-0.0166778,-0.0332603,-0.0220017,0.00138518,-0.000964043,-0.0295,-0.00100079,-0.000269561,-0.0377638,4.55324e-05,-0.0379071,0.000665565,0.00416127,-0.000152094,0.00254068,-0.00102835,-0.00170381,-0.0145048,0.000225671,-0.00187462,-0.00193177,-0.0636299,0.000685955,0.000455589,0.011722,-0.000119511,-4.64171e-06,-8.22575e-05,8.31817e-06,2.95676e-05,-2.96605e-05,2.49327e-06,-0.00237897,0.758475,-0.00341471,-0.0182812,0.449093,0.471353,0.357764,0.0699414,0.126238,0.170509,0.366126,-0.00381289,-0.0375993,-0.0106017,3.02346e-05,1.93595e-05,-7.12868e-05,5.95561e-06,-0.000825853,2.94155e-06,0.000518705,-2.79647e-06,7.45851e-06,0.000100382,2.496e-06,0.000320008,0.000242558,0.000317928,6.19608e-05,3.18247e-05,-0.00447894,-0.138956,-0.181238
HAK1,1.1073e-07,0.000222374,-1.66266e-06,2.19089e-05,2.8575e-05,0.00216405,-0.00116466,-0.00118396,-0.00104479,0.99746,-0.00292385,-0.000666538,-0.000163009,-0.000156638,-0.00152914,-0.000536245,-0.000246027,-0.00947976,-0.00011399,-0.0171027,0.0971127,-0.0325953,-0.00119017,-0.00309206,0.0314541,-0.00044984,-0.00414547,-0.019701,-0.00538359,0.0466237,-0.00663818,0.000258062,-0.00236422,-0.0012232,0.0618538,-0.00433676,-0.0134359,-0.0011593,-0.00208522,-0.00263447,0.1215,0.0103216,-0.0028685,-0.00840882,0.00374495,0.000123902,0.00139606,-4.48969e-06,-4.46554e-05,-0.00027709,5.52689e-07,-0.00238866,0.805197,-0.000668264,0.000422142,-0.00356474,0.153759,0.179966,0.0389743,0.0927629,0.16118,0.149804,0.00492018,-0.00782465,0.00267393,2.56229e-05,2.45443e-05,-7.14066e-05,1.27519e-05,-0.000955944,3.04588e-06,-0.0262129,-9.26869e-06,3.88969e-05,1.60645e-05,4.30202e-06,-0.00418867,0.000341135,-0.00257604,-0.000138401,-0.00175863,-0.0753997,-0.137077,-0.00570632
