CUT3,SB,MM,TUR,XIP,THU,LPL,MPL,SPL,HAK,HAK1,HAK2,HAK3,HAK4,MUL,MUL1,MUL2,MUL3,TRA,PAG,DFS,DFH,DSM,DSP,DSR,MSC,MSG,MSP,ENG,SAR,EPI,CEBH,CEBS,CEPH,CEPS,DNS,DNH,DRS,DRH,ARF,PWL,SUP,MbO,MbFF,MbDF,MbC,MbPAR,MbSCA,MbH,MbGRA,MbSF,MbPF,BO,EUP,ZG,ZL,ZM,ZS,PB,BB,PS,DF,PL,MB,SG,MA,Bathyrajabrachyurops,Dalatiaslicha,Dipturusoxyrinchus,Etmopterusspinax,Galeusmelastomus,Myliobatisaquila,RSHC1,RSSC1,Rajaasterias,Rajamiraletus,Rajapolystigma,SSHC1,SSSC1,Scyliorhinuscanicula,Torpedomarmorata,Torpedotorpedo,DC,SPOM,BD
HAK2,-2.72185e-06,-0.00371472,-5.68384e-06,-9.77011e-05,-0.00102135,-0.0556822,-0.00847023,-0.00525048,0.000462505,-7.57312e-06,0.987234,-0.0174211,-0.00111194,-0.000253134,-0.00235956,-0.0012875,-0.000666783,0.376364,-0.000179766,-0.0310431,-0.00207855,0.10746,0.000439215,-0.00247592,0.101602,-0.00978527,-0.0154047,0.0290335,-0.00316119,-0.0030119,0.000763792,-0.0153754,0.00418044,-3.72236e-05,0.228942,0.00489734,-0.00876024,-0.00325313,0.00238713,0.0147258,0.0647153,0.0755636,2.60023e-05,-0.00164081,0.00349034,-4.39894e-05,0.000825395,-8.73074e-06,-0.000149472,0.00172867,-6.7248e-07,0.00679069,0.106375,-0.00358245,0.0752143,0.0330913,0.126502,0.135907,0.0162391,0.0558481,0.0228273,0.0584042,0.0104271,0.0101582,0.00737383,-0.000192858,1.12127e-05,-0.000654751,2.79995e-05,-0.000267023,-2.71828e-05,-0.0416746,-6.03304e-05,-2.47461e-05,-0.000752873,-1.08425e-05,-0.00807319,0.00037745,-0.00383979,-0.000636782,-0.00251907,-0.0562494,-0.0852943,0.0586243
HAK3,-6.56241e-06,-0.00627792,-7.0975e-05,-0.000156173,-0.00185246,-0.0998858,-0.012074,-0.00639486,-9.34145e-05,-0.000747504,-0.0198735,0.970378,-0.00190776,-0.000232661,-0.00279609,-0.000789779,-0.000459851,0.660857,-0.000201463,-0.00101065,0.0647634,-0.0186396,-0.00147917,-0.00361611,0.0128118,-0.0163957,-0.0164769,0.0562781,0.00698736,-0.00501249,-0.00502429,-0.00442745,-0.00277175,0.00898566,0.255171,0.0146652,0.000125232,0.0216309,-0.00118963,0.0230386,0.0489419,0.0226166,0.000897052,-0.000520275,0.00364713,2.55711e-05,0.000943674,-5.36628e-06,-0.000130757,0.00318083,-2.05829e-07,0.00253082,0.0302853,-0.00562634,0.108713,0.0452167,0.189232,0.167032,0.0232134,0.0641876,0.00820549,0.053363,0.00744658,0.000858285,0.0037676,-0.00010998,9.87372e-06,-0.000731326,2.245e-05,-5.61942e-05,-8.40757e-06,-0.0373695,-3.34993e-05,-0.000167498,-0.000732662,-4.78592e-06,-0.0112005,0.000385446,-0.00527705,-0.000475514,-0.00386767,-0.0519979,-0.0759553,0.0177153
HAK4,-7.25545e-05,-0.0648475,7.32898e-05,-0.00145072,-0.0206662,-1.1679,-0.142512,-0.0696305,0.01208,0.0144495,-0.185392,-0.300179,0.978733,0.00082985,-7.56513e-05,0.00748968,0.00305043,7.72809,-0.000959878,0.58579,0.577315,0.00998915,-0.0321956,-0.0125661,0.214451,-0.17535,-0.196445,0.651501,-0.0171616,-0.0136005,0.113591,-0.0365999,-0.0524981,0.0552189,0.00444396,0.235761,0.00123917,-0.0135604,-0.00812183,0.182175,0.459073,0.220773,0.00913611,0.0289884,0.0183236,-0.000186602,0.00317475,-3.27493e-05,-0.000349307,0.0362737,-2.54313e-06,0.00682719,0.879988,-0.0594759,0.720006,0.535449,2.35722,1.52316,0.143264,0.816353,0.201696,0.656346,0.0646806,0.000927629,0.0352157,-0.00151635,4.41408e-05,-0.0144288,7.32783e-05,-0.000896535,-0.000111742,-0.0409773,-0.000517216,-0.000765101,-0.00413605,-9.04116e-05,-0.011947,-0.00682172,-0.00346875,-0.000124891,0.00111931,-0.0365603,-0.333676,0.00661316
MUL,4.80221e-07,8.13688e-05,1.82146e-05,1.85407e-06,0.000125838,0.000594439,0.000429409,-0.00124821,-1.85734e-05,-7.79489e-05,-0.000379364,-0.000323532,2.14052e-05,0.999487,-0.00234644,-0.000924478,-0.000353726,-0.000616934,-0.000153547,-0.0316449,-0.0154209,-0.0145954,-0.00561402,-0.000908834,-0.0131128,0.000131382,0.000690324,-0.00315105,-0.00398657,-0.0134112,-0.0108571,0.00127055,-0.00139432,0.00239446,-0.0104519,-0.0090661,-0.00823557,-0.00687222,-0.0011052,-0.00118474,0.115615,0.0328767,0.000213844,-0.00364218,0.118702,0.000210488,-0.00231972,-2.58994e-05,-9.94045e-05,3.59825e-06,-4.54993e-06,0.119457,-0.0189852,-0.00139876,-0.0123467,0.100223,0.0976276,0.10152,0.141459,0.1074,0.000404224,0.109633,0.033161,0.0654102,0.0196102,-0.000159553,-1.54336e-06,3.90904e-05,1.92547e-05,0.000237232,-0.000107714,-0.00631986,-1.62203e-05,-0.00211634,-0.00330073,-3.04187e-05,-0.00346815,0.000682449,-0.00899098,-9.23448e-05,-0.00156337,0.0171908,-0.0961371,0.374206
MUL1,1.72069e-06,0.000589189,5.69641e-05,8.76311e-06,0.000494329,0.00131338,0.000549372,-0.00356988,1.15536e-05,-0.000528855,-0.00155191,-0.00168299,2.39117e-05,-0.000768043,0.990276,-0.000932289,-0.000576071,-0.0036023,-0.000361524,-0.020172,-0.0347148,-0.0322675,-0.0300359,-0.00344221,-0.0264334,-0.000698219,0.000101051,0.000579294,-0.0109022,-0.0140189,-0.0195147,0.000290428,-0.00194934,0.00172186,-0.0123564,-0.0240118,-0.00242259,-0.0326885,-0.000620253,-0.00217474,0.208159,0.030524,0.105499,0.0748201,0.0910007,0.00494799,0.016737,-1.37286e-05,-0.000300856,-0.000286838,-3.07107e-06,0.0168059,-0.012814,-0.000628173,0.0153725,-0.0123464,-0.016059,0.0402906,-0.0533845,0.0564776,-0.0030782,0.0385845,0.038277,0.0533499,0.0252465,-0.00100934,8.14747e-07,0.000110981,5.02021e-05,0.000446938,-0.000617088,-0.03913,-1.46507e-05,-0.0125504,-0.0199543,-0.000191403,-0.0193866,0.000929031,-0.00924817,-0.000950789,-0.00644755,-0.0592145,-0.0787647,0.240606
MUL2,2.72487e-06,-0.000270859,3.0566e-05,4.36049e-06,4.88913e-06,0.00189056,-0.000454708,1.3456e-05,-2.29097e-05,-9.92794e-05,-0.000398934,0.00021894,7.63222e-05,-0.000309015,-0.00145794,0.984496,-0.00123052,-0.00754576,-0.000560652,-0.093946,-0.0271918,-0.0118834,0.002475,-0.00391404,-0.00406284,0.000139966,0.000626085,-0.0205478,-0.00109924,-0.00207799,-0.0152502,-0.00029929,-0.000513579,0.00472074,-0.00483487,0.492766,-0.00643223,-0.00442646,-0.000586644,-0.00189752,0.025162,0.0531943,0.0254201,0.306079,0.0668326,-0.000652678,0.00621323,-3.75709e-05,-0.000517421,-0.000402441,-3.53682e-06,0.00462204,-0.0174611,1.87166e-05,-0.00826178,-0.0163417,-0.0232036,0.0480468,-0.0140831,0.0110603,-0.00419017,0.00791709,0.0487889,0.0619088,0.0610153,-0.000239411,-4.54823e-06,-0.00017269,1.25561e-05,0.000135913,-0.000157093,-0.0103334,-3.42521e-05,-0.00048395,-0.00773497,-0.000184428,-0.00570745,0.00128089,-0.00229661,-0.000243411,-0.000193498,-0.0278403,-0.0877063,0.0952901
MUL3,1.10526e-06,-0.000516881,-6.27243e-05,-0.000168782,-2.45031e-05,0.00185297,-0.000579294,-0.000383879,-4.26457e-05,-0.000331203,-0.0020123,-0.000943051,9.40403e-05,-0.000512906,-0.00264372,-0.00663252,0.997791,-0.00633678,-0.000958685,-0.129963,-0.0224109,0.0362068,0.00201944,-0.00277905,-0.0125143,-0.00202025,0.000817618,-0.00441944,0.000105896,0.000406015,-0.00914156,-0.0063343,-0.000756118,0.0024048,0.364825,0.0708544,-0.0197024,-0.00719976,-0.00207351,-0.00759852,-0.0618346,0.112676,0.282016,0.42808,0.224588,0.00410369,0.0151248,-3.89244e-05,-0.00117631,-6.76768e-05,-6.53871e-06,0.00540011,-0.0186673,-0.00104084,0.0560173,-0.00988368,-0.0202509,0.0875906,-0.0606723,0.0406042,-0.00416513,0.0349162,0.0913227,0.0996424,0.061199,-0.000524563,3.70112e-06,-1.07635e-05,1.97316e-07,-0.000291348,-0.000321009,-0.0187136,-6.34318e-05,-0.000805743,-0.0105713,-0.000118441,-0.00217043,0.00143087,-1.0556e-05,-9.46036e-05,3.35034e-05,-0.0892748,-0.130609,0.197333
TRA,-7.97931e-06,-0.00775553,9.44865e-06,-0.000190878,-0.00238431,-0.132636,-0.0159803,-0.00763416,-0.00011833,-0.000205988,-0.0237829,-0.0364476,-0.00237555,-3.62389e-05,-0.000141485,-0.000861705,-7.43361e-05,0.881214,-5.91678e-05,-0.0077118,0.0294047,-0.00912165,-0.00065985,-0.000774233,0.033688,-0.0197264,-0.0224732,0.0766453,-0.000824455,0.00167991,0.00309978,-0.00386301,-0.00459456,0.00985045,-0.00392615,0.0257554,0.000650339,-0.00174988,-0.000619087,0.00674165,0.0269989,0.0178842,5.31601e-05,0.00207476,0.000392281,-3.87551e-05,0.000154453,-2.09508e-06,-1.82344e-05,0.00414163,-1.78316e-07,-0.00039459,0.0293836,-0.00662989,0.0776932,0.0595874,0.255686,0.154316,0.0112234,0.0837026,0.0087242,0.0591154,0.00506115,-0.000914419,0.00248868,-0.000165064,-5.05749e-07,-4.10518e-05,5.15872e-06,-1.78035e-05,-9.95906e-06,-0.00391044,-1.07782e-05,-7.97429e-05,-0.000368206,-9.01577e-06,-0.00103782,0.00012945,2.59841e-05,2.50993e-05,0.000177401,0.00606042,-0.0211355,-0.00602523
PAG,-2.44529e-07,-0.0161826,2.40273e-05,3.77301e-05,0.000142409,3.78755e-05,-0.00022803,-0.000586351,-6.61889e-06,-0.000181209,-0.000398058,-0.000260699,6.80237e-06,-0.000217753,-0.00157484,-0.00216187,-0.00072657,-0.00306243,0.998329,-0.00301366,0.062326,0.019369,-0.00478972,-0.00302704,-0.0198071,-0.000690412,-0.000293288,-0.00301634,-0.00283692,-0.00866484,0.0888229,0.0798694,-0.00848245,-0.00708943,0.0505185,0.0177239,0.00718284,0.00630939,-0.00156926,-0.00438838,0.0470281,0.119432,0.0183506,0.580323,0.171841,-0.000981534,0.112352,-1.09736e-05,-0.000894922,-0.000118004,-2.25091e-06,0.00358445,0.00607494,-0.000434655,0.000945458,-0.00131483,-0.0208565,0.0937377,-0.0363104,-0.00528705,0.00112255,0.00140718,0.089807,0.118182,0.0800287,-0.000230049,3.47217e-05,-0.000144072,-0.000176022,-0.000558627,-0.000148795,-0.00834273,-7.01908e-05,-0.000397741,-0.00486313,-4.84547e-05,-0.00170744,-0.000715816,-0.000543334,-0.000116337,-0.000135496,-0.0580882,-0.149657,0.176463
DFS,2.11824e-07,0.00436498,4.59674e-06,0.000303371,0.000230274,-0.00874082,-0.00114558,-0.00265335,0.000372238,0.000451184,0.00374122,-0.00166249,-0.000600535,0.00184892,0.00261355,0.0231283,0.00576184,0.00792194,-0.00016121,0.988091,0.0904886,0.0314129,-0.0314536,-0.00293367,-0.083725,-0.0023377,0.00144402,-0.00984519,-0.00909273,-0.0100662,0.0198094,0.00754332,-0.0118428,-0.0445829,0.0400268,0.0121688,0.000687005,-0.000325482,-0.00114247,-0.00119053,0.189562,0.0353726,0.00158249,0.000156045,0.00692473,7.25733e-05,0.000362717,-1.15363e-05,-9.5596e-05,0.000372099,-1.18531e-06,0.00277396,0.129237,-0.00107494,0.0361147,0.016105,0.0186828,0.0637084,0.0170129,0.0378022,0.0265271,0.0558843,0.0138255,0.013797,0.0117095,-1.746e-05,5.61564e-05,-0.000849111,-6.83496e-06,-0.000337918,-1.51516e-05,-0.00482617,-4.31645e-05,-5.85039e-05,-0.000555928,-7.85393e-06,-0.000972703,-0.0116858,-0.00240186,-0.000120839,-0.000103268,-0.0391103,-0.0698108,0.0827767
DFH,-1.41448e-05,0.000899309,4.72402e-07,5.35269e-05,0.00038461,0.00225768,0.000382565,-0.00165196,-0.000131773,-0.00140979,7.4009e-05,-0.000430697,1.19877e-05,-0.000120303,-0.000687033,-0.000645751,-0.000105554,-0.0107497,-0.000510328,-0.0141178,0.973651,0.001184,-0.0178444,-0.00832568,-0.0225771,6.38466e-05,0.000346244,-0.00547393,-0.00838737,-0.0529556,-0.00409647,-0.00410194,-0.0101228,-0.00298399,-0.00149198,0.00946056,0.000877286,0.00119317,-0.000646694,-0.000513168,0.248565,0.00493276,-0.00136051,0.000281365,0.00269748,0.000326543,0.00215003,-1.16784e-05,-5.13055e-05,-0.000328122,-1.7927e-06,0.00164604,0.0947281,-0.000215181,-0.0012719,0.0187319,0.016422,-0.0182039,0.0257582,0.0706814,0.0197344,0.0759949,0.0141426,0.0184655,0.0135092,8.09488e-06,-2.53087e-06,-5.62923e-05,1.89411e-05,-8.83715e-06,-1.20034e-06,-0.00101546,-4.54998e-06,-4.63814e-08,-0.000200911,-2.83886e-06,-0.000130164,0.000220437,-0.00536017,-8.11815e-06,-0.000308213,-0.0223572,0.0251314,0.0926539
DSM,-1.13609e-06,0.000157316,2.93948e-05,9.07405e-05,-1.7779e-05,0.00179984,-0.00929556,-0.00227679,-0.00014138,-0.000333218,-0.00366576,-8.60713e-05,-9.97958e-07,-0.000152164,-0.0009215,-0.000564034,-0.000423447,-0.0024736,-1.14527e-05,-0.00702228,-0.0365288,0.960381,-0.00257524,-0.00646128,-0.0226292,0.000124293,0.000948284,-0.00327344,-0.00657615,-0.00627462,-0.011655,-0.0807485,-0.0203753,0.00113882,-0.00924524,0.00235756,-0.0210831,-0.00327181,-0.000787376,-0.000349113,0.170529,0.0161136,-0.00491223,-0.022643,0.00067702,1.01461e-05,-0.00116267,-1.37227e-05,-2.75697e-05,-0.000367214,-2.40562e-06,0.0442373,0.110212,-0.000280954,-0.00495776,-0.0148725,0.0238988,-0.0233584,0.0557597,0.0812214,0.0215039,0.0608453,0.015713,0.022658,0.00993166,-0.000841138,-2.23745e-05,3.5742e-06,0.000200778,0.000539552,-9.39833e-05,-0.00606311,-9.12438e-06,-0.000236834,-0.00360039,-7.27107e-05,-0.00779148,-0.00106556,-0.0026092,-0.0026348,-0.000271064,-0.0309931,0.0340337,0.129551
