ESSESH,SB,MM,TUR,XIP,THU,LPL,MPL,SPL,HAK,HAK1,HAK2,HAK3,HAK4,MUL,MUL1,MUL2,MUL3,TRA,PAG,DFS,DFH,DSM,DSP,DSR,MSC,MSG,MSP,ENG,SAR,EPI,CEBH,CEBS,CEPH,CEPS,DNS,DNH,DRS,DRH,ARF,PWL,SUP,MbO,MbFF,MbDF,MbC,MbPAR,MbSCA,MbH,MbGRA,MbSF,MbPF,BO,EUP,ZG,ZL,ZM,ZS,PL,PB,MB,BB,PS,SG,DF,MA,ESH,ESS,DC,SPOM,BD
SB,0.998222,0.0321699,0.000180044,-0.0166681,-0.0058951,-0.105196,-0.0282678,-0.0612531,-0.00389696,-0.00740244,0.0176026,0.0243844,0.00178595,-0.00186469,-0.00330351,-0.0100911,-0.000369062,-0.682239,-0.00102357,-0.0660257,3.26418,0.272157,-0.0379259,0.403086,-0.620735,-0.0343672,0.00599709,13.9526,5.92942,3.59352,-0.0926965,-0.0501555,-0.200902,-0.333751,-0.107033,0.376921,-0.163219,-0.0129119,-0.0181451,-0.0129608,5.43126,-0.318478,0.00635053,-0.0416347,-0.0162713,0.000291024,-0.0198843,-0.000177835,0.000646725,-0.0036655,-8.44293e-06,0.00563494,1.13313,-0.0731767,0.25717,8.55429,5.52978,7.99171,5.29588,0.281733,1.07356,4.56177,0.0360151,0.578717,0.250416,-0.0618606,-0.00117117,1.36482,-2.71168,0.94515
MM,-4.83412e-06,0.96705,-0.000186413,-0.00206783,-0.00412568,-0.0159608,-0.00558077,-0.00251177,-5.03062e-05,-0.00021181,-0.00155005,-0.00172766,-9.28496e-05,-1.31244e-05,-7.53941e-05,5.68643e-05,-3.0855e-05,0.0315116,0.00268024,0.0107621,0.0379187,0.0353111,0.0169146,0.00232471,0.175128,-0.0060775,0.0528372,0.0366919,0.00649242,0.0448424,0.00366389,0.0143751,0.13407,0.28691,0.0225498,0.00268212,0.0110877,0.00237334,-0.000733877,-0.00151108,0.107513,0.0419635,-0.00059079,0.00162582,0.0058682,6.34614e-05,0.00865063,-6.93582e-06,-0.000273201,-0.000152023,-1.90156e-07,0.00108714,0.0187132,-0.00302661,0.148287,0.100858,0.0835582,0.0691371,0.150895,0.0116831,0.0182528,0.0261542,0.00504856,0.0079228,0.0101668,-0.0101731,0.00106435,-0.0789675,-0.107215,0.0414875
TUR,3.51221e-07,-0.00235226,0.921839,-0.000111145,2.48735e-05,-0.000282422,-0.00122499,-0.000351524,1.16342e-05,-2.45181e-05,-0.000185896,-0.000495082,2.586e-06,-4.5454e-05,-0.00105344,-0.000398378,-0.000424617,-0.000555666,-0.000157628,-0.000106354,-0.00673755,-0.00111149,0.000105303,-0.00838831,-0.0305092,-0.000759451,0.00146167,0.00164537,-0.00262017,-0.00899215,-0.0182096,-0.00213892,0.043529,-0.00140486,-0.00839971,-0.00638673,-0.00881963,0.239093,-0.00410823,-0.00462247,0.17099,0.303435,0.321238,0.118982,-0.0303406,-0.00159531,-0.00806354,0.00024977,0.800601,0.000737257,2.61778e-05,-0.00992786,-0.00264971,-0.000768672,-0.0107215,-0.0098069,-0.0293574,0.071095,0.0923197,0.11401,-0.127783,0.0849032,0.134277,-0.000967751,0.146062,-0.0142716,-0.000183719,-0.0378935,-0.169941,0.367517
XIP,-4.85509e-05,-0.0383595,-0.000189361,0.996846,-0.00484188,-0.00827217,0.0268065,0.00791266,-5.61971e-05,-0.000177599,0.000120707,0.000483294,5.64864e-05,-6.27359e-05,-0.000401364,-0.000188657,0.000328828,-0.0242997,-0.000325223,0.0121673,0.0206709,0.0191675,-6.2282e-05,0.00345124,0.183918,-0.00338144,-0.00709873,0.420179,0.142447,-0.0133308,0.0485577,0.0171954,0.135081,0.377258,0.0213491,0.0128254,0.0128591,0.000855969,-0.000910417,-0.00156397,0.229379,0.0500764,0.00150658,0.000223218,0.00714993,6.20408e-05,0.00895385,-1.02484e-05,-0.000292591,-0.000464249,-1.5046e-07,0.00266421,0.0348515,-0.00236845,0.037885,0.222611,0.113255,0.136221,0.186047,0.0161208,0.0564174,0.023725,0.00197856,0.0160706,0.0140666,-0.0116898,0.00146558,-0.0826208,-0.154317,0.0349481
THU,-3.80289e-06,-0.00764926,-1.14109e-05,-0.000487684,0.998112,-0.011991,0.00941793,0.0123364,-2.59019e-05,-0.000111586,-0.000877163,-0.00121587,-7.50392e-05,2.57191e-05,0.000317663,6.08223e-06,4.26828e-06,0.0258914,-5.62813e-05,0.00757713,0.0156379,0.00471009,0.0290776,0.00648131,0.0932052,-0.00244639,0.039837,0.026933,0.0177346,-0.00252106,0.00075802,-0.0030833,-0.000562801,0.0739829,0.00853464,0.00324303,0.00435969,0.0012926,-0.000181259,-0.000281185,0.0468295,0.028172,0.000277382,-0.00446515,0.00401916,8.96385e-05,0.00156524,-2.8449e-06,-8.06792e-05,-9.19698e-05,3.60811e-07,-0.000376546,0.0135285,-0.000549724,0.00877204,0.0395604,0.00862235,0.00758231,0.0789966,0.00326157,0.0165298,-0.025379,-0.00373954,0.00429592,0.00168287,-0.00278365,4.48572e-05,-0.0750645,-0.0941952,-0.00111195
LPL,-1.12203e-05,-0.00620935,-1.7099e-05,-0.00024248,-0.00227575,0.917937,0.0122741,0.0206474,-7.39487e-05,-0.000167406,-0.00890357,-0.0134619,-0.00087625,-3.88319e-05,-0.000245964,-0.000293851,-1.36848e-05,0.323419,-9.92734e-05,0.0044753,0.00750762,-0.00157093,-9.09864e-06,-0.00088121,0.146966,0.121889,0.127871,0.0498795,0.118358,-0.0061743,-0.000898218,0.0161119,0.00119164,0.00709237,-0.00870904,0.0107471,0.00805143,0.000356907,-0.000731707,0.00156289,0.150546,0.0503196,0.000729085,-0.00822555,0.00546503,0.000162723,0.00198986,-8.24799e-06,-0.00012862,0.00117595,-1.60931e-07,-0.00187369,0.020227,0.0320299,0.0792288,0.103337,0.116197,0.0640176,0.168178,0.0110536,0.0338114,0.0205334,-0.000477072,0.00838135,0.00704314,-0.00424272,-0.00085493,-0.0876935,-0.126344,0.0218394
MPL,-3.59777e-06,-0.00276843,-7.00695e-05,-0.00176945,-0.00622107,-0.0682328,0.972888,0.214732,-0.000212924,-0.000421342,-0.00246915,-0.00254527,-0.000160335,-7.65917e-05,-0.000593329,-0.000707303,-0.000150189,0.0582571,-8.82122e-05,-0.000228179,-0.0110953,0.13279,-0.00902734,-0.000159115,0.13894,-0.0113292,-0.0203579,0.0299953,0.0105005,-0.0165286,-0.000730475,-0.00403946,0.0336479,0.00556516,-0.00417519,0.0199696,-0.000388538,0.000763048,-0.000829301,-0.00068485,0.0889379,0.0529359,0.0326167,-0.00642062,0.00333014,2.71234e-05,0.00315385,-6.86094e-06,-0.000218647,-8.11803e-05,-8.62144e-08,0.00465312,0.125902,-1.10133e-05,0.0066494,0.176995,0.0680752,0.116475,0.131472,0.0106223,0.0300638,0.0125094,-0.000955853,0.0323765,0.00576472,-0.0144298,-0.000684059,-0.0824337,-0.119484,0.0156349
SPL,3.11811e-06,0.00143775,-1.6797e-06,0.000111051,-0.000501333,-0.0143645,-0.0970249,0.966054,-0.000100451,9.24945e-05,0.000240245,0.000567091,4.33645e-05,-0.000120899,-0.000805376,-7.52116e-05,-5.18852e-05,-0.014815,-2.371e-05,-0.00305761,-0.0217748,-0.0172415,-0.0388614,-0.00112378,0.15124,-0.00457244,-0.0140514,-0.0325774,-0.00784517,-0.0396447,-0.00123898,-0.0041108,-0.00319558,-0.00608622,-0.000920887,-0.00408447,0.0010365,-0.000392787,-1.29359e-05,-0.000458443,-0.0024244,0.0157115,0.00784249,0.000245607,0.00145801,2.25085e-05,0.00068739,1.05207e-06,-4.30173e-05,-0.000233518,1.05386e-06,-0.001826,-0.0550295,-0.000539845,-0.013352,0.663883,0.00592485,0.331942,0.122473,0.000350037,0.0242103,-0.0315646,-0.012965,0.015548,-0.00318533,-0.00876465,-0.000113391,-0.0415204,-0.116045,-0.0468816
HAK,3.16164e-06,-0.000165632,3.92017e-07,1.16355e-05,-8.02178e-06,0.00149722,-0.000666888,-0.00355047,0.998879,-0.00193262,-0.0029791,0.000267394,-0.000272634,-6.99975e-05,3.0582e-05,-0.000387271,-9.66991e-05,-0.00663124,7.61521e-07,-0.0167222,-0.0333557,-0.0223589,0.00139145,-0.000970835,-0.0294187,-0.00100053,-0.000273979,-0.0377686,4.63679e-05,-0.0379341,0.000546123,0.00422286,-0.000180752,0.00253141,-0.000959051,-0.0017376,-0.0145096,0.000244853,-0.00187375,-0.00193343,-0.0639508,0.000679843,0.000451509,0.0117199,-0.000123926,-4.74042e-06,-8.52845e-05,8.33297e-06,2.9615e-05,-2.9458e-05,2.49557e-06,-0.00240301,0.758589,-0.00341537,-0.0182682,0.449081,0.471383,0.366086,0.3578,-0.00383543,0.0698776,0.126195,-0.0376148,0.170525,-0.0106193,0.00137605,-0.000734356,-0.00449004,-0.138959,-0.181344
HAK1,4.80814e-08,0.000201731,1.5823e-06,1.99272e-05,2.43495e-05,0.00200232,-0.00119995,-0.00122396,-0.00104548,0.997617,-0.00246683,-0.000201124,-0.000166074,-0.000107161,-0.000817351,-0.00051221,-0.000230023,-0.00843116,-0.000106999,-0.0170818,0.0986741,-0.0317042,-0.00128457,-0.00353319,0.0327138,-0.000474609,-0.00424709,-0.0196235,-0.00492133,0.0480689,-0.00469814,0.00017467,-0.00262025,-0.000919231,0.0625797,-0.0037166,-0.0134514,-0.00210609,-0.00209107,-0.00249786,0.122477,0.0105298,-0.00274521,-0.0083891,0.00383848,0.000127019,0.00142261,-4.57867e-06,-4.24931e-05,-0.00027165,5.40196e-07,-0.00218228,0.805858,-0.000684453,0.000606238,-0.00310899,0.154334,0.15053,0.180569,0.00504861,0.0390032,0.0934525,-0.00764539,0.161325,0.00276735,-0.0350375,-0.00071281,-0.0752212,-0.13741,-0.00472363
