ESSESH,SB,MM,TUR,XIP,THU,LPL,MPL,SPL,HAK,HAK1,HAK2,HAK3,HAK4,MUL,MUL1,MUL2,MUL3,TRA,PAG,DFS,DFH,DSM,DSP,DSR,MSC,MSG,MSP,ENG,SAR,EPI,CEBH,CEBS,CEPH,CEPS,DNS,DNH,DRS,DRH,ARF,PWL,SUP,MbO,MbFF,MbDF,MbC,MbPAR,MbSCA,MbH,MbGRA,MbSF,MbPF,BO,EUP,ZG,ZL,ZM,ZS,PL,PB,MB,BB,PS,SG,DF,MA,ESH,ESS,DC,SPOM,BD
HAK2,-2.81565e-06,-0.00374404,-1.26342e-06,-0.000100543,-0.00102926,-0.0559313,-0.00853886,-0.00528982,0.000461314,0.000227926,0.987914,-0.0167308,-0.00111634,-0.000182093,-0.00127996,-0.00125484,-0.000639989,0.378001,-0.000167397,-0.030957,-0.000160017,0.110671,0.000321383,-0.00304857,0.103586,-0.00982119,-0.0155602,0.0291289,-0.0024731,-0.000916651,0.00386498,-0.0158825,0.00362215,0.00049379,0.229888,0.00633287,-0.00887449,-0.00450593,0.00236967,0.0149277,0.0669673,0.0769817,0.000288311,-0.00155082,0.00362641,-4.11421e-05,0.000850894,-8.96642e-06,-0.000148286,0.00173599,-7.05305e-07,0.00718182,0.107419,-0.00360701,0.0754614,0.0337875,0.127342,0.0597173,0.136797,0.0107452,0.0163219,0.0571413,0.0106014,0.0230647,0.00764678,-0.0581533,-0.000475916,-0.0556651,-0.0858504,0.0607602
HAK3,-6.70726e-06,-0.0063148,-6.73041e-05,-0.000159855,-0.0018599,-0.100145,-0.0121181,-0.0063677,-9.48155e-05,-0.000475801,-0.0190769,0.971282,-0.0019122,-0.000116268,-0.00119871,-0.000724139,-0.000444129,0.662501,-0.000201874,-0.0010296,0.0685651,-0.0150653,-0.00162119,-0.00376838,0.0139801,-0.016434,-0.0165924,0.0563674,0.00770582,-0.00135812,0.000676023,-0.00502036,-0.00305729,0.0094011,0.256067,0.0155384,2.25517e-05,0.0204952,-0.00120163,0.0232172,0.0531154,0.0234173,0.00119153,-0.00036243,0.00388512,3.33636e-05,0.00102712,-5.65325e-06,-0.000130096,0.00318501,-2.4889e-07,0.00312257,0.0315626,-0.00565309,0.108812,0.0461324,0.190149,0.0551545,0.168096,0.00789205,0.0236701,0.0659515,0.00137697,0.00849905,0.00412084,-0.0597976,-0.000449614,-0.0519489,-0.0766411,0.0203753
HAK4,-7.25493e-05,-0.0649249,6.94647e-05,-0.00145588,-0.0206886,-1.16798,-0.142595,-0.0695308,0.012076,0.0145082,-0.185141,-0.300096,0.978741,0.000804109,-8.55058e-05,0.00740506,0.00309332,7.72869,-0.000931028,0.586658,0.575506,0.0119339,-0.0317532,-0.0127645,0.216852,-0.175329,-0.196529,0.651309,-0.0168166,-0.0149517,0.11331,-0.0392169,-0.053278,0.0566169,0.00580516,0.24093,0.00042857,-0.012527,-0.00817072,0.182196,0.464442,0.235907,0.00999076,0.0303933,0.0182324,-0.000212956,0.00299028,-3.37892e-05,-0.000373869,0.036274,-2.66878e-06,0.00666142,0.880866,-0.0594919,0.720307,0.53629,2.35704,0.658448,1.52412,0.0659122,0.142235,0.818164,0.00280411,0.201898,0.0366705,-0.0625186,-0.0225588,-0.0319176,-0.335355,0.0124181
MUL,3.92815e-07,2.08278e-05,6.98661e-06,-1.65802e-06,0.000129905,0.000560139,0.000409415,-0.00134112,-1.9448e-05,-2.14994e-05,-0.000204422,-5.81507e-05,2.07007e-05,0.999588,-0.00110023,-0.000895567,-0.000353153,-0.000413786,-0.000158109,-0.0317609,-0.0116667,-0.0127457,-0.00574903,-0.00127785,-0.0128926,0.000127979,0.000655504,-0.00315664,-0.00364526,-0.012171,-0.00878826,0.000946905,-0.000167064,0.00225218,-0.0101624,-0.00842746,-0.00844581,-0.00392366,-0.00112608,-0.00120905,0.119012,0.0337228,0.000654148,-0.00345486,0.118845,0.000215573,-0.00222188,-2.6169e-05,-0.000111637,2.46769e-06,-4.58203e-06,0.119715,-0.0182902,-0.00140245,-0.0123841,0.100426,0.0978575,0.110758,0.1019,0.0335056,0.141717,0.108609,0.0658065,0.000551844,0.0200071,-0.0266441,0.000824032,0.0175842,-0.0965421,0.376148
MUL1,1.49478e-06,0.00061204,-1.14306e-05,8.44462e-06,0.000499693,0.0010688,0.000466747,-0.00374349,9.45248e-06,-0.000233154,-0.000702119,-0.000559884,1.91149e-05,-0.000366265,0.996827,-0.000925514,-0.000513729,-0.00198675,-0.000337135,-0.0205972,-0.030764,-0.0230902,-0.0303882,-0.00462503,-0.0237527,-0.000694323,-0.000106433,0.000337613,-0.00890462,-0.00799579,-0.0117559,-0.000790711,-0.00286162,0.0017496,-0.0122325,-0.0164112,-0.0034055,-0.0114708,-0.000777484,-0.00219895,0.224493,0.0385427,0.108582,0.0754948,0.0915633,0.0049638,0.0168405,-1.53336e-05,-0.00037671,-0.000281354,-3.25865e-06,0.0179773,-0.0110177,-0.000660995,0.0151385,-0.0115706,-0.015497,0.0441673,0.0423332,0.0401868,-0.0525122,0.0626138,0.0555783,-0.00268634,0.0275711,-0.112075,0.0016772,-0.0537961,-0.0814435,0.250911
MUL2,2.72835e-06,-0.000264198,2.70463e-05,4.8818e-06,4.93126e-06,0.00188254,-0.000478199,8.03086e-06,-2.32765e-05,-8.38467e-05,-0.000359575,0.000260692,7.61939e-05,-0.000295651,-0.00116559,0.984435,-0.00121787,-0.00742605,-0.00055174,-0.0940284,-0.0275745,-0.0101741,0.00247549,-0.00397806,-0.00334442,0.000146378,0.000585684,-0.0206843,-0.00102653,-0.00193031,-0.0152076,-0.000570876,-0.000741528,0.0047715,-0.00481045,0.496174,-0.00664541,-0.00334052,-0.000625485,-0.00190879,0.0266778,0.0558698,0.0257498,0.306175,0.0668379,-0.000656037,0.0062283700000000004,-3.78166e-05,-0.000524299,-0.000400882,-3.5642e-06,0.00472111,-0.017168,1.64776e-05,-0.0082784,-0.0163411,-0.0231641,0.0085736,0.0482219,0.049059,-0.0142096,0.0118269,0.0623126,-0.0041312,0.0614158,-0.0278545,0.0012898,-0.0266265,-0.0880198,0.0968676
MUL3,1.14313e-06,-0.000489709,-6.81862e-05,-0.000167166,-2.47371e-05,0.00181953,-0.00062342,-0.000513239,-4.27432e-05,-0.000297375,-0.00192609,-0.000914512,9.32025e-05,-0.000509003,-0.00230013,-0.00670677,0.997822,-0.00598118,-0.000934707,-0.129993,-0.0242455,0.0368242,0.00200291,-0.00356512,-0.010431,-0.00201362,0.000699636,-0.00452769,0.000292992,-2.42247e-05,-0.0106862,-0.00637788,-0.00159812,0.00262321,0.364907,0.0743858,-0.0199602,-0.00531445,-0.00213839,-0.00758197,-0.0611341,0.117269,0.282509,0.42817,0.224562,0.00409673,0.0150601,-3.92443e-05,-0.00118703,-6.23363e-05,-6.56932e-06,0.0053113,-0.0185341,-0.00104583,0.0561077,-0.00993427,-0.0202254,0.0354139,0.0879843,0.0916125,-0.061218,0.0411957,0.100141,-0.00414026,0.0616595,-0.0335441,0.00131452,-0.0872367,-0.131248,0.199069
TRA,-7.97427e-06,-0.00775616,9.22389e-06,-0.000190941,-0.00238558,-0.13265,-0.0159885,-0.00763001,-0.000118313,-0.000202222,-0.0237756,-0.036462,-0.00237579,-4.14008e-05,-0.000164168,-0.000868894,-6.91881e-05,0.881318,-5.50163e-05,-0.00769047,0.0289968,-0.00905084,-0.000652613,-0.000786085,0.0342023,-0.0197246,-0.0225014,0.0766309,-0.00077718,0.00149226,0.0027323,-0.00388784,-0.00472848,0.00994038,-0.00387765,0.0261213,0.00063623,-0.00163377,-0.000622836,0.00675802,0.026814,0.018189,9.50661e-05,0.00209017,0.000376579,-3.97555e-05,0.000143284,-2.10812e-06,-1.87732e-05,0.00414233,-1.79593e-07,-0.000413658,0.029387,-0.00663011,0.0777247,0.0596134,0.255677,0.0591408,0.154343,0.00506821,0.0111274,0.0837062,-0.00087841,0.00872556,0.0025137,-0.00535178,0.000130798,0.00635153,-0.0211795,-0.00590427
PAG,-2.35781e-07,-0.0161738,2.14245e-05,3.82523e-05,0.000142503,1.77684e-05,-0.000250211,-0.000637963,-6.71386e-06,-0.000161695,-0.000346766,-0.00022224,6.37175e-06,-0.000209993,-0.00135679,-0.00218622,-0.00071433,-0.00289433,0.998337,-0.00297523,0.0617764,0.0201589,-0.004803,-0.00332112,-0.0187804,-0.000688353,-0.000351944,-0.00306107,-0.00276487,-0.00868727,0.0885243,0.0803893,-0.00879155,-0.00702224,0.0506408,0.0191726,0.00718011,0.00715884,-0.00160105,-0.00438661,0.0482524,0.12158,0.0186066,0.580282,0.17185,-0.000984239,0.112352,-1.11583e-05,-0.000900111,-0.000116083,-2.27012e-06,0.00359484,0.00619308,-0.000439449,0.000989955,-0.00128634,-0.0208356,0.00180318,0.0940044,0.0899889,-0.0363954,-0.00485463,0.118442,0.00114735,0.0802693,-0.016662,-0.00174575,-0.057196,-0.150064,0.177551
DFS,1.97534e-07,0.00433989,4.59029e-06,0.00030187,0.00022929,-0.0087699,-0.00116628,-0.00267196,0.000373438,0.000469268,0.0037893,-0.00161984,-0.000601247,0.00185865,0.00268114,0.0231533,0.00576899,0.00805249,-0.00016181,0.988912,0.091197,0.0328052,-0.0314995,-0.00306573,-0.0840594,-0.00234048,0.00146172,-0.00979402,-0.00913792,-0.0101173,0.0205315,0.00765195,-0.0115718,-0.0444879,0.0399136,0.0123798,0.000779895,-0.000469203,-0.00114485,-0.00117309,0.193475,0.0353385,0.00159105,0.000162188,0.00696627,7.28762e-05,0.000385667,-1.17084e-05,-9.6033e-05,0.000370814,-1.20819e-06,0.00288293,0.128634,-0.0010802,0.0361254,0.0160874,0.0185295,0.0562839,0.0636692,0.0140596,0.0177259,0.0383238,0.0139835,0.0264045,0.0119079,-0.00895326,-0.0130728,-0.0390631,-0.0699321,0.083829
DFH,-1.41785e-05,0.00085309,7.62188e-07,5.10551e-05,0.000386741,0.00225961,0.000374493,-0.00170435,-0.000132158,-0.00140281,0.000102535,-0.000375761,1.20204e-05,-9.77441e-05,-0.000593468,-0.000628423,-0.000111356,-0.0107726,-0.000515402,-0.0141332,0.975775,0.0015415,-0.0178988,-0.00849842,-0.0226714,6.13579e-05,0.000342711,-0.00544833,-0.00837622,-0.0528543,-0.00364121,-0.0042435,-0.00916497,-0.00306908,-0.00127356,0.00913147,0.000833902,0.000731471,-0.000643042,-0.000522568,0.249063,0.00463027,-0.00141366,0.000332879,0.00272216,0.000328104,0.00220619,-1.16864e-05,-5.08759e-05,-0.000329044,-1.79419e-06,0.00170007,0.0950283,-0.000214146,-0.00125725,0.0187902,0.0165443,0.0761554,-0.0181698,0.0141676,0.0258482,0.0708411,0.0184996,0.0197963,0.013523,-0.00709294,3.82198e-05,-0.0226457,0.0251617,0.0928756
DSM,-1.16695e-06,0.000163166,2.88831e-05,9.14803e-05,-1.87739e-05,0.00179586,-0.00937178,-0.0022304,-0.000142839,-0.000320883,-0.00366519,-1.31079e-05,-1.67183e-06,-0.000137614,-0.000634362,-0.000542632,-0.000424405,-0.00229586,-1.30825e-05,-0.00705053,-0.0367349,0.971503,-0.00260031,-0.00605788,-0.0220726,0.000125183,0.000904412,-0.00335289,-0.00663941,-0.00585712,-0.0095053,-0.0824008,-0.0206137,0.0010931,-0.0095461,0.00361182,-0.0215049,-0.0030928,-0.000809502,-0.000361511,0.174359,0.0170343,-0.00477454,-0.0227139,0.000730826,1.07327e-05,-0.00113409,-1.40132e-05,-3.02841e-05,-0.000371495,-2.45304e-06,0.0449003,0.111356,-0.000286835,-0.00508255,-0.0148245,0.0242046,0.062055,-0.0234415,0.0161046,0.0564625,0.0826744,0.0231781,0.0217345,0.010279,-0.0246731,-0.000308863,-0.030999,0.0341495,0.132202
DSP,-1.32532e-05,-0.0153716,5.87072e-06,0.000181818,-0.0160734,-0.0165549,-0.0110023,0.0955396,-6.32904e-05,-0.000698946,0.000198333,-4.65158e-05,-1.69817e-05,0.0011328,0.0147387,0.00148045,0.000538783,-0.0122727,0.000224185,0.0642826,0.461864,0.0515602,0.982973,0.00404476,0.0396694,-0.00299018,0.0422625,0.00243129,0.00472935,0.000201194,-0.00613548,-0.00873947,-0.0144669,-0.0316241,0.000189858,0.010976,-0.000600158,9.81325e-05,-0.000706633,-0.0007456,0.167143,0.0363396,0.00243518,-0.000839894,0.00535057,0.000261641,0.00159055,-9.09037e-06,-9.37762e-05,-0.000287924,-6.36913e-07,0.00254081,0.0586203,-0.000969604,-0.00626842,0.0962954,0.00271806,0.0715199,0.0702431,0.0112816,0.0243741,0.00959702,0.00818893,0.0155775,0.00958054,-0.0162807,-0.00262607,-0.0524536,-0.0899561,0.0576742
DSR,-2.37092e-05,0.00173765,-0.000184704,7.8158e-05,-0.00150726,0.000631546,-0.000272556,-0.00138607,-7.19925e-05,-0.00033001,-0.000333262,-0.000386742,5.46166e-06,-0.000134928,-0.00126153,-0.000968558,-0.000197791,-0.00234616,-0.000158533,-0.00147297,0.0634392,0.0148929,-0.0056569,0.993936,-0.019721,-0.000421393,0.000651163,-0.00345592,-0.00824986,0.00330472,-0.0274887,-0.00356955,-0.0307591,0.000277195,-0.00141726,0.0210875,-0.00327384,0.0622117,-0.00137551,-0.00154373,0.177096,0.0830974,0.0319878,0.0428632,0.0203136,0.00130126,0.00376331,2.08698e-05,-0.000394515,-0.000281516,-1.86541e-06,-0.000889458,0.0469361,-0.000588455,-0.00519245,0.0508733,-0.00166246,0.065625,0.0503231,0.0224973,-0.00807812,0.036391,0.0293759,0.0114209,0.0293706,-0.0500667,0.000482783,-0.0371546,-0.0736401,0.122156
MSC,1.25497e-06,0.0014748,-1.4357e-05,2.99391e-05,0.000191358,0.00719114,-0.00139263,-0.0116819,-4.60435e-05,-0.000353701,-0.000798811,0.00028251,1.85749e-05,-5.09161e-05,-0.000241034,1.69014e-05,-1.08537e-05,-0.00720641,2.3771e-06,0.00170704,-0.004737,-0.00768097,0.000845329,-0.000905581,0.920802,0.000137442,-0.0557135,-0.00789581,-0.00623778,-0.0136311,-0.00349222,-0.0189206,-0.000603825,-0.0206889,-0.00421153,-0.00207955,-0.00456838,8.40909e-05,-0.00030125,-0.000794304,0.206515,0.0708682,-0.00122081,-0.0147692,0.00283341,-2.40571e-05,0.00273071,-1.58231e-05,-0.000173125,-0.000362431,-1.75004e-06,-0.00262612,0.0161804,-0.00102202,0.00130953,0.1097,0.0209563,0.0972498,0.0874019,0.0128552,-0.0327428,0.0495878,0.0368257,0.00766667,0.0173326,-0.00375867,-0.00216679,-0.0467022,-0.111215,0.22175
MSG,2.16375e-06,-5.69808e-05,-8.54154e-06,3.47422e-05,0.000123693,-0.0692033,-0.000865177,-0.00321079,-2.04488e-05,5.20639e-05,0.000794195,0.00116052,7.31012e-05,-1.97667e-05,-0.000107444,-7.67523e-05,1.34558e-06,-0.0267913,-1.56806e-05,-0.000747606,-0.00175667,-0.000490209,4.54821e-05,-0.000340161,-0.0245622,0.948458,-0.00924005,-0.0148638,-0.0121365,0.00610771,-0.000838627,-0.00220974,-0.000270942,-0.000928814,-0.0236724,-0.000365576,0.00233818,0.000818337,-0.000480332,-0.00176785,-0.0254517,0.0303209,0.00349536,-0.00735364,0.00251182,5.24311e-05,0.000848921,-2.47865e-06,-8.13551e-05,-0.00044128,-3.33012e-07,-0.00124806,-0.0183595,0.254925,0.209865,0.149789,0.137558,0.108305,0.130731,0.00414882,-0.0235711,0.0624283,0.00353902,0.00256895,0.000341859,-5.80335e-05,3.15774e-05,-0.0655834,-0.0314515,0.0255285
MSP,3.74973e-06,-0.0130039,-1.30266e-05,0.000239694,-0.00600747,-0.109298,-0.00245034,-0.0142359,-9.61063e-05,-0.000379114,0.00044414,0.00193915,0.000126242,-6.81898e-05,-0.000457117,-7.7344e-05,-3.4893e-05,-0.0464304,-3.66194e-05,-0.00189074,-0.0171266,-0.0112123,-0.014598,-0.00112091,0.729951,-0.0156719,0.935596,-0.0194885,-0.022232,-0.0174954,-0.00470092,-0.0248546,-0.00313616,-0.0478846,-0.00670701,-0.00294222,-0.00505602,0.000620344,-0.00027304,-0.00103613,0.180327,0.063139,-0.00169964,-0.0147908,0.00405753,1.78195e-05,0.00264886,-1.27807e-05,-0.000158666,-0.000590676,-9.36332e-07,-0.00301719,0.0534746,-0.00512405,-0.0145532,0.12043,0.00148038,0.0869947,0.0999542,0.0101383,-0.0120488,0.0143993,0.0230485,0.0155133,0.0127765,-0.00212323,-0.00185814,-0.0781864,-0.138228,0.155086
ENG,-9.30287e-05,0.00171373,4.23753e-06,-0.000968367,-0.000209034,0.00189092,-0.00128091,-0.00372582,-0.00016575,-7.50728e-05,0.000996352,0.00152136,9.77139e-05,-4.44534e-05,-2.33914e-05,-0.000776845,-3.21119e-05,-0.0361408,-1.72829e-05,-0.000765811,-0.00765346,-0.00232293,-0.000612247,-0.00101188,-0.0242244,-0.00176658,0.000784882,0.970846,-0.0033887,-0.0248044,-0.00127546,0.00016457,-0.00555312,-0.0213178,-0.00598177,0.0283764,-0.00141656,0.0001754,-0.000401554,-0.000910084,-0.0230836,0.0135447,0.00134684,0.00557133,0.000858028,7.73179e-06,0.000404848,2.95185e-06,-5.25153e-06,-0.000241574,1.19709e-06,-0.000641915,0.0365518,-0.00311295,0.0275591,0.415433,0.263149,0.22722,0.211766,8.84593e-05,0.0427422,0.0439346,-0.0201339,0.0243953,-0.00385788,-9.3986e-05,-0.000187102,-0.0170582,-0.0746677,-0.09965
