CUT2,SB,MM,TUR,XIP,THU,LPL,MPL,SPL,HAK,HAK1,HAK2,HAK3,HAK4,MUL,MUL1,MUL2,MUL3,TRA,PAG,DFS,DFH,DSM,DSP,DSR,MSC,MSG,MSP,ENG,SAR,EPI,CEBH,CEBS,CEPH,CEPS,DNS,DNH,DRS,DRH,ARF,PWL,SUP,MbO,MbFF,MbDF,MbC,MbPAR,MbSCA,MbH,MbGRA,MbSF,MbPF,BO,EUP,ZG,ZL,ZM,ZS,PB,BB,PS,DF,PL,MB,SG,MA,Bathyrajabrachyurops,Dalatiaslicha,Dipturusoxyrinchus,Myliobatisaquila,RSHC1,RSSC1,Rajaasterias,Rajapolystigma,SSHC1,SSSC1,SSSC2,Scyliorhinuscanicula,Torpedomarmorata,DC,SPOM,BD
HAK2,-2.83915e-06,-0.00376077,-9.43707e-07,-0.0001015,-0.00102734,-0.0559055,-0.00851141,-0.00524228,0.000461543,0.000202084,0.987844,-0.0167732,-0.00111617,-0.000171639,-0.0012815,-0.00122858,-0.000653841,0.377765,-0.000178285,-0.0309729,0.00104351,0.109313,0.000298422,-0.0026764,0.102971,-0.0098227,-0.0155287,0.0291666,-0.00248225,-0.000748246,0.00427302,-0.0156684,0.00424831,0.00030346,0.229812,0.00494704,-0.00871581,-0.00476638,0.00239826,0.0149106,0.0660026,0.0743991,0.000127058,-0.00162598,0.00364539,-3.62386e-05,0.000904706,-8.77348e-06,-0.000144616,0.00173427,-6.84235e-07,0.00717877,0.107248,-0.00360263,0.0754195,0.033825,0.127325,0.136592,0.0164172,0.0568008,0.0230326,0.0594341,0.0105468,0.010309,0.00740583,-0.000196055,1.81164e-05,-0.000676652,-2.76434e-05,-0.042542,-6.02944e-05,-2.99535e-05,-1.11496e-05,-0.0106999,-0.000201867,0.00035959,-0.00389399,-0.000646038,-0.0565323,-0.0855195,0.0597692
HAK3,-6.70427e-06,-0.0063205,-6.66668e-05,-0.000160064,-0.00185709,-0.100123,-0.0121095,-0.00643023,-9.4578e-05,-0.000493142,-0.0191259,0.971239,-0.00191232,-0.000112877,-0.00123554,-0.000718671,-0.000450103,0.662354,-0.000205327,-0.00102053,0.0691018,-0.0162778,-0.00166564,-0.00397457,0.0138952,-0.0164354,-0.0165912,0.0563973,0.00767924,-0.00153117,0.000264194,-0.0047639,-0.00271425,0.0092686,0.25604,0.014743,0.000116176,0.020217,-0.00118685,0.0232066,0.0519958,0.0218562,0.00107389,-0.000494157,0.00388087,3.5689e-05,0.00104702,-5.51933e-06,-0.000127268,0.00318479,-2.31131e-07,0.00305979,0.0313551,-0.00564996,0.108822,0.0460546,0.190126,0.167955,0.0236419,0.0655862,0.00845464,0.054798,0.00771728,0.00114592,0.00392728,-0.000114198,1.28088e-05,-0.000753108,-9.32733e-06,-0.0382745,-3.36838e-05,-0.00017987,-5.25708e-06,-0.015224,-1.55073e-05,0.000354998,-0.00535293,-0.000488118,-0.0524569,-0.0764312,0.0195533
HAK4,-7.2578e-05,-0.0648894,7.7073e-05,-0.00145341,-0.0206735,-1.16797,-0.142545,-0.069503,0.012079,0.0144904,-0.185279,-0.300199,0.978732,0.000801088,-0.000400819,0.00750418,0.00306617,7.72852,-0.000947298,0.585988,0.576716,0.0102621,-0.032182,-0.0122456,0.215972,-0.175358,-0.196536,0.65157,-0.016736,-0.0146878,0.112175,-0.0368139,-0.0524268,0.0556438,0.00503208,0.235795,0.00135753,-0.0146916,-0.00809834,0.182329,0.456272,0.219206,0.0090579,0.0290036,0.0182537,-0.000186729,0.00317569,-3.25484e-05,-0.000343521,0.0362786,-2.52339e-06,0.00679237,0.880165,-0.0594779,0.720297,0.535694,2.35745,1.52305,0.142856,0.816009,0.201741,0.656168,0.064452,0.000756831,0.0349828,-0.00151642,6.34954e-05,-0.0144436,-0.000111112,-0.0450782,-0.000516755,-0.000753738,-9.02996e-05,-0.0108263,-0.000639361,-0.00680069,-0.00345815,-0.00012426,-0.0362451,-0.333305,0.00596969
MUL,4.40692e-07,7.78622e-05,1.84847e-05,1.23023e-06,0.000126173,0.000546827,0.000427963,-0.00128585,-1.89121e-05,-6.81571e-06,-0.000166188,-3.85334e-05,2.04422e-05,0.999533,-0.00175654,-0.000905207,-0.00035439,-0.000309546,-0.000157808,-0.0317047,-0.0138761,-0.0138713,-0.00567573,-0.00108263,-0.0131755,0.000123381,0.000680803,-0.00314184,-0.00387154,-0.0119971,-0.00876466,0.00112994,-0.00139353,0.00239104,-0.0103228,-0.00901055,-0.00829123,-0.00699361,-0.00111131,-0.00117159,0.117359,0.0330932,0.000299615,-0.00362772,0.118794,0.000213702,-0.00228718,-2.60037e-05,-9.99779e-05,3.12223e-06,-4.56363e-06,0.119635,-0.0186818,-0.00140484,-0.0123979,0.100418,0.0978146,0.101828,0.141697,0.107935,0.000473076,0.11014,0.0333119,0.0655525,0.0197296,-0.000160942,-2.9196e-06,3.59287e-05,-0.000108203,-0.00968654,-1.64275e-05,-0.00212361,-3.06188e-05,-0.0050862,0.000247608,0.000669746,-0.00901937,-9.67125e-05,0.017011,-0.0963856,0.374982
MUL1,1.54974e-06,0.000568545,5.84962e-05,5.78195e-06,0.000494631,0.00109515,0.000537236,-0.0037061,1.00632e-05,-0.000223149,-0.000638771,-0.000487449,1.95474e-05,-0.000577805,0.992716,-0.000848919,-0.000576229,-0.00220132,-0.000377667,-0.0203915,-0.0282984,-0.0291188,-0.0302926,-0.00410438,-0.0264205,-0.000734713,4.28582e-05,0.000631484,-0.0103578,-0.00822005,-0.0108937,-0.000224409,-0.00193611,0.00175784,-0.011711,-0.0237258,-0.00261331,-0.0333197,-0.000644103,-0.00209693,0.215283,0.0312937,0.105854,0.0748875,0.0913815,0.00496153,0.0168764,-1.41563e-05,-0.000302726,-0.000287857,-3.12824e-06,0.0175687,-0.0114855,-0.000655054,0.0152051,-0.0114529,-0.0151928,0.0416198,-0.0524032,0.0587575,-0.00277501,0.0407701,0.0389028,0.0539578,0.0257375,-0.00101531,-1.56874e-07,9.54905e-05,-0.000619094,-0.059376,-1.55038e-05,-0.0125798,-0.000192253,-0.0260818,0.000476911,0.000879739,-0.00936334,-0.000969183,-0.0599322,-0.079804,0.243916
MUL2,2.71827e-06,-0.000272235,3.04513e-05,4.23137e-06,4.6481e-06,0.00188163,-0.000455646,2.15844e-05,-2.29588e-05,-9.02323e-05,-0.000372719,0.000249813,7.61491e-05,-0.000304397,-0.00139515,0.984499,-0.00122973,-0.00748864,-0.00056058,-0.0939483,-0.0270367,-0.011723,0.00247092,-0.00388335,-0.00403746,0.000138934,0.000622861,-0.0205462,-0.00107438,-0.00193114,-0.0150151,-0.000353012,-0.000512122,0.00472875,-0.00481317,0.492832,-0.00644603,-0.00439807,-0.000588544,-0.00189245,0.025414,0.0532856,0.0254413,0.306079,0.0668411,-0.000652407,0.00621739,-3.7586e-05,-0.000517692,-0.000402248,-3.53917e-06,0.00464588,-0.0174177,1.78461e-05,-0.00826285,-0.0163053,-0.0231732,0.0480874,-0.014058,0.0111481,-0.00417994,0.00800361,0.0488133,0.0619363,0.0610379,-0.000239689,-4.92334e-06,-0.000173368,-0.000157184,-0.0180827,-3.43194e-05,-0.000485066,-0.000184479,-0.00591042,0.00014248,0.0012819,-0.0023008,-0.000244144,-0.0277982,-0.0877391,0.0954308
MUL3,1.09703e-06,-0.000523433,-6.22882e-05,-0.000169215,-2.55919e-05,0.00182956,-0.000586213,-0.000367637,-4.27264e-05,-0.000317306,-0.00197391,-0.000920239,9.3608e-05,-0.00051286,-0.00263403,-0.00662905,0.997794,-0.00618982,-0.000956711,-0.129934,-0.0223596,0.0363533,0.00201558,-0.00274612,-0.0122413,-0.00202359,0.000798307,-0.00440317,0.000184227,0.000363997,-0.00917791,-0.00635167,-0.000745389,0.00246114,0.364919,0.0709335,-0.019685,-0.00733486,-0.00207227,-0.00757224,-0.0619801,0.112568,0.282008,0.428069,0.224584,0.00410396,0.0151286,-3.89119e-05,-0.00117573,-6.64835e-05,-6.53782e-06,0.00541181,-0.0185901,-0.00104232,0.0560632,-0.00981803,-0.0201698,0.0876285,-0.0607047,0.0406387,-0.00414689,0.0349707,0.0913103,0.0996409,0.0611876,-0.000524798,8.06276e-06,-1.33955e-05,-0.000321006,-0.0292964,-6.34426e-05,-0.000805126,-0.000118474,-0.00214095,-0.000269326,0.00143375,-1.07187e-05,-9.49872e-05,-0.0892005,-0.130599,0.197369
TRA,-7.98023e-06,-0.00775986,9.80953e-06,-0.000191129,-0.00238513,-0.132646,-0.0159841,-0.00762004,-0.000118326,-0.000204845,-0.0237815,-0.0364629,-0.00237572,-4.1043e-05,-0.00019865,-0.000861109,-7.27366e-05,0.881272,-5.77414e-05,-0.00768769,0.0292823,-0.00912373,-0.000656046,-0.000734686,0.0338392,-0.0197274,-0.0224824,0.0766538,-0.000787118,0.00151229,0.00287097,-0.00387517,-0.0045878,0.00989393,-0.00387585,0.0257581,0.000664725,-0.00185594,-0.000616542,0.00675695,0.0266475,0.0177204,4.19783e-05,0.00207582,0.000381382,-3.89079e-05,0.000153153,-2.0708e-06,-1.76402e-05,0.00414225,-1.75785e-07,-0.000405639,0.0293867,-0.00663002,0.0777262,0.0596046,0.255708,0.154295,0.011173,0.0836477,0.00872548,0.0590771,0.00503222,-0.000937528,0.00246066,-0.000165018,2.45735e-07,-4.23805e-05,-9.87675e-06,-0.00427091,-1.07241e-05,-7.83195e-05,-8.997e-06,-0.000854769,-3.59353e-06,0.000131847,2.79335e-05,2.53343e-05,0.00610158,-0.0210875,-0.00612294
PAG,-2.509e-07,-0.016186,2.41841e-05,3.74845e-05,0.000142087,2.26842e-05,-0.000232497,-0.000585174,-6.6702e-06,-0.000169456,-0.000364459,-0.000225943,6.55769e-06,-0.000213531,-0.00151691,-0.00215869,-0.00072554,-0.00298077,0.998328,-0.00301057,0.0624793,0.0195628,-0.00479642,-0.00302599,-0.019527,-0.000692926,-0.000311889,-0.00301083,-0.00280492,-0.0085534,0.0889958,0.0803589,-0.00847811,-0.00707613,0.0506215,0.0177623,0.00729209,0.00625132,-0.00157056,-0.00437885,0.0474165,0.119462,0.018364,0.580292,0.171853,-0.000981133,0.112361,-1.09922e-05,-0.000894873,-0.000117703,-2.25319e-06,0.003611,0.00611879,-0.000436928,0.00096913,-0.00125046,-0.0208183,0.0938354,-0.0362544,-0.00519447,0.00113396,0.00151801,0.0898317,0.118206,0.0800478,-0.000230391,2.09848e-05,-0.000145427,-0.000148862,-0.0132207,-7.02436e-05,-0.000398241,-4.84943e-05,-0.00184729,-0.000762868,-0.000732507,-0.000538652,-0.000116863,-0.0580783,-0.149758,0.176646
DFS,2.03349e-07,0.0043599,5.06304e-06,0.000302994,0.000229533,-0.00875981,-0.00115024,-0.00264873,0.000372129,0.000465861,0.0037835,-0.00162427,-0.000600888,0.00185263,0.00266463,0.0231332,0.00576355,0.0080395,-0.000160602,0.988109,0.0906524,0.0315398,-0.0314619,-0.00293713,-0.08353,-0.00234086,0.00142988,-0.0098296,-0.00903255,-0.00998021,0.0199563,0.00755897,-0.011835,-0.0445413,0.0401242,0.0121738,0.000700859,-0.00047151,-0.00114092,-0.00117228,0.18954,0.0352382,0.00158504,0.000157275,0.00693199,7.30416e-05,0.00036788,-1.15312e-05,-9.50453e-05,0.000372776,-1.18523e-06,0.00279614,0.129324,-0.00107683,0.0361467,0.0161668,0.0187568,0.063763,0.0170087,0.0378527,0.026547,0.0559501,0.0138241,0.0138,0.0117022,-1.7673e-05,5.85025e-05,-0.000851143,-1.51535e-05,-0.00539062,-4.31464e-05,-5.82964e-05,-7.86811e-06,-0.00111888,-0.000281766,-0.0116916,-0.00240329,-0.000121337,-0.0391191,-0.0698232,0.08283
