SHKRAY,SB,MM,TUR,XIP,THU,LPL,MPL,SPL,HAK,HAK1,HAK2,HAK3,HAK4,MUL,MUL1,MUL2,MUL3,TRA,PAG,DFS,DFH,DSM,DSP,DSR,MSC,MSG,MSP,ENG,SAR,EPI,CEBH,CEBS,CEPH,CEPS,DNS,DNH,DRS,DRH,ARF,PWL,SUP,MbO,MbFF,MbDF,MbC,MbPAR,MbSCA,MbH,MbGRA,MbSF,MbPF,BO,EUP,ZG,ZL,ZM,ZS,PB,BB,PS,DF,PL,MB,SG,MA,RAY,SHK,DC,SPOM,BD
SB,0.998222,0.0321131,0.000173965,-0.0166722,-0.00590407,-0.105255,-0.0282883,-0.0612509,-0.00389523,-0.0073488,0.0177397,0.0244702,0.00178479,-0.00185187,-0.0029943,-0.0101273,-0.000341293,-0.681799,-0.000998357,-0.0665011,3.26401,0.272293,-0.0379399,0.402789,-0.621103,-0.0343623,0.00603234,13.9527,5.92981,3.59351,-0.0936921,-0.0532025,-0.201075,-0.332876,-0.107834,0.379463,-0.164235,-0.0110066,-0.0181809,-0.0128945,5.42869,-0.315754,0.00678643,-0.0414214,-0.0163496,0.000286547,-0.0199251,-0.000177912,0.000638061,-0.00365906,-8.44448e-06,0.00555655,1.13155,-0.0731748,0.257116,8.55436,5.52855,5.29685,1.07267,4.5611,0.578398,7.99114,0.281774,0.0361801,0.250607,-0.0204726,-0.0438488,1.36658,-2.71216,0.945388
MM,-4.84397e-06,0.967037,-0.000187385,-0.00206876,-0.0041274,-0.0159688,-0.00558204,-0.00249154,-4.99841e-05,-0.000203236,-0.00152892,-0.00171067,-9.30674e-05,-9.41061e-06,-1.91437e-05,5.50785e-05,-2.73738e-05,0.0315749,0.00268297,0.0106621,0.0380615,0.0355015,0.0169093,0.00238012,0.174964,-0.00607626,0.052839,0.0367045,0.00655519,0.0448877,0.00365178,0.0137893,0.134102,0.287066,0.0223909,0.00303988,0.0109107,0.00266116,-0.000737269,-0.00149884,0.107053,0.0421847,-0.000527716,0.00166554,0.00585988,6.33049e-05,0.00865231,-6.93457e-06,-0.000274342,-0.000151278,-1.90153e-07,0.00109579,0.0184257,-0.00302606,0.148245,0.100857,0.0834994,0.150833,0.018132,0.0261103,0.00786514,0.0690663,0.0116808,0.00506601,0.0101869,-0.00412827,-0.00521918,-0.0787711,-0.107145,0.0414831
TUR,3.31673e-07,-0.00236541,0.921839,-0.000111941,2.41932e-05,-0.000283787,-0.00122057,-0.000294331,1.16037e-05,-2.5948e-05,-0.000191836,-0.000488123,2.459e-06,-4.0727e-05,-0.00103984,-0.000385896,-0.000427989,-0.000566663,-0.000160658,-0.000165796,-0.00620834,-0.000609343,0.000103863,-0.00807678,-0.0307517,-0.000760212,0.00147393,0.0016578,-0.00260335,-0.00881532,-0.0177558,-0.00237397,0.0437658,-0.00140883,-0.00847115,-0.00658045,-0.00885055,0.239007,-0.00410136,-0.00461941,0.170961,0.302725,0.321213,0.118995,-0.0303308,-0.00159366,-0.008037,0.00024981,0.800607,0.000736667,2.61802e-05,-0.009863,-0.0026688,-0.000768228,-0.0107526,-0.00974722,-0.0293313,0.0922508,-0.127715,0.0849229,-0.000969085,0.0711236,0.113988,0.13424,0.146028,-0.0117377,-0.00294998,-0.0381075,-0.169827,0.36745
XIP,-4.8557e-05,-0.0383765,-0.000190471,0.996845,-0.004844,-0.00828297,0.0268006,0.00793823,-5.58352e-05,-0.000167927,0.000144139,0.000502843,5.62052e-05,-5.8141e-05,-0.000336073,-0.000189749,0.000332504,-0.0242195,-0.000321795,0.012049,0.020876,0.0194249,-6.55693e-05,0.00353707,0.183716,-0.00338066,-0.00708542,0.420136,0.142499,-0.0132561,0.0485705,0.0165098,0.135138,0.377439,0.0211636,0.0132186,0.0126548,0.00117856,-0.000913798,-0.00154982,0.228838,0.0502773,0.0015764,0.000269659,0.00714109,6.19815e-05,0.00895785,-1.02437e-05,-0.000293836,-0.000463399,-1.50293e-07,0.00267861,0.034521,-0.00236797,0.0378551,0.222599,0.113186,0.185967,0.0562793,0.0236764,0.0160038,0.136133,0.0161163,0.00199631,0.0140869,-0.00493415,-0.0055707,-0.0824131,-0.154226,0.0349411
THU,-3.80584e-06,-0.00765299,-1.15255e-05,-0.000487929,0.998112,-0.0119919,0.00941772,0.0123437,-2.58694e-05,-0.000110703,-0.000875189,-0.00121313,-7.50753e-05,2.66111e-05,0.000325705,7.07231e-06,4.35852e-06,0.0258971,-5.61965e-05,0.00755951,0.015706,0.00478208,0.029076,0.00651777,0.0931619,-0.00244634,0.0398375,0.0269351,0.0177429,-0.00249783,0.000800428,-0.00317474,-0.000533757,0.0740103,0.00850927,0.00326725,0.00433602,0.00131857,-0.000181022,-0.000279468,0.0467742,0.028131,0.000282499,-0.00445907,0.00401924,8.97785e-05,0.00156814,-2.84092e-06,-8.07387e-05,-9.19381e-05,3.61106e-07,-0.00036923,0.0134934,-0.000549649,0.00876643,0.0395667,0.00861701,0.0789897,0.0165225,-0.025389,0.00428908,0.00757283,0.0032594,-0.0037418,0.00168205,-0.00175002,-0.00103442,-0.0750628,-0.0941882,-0.00111878
LPL,-1.12224e-05,-0.00621072,-1.70418e-05,-0.000242561,-0.00227578,0.917937,0.0122748,0.0206542,-7.39753e-05,-0.000168052,-0.00890545,-0.0134617,-0.000876254,-3.8357e-05,-0.000246843,-0.000291982,-1.43374e-05,0.323414,-9.98645e-05,0.00447232,0.00757517,-0.00150874,-9.10697e-06,-0.000839756,0.14694,0.121888,0.127872,0.04988,0.118356,-0.00615182,-0.000832879,0.0161102,0.00122264,0.00708709,-0.00871007,0.0107018,0.00805657,0.000329876,-0.000730592,0.00156268,0.15057,0.050209,0.00072246,-0.00822585,0.0054669,0.000162963,0.0019935,-8.24243e-06,-0.000128444,0.00117583,-1.6046e-07,-0.00186487,0.0202427,0.0320297,0.079225,0.103346,0.116178,0.168205,0.0338275,0.0205219,0.00838473,0.0640166,0.0110508,-0.000484442,0.00703721,-0.00324662,-0.00187022,-0.0877335,-0.126356,0.021832
MPL,-3.60037e-06,-0.00278102,-7.16073e-05,-0.00177035,-0.00622327,-0.0682471,0.972882,0.214721,-0.000212436,-0.000407493,-0.00243364,-0.00252491,-0.000160605,-7.4238e-05,-0.000517884,-0.000718505,-0.000142629,0.05837,-8.13595e-05,-0.000336995,-0.0112346,0.132738,-0.00903051,-0.00028857,0.138891,-0.0113278,-0.020351,0.0300124,0.0105854,-0.0165697,-0.00105906,-0.00476247,0.0335637,0.00579228,-0.00436338,0.0206411,-0.000635715,0.00125765,-0.000839289,-0.000668682,0.0882807,0.0537542,0.0327294,-0.0063667,0.00331043,2.57426e-05,0.00313948,-6.88743e-06,-0.000220981,-7.95767e-05,-8.80599e-08,0.00462204,0.125481,-1.11498e-05,0.00663992,0.176973,0.0680046,0.131418,0.0298322,0.0124484,0.0322913,0.116369,0.0106363,-0.000900317,0.00582055,-0.00400049,-0.0113914,-0.0819747,-0.119451,0.0156909
SPL,3.11546e-06,0.00142917,-2.66463e-06,0.000110446,-0.000502761,-0.0143737,-0.0970284,0.966051,-0.000100126,0.000101347,0.000262756,0.00058049,4.31846e-05,-0.000119158,-0.000756283,-8.18111e-05,-4.71939e-05,-0.0147429,-1.9454e-05,-0.00313055,-0.0218383,-0.0172498,-0.0388636,-0.00119192,0.151197,-0.0045716,-0.0140464,-0.0325654,-0.00778974,-0.0396626,-0.00142837,-0.00458768,-0.00323826,-0.00594237,-0.00104569,-0.00366257,0.000876116,-7.94916e-05,-1.89838e-05,-0.000447874,-0.00284929,0.0162018,0.00791391,0.000280585,0.00144577,2.17012e-05,0.000679425,1.0371e-06,-4.44741e-05,-0.000232512,1.05286e-06,-0.00184281,-0.0552982,-0.000539905,-0.0133598,0.663874,0.00588305,0.122441,0.0240644,-0.0316076,0.0154937,0.331873,0.000357873,-0.0129318,-0.00315133,-0.00235497,-0.00671445,-0.0412362,-0.116027,-0.046849
HAK,3.16558e-06,-0.000161687,5.88018e-07,1.18941e-05,-7.61561e-06,0.00149941,-0.000667038,-0.00355931,0.998879,-0.00193446,-0.00298285,0.000263466,-0.000272576,-7.11381e-05,1.81274e-05,-0.00038795,-9.71187e-05,-0.00664456,3.73777e-07,-0.0166972,-0.0334333,-0.0224418,0.00139224,-0.00100811,-0.0293705,-0.00100056,-0.000277206,-0.0377747,3.19062e-05,-0.0379597,0.000511115,0.00436338,-0.000210875,0.0025022,-0.000920562,-0.00179353,-0.0144724,0.00019427,-0.00187388,-0.00193635,-0.0638541,0.000694995,0.000441378,0.0117104,-0.000123277,-4.85086e-06,-8.80804e-05,8.32945e-06,2.97744e-05,-2.95347e-05,2.49568e-06,-0.00241029,0.758666,-0.00341523,-0.0182612,0.449078,0.471308,0.35791,0.0698939,0.126168,0.17054,0.366082,-0.00383315,-0.0376176,-0.0106212,0.000588905,0.000130325,-0.00451064,-0.139034,-0.181334
HAK1,5.91847e-09,0.000170125,1.23652e-06,1.79726e-05,2.22513e-05,0.00199522,-0.00119245,-0.00110528,-0.0010455,0.997618,-0.00246882,-0.000180226,-0.000166425,-9.64089e-05,-0.000765836,-0.000489072,-0.000234907,-0.00842084,-0.000111371,-0.0172408,0.0997528,-0.030656,-0.00128854,-0.0029107,0.0321838,-0.000475773,-0.00421927,-0.0195935,-0.00485985,0.0484316,-0.00383298,-0.000540268,-0.00214388,-0.000859906,0.062372,-0.00392633,-0.0135924,-0.00214648,-0.00207956,-0.00248659,0.122209,0.009261,-0.00276754,-0.00834869,0.00385341,0.000130089,0.00147455,-4.50068e-06,-4.13621e-05,-0.00027245,5.44509e-07,-0.00205391,0.8057,-0.000683479,0.000537661,-0.00298988,0.154351,0.180404,0.0390798,0.0934978,0.161298,0.150573,0.00500444,-0.00770765,0.00271197,-0.026387,-0.00993935,-0.0755372,-0.13712,-0.0048534
