"","namelist","betw"
"1","SB",0.357923219906348
"2","MM",0.191466021191085
"3","TUR",0.132256064481128
"4","XIP",0.283013640238704
"5","THU",0.158730158730159
"6","LPL",0.128966021191085
"7","MPL",4.68604945859143
"8","SPL",6.72922639648734
"9","HAK0",1.14288914490527
"10","HAK1",1.06715834576684
"11","HAK2",7.39196843942736
"12","HAK3",5.80533105720175
"13","HAK4",1.3790404040404
"14","MUL0",2.34164989188882
"15","MUL1",2.68087250383759
"16","MUL2",1.07655857214681
"17","MUL3",2.55306015364065
"18","TRA",33.738130981902
"19","PAG",3.1611702744103
"20","DFS",107.591083038523
"21","DFH",75.213214349264
"22","DSM",36.970268043984
"23","DSP",35.3507521953536
"24","DSR",34.2636669003261
"25","MSC",73.8758686287541
"26","MSG",1.94250742999801
"27","MSP",0.56789275761521
"28","ENG",4.61613577341828
"29","SAR",7.23007496779601
"30","EPI",37.6304395641194
"31","CEBH",34.8635119803699
"32","CEBS",11.5391951217428
"33","CEPH",38.4021384917274
"34","CEPS",37.388689012887
"35","DNS",89.4470114802556
"36","DNH",36.3742724894309
"37","DRS",15.2995729689548
"38","DRH",15.1739073106878
"39","ARF",3.33388304450806
"40","PWL",9.09468182088901
"41","SUP",117.144707040876
"42","Mb_O",68.6910118837961
"43","Mb_FF",23.8508727982515
"44","Mb_DF",30.2018870981587
"45","Mb_C",29.4446208253312
"46","Mb_PAR",12.4469316902949
"47","Mb_SCA",28.1811177956579
"48","Mb_H",2.59661113429394
"49","Mb_GRA",6.49914697658785
"50","Mb_SF",4.63193153543905
"51","Mb_PF",0.788756553239682
"52","BO",8.66935777855705
"53","EUP",64.06535962696
"54","ZG",5.1229903234767
"55","ZL",28.240594274173
"56","ZM",53.1478724896232
"57","ZS",35.4389076774658
"58","PB",2.20142602495544
"59","BB",0.783350533195734
"60","PS",0
"61","DF",0
"62","PL",0
"63","MB",0
"64","SG",0
"65","MA",0
"66","Dipturus_oxyrinchus",0.128966021191085
"67","Myliobatis_aquila",0.248013640238704
"68","RSH_C1",7.57791984514491
"69","RSS_C1",0.128966021191085
"70","SSH_C1",10.6494386041637
"71","SSS_C1",0.678170566645631
"72","SSS_C2",0.914281677756742
"73","Torpedo_marmorata",8.37166082638589
"74","DC",451.665729108189
"75","SPOM",1165.48027171468
"76","BD",1397.83489979349
